"","dates.585.805.","as.vector.pr.","as.vector.pred...1..","as.vector.pred...2.."
"1",2015-02-03,FALSE,FALSE,FALSE
"2",2015-02-04,TRUE,FALSE,TRUE
"3",2015-02-05,FALSE,FALSE,FALSE
"4",2015-02-06,FALSE,FALSE,FALSE
"5",2015-02-07,FALSE,FALSE,FALSE
"6",2015-02-08,FALSE,FALSE,FALSE
"7",2015-02-09,FALSE,FALSE,FALSE
"8",2015-02-10,TRUE,TRUE,FALSE
"9",2015-02-11,FALSE,FALSE,FALSE
"10",2015-02-12,FALSE,FALSE,FALSE
"11",2015-02-13,FALSE,FALSE,FALSE
"12",2015-02-14,TRUE,TRUE,TRUE
"13",2015-02-15,TRUE,TRUE,TRUE
"14",2015-02-16,FALSE,FALSE,TRUE
"15",2015-02-17,FALSE,FALSE,TRUE
"16",2015-02-18,FALSE,FALSE,FALSE
"17",2015-02-19,FALSE,FALSE,FALSE
"18",2015-02-20,FALSE,FALSE,TRUE
"19",2015-02-21,FALSE,FALSE,FALSE
"20",2015-02-22,FALSE,FALSE,TRUE
"21",2015-02-23,FALSE,FALSE,FALSE
"22",2015-02-24,FALSE,FALSE,FALSE
"23",2015-02-25,FALSE,FALSE,FALSE
"24",2015-02-26,FALSE,TRUE,FALSE
"25",2015-02-27,FALSE,FALSE,TRUE
"26",2015-02-28,FALSE,FALSE,FALSE
"27",2015-03-01,FALSE,FALSE,TRUE
"28",2015-03-02,FALSE,FALSE,TRUE
"29",2015-03-03,FALSE,FALSE,FALSE
"30",2015-03-04,FALSE,FALSE,FALSE
"31",2015-03-05,FALSE,FALSE,FALSE
"32",2015-03-06,FALSE,FALSE,FALSE
"33",2015-03-07,FALSE,FALSE,FALSE
"34",2015-03-08,FALSE,FALSE,FALSE
"35",2015-03-09,FALSE,FALSE,FALSE
"36",2015-03-10,FALSE,FALSE,FALSE
"37",2015-03-11,FALSE,FALSE,FALSE
"38",2015-03-12,FALSE,FALSE,FALSE
"39",2015-03-13,FALSE,FALSE,FALSE
"40",2015-03-14,FALSE,FALSE,FALSE
"41",2015-03-16,FALSE,FALSE,FALSE
"42",2015-03-17,FALSE,FALSE,FALSE
"43",2015-03-18,FALSE,FALSE,FALSE
"44",2015-03-19,FALSE,FALSE,FALSE
"45",2015-03-20,TRUE,TRUE,TRUE
"46",2015-03-21,TRUE,TRUE,TRUE
"47",2015-03-23,TRUE,TRUE,TRUE
"48",2015-03-24,FALSE,FALSE,FALSE
"49",2015-03-25,FALSE,TRUE,FALSE
"50",2015-03-26,FALSE,FALSE,FALSE
"51",2015-03-27,FALSE,FALSE,TRUE
"52",2015-03-28,FALSE,FALSE,FALSE
"53",2015-03-30,FALSE,FALSE,FALSE
"54",2015-03-31,FALSE,FALSE,FALSE
"55",2015-04-01,FALSE,FALSE,FALSE
"56",2015-04-02,FALSE,FALSE,FALSE
"57",2015-04-03,FALSE,FALSE,FALSE
"58",2015-04-06,FALSE,FALSE,FALSE
"59",2015-04-07,FALSE,TRUE,FALSE
"60",2015-04-08,FALSE,FALSE,FALSE
"61",2015-04-09,FALSE,FALSE,FALSE
"62",2015-04-10,FALSE,FALSE,FALSE
"63",2015-04-11,TRUE,FALSE,TRUE
"64",2015-04-13,TRUE,FALSE,TRUE
"65",2015-04-14,FALSE,FALSE,TRUE
"66",2015-04-15,FALSE,FALSE,FALSE
"67",2015-04-16,FALSE,FALSE,FALSE
"68",2015-04-17,FALSE,TRUE,TRUE
"69",2015-04-18,FALSE,FALSE,FALSE
"70",2015-04-20,FALSE,FALSE,FALSE
"71",2015-04-21,FALSE,FALSE,FALSE
"72",2015-04-22,FALSE,FALSE,FALSE
"73",2015-04-23,FALSE,FALSE,FALSE
"74",2015-04-24,FALSE,FALSE,FALSE
"75",2015-04-25,FALSE,FALSE,FALSE
"76",2015-04-27,FALSE,FALSE,FALSE
"77",2015-04-28,FALSE,TRUE,TRUE
"78",2015-04-29,TRUE,TRUE,TRUE
"79",2015-04-30,FALSE,FALSE,FALSE
"80",2015-05-01,FALSE,FALSE,FALSE
"81",2015-05-02,FALSE,FALSE,FALSE
"82",2015-05-04,FALSE,FALSE,FALSE
"83",2015-05-05,FALSE,TRUE,FALSE
"84",2015-05-06,FALSE,FALSE,FALSE
"85",2015-05-07,FALSE,FALSE,FALSE
"86",2015-05-08,FALSE,FALSE,FALSE
"87",2015-05-09,FALSE,FALSE,FALSE
"88",2015-05-11,FALSE,FALSE,FALSE
"89",2015-05-12,FALSE,FALSE,FALSE
"90",2015-05-13,FALSE,FALSE,FALSE
"91",2015-05-14,TRUE,TRUE,TRUE
"92",2015-05-15,TRUE,TRUE,TRUE
"93",2015-05-16,FALSE,TRUE,TRUE
"94",2015-05-18,FALSE,FALSE,FALSE
"95",2015-05-19,FALSE,FALSE,FALSE
"96",2015-05-20,FALSE,FALSE,FALSE
"97",2015-05-21,FALSE,FALSE,FALSE
"98",2015-05-22,FALSE,FALSE,FALSE
"99",2015-05-23,FALSE,FALSE,FALSE
"100",2015-05-25,FALSE,FALSE,FALSE
"101",2015-05-26,FALSE,FALSE,FALSE
"102",2015-05-27,FALSE,FALSE,FALSE
"103",2015-05-28,FALSE,FALSE,FALSE
"104",2015-05-29,FALSE,FALSE,FALSE
"105",2015-05-30,FALSE,FALSE,TRUE
"106",2015-06-01,FALSE,FALSE,TRUE
"107",2015-06-02,FALSE,FALSE,FALSE
"108",2015-06-03,FALSE,FALSE,FALSE
"109",2015-06-04,FALSE,FALSE,FALSE
"110",2015-06-05,FALSE,FALSE,FALSE
"111",2015-06-06,FALSE,FALSE,FALSE
"112",2015-06-08,FALSE,FALSE,FALSE
"113",2015-06-09,FALSE,FALSE,FALSE
"114",2015-06-10,FALSE,FALSE,FALSE
"115",2015-06-11,FALSE,FALSE,FALSE
"116",2015-06-12,FALSE,FALSE,FALSE
"117",2015-06-13,FALSE,FALSE,FALSE
"118",2015-06-15,FALSE,FALSE,FALSE
"119",2015-06-16,FALSE,FALSE,FALSE
"120",2015-06-17,FALSE,FALSE,FALSE
"121",2015-06-18,FALSE,FALSE,FALSE
"122",2015-06-19,FALSE,TRUE,FALSE
"123",2015-06-20,FALSE,FALSE,FALSE
"124",2015-06-22,FALSE,FALSE,FALSE
"125",2015-06-23,FALSE,FALSE,TRUE
"126",2015-06-24,FALSE,FALSE,FALSE
"127",2015-06-25,FALSE,FALSE,FALSE
"128",2015-06-26,FALSE,FALSE,FALSE
"129",2015-06-27,FALSE,FALSE,FALSE
"130",2015-06-29,TRUE,FALSE,TRUE
"131",2015-06-30,FALSE,FALSE,TRUE
"132",2015-07-01,FALSE,FALSE,TRUE
