SQLDATE	GBR_empty_pos	GBR_empty_neg	USA_empty_pos	USA_empty_neg	GBR_COP_pos	GBR_COP_neg	USA_COP_pos	USA_COP_neg	GBR_MIL_pos	GBR_MIL_neg	USA_MIL_pos	USA_MIL_neg	GBR_NGO_pos	GBR_NGO_neg	USA_NGO_pos	USA_NGO_neg	GBR_DEV_pos	GBR_DEV_neg	USA_DEV_pos	USA_DEV_neg	GBR_CVL_pos	GBR_CVL_neg	USA_CVL_pos	USA_CVL_neg	GBR_REB_pos	GBR_REB_neg	USA_REB_pos	USA_REB_neg	GBR_REF_pos	GBR_REF_neg	USA_REF_pos	USA_REF_neg	GBR_AGR_pos	GBR_AGR_neg	USA_AGR_pos	USA_AGR_neg	GBR_CRM_pos	GBR_CRM_neg	USA_CRM_pos	USA_CRM_neg	GBR_SPY_pos	GBR_SPY_neg	USA_SPY_pos	USA_SPY_neg	GBR_RAD_pos	GBR_RAD_neg	USA_RAD_pos	USA_RAD_neg	GBR_SET_pos	GBR_SET_neg	USA_SET_pos	USA_SET_neg	GBR_JUD_pos	GBR_JUD_neg	USA_JUD_pos	USA_JUD_neg	GBR_SEP_pos	GBR_SEP_neg	USA_SEP_pos	USA_SEP_neg	GBR_BUS_pos	GBR_BUS_neg	USA_BUS_pos	USA_BUS_neg	GBR_UIS_pos	GBR_UIS_neg	USA_UIS_pos	USA_UIS_neg	GBR_MNC_pos	GBR_MNC_neg	USA_MNC_pos	USA_MNC_neg	GBR_UAF_pos	GBR_UAF_neg	USA_UAF_pos	USA_UAF_neg	GBR_ELI_pos	GBR_ELI_neg	USA_ELI_pos	USA_ELI_neg	GBR_IMG_pos	GBR_IMG_neg	USA_IMG_pos	USA_IMG_neg	GBR_EDU_pos	GBR_EDU_neg	USA_EDU_pos	USA_EDU_neg	GBR_HRI_pos	GBR_HRI_neg	USA_HRI_pos	USA_HRI_neg	GBR_ENV_pos	GBR_ENV_neg	USA_ENV_pos	USA_ENV_neg	GBR_IGO_pos	GBR_IGO_neg	USA_IGO_pos	USA_IGO_neg	GBR_GOV_pos	GBR_GOV_neg	USA_GOV_pos	USA_GOV_neg	GBR_MED_pos	GBR_MED_neg	USA_MED_pos	USA_MED_neg	GBR_OPP_pos	GBR_OPP_neg	USA_OPP_pos	USA_OPP_neg	GBR_LEG_pos	GBR_LEG_neg	USA_LEG_pos	USA_LEG_neg	GBR_INT_pos	GBR_INT_neg	USA_INT_pos	USA_INT_neg	GBR_LAB_pos	GBR_LAB_neg	USA_LAB_pos	USA_LAB_neg	GBR_INS_pos	GBR_INS_neg	USA_INS_pos	USA_INS_neg	GBR_HLH_pos	GBR_HLH_neg	USA_HLH_pos	USA_HLH_neg
20050101	458.0	-134.0	1112.0	-717.0	0.0	0.0	18.0	-4.0	5.0	-2.0	161.0	-328.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	-3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	-20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	-8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	-15.0	337.5	-64.0	3.0	0.0	215.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0
20050102	503.0	-125.0	1228.0	-1097.0	0.0	0.0	2.0	0.0	0.0	0.0	114.0	-178.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	-7.0	0.0	0.0	6.0	0.0	1.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	-33.0	348.0	-41.0	0.0	-12.0	172.0	-37.0	0.0	-20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.0	0.0
20050103	353.0	-360.0	2272.0	-1574.0	0.0	0.0	36.0	0.0	14.0	0.0	176.0	-98.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-37.0	4.0	-12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	-8.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	-8.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	-4.5	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.0	-2.0	581.5	-72.5	6.0	0.0	125.0	-10.0	0.0	0.0	0.0	0.0	0.0	-2.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20050104	632.0	-383.0	2333.0	-1490.0	0.0	0.0	0.0	0.0	29.0	-10.0	125.0	-183.0	24.0	0.0	11.5	-2.0	0.0	0.0	0.0	0.0	0.0	-18.0	0.0	-3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	-20.0	24.0	-22.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	-10.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.0	20.0	-3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	143.0	-17.0	657.5	-137.0	0.0	0.0	270.0	-45.0	0.0	0.0	0.0	0.0	0.0	0.0	124.0	-3.0	0.0	0.0	0.0	0.0	0.0	-20.0	8.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	5.0	0.0
20050105	479.0	-274.0	2448.0	-1559.0	0.0	-12.0	0.0	-3.0	0.0	-4.0	365.0	-134.0	10.0	0.0	63.0	-4.0	0.0	0.0	9.0	0.0	0.0	-4.0	4.0	-40.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	-38.0	0.0	0.0	0.0	0.0	0.0	-3.0	0.0	-8.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	-4.0	0.0	0.0	0.0	0.0	0.0	0.0	32.5	-6.0	0.0	0.0	0.0	0.0	18.0	0.0	4.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.0	-112.0	621.5	-162.5	0.0	0.0	263.0	-51.5	0.0	0.0	0.0	0.0	0.0	0.0	49.0	-14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.0	0.0	0.0	0.0	0.0	0.0	-4.0	0.0	0.0
20050106	660.0	-336.0	2090.0	-1650.0	24.0	-28.0	13.5	-14.0	0.0	-4.0	303.0	-163.0	12.0	0.0	20.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	6.0	-23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	-9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	31.0	-47.0	0.0	0.0	0.0	0.0	4.0	0.0	17.0	-5.0	0.0	0.0	0.0	0.0	9.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.5	-18.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	116.0	-37.0	679.0	-150.0	0.0	-13.0	280.0	-46.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	-13.0	0.0	0.0	0.0	0.0	0.0	-14.0	0.0	-4.0	0.0	0.0	0.0	0.0	9.0	0.0	10.0	0.0
20050107	662.0	-277.0	1720.0	-1317.0	0.0	-2.0	4.0	-8.0	0.0	0.0	83.0	-108.0	0.0	0.0	0.0	-54.0	0.0	0.0	0.0	0.0	0.0	-18.0	6.0	-16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	33.0	-14.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	-12.0	0.0	0.0	0.0	0.0	0.0	0.0	87.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	-6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.0	0.0	517.0	-104.0	38.0	-2.0	269.0	-38.0	0.0	0.0	0.0	-8.0	0.0	0.0	92.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20050108	399.0	-137.0	1792.0	-1215.0	0.0	0.0	0.0	-18.0	0.0	0.0	252.0	-260.0	0.0	0.0	16.0	-3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.0	0.0	0.0	3.0	-50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	-3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.0	-41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	-12.0	610.0	-83.0	0.0	-4.0	162.0	-92.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20050109	515.0	-106.0	1518.0	-1100.0	0.0	-2.0	6.0	0.0	0.0	-52.0	146.0	-232.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	-6.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-27.0	0.0	0.0	0.0	0.0	7.0	0.0	9.0	-18.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	-4.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	-6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	-2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124.0	-5.0	859.0	-249.5	0.0	-6.0	161.0	-41.0	2.0	0.0	0.0	0.0	0.0	0.0	18.0	-2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	-16.0
20050110	1074.0	-452.0	1988.0	-1075.0	52.0	-16.0	16.0	0.0	6.0	-84.0	151.0	-165.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	6.0	-7.0	0.0	0.0	0.0	0.0	10.0	-17.0	28.0	0.0	0.0	0.0	0.0	0.0	13.5	-9.0	63.166666666666664	0.0	4.0	0.0	0.0	0.0	0.0	-6.0	33.5	-12.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	5.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.0	-20.0	797.6666666666666	-361.0	1.0	-4.0	178.66666666666666	-59.0	2.0	0.0	0.0	0.0	0.0	0.0	191.0	-7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.5	0.0	0.0	0.0
