"Index" "A49.Open" "A49.High" "A49.Low" "A49.Close" "A49.Volume" "A49.Adjusted"
2013-01-01 1.027 1.027 1.027 1.027 0 1.027
2013-01-02 1.116 1.116 1.116 1.116 0 1.116
2013-01-03 1.176 1.176 1.176 1.176 0 1.176
2013-01-04 1.144 1.144 1.144 1.144 0 1.144
2013-01-07 1.175 1.175 1.175 1.175 0 1.175
2013-01-08 1.152 1.152 1.152 1.152 0 1.152
2013-01-09 1.149 1.149 1.149 1.149 0 1.149
2013-01-10 1.261 1.261 1.261 1.261 0 1.261
2013-01-11 1.26 1.26 1.26 1.26 0 1.26
2013-01-14 1.225 1.225 1.225 1.225 0 1.225
2013-01-15 1.204 1.204 1.204 1.204 0 1.204
2013-01-16 1.256 1.256 1.256 1.256 0 1.256
2013-01-17 1.328 1.328 1.328 1.328 0 1.328
2013-01-18 1.282 1.282 1.282 1.282 0 1.282
2013-01-21 1.282 1.282 1.282 1.282 0 1.282
2013-01-22 1.278 1.278 1.278 1.278 0 1.278
2013-01-23 1.298 1.298 1.298 1.298 0 1.298
2013-01-24 1.262 1.262 1.262 1.262 0 1.262
2013-01-25 1.251 1.251 1.251 1.251 0 1.251
2013-01-28 1.212 1.212 1.212 1.212 0 1.212
2013-01-29 1.237 1.237 1.237 1.237 0 1.237
2013-01-30 1.267 1.267 1.267 1.267 0 1.267
2013-01-31 1.238 1.238 1.238 1.238 0 1.238
2013-02-01 1.231 1.231 1.231 1.231 0 1.231
2013-02-04 1.209 1.209 1.209 1.209 0 1.209
2013-02-05 1.236 1.236 1.236 1.236 0 1.236
2013-02-06 1.222 1.222 1.222 1.222 0 1.222
2013-02-07 1.211 1.211 1.211 1.211 0 1.211
2013-02-08 1.11 1.11 1.11 1.11 0 1.11
2013-02-11 1.021 1.021 1.021 1.021 0 1.021
2013-02-12 1.003 1.003 1.003 1.003 0 1.003
2013-02-13 1.041 1.041 1.041 1.041 0 1.041
2013-02-14 1.044 1.044 1.044 1.044 0 1.044
2013-02-15 1.055 1.055 1.055 1.055 0 1.055
2013-02-18 1.021 1.021 1.021 1.021 0 1.021
2013-02-19 1.017 1.017 1.017 1.017 0 1.017
2013-02-20 0.996 0.996 0.996 0.996 0 0.996
2013-02-21 0.988 0.988 0.988 0.988 0 0.988
2013-02-22 0.97 0.97 0.97 0.97 0 0.97
2013-02-25 0.971 0.971 0.971 0.971 0 0.971
2013-02-26 0.952 0.952 0.952 0.952 0 0.952
2013-02-27 0.934 0.934 0.934 0.934 0 0.934
2013-02-28 0.932 0.932 0.932 0.932 0 0.932
2013-03-01 0.879 0.879 0.879 0.879 0 0.879
2013-03-04 0.861 0.861 0.861 0.861 0 0.861
2013-03-05 0.891 0.891 0.891 0.891 0 0.891
2013-03-06 0.905 0.905 0.905 0.905 0 0.905
2013-03-07 0.898 0.898 0.898 0.898 0 0.898
2013-03-08 0.906 0.906 0.906 0.906 0 0.906
2013-03-11 0.937 0.937 0.937 0.937 0 0.937
2013-03-12 0.93 0.93 0.93 0.93 0 0.93
2013-03-13 0.929 0.929 0.929 0.929 0 0.929
2013-03-14 0.927 0.927 0.927 0.927 0 0.927
2013-03-15 0.949 0.949 0.949 0.949 0 0.949
2013-03-18 0.934 0.934 0.934 0.934 0 0.934
2013-03-19 0.901 0.901 0.901 0.901 0 0.901
2013-03-20 0.924 0.924 0.924 0.924 0 0.924
2013-03-21 0.929 0.929 0.929 0.929 0 0.929
2013-03-22 0.932 0.932 0.932 0.932 0 0.932
2013-03-25 0.925 0.925 0.925 0.925 0 0.925
2013-03-26 0.947 0.947 0.947 0.947 0 0.947
2013-03-27 0.944 0.944 0.944 0.944 0 0.944
2013-03-28 0.94 0.94 0.94 0.94 0 0.94
