"Date" "Mid Price"
11/26/2015 26.03
11/19/2015 30.55
11/12/2015 23
11/5/2015 18.6
10/29/2015 20.59
10/22/2015 24.02
10/15/2015 27.14
10/8/2015 28.19
10/1/2015 39.92
9/24/2015 28.69
9/17/2015 29.13
9/10/2015 35.01
9/3/2015 31.67
8/27/2015 38.27
8/20/2015 33.33
8/13/2015 36.15
8/6/2015 31.66
7/30/2015 40.7
7/23/2015 25.6
7/16/2015 23.24
7/9/2015 29.18
7/2/2015 35.09
6/25/2015 21.67
6/18/2015 34.3
6/11/2015 32.58
6/4/2015 24.63
5/28/2015 25.14
5/21/2015 25
5/14/2015 26.36
5/7/2015 26.84
4/30/2015 21.95
4/23/2015 23.19
4/16/2015 22.78
4/9/2015 24.15
4/2/2015 31.96
3/26/2015 24.38
3/19/2015 31.48
3/12/2015 25.41
3/5/2015 23.36
2/26/2015 20.3
2/19/2015 17.88
2/12/2015 20.33
2/5/2015 32.42
1/29/2015 22.39
1/22/2015 30.79
1/15/2015 21.5
1/8/2015 27.7
1/1/2015 19.31
12/25/2014 18.87
12/18/2014 26.88
12/11/2014 22.34
12/4/2014 25.94
11/27/2014 20.79
11/20/2014 23.82
11/13/2014 19.31
11/6/2014 15.05
10/30/2014 21.07
10/23/2014 22.5
10/16/2014 33.7
10/9/2014 30.98
10/2/2014 30.9
9/25/2014 28.23
9/18/2014 22.98
9/11/2014 26.6
9/4/2014 23.96
8/28/2014 19.23
8/21/2014 23.65
8/14/2014 26.96
8/7/2014 38.23
7/31/2014 31.12
7/24/2014 29.94
7/17/2014 28.48
7/10/2014 28.65
7/3/2014 22.39
6/26/2014 21.09
6/19/2014 24.13
6/12/2014 21.25
6/5/2014 22.22
5/29/2014 23.2
5/22/2014 26.4
5/15/2014 22.61
5/8/2014 28.66
5/1/2014 29.45
4/24/2014 26.02
4/17/2014 34.25
4/10/2014 34.11
4/3/2014 26.79
3/27/2014 28.61
3/20/2014 26.15
3/13/2014 26.82
3/6/2014 26.63
2/27/2014 21.13
2/20/2014 22.8
2/13/2014 27.34
2/6/2014 36.41
1/30/2014 32.76
1/23/2014 23.76
1/16/2014 21.49
1/9/2014 25
1/2/2014 29.27
12/26/2013 18.54
12/19/2013 25.08
12/12/2013 25
12/5/2013 27.55
11/28/2013 28.25
11/21/2013 29.48
11/14/2013 27.47
11/7/2013 21.81
10/31/2013 21.48
10/24/2013 17.57
10/17/2013 24.92
10/10/2013 33.58
10/3/2013 30.07
9/26/2013 30.61
9/19/2013 29.7
9/12/2013 24.58
9/5/2013 31.25
8/29/2013 30.75
8/22/2013 42.86
8/15/2013 28.17
8/8/2013 26.65
8/1/2013 25
7/25/2013 22.56
7/18/2013 21.25
7/11/2013 18.3
7/4/2013 23.84
6/27/2013 35.17
6/20/2013 29.96
6/13/2013 34.59
6/6/2013 38.95
5/30/2013 29.64
5/23/2013 21.58
5/16/2013 29.34
5/9/2013 27.44
5/2/2013 35.92
4/25/2013 38.82
4/18/2013 48.22
4/11/2013 54.48
4/4/2013 28.17
3/28/2013 28.65
3/21/2013 33.33
3/14/2013 32.03
3/7/2013 38.51
2/28/2013 36.59
2/21/2013 32.5
2/14/2013 28.73
2/7/2013 29.56
1/31/2013 24.3
1/24/2013 24.27
1/17/2013 27.32
1/10/2013 26.92
1/3/2013 36.2
12/27/2012 30.22
12/20/2012 24.8
12/13/2012 30.08
12/6/2012 34.6
11/29/2012 34.36
11/22/2012 40.78
11/15/2012 48.82
11/8/2012 39.91
11/1/2012 40.98
10/25/2012 43.08
10/18/2012 44.55
10/11/2012 38.85
10/4/2012 33.23
9/27/2012 36.46
9/20/2012 33.78
9/13/2012 32.99
9/6/2012 33.06
8/30/2012 32.64
8/23/2012 25.87
8/16/2012 28.07
8/9/2012 27.35
8/2/2012 34.93
7/26/2012 43.13
7/19/2012 41.79
7/12/2012 34.73
7/5/2012 33.33
6/28/2012 44.37
6/21/2012 35.88
6/14/2012 35.79
6/7/2012 45.75
5/31/2012 42.02
5/24/2012 38.67
5/17/2012 45.97
5/10/2012 42.06
5/3/2012 28.47
4/26/2012 37.4
4/19/2012 33.84
4/12/2012 41.56
4/5/2012 27.8
3/29/2012 25.48
3/22/2012 27.81
3/15/2012 27.2
3/8/2012 29
3/1/2012 26.83
2/23/2012 27.51
2/16/2012 26.63
2/9/2012 20.19
2/2/2012 25.08
1/26/2012 18.91
1/19/2012 23.61
1/12/2012 17.18
1/5/2012 17.16
12/29/2011 30.83
12/22/2011 28.24
12/15/2011 33.64
12/8/2011 34.76
12/1/2011 39.42
11/24/2011 38.27
11/17/2011 31.04
11/10/2011 24.56
11/3/2011 29.62
10/27/2011 25
10/20/2011 34.6
10/13/2011 36.36
10/6/2011 45.71
9/29/2011 46.79
9/22/2011 48
9/15/2011 41.35
9/8/2011 40.29
9/1/2011 32.34
8/25/2011 40.96
