"Date" "Mid Price"
11/26/2015 32.36
11/19/2015 30.77
11/12/2015 34.27
11/5/2015 39
10/29/2015 40.39
10/22/2015 34.77
10/15/2015 34.08
10/8/2015 37.52
10/1/2015 28.11
9/24/2015 32.12
9/17/2015 33.26
9/10/2015 34.65
9/3/2015 32.38
8/27/2015 32.5
8/20/2015 26.82
8/13/2015 30.45
8/6/2015 24.32
7/30/2015 21.11
7/23/2015 32.54
7/16/2015 30.81
7/9/2015 27.91
7/2/2015 22.61
6/25/2015 35.56
6/18/2015 25.41
6/11/2015 20.04
6/4/2015 27.34
5/28/2015 27
5/21/2015 25.21
5/14/2015 26.74
5/7/2015 27.06
4/30/2015 30.84
4/23/2015 31.47
4/16/2015 32.07
4/9/2015 28.7
4/2/2015 35.4
3/26/2015 38.43
3/19/2015 27.16
3/12/2015 31.6
3/5/2015 39.8
2/26/2015 45.37
2/19/2015 47.02
2/12/2015 40
2/5/2015 35.49
1/29/2015 44.17
1/22/2015 37.14
1/15/2015 46.11
1/8/2015 41.01
1/1/2015 51.74
12/25/2014 50.94
12/18/2014 38.74
12/11/2014 45.02
12/4/2014 42.68
11/27/2014 52.15
11/20/2014 49.12
11/13/2014 57.93
11/6/2014 52.69
10/30/2014 49.37
10/23/2014 49.69
10/16/2014 42.66
10/9/2014 39.88
10/2/2014 35.42
9/25/2014 41.84
9/18/2014 42.24
9/11/2014 40.38
9/4/2014 44.67
8/28/2014 51.92
8/21/2014 46.11
8/14/2014 39.81
8/7/2014 30.89
7/31/2014 31.12
7/24/2014 29.63
7/17/2014 32.36
7/10/2014 37.64
7/3/2014 38.51
6/26/2014 37.22
6/19/2014 35.17
6/12/2014 44.69
6/5/2014 39.51
5/29/2014 36.46
5/22/2014 30.43
5/15/2014 33.12
5/8/2014 28.34
5/1/2014 29.77
4/24/2014 34.5
4/17/2014 27.22
4/10/2014 28.48
4/3/2014 35.36
3/27/2014 31.16
3/20/2014 36.78
3/13/2014 41.34
3/6/2014 40.51
2/27/2014 39.69
2/20/2014 42.2
2/13/2014 40.15
2/6/2014 27.9
1/30/2014 32.18
1/23/2014 38.12
1/16/2014 38.99
1/9/2014 43.62
1/2/2014 43.09
12/26/2013 55.06
