"Index" "ABH.Open" "ABH.High" "ABH.Low" "ABH.Close" "ABH.Volume" "ABH.Adjusted"
2013-01-01 84 84 84 84 0 84
2013-01-02 84 84 84 84 0 84
2013-01-03 84 84 84 84 0 84
2013-01-04 84 84 84 84 0 84
2013-01-07 84 84 84 84 0 84
2013-01-08 84 84 84 84 0 84
2013-01-09 84 84 84 84 0 84
2013-01-10 84 84 84 84 0 84
2013-01-11 84 84 84 84 0 84
2013-01-14 84 84 84 84 0 84
2013-01-15 84 84 84 84 0 84
2013-01-16 84 84 84 84 0 84
2013-01-17 84 84 84 84 0 84
2013-01-18 84 84 84 84 0 84
2013-01-21 84 84 84 84 0 84
2013-01-22 84 84 84 84 0 84
2013-01-23 84 84 84 84 0 84
2013-01-24 84 84 84 84 0 84
2013-01-25 84 84 84 84 0 84
2013-01-28 84 84 84 84 0 84
2013-01-29 84 84 84 84 0 84
2013-01-30 84 84 84 84 0 84
2013-01-31 84 84 84 84 0 84
2013-02-01 84 84 84 84 0 84
2013-02-04 84 84 84 84 0 84
2013-02-05 84 84 84 84 0 84
2013-02-06 84 84 84 84 0 84
2013-02-07 84 84 84 84 0 84
2013-02-08 84 84 84 84 0 84
2013-02-11 84 84 84 84 0 84
2013-02-12 84 84 84 84 0 84
2013-02-13 84 84 84 84 0 84
2013-02-14 84 84 84 84 0 84
2013-02-15 84 84 84 84 0 84
2013-02-18 84 84 84 84 0 84
2013-02-19 84 84 84 84 0 84
2013-02-20 84 84 84 84 0 84
2013-02-21 84 84 84 84 0 84
2013-02-22 84 84 84 84 0 84
2013-02-25 84 84 84 84 0 84
2013-02-26 84 84 84 84 0 84
2013-02-27 84 84 84 84 0 84
2013-02-28 84 84 84 84 0 84
2013-03-01 84 84 84 84 0 84
2013-03-04 84 84 84 84 0 84
2013-03-05 84 84 84 84 0 84
2013-03-06 84 84 84 84 0 84
2013-03-07 84 84 84 84 0 84
2013-03-08 84 84 84 84 0 84
2013-03-11 84 84 84 84 0 84
2013-03-12 84 84 84 84 0 84
2013-03-13 84 84 84 84 0 84
2013-03-14 84 84 84 84 0 84
2013-03-15 84 84 84 84 0 84
2013-03-18 84 84 84 84 0 84
2013-03-19 84 84 84 84 0 84
2013-03-20 84 84 84 84 0 84
2013-03-21 84 84 84 84 0 84
2013-03-22 84 84 84 84 0 84
2013-03-25 84 84 84 84 0 84
2013-03-26 84 84 84 84 0 84
2013-03-27 84 84 84 84 0 84
2013-03-28 84 84 84 84 0 84
2013-03-29 84 84 84 84 0 84
2013-04-01 84 84 84 84 0 84
2013-04-02 84 84 84 84 0 84
2013-04-03 84 84 84 84 0 84
2013-04-04 84 84 84 84 0 84
2013-04-05 84 84 84 84 0 84
2013-04-08 84 84 84 84 0 84
2013-04-09 84 84 84 84 0 84
2013-04-10 84 84 84 84 0 84
2013-04-11 84 84 84 84 0 84
2013-04-12 84 84 84 84 0 84
2013-04-15 84 84 84 84 0 84
2013-04-16 84 84 84 84 0 84
2013-04-17 84 84 84 84 0 84
2013-04-18 84 84 84 84 0 84
2013-04-19 84 84 84 84 0 84
2013-04-22 84 84 84 84 0 84
2013-04-23 84 84 84 84 0 84
2013-04-24 84 84 84 84 0 84
2013-04-25 84 84 84 84 0 84
2013-04-26 84 84 84 84 0 84
2013-04-29 84 84 84 84 0 84
2013-04-30 84 84 84 84 0 84
2013-05-01 84 84 84 84 0 84
2013-05-02 84 84 84 84 0 84
2013-05-03 84 84 84 84 0 84
2013-05-06 84 84 84 84 0 84
2013-05-07 84 84 84 84 0 84
2013-05-08 84 84 84 84 0 84
2013-05-09 84 84 84 84 0 84
2013-05-10 84 84 84 84 0 84
2013-05-13 84 84 84 84 0 84
2013-05-14 84 84 84 84 0 84
2013-05-15 84 84 84 84 0 84
2013-05-16 84 84 84 84 0 84
2013-05-17 84 84 84 84 0 84
2013-05-20 84 84 84 84 0 84
2013-05-21 84 84 84 84 0 84
2013-05-22 84 84 84 84 0 84
2013-05-23 84 84 84 84 0 84
2013-05-24 84 84 84 84 0 84
2013-05-27 84 84 84 84 0 84
2013-05-28 84 84 84 84 0 84
2013-05-29 84 84 84 84 0 84
2013-05-30 84 84 84 84 0 84
2013-05-31 84 84 84 84 0 84
2013-06-03 84 84 84 84 0 84
2013-06-04 84 84 84 84 0 84
2013-06-05 84 84 84 84 0 84
2013-06-06 84 84 84 84 0 84
2013-06-07 84 84 84 84 0 84
2013-06-10 84 84 84 84 0 84
2013-06-11 84 84 84 84 0 84
2013-06-12 84 84 84 84 0 84
2013-06-13 84 84 84 84 0 84
2013-06-14 84 84 84 84 0 84
2013-06-17 84 84 84 84 0 84
2013-06-18 84 84 84 84 0 84
2013-06-19 84 84 84 84 0 84
2013-06-20 84 84 84 84 0 84
2013-06-21 84 84 84 84 0 84
2013-06-24 84 84 84 84 0 84
2013-06-25 84 84 84 84 0 84
2013-06-26 84 84 84 84 0 84
2013-06-27 84 84 84 84 0 84
2013-06-28 84 84 84 84 0 84
2013-07-01 84 84 84 84 0 84
2013-07-02 84 84 84 84 0 84
2013-07-03 84 84 84 84 0 84
2013-07-04 84 84 84 84 0 84
2013-07-05 84 84 84 84 0 84
2013-07-08 84 84 84 84 0 84
