"Index" "ACM.Open" "ACM.High" "ACM.Low" "ACM.Close" "ACM.Volume" "ACM.Adjusted"
2013-01-02 24.01 24.73 23.950001 24.709999 846000 24.709999
2013-01-03 24.559999 24.57 24.26 24.309999 545900 24.309999
2013-01-04 24.299999 24.360001 24.129999 24.280001 812900 24.280001
2013-01-07 24.07 24.4 24.040001 24.280001 508900 24.280001
2013-01-08 24.16 24.57 24.16 24.530001 844400 24.530001
2013-01-09 24.620001 24.77 24.469999 24.719999 646600 24.719999
2013-01-10 24.719999 24.92 24.6 24.82 652400 24.82
2013-01-11 24.719999 24.940001 24.620001 24.879999 544700 24.879999
2013-01-14 24.82 24.969999 24.67 24.709999 790100 24.709999
2013-01-15 24.58 25.25 24.559999 25.219999 611700 25.219999
2013-01-16 25.129999 25.15 24.879999 24.93 333900 24.93
2013-01-17 25 25.280001 24.83 25.049999 664800 25.049999
2013-01-18 25 25.280001 24.93 25.16 632300 25.16
2013-01-22 24.99 25.459999 24.809999 25.459999 894100 25.459999
2013-01-23 25.389999 25.469999 25.25 25.280001 655300 25.280001
2013-01-24 25.280001 25.6 25.030001 25.49 559800 25.49
2013-01-25 25.6 25.629999 25.379999 25.51 925800 25.51
2013-01-28 25.549999 25.799999 25.440001 25.799999 751200 25.799999
2013-01-29 25.700001 25.84 25.639999 25.75 771900 25.75
2013-01-30 25.76 25.82 25.530001 25.57 628500 25.57
2013-01-31 25.5 25.58 25.299999 25.57 962500 25.57
2013-02-01 25.41 25.870001 25.41 25.67 565200 25.67
2013-02-04 25.57 25.82 25.120001 25.309999 1114900 25.309999
2013-02-05 25.82 27.65 25.549999 27.26 2563100 27.26
2013-02-06 27.15 27.790001 27.07 27.76 1185800 27.76
2013-02-07 27.5 28.07 27.41 27.950001 1910100 27.950001
2013-02-08 28.27 30 28.25 28.84 2815200 28.84
2013-02-11 28.629999 28.969999 28.360001 28.610001 1545600 28.610001
2013-02-12 28.68 29.4 28.639999 29.4 1431000 29.4
2013-02-13 29.4 30.15 29.25 30.040001 2086400 30.040001
