"Index" "AKG.Open" "AKG.High" "AKG.Low" "AKG.Close" "AKG.Volume" "AKG.Adjusted"
2013-01-02 4.05 4.1 4 4.04 104300 4.04
2013-01-03 4.09 4.09 3.96 4 137900 4
2013-01-04 3.97 4.04 3.89 3.93 209700 3.93
2013-01-07 3.93 4 3.93 3.99 61800 3.99
2013-01-08 4 4.04 3.98 4.03 97100 4.03
2013-01-09 4.02 4.16 4 4.13 143000 4.13
2013-01-10 4.11 4.18 4.01 4.01 111700 4.01
2013-01-11 4 4.06 3.9 3.94 101100 3.94
2013-01-14 3.94 3.98 3.86 3.88 141300 3.88
2013-01-15 3.9 3.99 3.9 3.99 41200 3.99
2013-01-16 3.97 4 3.9 3.91 74800 3.91
2013-01-17 3.91 3.93 3.84 3.88 77400 3.88
2013-01-18 3.87 4 3.85 4 75400 4
2013-01-22 3.96 4.04 3.94 4 136500 4
2013-01-23 4.02 4.02 3.8 3.83 140300 3.83
2013-01-24 3.79 3.81 3.68 3.72 136700 3.72
2013-01-25 3.69 3.75 3.63 3.7 185200 3.7
2013-01-28 3.7 3.71 3.62 3.71 84700 3.71
2013-01-29 3.72 3.78 3.66 3.7 66900 3.7
2013-01-30 3.73 3.79 3.64 3.65 105600 3.65
2013-01-31 3.65 3.7 3.6 3.67 75600 3.67
2013-02-01 3.67 3.71 3.62 3.65 131800 3.65
2013-02-04 3.65 3.68 3.61 3.64 76700 3.64
2013-02-05 3.64 3.76 3.6 3.74 121800 3.74
2013-02-06 3.73 3.73 3.48 3.49 286200 3.49
2013-02-07 3.46 3.47 3.35 3.37 192600 3.37
2013-02-08 3.35 3.37 3.29 3.32 97200 3.32
2013-02-11 3.29 3.29 3.11 3.22 144200 3.22
2013-02-12 3.22 3.34 3.2 3.25 157400 3.25
2013-02-13 3.22 3.26 3.19 3.21 73500 3.21
2013-02-14 3.2 3.3 3.2 3.24 514700 3.24
2013-02-15 3.2 3.22 3.04 3.08 186900 3.08
2013-02-19 2.99 3.21 2.83 3.18 316200 3.18
2013-02-20 3.12 3.18 3.04 3.1 184900 3.1
2013-02-21 3.07 3.24 3.05 3.19 116400 3.19
2013-02-22 3.19 3.19 3.08 3.14 89400 3.14
2013-02-25 3.17 3.22 3.12 3.17 108200 3.17
2013-02-26 3.18 3.2 3.08 3.18 73400 3.18
2013-02-27 3.16 3.17 3.09 3.15 61600 3.15
2013-02-28 3.15 3.17 3.05 3.09 466900 3.09
2013-03-01 3.12 3.21 3.06 3.14 71100 3.14
2013-03-04 3.1 3.3 3.05 3.12 108500 3.12
2013-03-05 3.13 3.44 3.13 3.36 160000 3.36
2013-03-06 3.43 3.57 3.37 3.49 133800 3.49
2013-03-07 3.5 3.58 3.41 3.41 108600 3.41
2013-03-08 3.24 3.44 3.13 3.27 170300 3.27
2013-03-11 3.21 3.37 3.21 3.34 71200 3.34
2013-03-12 3.38 3.5 3.36 3.48 111700 3.48
2013-03-13 3.48 3.55 3.34 3.4 102600 3.4
2013-03-14 3.35 3.6 3.35 3.55 68300 3.55
2013-03-15 3.53 3.65 3.31 3.31 897900 3.31
2013-03-18 3.35 3.55 3.35 3.52 69500 3.52
2013-03-19 3.54 3.61 3.47 3.53 106500 3.53
2013-03-20 3.53 3.55 3.46 3.52 52800 3.52
2013-03-21 3.49 3.56 3.47 3.5 41500 3.5
2013-03-22 3.5 3.52 3.43 3.47 58800 3.47
2013-03-25 3.46 3.47 3.37 3.37 30800 3.37
2013-03-26 3.37 3.39 3.27 3.31 76400 3.31
2013-03-27 3.28 3.3 3.2 3.28 175400 3.28
2013-03-28 3.27 3.29 3.19 3.29 55900 3.29
2013-04-01 3.27 3.27 3.19 3.21 41300 3.21
2013-04-02 3.21 3.21 3.03 3.05 80900 3.05
2013-04-03 3.04 3.07 2.75 2.82 173400 2.82
2013-04-04 2.82 2.87 2.71 2.83 167700 2.83
2013-04-05 2.8 2.94 2.79 2.92 95200 2.92
2013-04-08 2.9 2.99 2.84 2.93 109000 2.93
2013-04-09 2.95 3.09 2.9 3.01 67500 3.01
2013-04-10 3 3 2.73 2.75 112100 2.75
2013-04-11 2.8 2.86 2.71 2.8 65000 2.8
2013-04-12 2.72 2.75 2.41 2.57 204200 2.57
2013-04-15 2.36 2.52 2.34 2.44 267900 2.44
2013-04-16 2.49 2.59 2.33 2.36 342100 2.36
2013-04-17 2.34 2.43 2.2 2.28 333900 2.28
2013-04-18 2.38 2.38 2.16 2.31 233800 2.31
2013-04-19 2.41 2.59 2.29 2.54 214100 2.54
2013-04-22 2.61 2.61 2.5 2.55 114600 2.55
2013-04-23 2.53 2.64 2.45 2.5 126000 2.5
2013-04-24 2.53 2.63 2.45 2.61 70500 2.61
2013-04-25 2.69 2.78 2.59 2.74 194800 2.74
2013-04-26 2.77 2.78 2.64 2.64 91100 2.64
2013-04-29 2.67 2.74 2.56 2.6 95700 2.6
2013-04-30 2.6 2.6 2.48 2.59 114400 2.59
2013-05-01 2.56 2.57 2.4 2.57 82100 2.57
2013-05-02 2.57 2.64 2.47 2.5 86300 2.5
2013-05-03 2.45 2.57 2.41 2.53 151100 2.53
2013-05-06 2.5 2.56 2.37 2.4 199200 2.4
2013-05-07 2.37 2.4 2.35 2.38 148600 2.38
2013-05-08 2.38 2.47 2.37 2.47 189500 2.47
2013-05-09 2.44 2.52 2.41 2.41 88100 2.41
2013-05-10 2.37 2.48 2.3 2.41 73200 2.41
2013-05-13 2.43 2.43 2.35 2.41 58800 2.41
2013-05-14 2.28 2.49 2.21 2.43 190000 2.43
2013-05-15 2.41 2.49 2.33 2.33 64200 2.33
2013-05-16 2.33 2.41 2.29 2.36 53600 2.36
2013-05-17 2.35 2.35 2.28 2.3 158600 2.3
2013-05-20 2.3 2.48 2.28 2.44 203900 2.44
2013-05-21 2.42 2.42 2.3 2.36 106300 2.36
2013-05-22 2.36 2.5 2.34 2.39 97200 2.39
2013-05-23 2.43 2.49 2.38 2.45 122300 2.45
2013-05-24 2.4 2.53 2.4 2.5 62700 2.5
2013-05-28 2.43 2.43 2.38 2.41 88900 2.41
2013-05-29 2.4 2.62 2.38 2.62 144900 2.62
2013-05-30 2.65 2.72 2.56 2.72 133400 2.72
2013-05-31 2.69 2.69 2.53 2.61 173300 2.61
2013-06-03 2.6 2.73 2.5 2.68 141900 2.68
2013-06-04 2.64 2.71 2.59 2.68 125000 2.68
2013-06-05 2.65 2.77 2.65 2.71 77700 2.71
2013-06-06 2.73 2.84 2.71 2.8 83600 2.8
2013-06-07 2.73 2.79 2.6 2.63 77300 2.63
2013-06-10 2.63 2.68 2.58 2.58 37400 2.58
2013-06-11 2.53 2.61 2.53 2.56 39600 2.56
2013-06-12 2.57 2.64 2.54 2.55 55000 2.55
2013-06-13 2.58 2.58 2.45 2.58 60600 2.58
2013-06-14 2.56 2.58 2.46 2.49 37600 2.49
2013-06-17 2.49 2.5 2.33 2.38 154700 2.38
2013-06-18 2.31 2.34 2.25 2.31 143200 2.31
2013-06-19 2.32 2.37 2.26 2.26 62400 2.26
2013-06-20 2.2 2.22 2.05 2.07 195700 2.07
2013-06-21 2.11 2.16 1.98 2.1 821000 2.1
2013-06-24 2.01 2.07 1.94 1.94 165600 1.94
2013-06-25 1.95 2.01 1.94 1.95 80600 1.95
2013-06-26 1.9 1.98 1.9 1.92 116400 1.92
2013-06-27 1.99 2.09 1.98 2.01 95000 2.01
2013-06-28 2.05 2.22 2.05 2.1 180700 2.1
2013-07-01 2.18 2.32 2.18 2.21 92700 2.21
2013-07-02 2.18 2.2 2.13 2.17 202900 2.17
2013-07-03 2.16 2.26 2.12 2.17 56800 2.17
2013-07-05 2.14 2.2 2.1 2.2 207800 2.2
2013-07-08 2.2 2.23 2.15 2.15 40800 2.15
2013-07-09 2.21 2.24 2.11 2.11 120300 2.11
2013-07-10 2.11 2.31 2.11 2.29 135200 2.29
2013-07-11 2.37 2.39 2.28 2.31 130000 2.31
2013-07-12 2.28 2.34 2.28 2.3 30200 2.3
2013-07-15 2.31 2.35 2.31 2.31 37900 2.31
2013-07-16 2.35 2.6 2.33 2.54 257700 2.54
2013-07-17 2.6 2.6 2.46 2.52 146300 2.52
2013-07-18 2.51 2.54 2.48 2.5 88100 2.5
2013-07-19 2.53 2.66 2.53 2.64 81200 2.64
2013-07-22 2.73 2.85 2.72 2.83 166200 2.83
2013-07-23 2.83 2.96 2.7 2.96 139500 2.96
2013-07-24 2.93 2.96 2.63 2.75 240700 2.75
2013-07-25 2.73 2.83 2.71 2.77 136900 2.77
2013-07-26 2.72 2.78 2.64 2.73 70900 2.73
2013-07-29 2.75 2.79 2.63 2.7 120900 2.7
2013-07-30 2.7 2.7 2.55 2.65 82900 2.65
2013-07-31 2.62 2.64 2.47 2.53 102000 2.53
2013-08-01 2.48 2.56 2.46 2.54 69000 2.54
2013-08-02 2.54 2.59 2.45 2.48 80100 2.48
2013-08-05 2.46 2.51 2.4 2.43 29300 2.43
2013-08-06 2.41 2.5 2.36 2.38 84100 2.38
2013-08-07 2.37 2.39 2.32 2.33 49100 2.33
2013-08-08 2.36 2.48 2.33 2.44 68800 2.44
2013-08-09 2.47 2.65 2.45 2.64 110600 2.64
2013-08-12 2.72 2.9 2.68 2.76 182400 2.76
2013-08-13 2.77 2.97 2.72 2.87 93600 2.87
2013-08-14 2.97 3.1 2.88 3.07 201700 3.07
2013-08-15 3.06 3.23 2.95 3.21 200600 3.21
2013-08-16 3.23 3.23 3.02 3.13 90900 3.13
2013-08-19 3.14 3.14 2.95 2.98 118400 2.98
2013-08-20 2.99 3.05 2.9 2.98 87300 2.98
2013-08-21 2.96 2.96 2.86 2.91 96500 2.91
2013-08-22 2.92 2.93 2.86 2.92 79900 2.92
2013-08-23 2.9 2.97 2.89 2.95 178200 2.95
2013-08-26 2.98 3.03 2.85 2.88 150100 2.88
2013-08-27 2.97 3.01 2.88 2.91 288100 2.91
2013-08-28 2.92 3.02 2.86 2.92 121500 2.92
2013-08-29 2.91 3.06 2.82 2.97 60200 2.97
2013-08-30 2.95 2.98 2.84 2.84 44600 2.84
2013-09-03 2.89 2.93 2.82 2.82 61500 2.82
2013-09-04 2.8 2.84 2.77 2.84 52100 2.84
2013-09-05 2.8 2.84 2.7 2.73 50700 2.73
2013-09-06 2.83 2.93 2.83 2.83 55400 2.83
2013-09-09 2.83 2.87 2.79 2.83 29500 2.83
2013-09-10 2.77 2.85 2.75 2.76 44700 2.76
2013-09-11 2.77 2.79 2.72 2.75 39800 2.75
