"Index" "AR.Open" "AR.High" "AR.Low" "AR.Close" "AR.Volume" "AR.Adjusted"
2013-10-10 54.150002 55.02 51.560001 52.009998 29240900 52.009998
2013-10-11 52.259998 55.439999 51.849998 53.299999 3245300 53.299999
2013-10-14 53.18 56.5 53 55.639999 1018700 55.639999
2013-10-15 56.380001 57.669998 55.869999 57.060001 1566100 57.060001
2013-10-16 57.400002 57.799999 55.98 57.560001 2233300 57.560001
2013-10-17 57.5 57.619999 53.900002 54.900002 1985800 54.900002
2013-10-18 55.299999 56.560001 52.91 55.130001 1017200 55.130001
2013-10-21 55 55.48 54.619999 55.130001 849200 55.130001
2013-10-22 54.700001 56.009998 53.849998 54.349998 1071600 54.349998
2013-10-23 53.25 55 53.119999 54.82 781600 54.82
2013-10-24 54.82 55.450001 54.48 55.200001 629700 55.200001
2013-10-25 55.049999 56.52 54.310001 56.380001 536900 56.380001
2013-10-28 56 57.150002 55.59 57 518900 57
2013-10-29 57 57.220001 56.040001 56.330002 1172600 56.330002
2013-10-30 55.849998 57.080002 55.549999 56.84 979300 56.84
2013-10-31 56.5 57.759998 56.02 56.490002 396100 56.490002
2013-11-01 56.75 57 54.509998 55.150002 987600 55.150002
2013-11-04 56.950001 57.119999 54.23 54.98 810100 54.98
2013-11-05 55.990002 56 54.580002 55.189999 521300 55.189999
2013-11-06 55.959999 56.060001 54.880001 55.040001 719300 55.040001
2013-11-07 54.700001 54.700001 53.310001 54 1566500 54
2013-11-08 56.720001 56.720001 54 55.639999 708700 55.639999
2013-11-11 55.150002 55.849998 54.16 54.279999 646400 54.279999
2013-11-12 54.279999 55.060001 53.599998 54.240002 523700 54.240002
2013-11-13 54.48 54.48 53.77 54.07 433100 54.07
2013-11-14 54.040001 54.130001 53.360001 53.799999 362400 53.799999
2013-11-15 54 54.52 53.400002 53.52 384200 53.52
2013-11-18 53.639999 54.150002 51.830002 52.060001 395600 52.060001
2013-11-19 52 52.990002 51.889999 52.700001 569800 52.700001
2013-11-20 52.549999 53.279999 51.970001 52.669998 383800 52.669998
2013-11-21 52.75 53.779999 52.41 53.490002 349800 53.490002
2013-11-22 54.759998 55.98 54.099998 55.400002 910900 55.400002
2013-11-25 55.450001 55.450001 54.43 55.18 48800 55.18
2013-11-26 55.060001 55.619999 54.950001 55.099998 409900 55.099998
2013-11-27 55.119999 56.330002 54.849998 54.860001 253700 54.860001
2013-11-29 55.139999 55.709999 54.66 54.900002 92400 54.900002
2013-12-02 54.84 55.139999 52.720001 54.23 623300 54.23
2013-12-03 54.34 55.060001 53.720001 54.34 885400 54.34
2013-12-04 54 54.93 53.82 54.400002 769200 54.400002
2013-12-05 54.279999 55.009998 54 54.689999 741700 54.689999
2013-12-06 54.990002 55.77 54.16 54.18 733400 54.18
2013-12-09 53.110001 54.709999 53.099998 54.299999 575200 54.299999
2013-12-10 55.740002 58.23 55.740002 56.84 2043800 56.84
2013-12-11 57 57.48 55.91 56.049999 1287800 56.049999
2013-12-12 55.900002 56.98 55.389999 56.68 815700 56.68
2013-12-13 57.060001 57.07 56.259998 56.41 551600 56.41
2013-12-16 56.799999 57.240002 56.34 56.57 712700 56.57
2013-12-17 56.709999 58.82 56.349998 58.459999 787400 58.459999
2013-12-18 58.560001 59.57 58.150002 59.540001 1041000 59.540001
2013-12-19 60.349998 60.990002 58.939999 59 927200 59
2013-12-20 59.389999 60.25 58.369999 59.91 3382100 59.91
2013-12-23 59.810001 60.529999 58.540001 60.330002 967200 60.330002
2013-12-24 60.240002 61.16 60.240002 61.080002 272200 61.080002
2013-12-26 61.369999 62.029999 60.560001 61 242800 61
2013-12-27 61.259998 62.459999 60.720001 62.380001 318900 62.380001
2013-12-30 62.27 63.189999 61.860001 62.25 423600 62.25
2013-12-31 62.509998 63.57 61.34 63.439999 510200 63.439999
2014-01-02 63.150002 63.209999 60.07 60.98 1022400 60.98
2014-01-03 61.279999 61.380001 59.650002 60.720001 524600 60.720001
2014-01-06 60.810001 60.810001 58 58.950001 687600 58.950001
2014-01-07 58.75 59.099998 56.549999 57.290001 1084400 57.290001
2014-01-08 57.52 58.369999 56.810001 57.939999 680600 57.939999
2014-01-09 58.259998 58.450001 54.790001 56.099998 1136100 56.099998
2014-01-10 56.060001 56.380001 54.779999 55.130001 637900 55.130001
2014-01-13 55.07 55.439999 53.610001 54.450001 1125300 54.450001
2014-01-14 54.560001 55.599998 54.099998 55.369999 550100 55.369999
2014-01-15 55.639999 56.939999 55.080002 56.029999 973500 56.029999
2014-01-16 56.5 57.560001 56.099998 57.049999 867700 57.049999
2014-01-17 57.27 57.84 56.369999 56.509998 688300 56.509998
2014-01-21 58.299999 58.299999 56.34 57.200001 658800 57.200001
2014-01-22 57.5 58.27 57.330002 58.18 542900 58.18
2014-01-23 58.18 58.700001 57.52 58.52 766500 58.52
2014-01-24 57.970001 58.720001 55.009998 57.990002 1273300 57.990002
2014-01-27 58.09 58.41 56.669998 57.02 795800 57.02
2014-01-28 57.950001 59.639999 57.580002 58.959999 755400 58.959999
2014-01-29 58.310001 60.029999 57.599998 59.860001 725100 59.860001
2014-01-30 59.990002 60 58 58.869999 1405100 58.869999
2014-01-31 58.34 59.43 57.470001 58.740002 437700 58.740002
2014-02-03 59.119999 59.259998 56.869999 57.529999 372700 57.529999
2014-02-04 57.759998 58.43 56.080002 57.580002 1137300 57.580002
2014-02-05 57.32 58.119999 56.5 56.779999 627100 56.779999
2014-02-06 57 57.700001 56.560001 57.049999 1391200 57.049999
2014-02-07 58.290001 58.290001 55.330002 55.68 1050300 55.68
2014-02-10 55.700001 56.25 55.099998 55.419998 597500 55.419998
2014-02-11 55.34 57.07 55.25 56.73 558100 56.73
2014-02-12 57.150002 57.57 56.389999 56.75 565200 56.75
