"Index" "BB.Open" "BB.High" "BB.Low" "BB.Close" "BB.Volume" "BB.Adjusted"
2014-11-03 55 55 55 55 0 55
2014-11-04 55 55 55 55 0 55
2014-11-05 55 55 55 55 0 55
2014-11-06 55 55 55 55 0 55
2014-11-07 55 55 55 55 0 55
2014-11-10 55 55 55 55 0 55
2014-11-11 55 55 55 55 0 55
2014-11-12 55 55 55 55 0 55
2014-11-13 55 55 55 55 0 55
2014-11-14 55 55 55 55 0 55
2014-11-17 55 55 55 55 0 55
2014-11-18 55 55 55 55 0 55
2014-11-19 10 10 10 10 1500 10
2014-11-20 10 10 10 10 0 10
2014-11-21 10 10 10 10 0 10
2014-11-24 10 10 10 10 0 10
2014-11-25 10 10 10 10 0 10
2014-11-26 10.02 10.02 10.02 10.02 1500 10.02
2014-11-27 10.02 10.02 10.02 10.02 0 10.02
2014-11-28 10.02 10.02 10.02 10.02 0 10.02
2014-12-01 10.02 10.02 10.02 10.02 0 10.02
2014-12-02 10.02 10.02 10.02 10.02 0 10.02
2014-12-03 10.02 10.02 10.02 10.02 0 10.02
2014-12-04 10.02 10.02 10.02 10.02 0 10.02
2014-12-05 10.02 10.02 10.02 10.02 0 10.02
2014-12-08 10.02 10.02 10.02 10.02 0 10.02
2014-12-09 10.02 10.02 10.02 10.02 0 10.02
2014-12-10 10.07 10.07 10.07 10.07 1500 10.07
2014-12-11 10.07 10.07 10.07 10.07 0 10.07
2014-12-12 9.74 9.835 9.725 9.725 4500 9.725
2014-12-15 9.725 9.725 9.725 9.725 0 9.725
2014-12-16 9.725 9.725 9.725 9.725 0 9.725
2014-12-17 9.725 9.725 9.725 9.725 0 9.725
2014-12-18 9.725 9.725 9.725 9.725 0 9.725
2014-12-19 9.725 9.725 9.1 9.23 11200 9.23
2014-12-22 9.23 9.23 9.23 9.23 0 9.23
2014-12-23 9.23 9.23 9.23 9.23 0 9.23
2014-12-24 9.23 9.23 9.23 9.23 0 9.23
2014-12-25 9.23 9.23 9.23 9.23 0 9.23
