"Index" "BFR.Open" "BFR.High" "BFR.Low" "BFR.Close" "BFR.Volume" "BFR.Adjusted"
2013-01-02 5.23 5.28 5.07 5.24 110200 5.24
2013-01-03 5.23 5.38 5.15 5.21 106000 5.21
2013-01-04 5.19 5.25 5.08 5.11 52500 5.11
2013-01-07 5.14 5.27 5.11 5.19 85000 5.19
2013-01-08 5.15 5.21 5.03 5.11 39900 5.11
2013-01-09 5.13 5.13 5.05 5.09 48700 5.09
2013-01-10 5.06 5.2 5 5.13 76500 5.13
2013-01-11 5.12 5.25 4.89 5.21 243500 5.21
2013-01-14 5.21 5.27 5.06 5.12 101900 5.12
2013-01-15 5.05 5.07 4.91 4.94 47500 4.94
2013-01-16 4.93 5.07 4.92 4.99 64600 4.99
2013-01-17 5.02 5.11 4.98 5.08 46800 5.08
2013-01-18 5 5.08 4.88 4.93 105200 4.93
2013-01-22 4.9 5.14 4.9 5.11 96900 5.11
2013-01-23 5.18 5.2 4.98 5.03 49000 5.03
2013-01-24 5 5.02 4.92 4.97 23500 4.97
2013-01-25 4.94 5.01 4.91 4.91 63100 4.91
2013-01-28 4.91 5 4.75 4.8 122200 4.8
2013-01-29 4.79 4.94 4.69 4.9 91300 4.9
2013-01-30 4.87 4.99 4.66 4.73 80500 4.73
2013-01-31 4.68 4.75 4.6 4.74 56800 4.74
2013-02-01 4.72 4.89 4.72 4.88 73300 4.88
2013-02-04 4.8 4.8 4.54 4.63 227100 4.63
2013-02-05 4.61 4.69 4.56 4.68 72900 4.68
2013-02-06 4.61 4.66 4.51 4.64 38800 4.64
2013-02-07 4.6 4.65 4.5 4.6 120700 4.6
2013-02-08 4.59 4.67 4.58 4.66 97000 4.66
2013-02-11 4.7 4.84 4.7 4.79 47000 4.79
2013-02-12 4.77 4.95 4.77 4.85 36400 4.85
2013-02-13 4.83 4.9 4.7 4.77 57500 4.77
2013-02-14 4.72 4.88 4.7 4.87 24000 4.87
2013-02-15 4.85 4.85 4.67 4.81 42100 4.81
2013-02-19 4.75 4.8 4.63 4.68 91000 4.68
2013-02-20 4.65 4.69 4.5 4.5 77800 4.5
2013-02-21 4.5 4.55 4.15 4.32 246500 4.32
2013-02-22 4.31 4.61 4.25 4.43 209400 4.43
2013-02-25 4.44 4.5 4.3 4.3 81700 4.3
2013-02-26 4.29 4.38 4.19 4.24 100800 4.24
2013-02-27 4.23 4.48 4.23 4.48 36200 4.48
2013-02-28 4.34 4.34 3.97 4.04 252200 4.04
2013-03-01 3.99 4.24 3.98 4.19 105500 4.19
2013-03-04 4.13 4.28 4.09 4.27 58600 4.27
2013-03-05 4.28 4.49 4.28 4.39 66000 4.39
2013-03-06 4.42 4.47 4.34 4.45 22800 4.45
2013-03-07 4.4 4.5 4.36 4.45 73400 4.45
2013-03-08 4.48 4.53 4.38 4.45 28600 4.45
2013-03-11 4.44 4.44 4.32 4.42 37400 4.42
2013-03-12 4.35 4.45 4.25 4.3 87700 4.3
2013-03-13 4.25 4.39 4.2 4.39 55200 4.39
2013-03-14 4.35 4.45 4.32 4.44 28400 4.44
2013-03-15 4.47 4.47 4.38 4.45 30300 4.45
2013-03-18 4.36 4.45 4.31 4.41 37400 4.41
2013-03-19 4.42 4.42 4.2 4.3 39300 4.3
2013-03-20 4.3 4.36 4.2 4.25 36900 4.25
2013-03-21 4.17 4.42 4.17 4.37 94800 4.37
2013-03-22 4.36 4.43 4.21 4.27 79400 4.27
2013-03-25 4.3 4.4 4.25 4.3 40900 4.3
2013-03-26 4.3 4.33 4.22 4.22 45700 4.22
2013-03-27 4.23 4.28 4.18 4.28 35800 4.28
2013-03-28 4.27 4.27 4.15 4.15 45200 4.15
2013-04-01 4.16 4.18 4.05 4.08 28500 4.08
2013-04-02 4.07 4.07 3.98 4.04 80900 4.04
2013-04-03 3.99 4.12 3.98 4.11 30900 4.11
2013-04-04 4.13 4.2 4.11 4.16 36300 4.16
2013-04-05 4.05 4.1 4.02 4.07 12200 4.07
2013-04-08 4.04 4.33 4.02 4.27 56200 4.27
2013-04-09 4.34 4.49 4.32 4.35 37300 4.35
2013-04-10 4.34 4.39 4.24 4.28 40200 4.28
2013-04-11 4.26 4.27 4.2 4.26 31400 4.26
2013-04-12 4.21 4.21 4.1 4.12 23700 4.12
2013-04-15 4.1 4.11 4 4.03 43700 4.03
2013-04-16 4.03 4.08 3.98 4.06 46900 4.06
2013-04-17 3.98 4 3.9 3.94 44900 3.94
2013-04-18 3.92 3.95 3.85 3.92 33900 3.92
2013-04-19 3.92 3.98 3.84 3.92 21600 3.92
2013-04-22 3.9 4.05 3.9 4.04 25000 4.04
2013-04-23 4.12 4.25 4 4.14 254800 4.14
