"Index" "BH.Open" "BH.High" "BH.Low" "BH.Close" "BH.Volume" "BH.Adjusted"
2013-01-02 397.00034 399.000342 390.690318 397.02034 7900 342.279864
2013-01-03 397.530358 398.290359 392.470355 392.710355 6000 338.564132
2013-01-04 393.000338 406.490329 390.000335 403.54038 4100 347.900932
2013-01-07 406.820347 407.900348 390.010353 398.910359 9600 343.90929
2013-01-08 398.270323 402.980309 395.010321 400.850361 5500 345.581808
2013-01-09 403.000344 403.000344 398.180341 399.99036 6400 344.840382
2013-01-10 404.990328 404.990328 395.280339 399.99036 5800 344.840382
2013-01-11 402.360344 404.560345 398.000341 400.840343 5700 345.573171
2013-01-14 401.650361 404.800346 395.090321 397.050358 5700 342.305743
2013-01-15 396.40034 397.630323 391.580301 394.480339 9400 340.090073
2013-01-16 397.00034 397.00034 391.000336 394.050321 3800 339.719345
2013-01-17 396.42034 400.000342 392.190355 400.000342 4500 344.848988
2013-01-18 397.920341 403.000344 396.00034 399.460307 7200 344.383412
2013-01-22 404.250327 404.990328 398.020341 400.900343 7300 345.624898
2013-01-23 400.440343 402.500344 398.030323 399.850324 3800 344.719655
2013-01-24 401.380343 403.350362 398.020341 402.080344 4700 346.642203
2013-01-25 403.000344 403.000344 397.500341 397.820341 3900 342.969562
2013-01-28 396.250322 396.28034 372.010306 373.990307 18800 322.425172
2013-01-29 391.990355 391.990355 368.060285 370.41034 15800 319.338804
2013-01-30 368.920321 372.500324 366.000284 369.420322 8100 318.485288
2013-01-31 368.000321 371.980288 366.62032 368.880321 7000 318.019742
2013-02-01 370.670305 372.500324 368.860321 369.990304 3200 318.976682
2013-02-04 370.000287 370.000287 365.000319 365.410336 7100 315.028193
2013-02-05 367.50032 371.480323 365.120319 367.48032 83300 316.812771
2013-02-06 366.96032 372.500324 365.110301 371.400323 61800 320.19229
2013-02-07 371.400323 371.990341 366.470302 368.110338 4600 317.355923
2013-02-08 370.000287 372.500324 367.010302 367.22032 6900 316.588619
2013-02-11 369.800286 372.500324 365.100319 368.970304 7300 318.097318
2013-02-12 368.000321 370.220322 366.300319 367.310338 2500 316.666225
2013-02-13 369.230304 370.940323 365.160319 365.200319 6500 314.847132
2013-02-14 365.710301 368.500321 365.100319 367.780285 2800 317.071377
2013-02-15 369.410339 377.410345 366.030302 375.790308 9500 323.976992
2013-02-19 375.200325 378.980328 375.200325 376.990309 4800 325.011539
2013-02-20 384.990314 390.690318 378.000327 378.120327 14500 325.985752
2013-02-21 380.000329 391.930319 380.000329 384.570314 10900 331.546426
2013-02-22 388.540334 391.970319 382.010348 383.250313 6400 330.408424
2013-02-25 386.000333 389.990318 373.020324 373.830307 7000 322.287232
2013-02-26 376.260326 386.550315 374.350307 380.900329 4700 328.382452
