"Index" "BK.Open" "BK.High" "BK.Low" "BK.Close" "BK.Volume" "BK.Adjusted"
2013-01-02 26.25 26.889999 26.129999 26.879999 9261200 25.444629
2013-01-03 26.860001 26.860001 26.41 26.58 6790800 25.160649
2013-01-04 26.43 27.32 26.27 27.290001 9072900 25.832737
2013-01-07 26.690001 26.91 26.299999 26.889999 6789200 25.454095
2013-01-08 26.799999 26.809999 26.379999 26.52 4763100 25.103854
2013-01-09 26.639999 26.92 26.469999 26.610001 5192500 25.189048
2013-01-10 26.879999 27 26.65 26.83 9802100 25.397299
2013-01-11 26.73 26.799999 26.42 26.780001 5467200 25.34997
2013-01-14 26.67 26.790001 26.48 26.719999 4898800 25.293173
2013-01-15 26.629999 26.9 26.58 26.780001 8425700 25.34997
2013-01-16 25.790001 26.200001 25.620001 26.040001 12347800 24.649486
2013-01-17 25.82 26.58 25.719999 26.440001 9632600 25.028126
2013-01-18 26.4 26.57 26.110001 26.530001 9711600 25.11332
2013-01-22 26.43 27 26.43 26.98 8868400 25.539289
2013-01-23 26.809999 27 26.76 26.93 7358000 25.49196
2013-01-24 26.809999 27.120001 26.799999 27.01 6878400 25.691711
2013-01-25 27.07 27.190001 26.85 27.08 5311600 25.758294
2013-01-28 27.15 27.26 26.84 27.09 8052700 25.767807
2013-01-29 26.92 27.280001 26.889999 27.280001 5887800 25.948534
2013-01-30 27.15 27.450001 27.030001 27.309999 4757800 25.977068
2013-01-31 27.200001 27.33 27.08 27.16 5717700 25.83439
2013-02-01 27.309999 27.67 27.200001 27.35 5355400 26.015117
2013-02-04 27.059999 27.35 27 27.190001 6636200 25.862926
2013-02-05 27.26 27.5 27.16 27.389999 5645500 26.053164
2013-02-06 27.209999 27.65 27.1 27.65 5456300 26.300474
2013-02-07 27.67 27.860001 27.5 27.809999 7343100 26.452665
2013-02-08 27.799999 28 27.76 27.9 6185900 26.538272
2013-02-11 27.83 27.940001 27.6 27.93 4296800 26.566808
2013-02-12 27.76 28 27.65 27.9 5801700 26.538272
2013-02-13 27.959999 28.450001 27.93 28.17 7482200 26.795094
2013-02-14 28.1 28.209999 28.030001 28.1 4819000 26.728511
2013-02-15 28.16 28.360001 27.799999 27.99 5952200 26.623879
2013-02-19 28.1 28.26 27.959999 28.24 5138000 26.861678
2013-02-20 28.200001 28.26 27.82 27.860001 4998700 26.500225
2013-02-21 27.84 27.860001 27.200001 27.32 4828300 25.98658
2013-02-22 27.58 27.66 27.42 27.629999 4116900 26.28145
2013-02-25 27.799999 27.879999 26.82 26.82 5871000 25.510984
2013-02-26 26.98 27.120001 26.67 27.07 5813200 25.748782
2013-02-27 27.030001 27.459999 26.9 27.4 4790900 26.062676
2013-02-28 27.4 27.5 27.120001 27.139999 7027000 25.815365
2013-03-01 26.99 27.35 26.74 27.200001 5707500 25.872438
2013-03-04 27.16 27.59 27.09 27.58 3701500 26.233891
2013-03-05 27.82 28.01 27.74 27.84 4401100 26.481201
2013-03-06 28.030001 28.200001 27.73 27.75 6376700 26.395593
2013-03-07 27.82 28.08 27.77 28.01 5108800 26.642904
2013-03-08 28.219999 28.65 28.18 28.52 5928100 27.128012
2013-03-11 28.4 28.709999 28.18 28.629999 3581200 27.232642
2013-03-12 28.559999 28.719999 28.49 28.610001 3928000 27.21362
2013-03-13 28.629999 28.969999 28.57 28.870001 4212000 27.46093
2013-03-14 28.92 29.129999 28.82 28.99 4715300 27.575072
2013-03-15 28.860001 29.07 28.52 28.85 11031400 27.441906
2013-03-18 28.290001 28.48 28.27 28.360001 6457600 26.975822
2013-03-19 28.469999 28.620001 28.07 28.209999 5373800 26.833141
2013-03-20 28.4 28.629999 28.15 28.26 5977100 26.880702
2013-03-21 28.1 28.23 27.809999 27.85 3527500 26.490713
2013-03-22 27.959999 28.379999 27.940001 28.27 4370800 26.890214
2013-03-25 28.32 28.48 28.08 28.190001 4117900 26.814119
2013-03-26 28.299999 28.48 28.209999 28.309999 3729100 26.928261
2013-03-27 28.120001 28.120001 27.77 27.9 5716400 26.538272
2013-03-28 27.92 28.07 27.76 27.99 4983500 26.623879
2013-04-01 27.91 28.23 27.690001 27.870001 4327000 26.509737
2013-04-02 27.93 28.139999 27.9 28.120001 3906700 26.747536
2013-04-03 28.190001 28.190001 27.379999 27.43 6493500 26.091212
2013-04-04 27.49 27.75 27.389999 27.469999 6988900 26.129259
2013-04-05 27.02 27.41 26.85 27.360001 4520200 26.024629
2013-04-08 27.33 27.530001 27.15 27.5 3902600 26.157795
2013-04-09 27.58 27.879999 27.450001 27.709999 3789200 26.357545
2013-04-10 27.780001 28.639999 27.780001 28.620001 5887400 27.223132
2013-04-11 28.66 29.02 28.43 28.65 5491000 27.251666
2013-04-12 28.370001 28.700001 28.360001 28.450001 3960700 27.061429
2013-04-15 28.35 28.360001 27.32 27.33 6900700 25.996093
2013-04-16 27.6 27.83 27.33 27.76 6656800 26.405106
2013-04-17 27.09 27.450001 26.76 27.190001 9781300 25.862926
2013-04-18 27.280001 27.379999 26.639999 26.700001 7224100 25.396842
2013-04-19 26.870001 27.01 26.639999 26.99 9328800 25.672687
2013-04-22 27.030001 27.280001 26.790001 27.15 6208900 25.824878
2013-04-23 27.370001 27.59 27.16 27.540001 7338200 26.195844
2013-04-24 27.610001 27.92 27.549999 27.85 5652500 26.490713
2013-04-25 27.83 28.07 27.690001 27.780001 5174000 26.567221
2013-04-26 27.74 27.950001 27.629999 27.889999 4628600 26.672417
2013-04-29 27.790001 28.15 27.790001 28.08 4004600 26.854123
2013-04-30 28.120001 28.299999 27.889999 28.219999 4418400 26.98801
2013-05-01 28.129999 28.219999 27.620001 27.700001 5966200 26.490713
2013-05-02 27.809999 28.16 27.73 27.940001 4498400 26.720235
2013-05-03 28.280001 28.5 28.23 28.379999 4615000 27.141025
2013-05-06 28.370001 28.58 28.15 28.200001 5561100 26.968885
2013-05-07 28.309999 28.469999 28.08 28.41 3209100 27.169716
2013-05-08 28.379999 28.42 28.1 28.389999 5380700 27.150589
2013-05-09 28.389999 28.469999 28.17 28.18 4233000 26.949758
2013-05-10 28.200001 28.309999 28.1 28.290001 4998100 27.054956
2013-05-13 28.219999 28.969999 28.15 28.82 6582400 27.561817
2013-05-14 28.85 30 28.790001 29.950001 8576700 28.642486
2013-05-15 29.9 30.299999 29.709999 30.209999 5947200 28.891134
2013-05-16 30.030001 30.26 29.74 29.860001 5211700 28.556415
2013-05-17 29.93 30.559999 29.93 30.440001 4725400 29.111094
2013-05-20 30.4 30.639999 30.309999 30.41 4487200 29.082403
2013-05-21 30.41 30.6 30.040001 30.09 5835500 28.776373
2013-05-22 30.110001 30.52 29.67 29.780001 6735700 28.479907
2013-05-23 29.43 29.82 29.299999 29.639999 4426700 28.346018
2013-05-24 29.43 29.530001 29.24 29.51 6447900 28.221694
2013-05-28 29.9 30.389999 29.85 30.09 7443300 28.776373
2013-05-29 29.860001 30.440001 29.84 30.09 6523700 28.776373
2013-05-30 30.17 30.790001 30.040001 30.549999 7036400 29.216291
2013-05-31 30.48 30.85 30.059999 30.059999 6363600 28.747682
2013-06-03 30.16 30.450001 29.610001 30.209999 5188200 28.891134
2013-06-04 30.209999 30.49 29.790001 29.9 4186700 28.594668
2013-06-05 29.809999 29.879999 28.969999 29.01 6283400 27.743523
2013-06-06 29.01 29.530001 28.68 29.51 6893400 28.221694
2013-06-07 29.76 29.92 29.450001 29.85 7610700 28.546851
2013-06-10 30.02 30.459999 29.809999 30.16 7818400 28.843317
2013-06-11 29.870001 30.030001 29.459999 29.49 3858800 28.202567
2013-06-12 29.74 29.790001 29.040001 29.059999 3672100 27.791339
2013-06-13 28.99 29.51 28.889999 29.48 4946500 28.193003
2013-06-14 29.48 29.59 29.059999 29.129999 2798600 27.858283
