"Index" "CB.Open" "CB.High" "CB.Low" "CB.Close" "CB.Volume" "CB.Adjusted"
2013-01-02 76.620003 76.919998 76.010002 76.900002 1552500 72.582954
2013-01-03 76.790001 77.360001 76.489998 77.209999 1564400 72.875549
2013-01-04 77.349998 78.18 77.139999 78.059998 1103600 73.67783
2013-01-07 77.629997 77.839996 77.019997 77.209999 916200 72.875549
2013-01-08 77.050003 77.260002 75.989998 76.089996 2114000 71.818421
2013-01-09 76.279999 76.919998 76.220001 76.739998 1163500 72.431933
2013-01-10 77.239998 77.720001 76.879997 77.580002 1341500 73.22478
2013-01-11 77.639999 77.870003 77.160004 77.779999 834500 73.41355
2013-01-14 77.709999 78.059998 77.5 77.970001 618200 73.592886
2013-01-15 77.150002 78.239998 76.790001 78.150002 1783400 73.762781
2013-01-16 78.099998 79.120003 78 78.739998 1760600 74.319656
2013-01-17 78.800003 79.360001 78.110001 78.93 1078900 74.498992
2013-01-18 78.889999 79.099998 78.519997 79.029999 1248200 74.593377
2013-01-22 79.57 80.989998 79.57 80.900002 1912000 76.3584
2013-01-23 80.690002 80.889999 80.209999 80.410004 1288800 75.89591
2013-01-24 80.550003 81.239998 80.489998 80.739998 1019700 76.207379
2013-01-25 81.029999 81.040001 80.300003 81.010002 1061900 76.462226
2013-01-28 80.970001 80.980003 80.25 80.449997 965900 75.933658
2013-01-29 80.449997 81.25 80.25 81.089996 1233800 76.537729
2013-01-30 80.910004 80.970001 80.25 80.449997 1334500 75.933658
2013-01-31 80.300003 81.5 80.300003 80.309998 2027700 75.801518
2013-02-01 83.650002 85 81.919998 82.889999 4020200 78.236683
2013-02-04 82.440002 82.760002 82.209999 82.330002 2289700 77.708123
2013-02-05 82.639999 83.300003 82.629997 83.160004 1563900 78.491529
2013-02-06 82.660004 83.529999 82.290001 83.519997 1191400 78.831313
2013-02-07 83.879997 83.889999 82.900002 83.360001 1314700 78.680299
2013-02-08 83.190002 83.470001 83.019997 83.440002 1057800 78.75581
2013-02-11 83.239998 83.779999 83.040001 83.470001 692900 78.784124
2013-02-12 83.489998 83.889999 83.300003 83.589996 1024300 78.897383
2013-02-13 83.580002 83.760002 83.330002 83.650002 1158600 78.95402
2013-02-14 83.540001 83.889999 83.300003 83.519997 1126300 78.831313
2013-02-15 83.779999 83.830002 83.480003 83.769997 1067100 79.067278
2013-02-19 83.709999 83.900002 83.260002 83.720001 1302700 79.02009
2013-02-20 83.650002 84 83.300003 83.309998 930200 78.633103
2013-02-21 83.32 84.459999 83.269997 84.150002 1794100 79.42595
2013-02-22 84.449997 84.720001 84.300003 84.57 1351700 79.82237
2013-02-25 84.919998 84.919998 82.849998 82.849998 1375800 78.198927
2013-02-26 83.110001 83.650002 83.010002 83.589996 1374800 78.897383
