"Index" "CHL.Open" "CHL.High" "CHL.Low" "CHL.Close" "CHL.Volume" "CHL.Adjusted"
2013-01-02 59.150002 59.73 59.130001 59.529999 745700 53.37722
2013-01-03 59.34 59.34 58.950001 59.029999 739400 52.928898
2013-01-04 58.599998 58.740002 58.459999 58.68 634000 52.615073
2013-01-07 57.639999 57.75 57.52 57.68 848400 51.718429
2013-01-08 57.529999 57.540001 56.869999 56.900002 1095800 51.019048
2013-01-09 57.209999 57.48 57.119999 57.299999 630700 51.377704
2013-01-10 58.139999 58.860001 58.049999 58.75 909400 52.677838
2013-01-11 58.200001 58.360001 58 58.189999 755400 52.175716
2013-01-14 58.34 58.419998 57.84 57.939999 726100 51.951555
2013-01-15 57.509998 57.549999 56.950001 57.060001 834800 51.162511
2013-01-16 56.59 56.880001 56.41 56.75 532500 50.88455
2013-01-17 56.27 56.509998 56.029999 56.23 1096500 50.418295
2013-01-18 56.52 56.68 56.419998 56.560001 690300 50.714189
2013-01-22 56.150002 56.5 55.310001 55.689999 928900 49.934106
2013-01-23 55.990002 56.130001 55.43 55.639999 1174700 49.889275
2013-01-24 54.810001 55.32 54.700001 55.150002 947300 49.449921
2013-01-25 54.470001 54.52 53.700001 53.810001 1492000 48.248418
2013-01-28 54.110001 54.279999 53.830002 53.970001 789000 48.391881
2013-01-29 54.700001 55.220001 54.66 55.060001 658900 49.369223
2013-01-30 55.029999 55.080002 54.709999 54.759998 792200 49.100227
2013-01-31 54.700001 54.959999 54.580002 54.700001 601800 49.046431
2013-02-01 54.860001 55.18 54.700001 54.950001 652900 49.270592
2013-02-04 54.740002 54.77 54.400002 54.41 651500 48.786403
2013-02-05 54.700001 54.880001 54.5 54.740002 457900 49.082297
2013-02-06 54.799999 54.98 54.639999 54.900002 420100 49.22576
2013-02-07 54.919998 55.09 54.68 54.950001 648300 49.270592
2013-02-08 55.349998 55.630001 55.209999 55.32 468600 49.602349
2013-02-11 55.419998 55.450001 55.099998 55.099998 247400 49.405086
2013-02-12 55.130001 55.5 54.970001 55.439999 346000 49.709945
2013-02-13 55.459999 55.740002 55.439999 55.599998 565700 49.853408
2013-02-14 55.27 55.369999 55.119999 55.34 547000 49.620282
2013-02-15 55.43 55.43 55.07 55.099998 423700 49.405086
2013-02-19 55.02 55.349998 55.009998 55.240002 406900 49.530619
2013-02-20 55.279999 55.34 54.900002 55.009998 542400 49.324388
2013-02-21 55.18 55.290001 54.740002 54.950001 619500 49.270592
2013-02-22 55.220001 55.610001 55.220001 55.529999 460100 49.790643
2013-02-25 55.599998 55.84 54.919998 54.919998 521600 49.24369
2013-02-26 54.950001 55.119999 54.77 55.049999 373200 49.360255
2013-02-27 54.860001 55.220001 54.77 55.150002 524500 49.449921
2013-02-28 55.259998 55.259998 54.799999 54.799999 694700 49.136094
2013-03-01 54.5 54.720001 54.220001 54.720001 1007900 49.064364
2013-03-04 54.049999 54.369999 54.009998 54.279999 489400 48.669838
2013-03-05 54.189999 54.5 54.02 54.32 583800 48.705705
2013-03-06 53.950001 53.990002 53.360001 53.810001 785400 48.248418
2013-03-07 53.860001 54.049999 53.830002 53.91 451300 48.338081
2013-03-08 54.290001 54.860001 54.16 54.650002 838400 49.001599
2013-03-11 54.509998 54.84 54.389999 54.599998 503500 48.956764
2013-03-12 54.360001 54.360001 53.950001 54.040001 627100 48.454646
2013-03-13 53.849998 53.869999 53.189999 53.369999 893600 47.853892
2013-03-14 53.779999 54.419998 53.779999 53.950001 1070100 48.373947
2013-03-15 53.220001 53.439999 52.75 53.18 1482600 47.683531
2013-03-18 52.450001 52.740002 52.220001 52.700001 933900 47.253142
2013-03-19 52.09 52.290001 51.740002 52.200001 2973500 46.80482
2013-03-20 52.619999 53.029999 52.549999 53.029999 1358600 47.549033
2013-03-21 52.84 53.360001 52.779999 53.16 1409200 47.665598
2013-03-22 52.869999 52.869999 52.599998 52.75 655000 47.297974
2013-03-25 52.860001 53.07 52.709999 52.880001 589700 47.414539
2013-03-26 52.830002 53 52.700001 52.91 443300 47.441437
2013-03-27 52.889999 53.150002 52.869999 53.110001 284400 47.620766
2013-03-28 53.029999 53.200001 52.900002 53.130001 270900 47.6387
2013-04-01 53.16 53.360001 52.970001 53.02 436700 47.540068
2013-04-02 53.34 53.389999 53.110001 53.369999 412400 47.853892
2013-04-03 53.349998 53.619999 53.200001 53.290001 792900 47.782163
2013-04-04 53.25 53.41 53.080002 53.259998 456800 47.755261
