"Index" "CIN.Open" "CIN.High" "CIN.Low" "CIN.Close" "CIN.Volume" "CIN.Adjusted"
2013-01-01 4.17 4.17 4.17 4.17 0 2.32528
2013-01-02 4.24999 4.24999 3.911 3.911 0 2.18085
2013-01-03 4.00001 4.231 4.00001 4.231 300 2.35929
2013-01-04 4.29101 4.348 4.29101 4.348 300 2.42454
2013-01-07 4.1 4.1 4.1 4.1 1500 2.28624
2013-01-08 4.3 4.54999 4.281 4.54999 600 2.53717
2013-01-09 4.54999 4.54999 4.4 4.447 3300 2.47974
2013-01-10 4.447 4.447 4.447 4.447 0 2.47974
2013-01-11 4.216 4.216 4.216 4.216 0 2.35093
2013-01-14 4.239 4.239 4.239 4.239 0 2.36375
2013-01-15 4.239 4.239 4.239 4.239 0 2.36375
2013-01-16 4.041 4.041 4.041 4.041 0 2.25334
2013-01-17 4.05 4.05 4.05 4.05 0 2.25836
2013-01-18 4.05 4.05 4.05 4.05 0 2.25836
2013-01-21 4.05 4.05 4.05 4.05 900 2.25836
2013-01-22 4.13801 4.13801 4.13801 4.13801 0 2.30744
2013-01-23 4.3 4.3 4.3 4.3 1500 2.39777
2013-01-24 4.01 4.01 4.01 4.01 0 2.23606
2013-01-25 4.08401 4.08401 4.08401 4.08401 0 2.27732
2013-01-28 4.01 4.01 4.01 4.01 0 2.23606
2013-01-29 4.05 4.05 3.87101 3.87101 4500 2.15855
2013-01-30 3.82 3.82 3.82 3.82 0 2.13011
2013-01-31 3.82 3.82 3.82 3.82 0 2.13011
2013-02-01 3.82 3.82 3.82 3.82 0 2.13011
2013-02-04 3.82 3.82 3.82 3.82 0 2.13011
2013-02-05 3.82 3.82 3.82 3.82 0 2.13011
2013-02-06 3.978 3.978 3.978 3.978 0 2.21821
2013-02-07 3.82 3.82 3.82 3.82 0 2.13011
2013-02-08 3.82 3.82 3.82 3.82 0 2.13011
2013-02-11 3.82 3.82 3.82 3.82 0 2.13011
2013-02-12 3.82 3.82 3.82 3.82 0 2.13011
2013-02-13 3.82 3.82 3.82 3.82 0 2.13011
2013-02-14 3.82 3.82 3.82 3.82 0 2.13011
2013-02-15 3.82 3.82 3.82 3.82 0 2.13011
2013-02-18 3.85 3.85 3.85 3.85 0 2.14684
2013-02-19 3.85 3.85 3.70001 3.70001 1500 2.0632
2013-02-20 3.70001 3.70001 3.70001 3.70001 0 2.0632
2013-02-21 3.70001 3.70001 3.70001 3.70001 0 2.0632
2013-02-22 3.70001 3.70001 3.70001 3.70001 0 2.0632
2013-02-25 3.70001 3.70001 3.70001 3.70001 0 2.0632
2013-02-26 3.70001 3.70001 3.70001 3.70001 0 2.0632
2013-02-27 3.804 3.804 3.804 3.804 0 2.12119
2013-02-28 3.70001 3.70001 3.70001 3.70001 0 2.0632
2013-03-01 3.75 3.75 3.75 3.75 0 2.09108
2013-03-04 3.75 3.75 3.75 3.75 1500 2.09108
2013-03-05 3.37999 3.37999 3.37999 3.37999 200 1.88475
2013-03-06 3.35 3.35 3.35 3.35 0 1.86803
2013-03-07 3.35 3.49999 3.35 3.49999 300 1.95167
2013-03-08 3.49999 3.49999 3.49999 3.49999 0 1.95167
2013-03-11 3.49999 3.49999 3.49999 3.49999 0 1.95167
2013-03-12 3.51 3.51 3.51 3.51 0 1.95725
2013-03-13 3.51 3.51 3.49999 3.49999 3000 1.95167
2013-03-14 3.22601 3.22601 3.22601 3.22601 0 1.79889
