"Index" "CL.Open" "CL.High" "CL.Low" "CL.Close" "CL.Volume" "CL.Adjusted"
2013-01-02 105.610001 106.309998 105.230003 106.309998 4150200 49.752115
2013-01-03 106.190002 106.849998 105.989998 106.660004 2959600 49.915915
2013-01-04 106.690002 108.059998 106.68 107.900002 2504800 50.496223
2013-01-07 107.269997 107.269997 105.849998 106.080002 2803600 49.644479
2013-01-08 105.910004 106.32 105.75 106.32 1771200 49.756796
2013-01-09 106.349998 106.639999 105.889999 106.129997 1967800 49.667877
2013-01-10 106.300003 107.389999 106.050003 107.389999 2521600 50.257546
2013-01-11 107.559998 107.919998 106.980003 107.089996 2032000 50.117147
2013-01-14 107.309998 108.120003 107 107.93 1464400 50.510262
2013-01-15 107.300003 107.910004 106.809998 107.739998 2236000 50.421342
2013-01-16 107.400002 107.989998 107.019997 107.830002 1461000 50.463463
2013-01-17 108.349998 109.290001 108.18 108.940002 1881200 50.982934
2013-01-18 108.760002 109.010002 108.230003 109.010002 2743200 51.015693
2013-01-22 108.040001 108.459999 107.739998 108.459999 2610400 51.04864
2013-01-23 108.220001 108.870003 107.940002 108.809998 2253200 51.213373
2013-01-24 109.290001 110.129997 109.269997 109.769997 3297000 51.665214
2013-01-25 110.019997 110.419998 109.400002 110.150002 2874600 51.84407
2013-01-28 110.190002 110.470001 109.239998 110.150002 3188000 51.84407
2013-01-29 109.959999 111 109.419998 110.910004 3249400 52.201778
2013-01-30 110.970001 111.370003 110.480003 110.849998 2889600 52.173536
2013-01-31 108.139999 111.080002 106.739998 107.370003 9270000 50.535614
2013-02-01 108.839996 109.93 108.470001 109.839996 4831800 51.69816
2013-02-04 108.839996 109.400002 108.639999 108.730003 3299000 51.175722
2013-02-05 109.470001 110.120003 109.260002 109.459999 4633600 51.519308
2013-02-06 109.169998 109.879997 108.400002 109.809998 4342200 51.684041
2013-02-07 109.82 110.209999 109.330002 110.190002 3165600 51.862897
2013-02-08 110.050003 110.849998 108.419998 108.489998 7647200 51.062759
2013-02-11 108.160004 108.959999 107.629997 108.290001 3744200 50.968627
2013-02-12 108.400002 108.480003 107.790001 108.050003 2875600 50.855668
2013-02-13 108.269997 108.330002 107.370003 107.900002 3292400 50.785067
