"Index" "CNH.Open" "CNH.High" "CNH.Low" "CNH.Close" "CNH.Volume" "CNH.Adjusted"
2013-01-01 40.29 40.29 40.29 40.29 0 37.4039
2013-01-02 41.63 43.26 41.35 43.01 828000 39.9291
2013-01-03 42.92 43.35 41.7201 42.8 1196300 39.7341
2013-01-04 42.35 42.56 41.93 42.21 485900 39.1864
2013-01-07 41.98 43.11 41.5 42.27 399600 39.2421
2013-01-08 42.42 43.07 41.68 41.9 699000 38.8986
2013-01-09 42.17 43.07 42.17 42.96 475800 39.8827
2013-01-10 43.92 44.39 43.87 44.38 498600 41.2009
2013-01-11 44.39 45.04 44.27 44.52 506900 41.3309
2013-01-14 44.52 44.79 44.1 44.22 395600 41.0524
2013-01-15 44.09 44.44 44.09 44.23 208700 41.0617
2013-01-16 44.05 44.29 43.89 44.12 259200 40.9596
2013-01-17 44.46 44.94 44.46 44.69 221000 41.4887
2013-01-18 44.6 44.6 43.97 44.46 203000 41.2752
2013-01-21 44.46 44.46 44.46 44.46 0 41.2752
2013-01-22 45.81 46.6 45.78 46.51 454600 43.1784
2013-01-23 46.96 47.37 46.38 46.55 496100 43.2155
2013-01-24 46.26 46.92 45.77 46.46 290800 43.1319
2013-01-25 47.92 47.92 46.88 47.54 349300 44.1346
2013-01-28 48 48.375 47.9175 48.07 317400 44.6266
2013-01-29 47.6 47.94 47.48 47.75 315200 44.3295
2013-01-30 47.5 48.76 47.33 48.31 852500 44.8494
2013-01-31 47.85 48.1 46.72 47.74 854400 44.3203
2013-02-01 48.57 48.57 47.75 48.02 338900 44.5802
2013-02-04 47.1 47.1 46.139 46.42 429900 43.0948
2013-02-05 46.49 46.815 46.2838 46.65 512600 43.3083
2013-02-06 46.45 47.52 46.4 47.36 438100 43.9675
2013-02-07 47.45 47.94 46.69 47.51 682300 44.1067
2013-02-08 47.58 47.95 47.22 47.83 319600 44.4038
2013-02-11 47.39 47.83 46.97 47.66 331000 44.246
2013-02-12 47.5 47.84 46.82 47.79 353800 44.3667
2013-02-13 47.77 48.19 47.5 47.6 205100 44.1903
2013-02-14 46.86 47.45 46.86 47.41 139300 44.0139
2013-02-15 47.34 47.47 46.84 46.95 140300 43.5868
2013-02-18 46.95 46.95 46.95 46.95 0 43.5868
2013-02-19 46.95 47.45 46.35 47.1 528700 43.9132
2013-02-20 47.41 47.54 45.65 45.71 369700 42.6172
2013-02-21 45.4 45.41 44.56 44.81 276700 41.7781
2013-02-22 45.05 45.22 44.48 44.71 341100 41.6849
2013-02-25 45.1 46.29 42.965 43.04 582600 40.1279
2013-02-26 43.7 44.33 43.46 44.15 389400 41.1628
2013-02-27 43.74 44.58 43.4944 44.34 341800 41.3399
2013-02-28 44.32 45 44.17 44.3 253900 41.3026
2013-03-01 43.39 43.53 42.6 43.51 417700 40.5661
2013-03-04 42.99 42.99 41.75 42.84 440800 39.9414
2013-03-05 43.31 44.94 43.31 44.72 413500 41.6942
2013-03-06 43.83 44.49 43.83 44.29 573000 41.2933
2013-03-07 44.2 44.98 43 43.21 751500 40.2864
2013-03-08 44.21 44.49 43.12 43.68 753800 40.7246
2013-03-11 44.5 44.74 43.58 43.67 1109000 40.7152
2013-03-12 43.54 43.86 43.31 43.6 532300 40.65
2013-03-13 43.31 44.07 42.764 43.96 602900 40.9856
2013-03-14 43.83 44.08 43.34 44.05 650300 41.0695
2013-03-15 43.63 43.68 42.05 42.1 3864700 39.2515
2013-03-18 41.65 42 41.05 41.2 796800 38.4124
2013-03-19 41.4 41.6 40.21 40.45 805900 37.7131
2013-03-20 40.79 40.94 40.45 40.6 438300 37.853
2013-03-21 40.3 40.65 40.03 40.25 275200 37.5266
2013-03-22 40.95 41.65 40.07 40.99 427000 38.2166
2013-03-25 41.13 41.13 40.08 40.19 312500 37.4707
2013-03-26 40.84 41.17 40.63 41.03 330800 38.2539
2013-03-27 40.57 41.31 40.57 41.26 391200 38.4683
2013-03-28 41.03 41.47 40.84 41.32 430200 38.5242
2013-03-29 41.32 41.32 41.32 41.32 0 38.5242
2013-04-01 41.4 41.4 40.5801 40.68 187000 37.9275
2013-04-02 40.95 41.27 40.61 40.95 507900 38.1793
2013-04-03 40.76 41.02 40.382 40.87 524800 38.1047
