"Index" "CPC.Open" "CPC.High" "CPC.Low" "CPC.Close" "CPC.Volume" "CPC.Adjusted"
2013-01-01 0.02 0.02 0.02 0.02 0 0.0172
2013-01-02 0.02 0.02 0.02 0.02 0 0.0172
2013-01-03 0.02 0.02 0.02 0.02 0 0.0172
2013-01-04 0.02 0.02 0.02 0.02 500 0.0172
2013-01-07 0.02 0.02 0.02 0.02 0 0.0172
2013-01-08 0.02 0.02 0.02 0.02 0 0.0172
2013-01-09 0.02 0.02 0.02 0.02 0 0.0172
2013-01-10 0.02 0.02 0.02 0.02 0 0.0172
2013-01-11 0.02 0.02 0.02 0.02 0 0.0172
2013-01-14 0.02 0.02 0.02 0.02 200 0.0172
2013-01-15 0.02 0.02 0.02 0.02 0 0.0172
2013-01-16 0.02 0.02 0.02 0.02 0 0.0172
2013-01-17 0.02 0.02 0.02 0.02 0 0.0172
2013-01-18 0.02 0.02 0.02 0.02 0 0.0172
2013-01-21 0.02 0.02 0.02 0.02 0 0.0172
2013-01-22 0.02 0.02 0.02 0.02 9200 0.0172
2013-01-23 0.02 0.02 0.02 0.02 0 0.0172
2013-01-24 0.02 0.02 0.02 0.02 0 0.0172
2013-01-25 0.02 0.02 0.02 0.02 0 0.0172
2013-01-28 0.02 0.02 0.02 0.02 0 0.0172
2013-01-29 0.02 0.02 0.02 0.02 0 0.0172
2013-01-30 0.02 0.02 0.02 0.02 0 0.0172
2013-01-31 0.02 0.02 0.02 0.02 600 0.0172
2013-02-01 0.02 0.02 0.02 0.02 0 0.0172
2013-02-04 0.02 0.02 0.02 0.02 13300 0.0172
2013-02-05 0.02 0.02 0.02 0.02 0 0.0172
2013-02-06 0.02 0.02 0.02 0.02 0 0.0172
2013-02-07 0.02 0.02 0.02 0.02 1600 0.0172
2013-02-08 0.05 0.05 0.05 0.05 50000 0.0431
2013-02-11 0.02 0.02 0.02 0.02 0 0.0172
2013-02-12 0.02 0.02 0.02 0.02 500 0.0172
2013-02-13 0.02 0.02 0.02 0.02 0 0.0172
2013-02-14 0.02 0.02 0.02 0.02 0 0.0172
2013-02-15 0.02 0.02 0.02 0.02 0 0.0172
2013-02-18 0.02 0.02 0.02 0.02 0 0.0172
2013-02-19 0.02 0.02 0.02 0.02 0 0.0172
2013-02-20 0.02 0.02 0.01 0.01 2800 0.0086
2013-02-21 0.01 0.01 0.01 0.01 0 0.0086
2013-02-22 0.01 0.02 0.01 0.02 3000 0.0172
2013-02-25 0.02 0.02 0.02 0.02 39300 0.0172
2013-02-26 0.02 0.02 0.02 0.02 0 0.0172
