"Index" "CS.Open" "CS.High" "CS.Low" "CS.Close" "CS.Volume" "CS.Adjusted"
2013-01-02 25.210001 25.280001 24.999999 25.280001 1897300 23.339431
2013-01-03 25.269997 25.420003 25.100003 25.159999 3006000 23.228641
2013-01-04 25.440001 25.810003 25.389999 25.790005 1686500 23.810286
2013-01-07 26.310001 26.480007 26.259999 26.430005 1722300 24.401157
2013-01-08 26.570005 26.619997 26.250005 26.389997 1566800 24.364221
2013-01-09 26.730005 26.970001 26.619997 26.790001 1561500 24.733519
2013-01-10 27.450001 27.699999 27.309999 27.590001 2476900 25.472109
2013-01-11 27.360001 27.599995 27.219999 27.489997 1424300 25.379781
2013-01-14 27.750001 27.910001 27.579997 27.820003 1729400 25.684455
2013-01-15 27.640003 28.019999 27.530005 27.910001 1682800 25.767544
2013-01-16 27.760007 28.109999 27.690005 27.910001 2583900 25.767544
2013-01-17 28.140003 28.339999 28.100005 28.160001 2388200 25.998354
2013-01-18 28.390001 28.490005 28.129997 28.460003 1963300 26.275327
2013-01-22 28.699997 28.990005 28.640001 28.879996 2062500 26.663079
2013-01-23 28.379997 28.539997 28.219997 28.350005 2266700 26.173772
2013-01-24 28.960001 29.380005 28.929997 29.139999 3321000 26.903124
2013-01-25 29.400003 29.659998 29.360007 29.639999 2486800 27.364743
2013-01-28 29.650003 29.729998 29.370001 29.429997 2052700 27.170861
2013-01-29 29.060005 29.459999 29.060005 29.409997 1591100 27.152396
2013-01-30 29.210001 29.269997 29.030001 29.069999 2839000 26.838498
2013-01-31 29.339997 29.639999 29.240003 29.540005 2422100 27.272424
2013-02-01 30.080001 30.400001 29.920001 30.259999 1812900 27.93715
2013-02-04 29.040007 29.080003 28.370003 28.589999 2793600 26.395344
2013-02-05 29.150005 29.429997 29.089997 29.330003 1961500 27.078543
2013-02-06 29.100003 29.610005 29.089997 29.549999 1704000 27.281651
2013-02-07 29.240003 29.310005 28.280003 28.359999 3607400 26.182999
2013-02-08 29.100003 29.170003 28.810005 29.100003 2291000 26.866198
2013-02-11 29.159999 29.190001 28.920003 29.069999 1073900 26.838498
2013-02-12 29.170003 29.499997 29.109997 29.370001 827800 27.11547
2013-02-13 29.429997 29.549999 29.210001 29.299999 1022800 27.050842
2013-02-14 28.999999 29.249997 28.949997 29.139999 1056000 26.903124
2013-02-15 29.109997 29.159999 28.710001 28.839999 1045600 26.626153
2013-02-19 29.120001 29.299999 29.050001 29.260003 718400 27.013916
