"Index" "CSC.Open" "CSC.High" "CSC.Low" "CSC.Close" "CSC.Volume" "CSC.Adjusted"
2013-01-02 41.049999 41.509998 40.810001 41.5 1589400 39.826033
2013-01-03 41.509998 41.84 41.32 41.57 1488800 39.893209
2013-01-04 41.57 41.860001 41.279999 41.66 1026800 39.979579
2013-01-07 41.360001 41.52 41.049999 41.220001 1042700 39.557329
2013-01-08 41.220001 41.220001 40.330002 40.380001 1816100 38.751211
2013-01-09 40.799999 41.599998 40.689999 41.09 1867800 39.432571
2013-01-10 41.279999 41.689999 41 41.68 1095800 39.998773
2013-01-11 41.810001 42 41.610001 41.950001 1036000 40.257882
2013-01-14 41.779999 42.299999 41.349998 42 1222500 40.305865
2013-01-15 41.709999 42.009998 41.540001 42.009998 754600 40.31546
2013-01-16 41.779999 41.880001 41.59 41.639999 1293000 39.960386
2013-01-17 41.860001 41.919998 41.669998 41.759998 1352400 40.075544
2013-01-18 41.799999 41.869999 41.189999 41.869999 893900 40.181108
2013-01-22 42.599998 42.779999 42.009998 42.259998 1607800 40.555376
2013-01-23 42.200001 42.389999 41.599998 42.049999 1000100 40.353847
2013-01-24 41.799999 42.75 41.700001 42.419998 1351200 40.708922
2013-01-25 42.310001 42.560001 41.470001 42.439999 1377600 40.728116
2013-01-28 42.470001 42.709999 42.389999 42.599998 1140400 40.881662
2013-01-29 42.529999 42.66 41.93 42.59 1366900 40.872067
2013-01-30 42.639999 42.77 42.150002 42.23 1199500 40.526587
2013-01-31 42.110001 42.349998 41.73 41.799999 1120800 40.113932
2013-02-01 42.07 42.889999 41.950001 42.700001 1395500 40.97763
2013-02-04 42.419998 43 41.830002 41.91 3582800 40.219495
2013-02-05 43.560001 46.799999 42.919998 45.75 4198100 43.904603
2013-02-06 45.549999 45.919998 45.099998 45.75 1719600 43.904603
2013-02-07 45.759998 45.939999 45.060001 45.939999 1699200 44.086938
2013-02-08 46.009998 46.43 45.59 45.700001 1081500 43.85662
2013-02-11 45.700001 46.419998 45.599998 46.049999 1883700 44.192501
2013-02-12 46 46.650002 45.990002 46.540001 1949000 44.662738
