"Index" "CSX.Open" "CSX.High" "CSX.Low" "CSX.Close" "CSX.Volume" "CSX.Adjusted"
2013-01-02 20.110001 20.41 20.049999 20.17 12526900 18.980982
2013-01-03 20.120001 20.67 20.110001 20.360001 7604200 19.159782
2013-01-04 20.5 21.040001 20.4 20.940001 9247400 19.705591
2013-01-07 20.809999 20.83 20.42 20.459999 10994000 19.253886
2013-01-08 20.459999 20.530001 20.299999 20.51 8459200 19.300939
2013-01-09 20.57 20.76 20.469999 20.540001 8186400 19.329171
2013-01-10 20.42 20.58 20.01 20.540001 20697700 19.329171
2013-01-11 20.639999 20.67 20.290001 20.540001 6853200 19.329171
2013-01-14 20.52 20.780001 20.450001 20.65 6574700 19.432686
2013-01-15 20.59 20.809999 20.59 20.780001 5428500 19.555023
2013-01-16 20.73 20.9 20.709999 20.82 4814300 19.592664
2013-01-17 20.92 20.969999 20.65 20.889999 7997300 19.658538
2013-01-18 20.68 21.17 20.610001 20.91 15325900 19.677359
2013-01-22 20.92 21 20.57 20.809999 12721900 19.583254
2013-01-23 21.25 21.83 21.059999 21.68 18305400 20.401968
2013-01-24 21.809999 22.24 21.809999 22.09 14906300 20.787798
2013-01-25 22.18 22.450001 21.9 22.24 11655600 20.928956
2013-01-28 22.360001 22.42 22.15 22.32 8012900 21.00424
2013-01-29 22.389999 22.67 22.23 22.52 9370400 21.19245
2013-01-30 22.469999 22.559999 22.08 22.129999 9396500 20.82544
2013-01-31 22.040001 22.219999 21.85 22.030001 7404100 20.731336
2013-02-01 22.24 22.24 21.73 21.92 9525000 20.62782
2013-02-04 21.780001 21.950001 21.610001 21.65 7620300 20.373736
2013-02-05 21.75 21.77 21.610001 21.639999 6421000 20.364325
2013-02-06 21.6 21.76 21.51 21.57 8448600 20.298452
2013-02-07 21.559999 21.73 21.450001 21.719999 6031900 20.439609
2013-02-08 21.719999 21.969999 21.66 21.969999 7616500 20.674872
2013-02-11 22.35 22.74 22.26 22.65 15488400 21.314786
2013-02-12 22.700001 22.709999 22.450001 22.639999 8003500 21.305375
2013-02-13 22.74 22.940001 22.690001 22.870001 6711800 21.521818
2013-02-14 22.83 22.940001 22.780001 22.93 5413800 21.578281
2013-02-15 23 23 22.700001 22.790001 7451600 21.446534
2013-02-19 22.83 23.08 22.75 23.08 7816600 21.719438
2013-02-20 23.08 23.1 22.75 22.82 8114000 21.474765
2013-02-21 22.75 22.76 22.440001 22.549999 6583200 21.220681
2013-02-22 22.629999 22.959999 22.51 22.860001 6063400 21.512408
2013-02-25 22.969999 23.049999 22.219999 22.219999 8295300 20.910134
2013-02-26 22.25 22.309999 21.84 22.139999 9624300 20.966956
2013-02-27 22.120001 22.91 22.110001 22.799999 9588600 21.591987
2013-02-28 22.85 23.08 22.68 22.940001 7707700 21.724571
2013-03-01 22.860001 23.049999 22.700001 22.969999 6913000 21.75298
2013-03-04 22.860001 23.200001 22.809999 23.15 8354500 21.923444
2013-03-05 23.27 23.719999 23.209999 23.58 8298200 22.330661
2013-03-06 23.709999 23.799999 23.110001 23.200001 9809900 21.970795
2013-03-07 23.200001 23.32 22.620001 22.709999 13216600 21.506756
2013-03-08 22.889999 23.15 22.74 22.99 12026700 21.771921
2013-03-11 23.02 23.48 23.02 23.34 8541800 22.103377
2013-03-12 23.309999 23.48 23.17 23.379999 8864600 22.141257
2013-03-13 23.379999 23.59 23.219999 23.58 7190300 22.330661
2013-03-14 23.629999 23.889999 23.559999 23.860001 8198600 22.595827
2013-03-15 23.780001 24.27 23.75 24.02 11987800 22.747349
2013-03-18 23.780001 24.299999 23.75 23.940001 7161400 22.671588
2013-03-19 24 24.09 23.629999 23.950001 7157800 22.681058
2013-03-20 24.08 24.33 23.9 24.299999 8668500 23.012513
2013-03-21 24.209999 24.209999 23.790001 23.92 7793600 22.652647
2013-03-22 24.049999 24.139999 23.940001 24.030001 4110800 22.756819
2013-03-25 24.15 24.27 23.84 23.889999 5021500 22.624236
2013-03-26 23.93 24.190001 23.93 24.139999 5902300 22.86099
2013-03-27 24.059999 24.41 23.9 24.35 7740000 23.059865
2013-03-28 24.440001 24.67 24.32 24.629999 6115000 23.325028
2013-04-01 24.639999 24.690001 24.09 24.200001 5690700 22.917812
2013-04-02 24.299999 24.530001 24.129999 24.190001 7408000 22.908342
2013-04-03 24.1 24.290001 23.82 23.950001 8407900 22.681058
2013-04-04 23.950001 23.969999 23.549999 23.77 7002900 22.510595
2013-04-05 23.42 23.92 23.26 23.84 6547600 22.576886
2013-04-08 23.67 24 23.67 23.950001 5870800 22.681058
2013-04-09 23.93 24.09 23.59 23.9 7585800 22.633706
2013-04-10 23.969999 24.27 23.92 24.24 4513200 22.955692
2013-04-11 24.32 24.4 24.17 24.280001 5827300 22.993574
2013-04-12 24.32 24.65 24.26 24.51 7435000 23.211387
2013-04-15 24.360001 24.389999 23.450001 23.469999 8411300 22.226489
2013-04-16 23.73 24.42 23.65 24.139999 12122100 22.86099
2013-04-17 23.879999 24.059999 23.299999 23.51 12484600 22.26437
2013-04-18 23.629999 23.959999 23.549999 23.76 10623300 22.501124
2013-04-19 23.83 23.85 23.51 23.700001 7674100 22.444304
2013-04-22 23.799999 23.91 23.5 23.799999 5500800 22.539004
2013-04-23 23.969999 24.030001 23.66 23.799999 6026600 22.539004
2013-04-24 23.85 24.02 23.610001 23.99 5594900 22.718938
2013-04-25 24.129999 24.42 24.01 24.299999 6614900 23.012513
2013-04-26 24.389999 24.450001 24.18 24.370001 4879000 23.078805
2013-04-29 24.49 24.690001 24.290001 24.610001 4925000 23.306089
2013-04-30 24.57 24.610001 24.35 24.59 5072200 23.287149
