"Index" "CU.Open" "CU.High" "CU.Low" "CU.Close" "CU.Volume" "CU.Adjusted"
2013-01-02 31.219999 31.59 31.15 31.559999 32200 29.917834
2013-01-03 31.48 31.76 31.370001 31.370001 21400 29.737722
2013-01-04 31.4 31.5 31 31.5 16800 29.860957
2013-01-07 31.389999 31.809999 31.33 31.74 16200 30.088468
2013-01-08 31.629999 31.639999 31.42 31.51 15100 29.870436
2013-01-09 31.700001 31.85 31.610001 31.620001 10400 29.974713
2013-01-10 31.879999 32.240002 31.82 32.07 11200 30.401297
2013-01-11 32.029999 32.029999 31.809999 31.879999 9300 30.221183
2013-01-14 31.879999 31.879999 31.690001 31.73 8600 30.078988
2013-01-15 31.370001 31.75 31.370001 31.75 9000 30.097948
2013-01-16 31.51 31.51 31.25 31.27 13900 29.642925
2013-01-17 31.57 31.57 31.26 31.34 7600 29.709282
2013-01-18 31.66 31.66 31.280001 31.34 11200 29.709282
2013-01-22 31.450001 31.469999 31.27 31.35 12500 29.718762
2013-01-23 31.25 31.35 31.15 31.190001 6700 29.567087
2013-01-24 31.16 31.200001 30.879999 30.93 69500 29.320616
2013-01-25 30.950001 30.950001 30.620001 30.780001 14000 29.178421
2013-01-28 30.41 30.58 30.27 30.360001 24000 28.780275
2013-01-29 30.389999 30.68 30.389999 30.68 59200 29.083624
2013-01-30 30.58 30.58 30.33 30.42 13000 28.837152
2013-01-31 30.559999 30.860001 30.389999 30.48 10100 28.89403
2013-02-01 30.6 30.860001 30.6 30.780001 8200 29.178421
2013-02-04 30.23 30.48 30.23 30.309999 8500 28.732875
2013-02-05 30.26 30.440001 30.25 30.360001 16000 28.780275
2013-02-06 30.09 30.620001 30.07 30.620001 8800 29.026746
2013-02-07 30.43 30.43 30.24 30.370001 3900 28.789755
2013-02-08 30.559999 30.57 30.440001 30.440001 2900 28.856112
2013-02-11 30.530001 30.530001 30.24 30.379999 13400 28.799233
2013-02-12 30.309999 30.41 30.27 30.27 2100 28.694958
2013-02-13 30.48 30.68 30.440001 30.440001 4400 28.856112
2013-02-14 30.209999 30.48 30.209999 30.440001 5700 28.856112
2013-02-15 30.299999 30.299999 30 30.08 7000 28.514843
2013-02-19 30 30 29.559999 29.6 36200 28.05982
2013-02-20 29.200001 29.200001 28.559999 28.57 31000 27.083413
2013-02-21 28.190001 28.190001 27.84 27.93 31700 26.476715
2013-02-22 28.110001 28.200001 27.950001 28.15 9000 26.685267
2013-02-25 28.129999 28.35 27.690001 27.73 18000 26.287121
2013-02-26 27.75 27.870001 27.6 27.74 10400 26.296601
2013-02-27 27.860001 28.040001 27.77 28.040001 6800 26.580992
2013-02-28 27.91 27.91 27.57 27.620001 3800 26.182846
2013-03-01 27.18 27.35 27.030001 27.35 16000 25.926894
2013-03-04 26.969999 26.969999 26.629999 26.74 21800 25.348634
2013-03-05 27.379999 27.379999 27.110001 27.129999 18100 25.71834
2013-03-06 27.219999 27.389999 27.120001 27.389999 22700 25.964812
2013-03-07 27.26 27.48 27.26 27.43 13600 26.002732
2013-03-08 27.51 27.65 27.5 27.65 10600 26.211284
2013-03-11 27.65 27.65 27.379999 27.48 15800 26.050129
2013-03-12 27.530001 27.870001 27.530001 27.65 10300 26.211284
2013-03-13 27.700001 27.700001 27.32 27.34 15500 25.917414
2013-03-14 27.43 27.6 27.33 27.6 4400 26.163886
2013-03-15 27.530001 27.58 27.450001 27.5 6400 26.069089
2013-03-18 27.040001 27.16 26.91 26.940001 12000 25.538228
2013-03-19 26.870001 26.870001 26.190001 26.290001 15100 24.92205
2013-03-20 26.5 26.540001 26.4 26.5 12700 25.121122
2013-03-21 26.139999 26.35 26.1 26.129999 16600 24.813445
2013-03-22 26.18 26.26 26.15 26.200001 8500 24.87992
2013-03-25 26.110001 26.120001 25.559999 25.610001 13600 24.319647
2013-03-26 25.690001 25.690001 25.559999 25.66 5700 24.367127
2013-03-27 25.6 25.77 25.450001 25.73 5300 24.4336
2013-03-28 25.790001 25.83 25.540001 25.83 7600 24.528562
2013-04-01 25.879999 25.879999 25.49 25.49 4300 24.205692
2013-04-02 25.450001 25.450001 25.16 25.16 38600 23.892319
2013-04-03 25.24 25.299999 24.51 24.549999 32700 23.313053
2013-04-04 24.709999 24.93 24.709999 24.92 6800 23.664412
2013-04-05 24.92 25.049999 24.889999 25.030001 13400 23.76887
2013-04-08 25.290001 25.290001 24.99 25.139999 18000 23.873327
2013-04-09 25.43 26.120001 25.43 25.940001 18700 24.63302
2013-04-10 26.26 26.27 26 26.01 20200 24.699493
2013-04-11 25.74 25.93 25.690001 25.83 13000 24.528562
2013-04-12 25.6 25.6 25.17 25.23 17800 23.958792
2013-04-15 24.219999 24.219999 23.129999 23.18 50400 22.012082
2013-04-16 23.879999 23.9 23.34 23.559999 23600 22.372935
2013-04-17 23.02 23.02 22.280001 22.299999 23500 21.176419
