"Index" "CUS.Open" "CUS.High" "CUS.Low" "CUS.Close" "CUS.Volume" "CUS.Adjusted"
2013-01-01 2.624 2.624 2.624 2.624 0 2.624
2013-01-02 2.605 2.605 2.605 2.605 0 2.605
2013-01-03 2.754 2.754 2.754 2.754 0 2.754
2013-01-04 2.754 2.754 2.754 2.754 0 2.754
2013-01-07 2.709 2.709 2.668 2.668 100 2.668
2013-01-08 2.618 2.618 2.618 2.618 0 2.618
2013-01-09 2.621 2.621 2.621 2.621 0 2.621
2013-01-10 2.763 2.763 2.763 2.763 0 2.763
2013-01-11 2.66 2.66 2.66 2.66 0 2.66
2013-01-14 2.542 2.542 2.542 2.542 0 2.542
2013-01-15 2.538 2.538 2.538 2.538 0 2.538
2013-01-16 2.572 2.572 2.572 2.572 0 2.572
2013-01-17 2.53 2.53 2.53 2.53 0 2.53
2013-01-18 2.503 2.503 2.503 2.503 0 2.503
2013-01-21 2.452 2.452 2.452 2.452 0 2.452
2013-01-22 2.45 2.45 2.45 2.45 0 2.45
2013-01-23 2.428 2.428 2.428 2.428 0 2.428
2013-01-24 2.351 2.355 2.351 2.355 500 2.355
2013-01-25 2.289 2.289 2.289 2.289 0 2.289
2013-01-28 2.32 2.32 2.32 2.32 0 2.32
2013-01-29 2.325 2.325 2.325 2.325 0 2.325
2013-01-30 2.315 2.315 2.315 2.315 0 2.315
2013-01-31 2.276 2.276 2.276 2.276 0 2.276
2013-02-01 2.324 2.324 2.324 2.324 0 2.324
2013-02-04 2.324 2.324 2.324 2.324 0 2.324
2013-02-05 2.303 2.303 2.303 2.303 0 2.303
2013-02-06 2.303 2.303 2.303 2.303 0 2.303
2013-02-07 2.301 2.301 2.301 2.301 0 2.301
2013-02-08 2.293 2.293 2.293 2.293 0 2.293
2013-02-11 2.255 2.255 2.255 2.255 0 2.255
2013-02-12 2.248 2.248 2.248 2.248 0 2.248
2013-02-13 2.246 2.246 2.246 2.246 0 2.246
2013-02-14 2.172 2.172 2.172 2.172 0 2.172
2013-02-15 2.116 2.116 2.113 2.113 200 2.113
2013-02-18 2.113 2.113 2.113 2.113 0 2.113
2013-02-19 2.113 2.123 2.113 2.12 1000 2.12
2013-02-20 2.229 2.229 2.229 2.229 0 2.229
2013-02-21 2.147 2.147 2.107 2.107 0 2.107
2013-02-22 2.107 2.107 2.107 2.107 0 2.107
2013-02-25 2.154 2.154 2.154 2.154 0 2.154
2013-02-26 2.211 2.211 2.211 2.211 0 2.211
2013-02-27 2.211 2.211 2.191 2.191 100 2.191
2013-02-28 2.161 2.161 2.161 2.161 0 2.161
2013-03-01 2.073 2.073 2.073 2.073 0 2.073
2013-03-04 2.334 2.334 2.334 2.334 0 2.334
2013-03-05 2.465 2.465 2.465 2.465 0 2.465
2013-03-06 2.496 2.496 2.496 2.496 0 2.496
2013-03-07 2.496 2.496 2.496 2.496 0 2.496
2013-03-08 2.559 2.559 2.559 2.559 0 2.559
2013-03-11 2.659 2.659 2.659 2.659 0 2.659
2013-03-12 2.659 2.659 2.659 2.659 0 2.659
2013-03-13 2.682 2.682 2.682 2.682 0 2.682
2013-03-14 2.676 2.676 2.676 2.676 0 2.676
2013-03-15 2.622 2.622 2.622 2.622 0 2.622
2013-03-18 2.577 2.577 2.536 2.536 0 2.536
2013-03-19 2.538 2.538 2.538 2.538 0 2.538
2013-03-20 2.538 2.538 2.538 2.538 0 2.538
2013-03-21 2.524 2.524 2.524 2.524 0 2.524
2013-03-22 2.524 2.524 2.524 2.524 0 2.524
2013-03-25 2.652 2.652 2.652 2.652 0 2.652
2013-03-26 2.634 2.634 2.634 2.634 0 2.634
2013-03-27 2.634 2.634 2.634 2.634 0 2.634
2013-03-28 2.564 2.564 2.564 2.564 0 2.564
