"Index" "CY.Open" "CY.High" "CY.Low" "CY.Close" "CY.Volume" "CY.Adjusted"
2013-01-02 11.12 11.35 11.1 11.34 2228900 10.185007
2013-01-03 11.05 11.28 10.88 10.99 2938800 9.870655
2013-01-04 10.95 11.23 10.88 11.18 2384100 10.041304
2013-01-07 11.25 11.25 11.02 11.05 1107100 9.924544
2013-01-08 10.38 10.78 9.91 10.12 6837600 9.089266
2013-01-09 10.05 10.15 9.87 9.94 3412100 8.927598
2013-01-10 10.01 10.05 9.82 9.94 3021200 8.927598
2013-01-11 9.99 10.08 9.86 10.04 1963200 9.017414
2013-01-14 10 10.29 10 10.25 2217700 9.206025
2013-01-15 10.16 10.38 10.05 10.26 1875500 9.215007
2013-01-16 10.2 10.63 10.18 10.41 3557100 9.349729
2013-01-17 10.51 10.72 10.5 10.56 2448600 9.484451
2013-01-18 10.47 10.57 10.34 10.38 2541800 9.322784
2013-01-22 10.43 10.43 10.18 10.27 2022200 9.223988
2013-01-23 10.3 10.52 10.19 10.44 2185400 9.376673
2013-01-24 10.38 10.65 10.01 10.1 6092500 9.071303
2013-01-25 10.05 10.09 9.75 9.87 6394700 8.864728
2013-01-28 10.02 10.15 9.96 10.12 4626900 9.089266
2013-01-29 10.21 10.3 10.01 10.04 4566700 9.017414
2013-01-30 10.07 10.22 9.93 10 3850300 8.981488
2013-01-31 10.05 10.37 10.03 10.27 4072300 9.223988
2013-02-01 10.4 10.51 10.25 10.29 3233900 9.241951
2013-02-04 10.24 10.29 9.87 9.89 4024800 8.882692
2013-02-05 9.98 10.06 9.88 9.91 3144700 8.900654
2013-02-06 9.85 10 9.85 9.97 1918500 8.954544
2013-02-07 9.96 10.03 9.8 9.84 2399200 8.837784
2013-02-08 9.92 10.25 9.9 10.17 3043300 9.134173
2013-02-11 10.1 10.2 10 10.01 2148500 8.990469
2013-02-12 9.98 10.06 9.88 10.06 2411400 9.035377
2013-02-13 10.06 10.19 9.91 9.94 2102800 8.927598
2013-02-14 9.9 10.09 9.9 10.08 1746300 9.05334
2013-02-15 10.08 10.11 9.86 9.86 3507800 8.855747
2013-02-19 10.2 10.47 10.17 10.44 6598700 9.376673
2013-02-20 10.46 10.6 10.16 10.17 3791800 9.134173
2013-02-21 10.12 10.17 9.87 9.95 3562400 8.93658
2013-02-22 10.05 10.24 10.01 10.12 3473900 9.089266
2013-02-25 10.2 10.32 9.83 9.84 3996000 8.837784
2013-02-26 9.89 10.25 9.89 10.08 6637100 9.05334
2013-02-27 10.05 10.74 10.03 10.64 6917400 9.556303
2013-02-28 10.6 10.71 10.47 10.53 3324500 9.457506
2013-03-01 10.5 10.5 10.18 10.29 4071700 9.241951
2013-03-04 10.23 10.65 10.21 10.57 4799400 9.493432
2013-03-05 10.55 10.79 10.52 10.63 4456300 9.547322
2013-03-06 10.53 10.92 10.53 10.79 3723900 9.691025
2013-03-07 10.77 10.9 10.7 10.82 2305100 9.717969
2013-03-08 10.92 10.96 10.75 10.87 2222800 9.762877
2013-03-11 10.85 11.02 10.84 10.89 3151600 9.78084
2013-03-12 10.9 11.29 10.9 11.26 3778000 10.113155
2013-03-13 11.22 11.35 11.07 11.25 2418800 10.104174
2013-03-14 11.29 11.44 11.29 11.34 2505200 10.185007
2013-03-15 11.38 11.41 11.2 11.3 4023500 10.149081
2013-03-18 11.2 11.41 11.06 11.32 4812800 10.167044
2013-03-19 11.33 11.54 11.07 11.25 4009600 10.104174
2013-03-20 11.32 11.42 11.15 11.37 2631000 10.211951
2013-03-21 11.34 11.36 10.99 11.01 2831700 9.888618
2013-03-22 11.11 11.29 11.05 11.08 1990100 9.951488
2013-03-25 11.18 11.19 10.9 11 2401300 9.879637
2013-03-26 10.92 11.17 10.92 11.15 1850600 10.115513
2013-03-27 11 11.17 10.9 11.13 1983100 10.097369
2013-03-28 11.15 11.19 10.97 11.03 2274600 10.006647
2013-04-01 11.03 11.04 10.77 10.85 3325400 9.843348
2013-04-02 10.96 10.96 10.57 10.65 2748800 9.661903
2013-04-03 10.66 10.73 10.39 10.45 3477000 9.480459
2013-04-04 10.45 10.86 10.39 10.82 2699400 9.816131
2013-04-05 10.62 10.84 10.46 10.8 2167000 9.797987
2013-04-08 10.8 10.9 10.58 10.85 2051300 9.843348
2013-04-09 10.9 11.11 10.85 11.04 2672000 10.015719
2013-04-10 11.05 11.58 11.02 11.41 4426200 10.351391
2013-04-11 11.3 11.55 11.24 11.38 2848700 10.324175
2013-04-12 11.23 11.32 10.96 11.23 2366800 10.188091
2013-04-15 11.19 11.28 10.8 10.9 4442000 9.888708
2013-04-16 11.05 11.33 10.81 11.31 3589200 10.260669
2013-04-17 11.25 11.25 10.73 10.96 5689600 9.943142
2013-04-18 11.28 11.4 9.84 9.9 10932700 8.981487
2013-04-19 9.92 9.93 9.35 9.66 7070600 8.763754
2013-04-22 9.66 9.7 9.34 9.6 4621500 8.709322
2013-04-23 9.68 9.93 9.56 9.81 3724700 8.899838
2013-04-24 9.76 10 9.7 9.94 2841000 9.017776
2013-04-25 10.09 10.19 10 10.01 3586200 9.081282
2013-04-26 10.03 10.05 9.86 9.92 2560000 8.999632
2013-04-29 9.95 10.11 9.93 10.04 1873900 9.108498
2013-04-30 10.05 10.1 9.92 10.09 1893800 9.15386
2013-05-01 10.09 10.15 9.88 9.92 2295900 8.999632
2013-05-02 9.92 10.08 9.81 10 2651900 9.07221
2013-05-03 10.14 10.28 10.1 10.13 3350100 9.190148
2013-05-06 10.13 10.45 10.11 10.37 2380900 9.407881
2013-05-07 10.42 10.45 10.18 10.3 1757800 9.344376
2013-05-08 10.31 10.65 10.31 10.61 1891500 9.625614
2013-05-09 10.55 10.7 10.5 10.62 1779200 9.634686
2013-05-10 10.68 10.88 10.64 10.83 1737100 9.825203
2013-05-13 10.81 10.83 10.56 10.62 2276500 9.634686
2013-05-14 10.68 10.99 10.56 10.9 2637300 9.888708
2013-05-15 10.88 11.2 10.86 11.09 3285500 10.061081
2013-05-16 11.1 11.27 10.87 10.92 2411000 9.906853
2013-05-17 11 11.3 11 11.23 3611200 10.188091
2013-05-20 11.25 11.55 11.25 11.48 2720100 10.414896
2013-05-21 11.54 11.65 11.36 11.51 2505400 10.442113
2013-05-22 11.56 11.56 11.02 11.11 2467700 10.079225
2013-05-23 10.88 11.08 10.74 11.07 3486400 10.042936
2013-05-24 10.99 11.06 10.88 11.03 1020000 10.006647
2013-05-28 11.18 11.31 11.09 11.14 1299900 10.106442
2013-05-29 11.04 11.38 11 11.23 1573500 10.188091
2013-05-30 11.24 11.62 11.23 11.55 1732800 10.478402
2013-05-31 11.45 11.58 11.24 11.25 1633900 10.206236
2013-06-03 11.27 11.36 10.93 11.09 2002200 10.061081
2013-06-04 11.07 11.37 10.97 11.1 1759600 10.070153
2013-06-05 11.07 11.11 10.83 10.93 1855700 9.915925
2013-06-06 10.9 11.03 10.64 10.79 2602500 9.788914
2013-06-07 10.72 10.93 10.7 10.85 1348400 9.843348
2013-06-10 10.91 10.98 10.83 10.88 1419000 9.870564
2013-06-11 10.7 10.83 10.56 10.61 1641300 9.625614
2013-06-12 10.68 10.84 10.34 10.37 1960400 9.407881
2013-06-13 10.34 10.8 10.26 10.77 1785100 9.77077
2013-06-14 10.74 11.08 10.64 10.97 3360900 9.952214
2013-06-17 11.09 11.35 11.01 11.24 3779500 10.197163
2013-06-18 11.26 11.36 11.25 11.27 1729800 10.224381
2013-06-19 11.28 11.42 10.97 10.97 2138800 9.952214
2013-06-20 10.82 10.93 10.47 10.61 2905300 9.625614
2013-06-21 10.61 10.72 10.46 10.49 2944500 9.516748
2013-06-24 10.39 10.43 10.1 10.23 2710200 9.28087
2013-06-25 10.22 10.38 10.02 10.33 2227400 9.473458
2013-06-26 10.5 10.55 10.21 10.43 2965700 9.565166
2013-06-27 10.49 10.74 10.46 10.58 2123100 9.702728
2013-06-28 10.5 10.77 10.44 10.73 13957100 9.84029
2013-07-01 10.8 11.01 10.7 10.89 2869900 9.987024
2013-07-02 10.84 11.02 10.7 10.81 1686100 9.913658
2013-07-03 10.73 10.99 10.7 10.82 914100 9.922828
2013-07-05 10.99 11.02 10.75 10.95 1413900 10.042049
2013-07-08 10.98 10.99 10.7 10.75 1623400 9.858632
2013-07-09 10.81 10.99 10.73 10.96 1833700 10.05122
2013-07-10 10.95 11.1 10.94 11.04 1585200 10.124586
2013-07-11 11.24 11.5 11.17 11.45 2559500 10.50059
2013-07-12 11.38 11.71 11.36 11.64 2083500 10.674836
2013-07-15 11.34 11.66 11.25 11.44 3440000 10.491419
2013-07-16 11.43 11.64 11.42 11.6 3060600 10.638152
2013-07-17 11.64 11.93 11.52 11.92 3904800 10.931618
2013-07-18 13 13.23 12.2 12.46 12634600 11.426843
2013-07-19 12.5 12.57 12.08 12.57 4993000 11.527721
2013-07-22 12.95 12.95 12.61 12.8 6271200 11.738651
2013-07-23 12.98 13 12.7 12.78 3932900 11.720309
2013-07-24 12.86 12.98 12.56 12.59 3460300 11.546063
2013-07-25 12.55 12.73 12.44 12.57 3013700 11.527721
2013-07-26 12.49 12.62 12.45 12.57 2541500 11.527721
2013-07-29 12.65 12.75 12.46 12.56 1924300 11.518551
2013-07-30 12.59 12.72 12.52 12.66 2546400 11.610259
2013-07-31 12.7 12.9 12.7 12.77 2505800 11.711138
2013-08-01 12.98 13.12 12.77 13.1 3241700 12.013775
2013-08-02 12.99 13.03 12.83 12.9 1709700 11.830358
2013-08-05 12.83 13.04 12.83 12.98 1698900 11.903725
2013-08-06 12.99 13.02 12.65 12.79 1365900 11.72948
2013-08-07 12.7 12.8 12.62 12.7 1799700 11.646942
2013-08-08 12.79 12.85 12.5 12.5 2104200 11.463526
2013-08-09 12.49 12.63 12.44 12.55 2028200 11.50938
2013-08-12 12.46 12.91 12.45 12.75 1836400 11.692796
2013-08-13 12.75 12.77 12.55 12.56 1871100 11.518551
2013-08-14 12.53 12.66 12.42 12.43 2138800 11.39933
2013-08-15 12.29 12.3 11.8 11.86 3647100 10.876593
2013-08-16 11.81 12.02 11.8 11.96 2441000 10.968302
2013-08-19 11.92 12.03 11.84 11.92 2207900 10.931618
2013-08-20 11.92 12.01 11.85 11.94 1682200 10.94996
2013-08-21 11.88 11.94 11.62 11.64 2324800 10.674836
2013-08-22 11.68 11.85 11.65 11.79 1241300 10.812398
2013-08-23 11.79 11.82 11.52 11.79 1676500 10.812398
2013-08-26 11.75 11.9 11.72 11.74 1274500 10.766543
2013-08-27 11.52 11.58 11.34 11.37 2011800 10.427223
2013-08-28 11.38 11.56 11.15 11.47 2268300 10.518932
2013-08-29 11.46 11.71 11.45 11.6 2285400 10.638152
2013-08-30 11.6 11.64 11.25 11.32 1727300 10.381369
2013-09-03 11.47 11.53 11.03 11.08 3562500 10.161269
2013-09-04 11.09 11.33 11.03 11.2 3349000 10.271319
2013-09-05 11.24 11.47 11.15 11.4 2370600 10.454735
2013-09-06 11.5 11.5 11.17 11.23 2328500 10.298831
2013-09-09 11.27 11.52 11.26 11.4 1735700 10.454735
2013-09-10 11.52 11.76 11.41 11.73 2964600 10.757372
2013-09-11 11.72 11.84 11.58 11.61 1586900 10.647323
2013-09-12 11.62 11.72 11.51 11.51 1287200 10.555615
2013-09-13 11.52 11.61 11.44 11.5 1339100 10.546444
2013-09-16 11.66 11.7 11.4 11.42 1902100 10.473077
2013-09-17 11.37 11.6 11.36 11.6 2608900 10.638152
2013-09-18 11.59 11.69 11.39 11.66 3064100 10.693177
2013-09-19 11.74 11.75 11.52 11.54 1508100 10.583127
2013-09-20 11.54 11.61 11.43 11.51 2341100 10.555615
2013-09-23 11.45 11.55 11.28 11.45 2729200 10.50059
2013-09-24 10.53 10.55 9.5 9.65 20294600 8.935687
2013-09-25 9.62 9.65 9.03 9.11 13656700 8.435659
2013-09-26 9.1 9.4 9.09 9.18 6644800 8.500478
2013-09-27 9.09 9.18 8.98 9.05 3552800 8.380101
2013-09-30 8.97 9.36 8.94 9.35 4987500 8.657894
2013-10-01 9.33 9.42 9.1 9.18 3646400 8.500478
2013-10-02 9.15 9.27 9.05 9.08 3069700 8.40788
2013-10-03 9.08 9.13 8.93 9.06 2885900 8.389361
2013-10-04 9.08 9.33 9.03 9.3 2539700 8.611595
2013-10-07 9.2 9.23 9.04 9.04 2372700 8.370841
2013-10-08 9.07 9.15 8.97 8.97 2518900 8.306022
2013-10-09 8.97 9.03 8.78 8.97 3049100 8.306022
2013-10-10 9.13 9.19 9.04 9.18 2221100 8.500478
2013-10-11 9.18 9.26 9.11 9.23 1753800 8.546776
2013-10-14 9.14 9.44 9.13 9.37 2150900 8.676413
2013-10-15 9.35 9.44 9.18 9.27 2233800 8.583816
2013-10-16 9.36 9.48 9.23 9.4 3384200 8.704192
2013-10-17 9.25 9.35 8.61 9.26 13896300 8.574556
2013-10-18 9.5 9.68 9.34 9.54 5367900 8.83383
2013-10-21 9.52 9.64 9.41 9.46 2508100 8.759751
2013-10-22 9.49 9.54 9.23 9.37 2561500 8.676413
2013-10-23 9.26 9.42 9.02 9.32 3460500 8.630114
2013-10-24 9.32 9.41 9.21 9.22 1911100 8.537517
2013-10-25 9.25 9.29 9.12 9.16 2149200 8.481958
2013-10-28 9.16 9.38 9.14 9.35 1830500 8.657894
2013-10-29 9.36 9.5 9.27 9.43 1945300 8.731972
2013-10-30 9.52 9.52 9.19 9.24 1666000 8.556036
2013-10-31 9.22 9.45 9.21 9.28 1988800 8.593075
2013-11-01 9.22 9.36 9.15 9.18 2154500 8.500478
2013-11-04 9.49 9.51 9.18 9.19 1455000 8.509737
2013-11-05 9.19 9.3 9.11 9.18 1795400 8.500478
2013-11-06 9.26 9.29 9.17 9.26 1477600 8.574556
2013-11-07 9.1 9.31 9.08 9.11 1730900 8.435659
2013-11-08 9.11 9.3 9.05 9.28 2413200 8.593075
2013-11-11 9.2 9.25 9.1 9.16 1742900 8.481958
2013-11-12 9.1 9.16 8.99 9.01 2824900 8.343061
2013-11-13 8.96 9.45 8.95 9.32 3539400 8.630114
2013-11-14 9.31 9.37 9.1 9.12 2213600 8.444919
2013-11-15 9.12 9.3 9.01 9.27 3092600 8.583816
2013-11-18 9.22 9.3 9.07 9.1 1796400 8.4264
2013-11-19 9.08 9.11 8.9 8.97 2413200 8.306022
2013-11-20 8.97 9.07 8.93 8.98 1777100 8.315282
2013-11-21 9 9.26 9 9.26 1958100 8.574556
2013-11-22 9.45 9.77 9.4 9.71 4514200 8.991246
2013-11-25 9.77 9.9 9.69 9.72 2066500 9.000506
2013-11-26 9.71 9.8 9.64 9.71 1987700 8.991246
2013-11-27 9.68 9.69 9.52 9.58 2163400 8.870869
2013-11-29 9.61 9.76 9.55 9.69 976600 8.972726
2013-12-02 9.68 9.73 9.47 9.5 1676100 8.79679
2013-12-03 9.46 9.6 9.32 9.38 2490600 8.685673
2013-12-04 9.31 9.5 9.3 9.45 2050900 8.750491
2013-12-05 9.47 9.59 9.4 9.49 2550000 8.78753
2013-12-06 9.57 9.73 9.5 9.67 2052100 8.954207
2013-12-09 9.67 9.83 9.61 9.72 1857700 9.000506
2013-12-10 9.71 9.86 9.67 9.7 2429900 8.981986
2013-12-11 9.7 9.78 9.46 9.53 1857300 8.82457
2013-12-12 9.52 9.57 9.38 9.5 1689100 8.79679
2013-12-13 9.5 9.68 9.46 9.56 1865200 8.85235
2013-12-16 9.61 9.86 9.6 9.86 2199100 9.130142
2013-12-17 9.88 10.19 9.83 10.13 3243000 9.380157
2013-12-18 10.17 10.25 10.02 10.24 2473100 9.482014
2013-12-19 10.18 10.22 10.02 10.09 2168400 9.343118
2013-12-20 10.14 10.4 10.12 10.33 3784800 9.565352
2013-12-23 10.38 10.4 10.1 10.22 2153300 9.565352
2013-12-24 10.27 10.45 10.2 10.34 1413900 9.677666
2013-12-26 10.37 10.4 10.2 10.23 1102600 9.574711
2013-12-27 10.25 10.35 10.22 10.29 969500 9.630868
2013-12-30 10.26 10.48 10.25 10.43 1538900 9.761901
2013-12-31 10.43 10.55 10.38 10.5 1754000 9.827417
2014-01-02 10.42 10.49 10.25 10.28 2033000 9.621509
2014-01-03 10.27 10.45 10.22 10.42 1885400 9.752541
2014-01-06 10.45 10.55 10.34 10.38 2256000 9.715103
2014-01-07 10.42 10.45 10.11 10.12 2128800 9.471758
2014-01-08 10.16 10.24 10.04 10.15 2056500 9.499836
2014-01-09 10.2 10.36 10.06 10.14 2193500 9.490477
2014-01-10 10.17 10.28 10.11 10.27 1357900 9.61215
2014-01-13 10.2 10.27 9.89 9.9 2365800 9.26585
2014-01-14 9.99 10.18 9.93 10.14 1864600 9.490477
2014-01-15 10.22 10.36 10.15 10.32 1622600 9.658946
2014-01-16 10.26 10.31 10.01 10.13 2567300 9.481117
2014-01-17 10.1 10.22 10.05 10.1 2165800 9.453039
