"Index" "D2L.Open" "D2L.High" "D2L.Low" "D2L.Close" "D2L.Volume" "D2L.Adjusted"
2013-01-01 18.98 18.98 18.98 18.98 0 16.902
2013-01-02 19.42 19.42 19.42 19.42 0 17.293
2013-01-03 19.6 19.6 19.6 19.6 0 17.454
2013-01-04 19.76 19.76 19.76 19.76 0 17.596
2013-01-07 20.11 20.11 20.11 20.11 0 17.908
2013-01-08 21 21 21 21 0 18.7
2013-01-09 21.05 21.05 21.05 21.05 0 18.745
2013-01-10 21.3 21.3 21.3 21.3 0 18.968
2013-01-11 21.18 21.18 21.18 21.18 0 18.861
2013-01-14 21.25 21.25 21.25 21.25 0 18.923
2013-01-15 21.2 21.2 21.2 21.2 0 18.879
2013-01-16 21.27 21.27 21.27 21.27 0 18.941
2013-01-17 21.26 21.26 21.26 21.26 0 18.932
2013-01-18 21.3 21.3 21.3 21.3 0 18.968
2013-01-21 21.3 21.3 21.3 21.3 0 18.968
2013-01-22 21.61 21.61 21.61 21.61 0 19.244
2013-01-23 21.59 21.59 21.59 21.59 0 19.226
2013-01-24 21.59 21.59 21.59 21.59 0 19.226
2013-01-25 21.65 21.91 21.65 21.91 0 19.511
2013-01-28 21.87 21.87 21.87 21.87 0 19.475
2013-01-29 21.79 21.79 21.79 21.79 0 19.404
2013-01-30 21.93 21.93 21.71 21.71 0 19.333
2013-01-31 21.79 21.79 21.72 21.72 0 19.342
2013-02-01 21.94 21.94 21.94 21.94 0 19.537
2013-02-04 21.99 21.99 21.99 21.99 0 19.582
2013-02-05 21.79 21.79 21.79 21.79 0 19.404
2013-02-06 21.25 21.25 21.25 21.25 0 18.923
2013-02-07 21.25 21.25 21.25 21.25 0 18.923
2013-02-08 21.2 21.2 21.2 21.2 0 18.879
2013-02-11 20.94 20.94 20.94 20.94 0 18.647
2013-02-12 20.75 20.75 20.75 20.75 0 18.478
2013-02-13 21.2 21.2 21.2 21.2 0 18.879
2013-02-14 21.25 21.25 21.25 21.25 0 18.923
2013-02-15 22.11 22.11 22.11 22.11 0 19.689
2013-02-18 22.6 22.6 22.6 22.6 0 20.125
2013-02-19 23.36 23.36 23.36 23.36 0 20.802
2013-02-20 23.42 23.42 23.42 23.42 0 20.855
2013-02-21 23.43 23.43 23.43 23.43 0 20.864
2013-02-22 23.53 23.53 23.29 23.29 0 20.74
2013-02-25 23.28 23.28 23.28 23.28 0 20.731
2013-02-26 23.42 23.42 23.42 23.42 0 20.855
2013-02-27 23.3 23.3 23.3 23.3 0 20.749
2013-02-28 23.57 23.57 23.57 23.57 0 20.989
2013-03-01 24.07 24.07 23.51 23.51 0 20.936
2013-03-04 23.57 23.57 23.57 23.57 0 20.989
2013-03-05 23.77 23.77 23.77 23.77 0 21.167
2013-03-06 23.72 23.72 23.72 23.72 0 21.123
2013-03-07 23.77 23.77 23.77 23.77 0 21.167
2013-03-08 24.26 24.26 24.16 24.16 0 21.514
2013-03-11 24.22 24.22 24.09 24.09 0 21.452
2013-03-12 23.93 24.08 23.93 24.08 0 21.443
2013-03-13 24.07 24.16 24.07 24.16 0 21.514
2013-03-14 24.26 24.26 24.26 24.26 0 21.603
2013-03-15 24.26 24.26 24.26 24.26 0 21.603
2013-03-18 24.26 24.26 24.26 24.26 0 21.603
2013-03-19 24.26 24.26 24.26 24.26 0 21.603
2013-03-20 24.22 24.22 24.22 24.22 0 21.568
2013-03-21 24.17 24.17 24.17 24.17 0 21.523
2013-03-22 24.12 24.12 24.12 24.12 0 21.479
2013-03-25 24.26 24.26 24.08 24.08 0 21.443
2013-03-26 24.07 24.11 24.07 24.11 0 21.47
2013-03-27 24.26 24.3 24.26 24.3 0 21.639
2013-03-28 24.17 24.18 24.02 24.18 0 21.532
2013-03-29 24.18 24.18 24.18 24.18 0 21.532
2013-04-01 24.18 24.18 24.18 24.18 0 21.532
