"Index" "DAC.Open" "DAC.High" "DAC.Low" "DAC.Close" "DAC.Volume" "DAC.Adjusted"
2013-01-02 2.8 2.85 2.76 2.81 6400 2.81
2013-01-03 2.82 2.87 2.8 2.82 4200 2.82
2013-01-04 2.8 3.07 2.8 2.98 49300 2.98
2013-01-07 3.01 3.11 3.01 3.11 14600 3.11
2013-01-08 3.14 3.22 3.04 3.21 22100 3.21
2013-01-09 3.21 3.66 3.21 3.52 65600 3.52
2013-01-10 3.59 3.6 3.2 3.36 42700 3.36
2013-01-11 3.35 3.48 3.27 3.44 16600 3.44
2013-01-14 3.36 3.53 3.36 3.41 7700 3.41
2013-01-15 3.46 3.47 3.32 3.4 11700 3.4
2013-01-16 3.45 3.48 3.18 3.27 22600 3.27
2013-01-17 3.3 3.52 3.3 3.52 9700 3.52
2013-01-18 3.45 3.53 3.4 3.51 13600 3.51
2013-01-22 3.59 3.59 3.51 3.54 9500 3.54
2013-01-23 3.5 3.63 3.5 3.58 12000 3.58
2013-01-24 3.55 3.66 3.51 3.52 25400 3.52
2013-01-25 3.47 4.05 3.47 4.05 48200 4.05
2013-01-28 4.06 4.23 4.02 4.06 65400 4.06
2013-01-29 4.1 4.15 4 4.14 10900 4.14
2013-01-30 4.19 4.25 4.15 4.16 28600 4.16
2013-01-31 4.25 4.25 3.58 4.06 28400 4.06
2013-02-01 4.01 4.1 3.84 4.09 8200 4.09
2013-02-04 3.99 4.1 3.97 4.08 12900 4.08
2013-02-05 4.11 4.23 3.94 4.08 8800 4.08
2013-02-06 4.05 4.06 4.01 4.01 900 4.01
2013-02-07 3.92 4 3.71 3.97 13700 3.97
2013-02-08 4 4 3.79 3.91 12800 3.91
2013-02-11 3.81 4.05 3.79 4.05 7800 4.05
2013-02-12 3.85 3.94 3.75 3.75 22600 3.75
2013-02-13 3.71 3.72 3.43 3.59 59400 3.59
2013-02-14 3.53 3.53 3.11 3.38 60500 3.38
2013-02-15 3.16 3.38 3.14 3.33 33700 3.33
2013-02-19 3.37 3.69 3.36 3.68 28300 3.68
2013-02-20 3.62 3.73 3.41 3.47 18400 3.47
2013-02-21 3.44 3.48 3.24 3.32 6400 3.32
2013-02-22 3.32 3.41 3.3 3.33 7500 3.33
2013-02-25 3.4 3.61 3.39 3.43 18900 3.43
2013-02-26 3.4 3.5 3.32 3.44 5700 3.44
2013-02-27 3.5 3.65 3.5 3.52 12800 3.52
2013-02-28 3.48 3.54 3.35 3.45 14100 3.45
2013-03-01 3.42 3.54 3.32 3.46 11600 3.46
2013-03-04 3.49 3.74 3.46 3.63 4200 3.63
2013-03-05 3.6 3.73 3.35 3.6 14600 3.6
2013-03-06 3.59 3.75 3.45 3.6 7500 3.6
2013-03-07 3.6 3.67 3.53 3.67 2800 3.67
2013-03-08 3.67 3.67 3.51 3.58 4900 3.58
2013-03-11 3.5 3.66 3.49 3.64 4100 3.64
2013-03-12 3.62 3.64 3.57 3.6 4300 3.6
2013-03-13 3.55 3.55 3.43 3.51 8800 3.51
2013-03-14 3.56 3.56 3.43 3.5 3500 3.5
2013-03-15 3.53 3.6 3.31 3.31 27300 3.31
2013-03-18 3.3 3.45 3.3 3.4 8400 3.4
2013-03-19 3.4 3.44 3.36 3.44 1300 3.44
2013-03-20 3.5 3.5 3.4 3.48 2500 3.48
2013-03-21 3.43 3.58 3.4 3.56 33400 3.56
2013-03-22 3.56 3.77 3.52 3.77 14300 3.77
2013-03-25 3.7 4.1 3.65 4.05 145100 4.05
2013-03-26 4.05 4.15 4 4.08 23300 4.08
2013-03-27 4 4.06 3.92 4 75100 4
2013-03-28 4 4.23 3.96 4.2 106200 4.2
2013-04-01 4.25 4.25 4.07 4.11 10300 4.11
2013-04-02 4.15 4.2 3.4 4.04 102700 4.04
2013-04-03 3.98 3.98 3.75 3.8 9400 3.8
2013-04-04 3.79 4.06 3.7 4.02 10900 4.02
2013-04-05 4 4.08 3.94 4.04 12700 4.04
2013-04-08 4.02 4.03 3.9 3.9 5200 3.9
2013-04-09 3.92 4.02 3.85 3.99 6800 3.99
2013-04-10 4.04 4.04 3.85 3.94 5900 3.94
2013-04-11 4 4 3.78 3.9 7200 3.9
2013-04-12 3.85 3.9 3.75 3.84 3600 3.84
2013-04-15 3.73 3.91 3.73 3.75 8000 3.75
2013-04-16 3.78 3.88 3.78 3.86 1800 3.86
2013-04-17 3.77 3.95 3.77 3.87 7000 3.87
2013-04-18 3.92 3.95 3.78 3.95 12200 3.95
2013-04-19 3.95 4.19 3.89 4.14 24600 4.14
2013-04-22 4.19 4.19 4 4.11 9400 4.11
2013-04-23 4.1 4.15 3.95 4 14900 4
2013-04-24 4.05 4.07 3.8 3.95 11400 3.95
2013-04-25 3.9 4.11 3.86 3.95 7600 3.95
2013-04-26 3.98 3.98 3.85 3.95 14100 3.95
2013-04-29 3.98 4.11 3.8 4.09 21300 4.09
2013-04-30 4.11 4.2 4.06 4.2 22900 4.2
2013-05-01 4.19 4.29 4.14 4.28 20200 4.28
2013-05-02 4.22 4.38 4.22 4.31 23200 4.31
2013-05-03 4.34 4.35 4.2 4.29 17600 4.29
2013-05-06 4.3 4.44 4.26 4.4 18400 4.4
2013-05-07 4.31 4.41 4.27 4.39 16300 4.39
2013-05-08 4.39 4.45 4.28 4.45 16300 4.45
2013-05-09 4.42 4.5 4.24 4.43 23500 4.43
2013-05-10 4.41 4.43 4.3 4.3 11600 4.3
2013-05-13 4.37 4.37 4 4.2 7300 4.2
2013-05-14 4.16 4.35 4.16 4.31 2400 4.31
2013-05-15 4.26 4.26 4.18 4.18 1100 4.18
2013-05-16 4.13 4.3 4.02 4.05 17300 4.05
2013-05-17 4.1 4.18 4.1 4.16 4000 4.16
2013-05-20 4.24 4.25 4.19 4.19 5300 4.19
2013-05-21 4.2 4.5 4.2 4.38 34900 4.38
2013-05-22 4.38 4.5 4.12 4.15 34000 4.15
2013-05-23 3.98 4.03 3.87 4 22400 4
2013-05-24 3.98 4.28 3.98 4.25 18600 4.25
2013-05-28 4.45 4.45 4.24 4.29 18800 4.29
2013-05-29 4.16 4.3 4.16 4.3 12500 4.3
2013-05-30 4.23 4.28 4.14 4.28 15100 4.28
2013-05-31 4.32 4.32 4.19 4.32 15100 4.32
2013-06-03 4.23 4.27 4.07 4.12 12300 4.12
2013-06-04 4.17 4.2 4.13 4.17 14100 4.17
2013-06-05 4.12 4.15 4.04 4.04 6200 4.04
2013-06-06 4.05 4.21 4.04 4.15 11300 4.15
2013-06-07 4.1 4.19 4.1 4.19 8700 4.19
2013-06-10 4.23 4.25 4.17 4.18 6400 4.18
2013-06-11 4.15 4.19 4.12 4.15 3400 4.15
2013-06-12 4.18 4.22 4.17 4.19 4400 4.19
2013-06-13 4.24 4.24 4.19 4.19 1200 4.19
2013-06-14 4.07 4.22 4.07 4.22 6200 4.22
2013-06-17 4.28 4.28 4.17 4.23 11400 4.23
2013-06-18 4.18 4.31 4.18 4.2 2800 4.2
2013-06-19 4.2 4.23 4.05 4.15 106700 4.15
2013-06-20 4.1 4.3 4.04 4.29 42200 4.29
2013-06-21 4.3 4.3 4.15 4.16 21000 4.16
2013-06-24 4.12 4.13 4.07 4.1 33200 4.1
2013-06-25 4.05 4.2 4.01 4.14 38400 4.14
2013-06-26 4.09 4.13 4.04 4.11 7100 4.11
2013-06-27 4.08 4.2 4.08 4.2 19500 4.2
2013-06-28 4.2 4.37 4.16 4.36 139500 4.36
2013-07-01 4.49 4.49 4.28 4.32 31600 4.32
2013-07-02 4.32 4.43 4.2 4.32 9700 4.32
2013-07-03 4.25 4.48 4.23 4.4 10100 4.4
2013-07-05 4.32 4.45 4.32 4.45 16600 4.45
2013-07-08 4.4 4.4 4.32 4.34 5400 4.34
2013-07-09 4.32 4.71 4.25 4.53 198500 4.53
2013-07-10 4.48 4.56 4.43 4.55 58400 4.55
2013-07-11 4.55 4.58 4.4 4.44 15600 4.44
2013-07-12 4.43 4.44 4.3 4.38 121800 4.38
2013-07-15 4.35 4.55 4.27 4.27 14200 4.27
2013-07-16 4.26 4.44 4.26 4.35 9800 4.35
2013-07-17 4.36 4.4 4.29 4.39 3000 4.39
2013-07-18 4.4 4.4 4.3 4.34 10100 4.34
2013-07-19 4.39 4.43 4.3 4.3 10300 4.3
2013-07-22 4.35 4.4 4.32 4.39 6000 4.39
2013-07-23 4.45 4.63 4.4 4.52 17700 4.52
2013-07-24 4.55 4.55 4.27 4.44 18300 4.44
2013-07-25 4.46 4.73 4.4 4.73 6800 4.73
2013-07-26 4.77 4.84 4.63 4.75 13400 4.75
2013-07-29 4.79 4.8 4.68 4.75 9100 4.75
2013-07-30 4.68 4.68 4 4.43 53400 4.43
2013-07-31 4.39 4.39 4.22 4.38 23500 4.38
2013-08-01 4.31 4.56 4.27 4.43 12100 4.43
2013-08-02 4.45 4.84 4.45 4.81 10300 4.81
2013-08-05 4.86 4.86 4.41 4.7 23000 4.7
2013-08-06 4.76 4.76 4.51 4.65 11800 4.65
2013-08-07 4.56 4.75 4.56 4.73 17000 4.73
2013-08-08 4.74 4.74 4.65 4.7 4800 4.7
2013-08-09 4.79 4.79 4.62 4.75 11100 4.75
2013-08-12 4.8 4.8 4.71 4.73 9300 4.73
2013-08-13 4.69 4.69 4.35 4.55 44500 4.55
2013-08-14 4.48 4.55 4.48 4.5 3300 4.5
2013-08-15 4.57 4.58 4.46 4.48 8000 4.48
2013-08-16 4.52 4.58 4.5 4.55 14600 4.55
2013-08-19 4.53 4.66 4.51 4.66 14000 4.66
2013-08-20 4.62 4.7 4.44 4.68 19000 4.68
2013-08-21 4.72 4.72 4.48 4.66 19300 4.66
2013-08-22 4.72 4.74 4.44 4.55 28100 4.55
2013-08-23 4.6 4.66 4.45 4.56 8300 4.56
2013-08-26 4.65 4.8 4.55 4.67 16300 4.67
2013-08-27 4.53 4.61 4.5 4.54 38400 4.54
2013-08-28 4.49 4.55 4.46 4.54 7600 4.54
2013-08-29 4.47 4.51 4.4 4.44 6100 4.44
2013-08-30 4.41 4.41 4.32 4.41 12500 4.41
2013-09-03 4.47 4.51 4.39 4.45 7800 4.45
2013-09-04 4.5 4.52 4.48 4.52 13500 4.52
2013-09-05 4.49 4.55 4.49 4.52 13400 4.52
2013-09-06 4.6 4.6 4.43 4.54 14700 4.54
2013-09-09 4.5 4.73 4.45 4.61 43400 4.61
2013-09-10 4.69 4.73 4.52 4.65 24200 4.65
2013-09-11 4.63 4.63 4.54 4.59 4600 4.59
2013-09-12 4.55 4.58 4.37 4.4 8100 4.4
2013-09-13 4.48 4.5 4.34 4.34 12500 4.34
2013-09-16 4.45 4.5 4.36 4.48 61800 4.48
2013-09-17 4.42 4.46 4.19 4.38 11500 4.38
2013-09-18 4.44 4.44 4.25 4.35 34700 4.35
2013-09-19 4.3 4.4 4.03 4.2 88500 4.2
2013-09-20 4.17 4.2 3.84 3.97 204800 3.97
