"Index" "DB.Open" "DB.High" "DB.Low" "DB.Close" "DB.Volume" "DB.Adjusted"
2013-01-02 45.499999 45.569993 44.899997 45.44 1515100 40.367098
2013-01-03 45.009997 45.480002 44.919994 45.109998 1489300 40.073937
2013-01-04 45.239998 45.880003 45.109998 45.830002 732200 40.71356
2013-01-07 46.759999 46.979994 46.540004 46.779996 1723600 41.557497
2013-01-08 47.669999 47.679997 47.069996 47.409998 1607800 42.117166
2013-01-09 47.979996 48.110001 47.409998 47.5 1089700 42.19712
2013-01-10 49.699995 49.739997 48.769998 49.509991 2450100 43.982717
2013-01-11 49.439998 49.739997 49.049992 49.619999 1198200 44.080443
2013-01-14 49.599994 49.669999 49.020001 49.439998 1007200 43.920537
2013-01-15 48.81 49.219999 48.679996 49.200006 1143900 43.707338
2013-01-16 48.400001 49.029999 48.260002 48.610002 1596800 43.183202
2013-01-17 49.310001 49.360002 48.799994 48.860001 1274400 43.405291
2013-01-18 49.08 49.189995 48.610002 49.029999 912100 43.556311
2013-01-22 47.840005 48.389995 47.559999 48.329996 2059400 42.934456
2013-01-23 47.250002 47.639995 46.999999 47.229997 1756900 41.95726
2013-01-24 48.069999 48.689994 48.029997 48.429997 1531300 43.023293
2013-01-25 49.219999 49.489998 48.950003 49.489998 1426900 43.964956
2013-01-28 50.020003 50.049995 49.499993 49.679998 965700 44.133744
2013-01-29 49.279998 49.900005 49.160004 49.799996 930700 44.240345
2013-01-30 50.310004 50.570001 49.669999 50.380001 1908200 44.755599
2013-01-31 51.530001 52.299998 51.299996 51.659998 3480200 45.892697
2013-02-01 52.349998 53.119995 51.770005 52.699998 2488200 46.816593
2013-02-04 51.680003 51.880001 49.939999 50.129999 2289400 44.533507
2013-02-05 51.559997 51.640001 50.970005 51.130001 1268800 45.421869
2013-02-06 49.999994 50.539997 49.920002 50.509994 1518400 44.871079
2013-02-07 49.849996 50.029998 48.750005 49.099993 1667600 43.61849
2013-02-08 48.950003 49.499993 48.950003 49.410002 1702200 43.893891
2013-02-11 49.269999 49.269999 48.500002 49.000004 1154500 43.529664
2013-02-12 49.229997 50.060005 49.120002 49.870001 1094500 44.302536
2013-02-13 49.679998 49.870001 49.189995 49.379999 735000 43.867237
2013-02-14 47.990003 48.750005 47.950001 48.750005 1345300 43.307575
2013-02-15 48.729996 48.750005 47.529996 47.869997 1419100 42.525811
2013-02-19 48.57 49.060003 48.510001 49.000004 898500 43.529664
2013-02-20 48.860001 48.92 47.540002 47.590003 1044900 42.277075
2013-02-21 46.3 46.330003 45.649997 45.759997 2504900 40.65137
2013-02-22 46.7 46.999999 46.080005 46.999999 1975000 41.752939
2013-02-25 49.360002 49.429999 45.239998 45.319994 4736000 40.260489
2013-02-26 45.580003 46.000001 44.849997 45.239998 2068300 40.189424
2013-02-27 44.770005 46.119995 44.720004 45.980004 1357400 40.846815
2013-02-28 45.640002 46.229994 45.569993 45.730005 1029600 40.624727
2013-03-01 43.220001 43.949995 42.970002 43.699997 3072000 38.821348
2013-03-04 42.989995 43.689998 42.729998 43.499995 1535000 38.643674
2013-03-05 44.259993 44.740001 44.159996 44.29 2147900 39.345484
2013-03-06 44.780003 44.859995 43.97 44.270003 1488300 39.327719
2013-03-07 44.180001 44.740001 44.16999 44.64 867600 39.656409
2013-03-08 45.28 45.380001 44.780003 45.140001 2087200 40.100591
2013-03-11 43.989997 44.669992 43.920004 44.630002 2899600 39.647527
2013-03-12 45.020003 45.319994 44.209992 44.499997 1437900 39.532036
2013-03-13 43.660003 43.909993 43.410004 43.799998 1363900 38.910185
2013-03-14 44.530001 44.649999 44.139999 44.619991 914800 39.638634
2013-03-15 44.799996 44.809995 44.339997 44.630002 1375400 39.647527
2013-03-18 42.789997 43.639998 42.760001 43.020003 2316700 38.217268
2013-03-19 42.53 42.66 40.969997 41.679995 4191300 37.026858
2013-03-20 42.329998 42.410002 41.62 41.900002 1169800 37.222304
2013-03-21 42.010002 42.679997 41.719997 42.000003 1611100 37.311141
2013-03-22 42.460002 42.500004 41.910001 42.110003 1360300 37.40886
2013-03-25 41.929998 41.979998 39.999998 40.360001 3431800 35.854227
2013-03-26 40.330005 40.859998 40.090001 40.26 2172600 35.76539
2013-03-27 38.699997 39.209997 38.419995 39.069994 3362700 34.708236
2013-03-28 39.459999 39.659997 38.909998 39.119994 2198300 34.752655
2013-04-01 39.119994 39.24 38.430001 38.720006 1591000 34.397321
2013-04-02 39.669996 40.419996 39.480004 39.979993 2367700 35.516644
2013-04-03 40.119996 40.209999 39.069994 39.24 2319700 34.859263
2013-04-04 39.24 39.690001 38.970005 39.450001 1569900 35.045819
2013-04-05 39.130005 39.729995 38.799998 39.649999 1842400 35.22349
2013-04-08 39.390002 39.769997 39.109996 39.769997 1343600 35.330091
2013-04-09 40.569997 41.000001 40.31 40.879995 2279700 36.316169
2013-04-10 41.919999 42.629997 41.81 42.229997 2407000 37.515458
2013-04-11 42.389997 42.910003 42.029999 42.250006 1451500 37.533233
2013-04-12 41.210001 41.369997 40.790004 41.340006 1264500 36.724825
2013-04-15 41.040003 41.040003 39.999998 40.059997 1449900 35.587716
2013-04-16 41.469998 41.519999 40.840005 41.210001 1466300 36.609334
2013-04-17 40.119996 40.319999 39.099997 39.500001 2940200 35.090238
2013-04-18 39.469994 39.519994 38.180003 38.49 2800400 34.192993
2013-04-19 39.269996 39.519994 38.959998 39.249999 1787500 34.868145
2013-04-22 39.740001 40.009997 39.009999 39.840002 1476900 35.392281
2013-04-23 41.040003 41.369997 40.939994 41.179998 3036900 36.58268
2013-04-24 41.86 42.539994 41.579998 42.219998 1775100 37.506575
2013-04-25 42.42 42.879999 42.289996 42.439997 1778600 37.702014
2013-04-26 41.740006 42.37 41.660002 42.269999 1103800 37.550994
2013-04-29 42.920001 44.499997 41.319997 43.849994 12050700 38.954599
2013-04-30 46.219996 46.469994 45.580003 46.050001 6779400 40.908998
2013-05-01 45.6 46.380004 45.6 45.849999 2554800 40.731325
2013-05-02 46.159997 46.86 46.059996 46.840003 2938300 41.610805
2013-05-03 47.679997 48.160001 47.559999 47.859998 2765600 42.516928
2013-05-06 48.160001 48.210002 47.639995 48.050002 1461000 42.68572
2013-05-07 48.929998 49.139995 48.129998 48.789995 2464000 43.343101
2013-05-08 48.379996 48.81 48.150003 48.81 1989900 43.360872
