"Index" "DBL.Open" "DBL.High" "DBL.Low" "DBL.Close" "DBL.Volume" "DBL.Adjusted"
2013-01-02 27.200001 27.25 26.690001 27 106800 20.786622
2013-01-03 26.969999 27.110001 26.66 26.75 57700 20.594153
2013-01-04 26.77 26.889999 26.6 26.77 115300 20.609551
2013-01-07 26.799999 26.83 26.41 26.639999 105100 20.509466
2013-01-08 26.719999 26.950001 26.719999 26.84 90200 20.663442
2013-01-09 27 27 26.84 26.85 82800 20.671141
2013-01-10 26.9 27.17 26.9 26.93 104400 20.732731
2013-01-11 26.879999 27.08 26.879999 27.030001 53200 20.809718
2013-01-14 27.110001 27.440001 27.08 27.42 51600 21.109969
2013-01-15 27.33 27.42 27.059999 27.23 89000 20.963692
2013-01-16 27.129999 27.26 27.030001 27.219999 26600 21.085308
2013-01-17 27.200001 27.370001 27.049999 27.200001 128900 21.069817
2013-01-18 27.25 27.27 27.1 27.16 54500 21.038831
2013-01-22 27.309999 27.370001 27.030001 27.08 105500 20.976861
2013-01-23 27.049999 27.18 26.879999 27.09 98300 20.984608
2013-01-24 27.120001 27.200001 26.76 26.82 81100 20.775458
2013-01-25 26.799999 27.1 26.690001 26.98 99300 20.899398
2013-01-28 26.9 26.98 26.08 26.370001 397300 20.426878
2013-01-29 26.4 26.450001 26.18 26.26 88500 20.341668
2013-01-30 26.370001 26.540001 26.24 26.25 107000 20.333922
2013-01-31 26.379999 26.629999 26.33 26.459999 133400 20.496593
2013-02-01 26.459999 26.629999 26.35 26.370001 108200 20.426878
2013-02-04 26.370001 26.49 26.209999 26.35 88800 20.411385
2013-02-05 26.450001 26.879999 26.360001 26.870001 153900 20.814191
2013-02-06 26.82 27.09 26.719999 26.99 157400 20.907145
2013-02-07 27.07 27.190001 26.68 26.82 60100 20.775458
2013-02-08 26.9 27.09 26.559999 26.73 55700 20.705742
2013-02-11 28.059999 28.059999 26.85 27.030001 83300 20.93813
2013-02-12 26.469999 27.15 26.290001 27.139999 66300 21.023338
2013-02-13 27.129999 27.129999 26.719999 26.809999 82600 20.896292
2013-02-14 26.85 27.110001 26.85 26.969999 64400 21.020999
2013-02-15 27.059999 27.129999 26.91 27.02 46500 21.059971
2013-02-19 27.049999 27.26 26.9 27.26 127800 21.247032
2013-02-20 27.049999 27.219999 26.959999 27 62100 21.044382
2013-02-21 27.01 27.190001 26.92 27.129999 66400 21.145706
2013-02-22 27.1 27.200001 27.07 27.17 122700 21.176884
2013-02-25 27.18 27.18 26.719999 26.82 85100 20.904086
2013-02-26 26.799999 27.040001 26.73 26.92 59800 20.982029
2013-02-27 27 27.139999 26.799999 26.950001 82200 21.005412
2013-02-28 27.73 27.75 26.809999 26.82 54100 20.904086
2013-03-01 26.82 26.940001 26.82 26.870001 31100 20.943058
2013-03-04 26.85 27.15 26.85 26.98 68400 21.028794
2013-03-05 27.110001 27.110001 26.879999 26.959999 67300 21.013205
2013-03-06 26.85 26.950001 26.719999 26.82 109300 20.904086
2013-03-07 26.790001 26.84 26.66 26.75 64800 20.849527
2013-03-08 26.700001 26.879999 26.700001 26.83 69100 20.911881
2013-03-11 26.799999 26.98 26.74 26.93 55200 20.989823
2013-03-12 26.969999 26.98 26.889999 26.959999 55400 21.013205
2013-03-13 26.75 26.93 26.530001 26.58 48600 20.846154
2013-03-14 26.52 26.93 26.35 26.42 150500 20.72067
2013-03-15 26.27 26.48 26.209999 26.4 87100 20.704984
2013-03-18 26.1 26.48 25.73 26.41 91500 20.712827
2013-03-19 26.309999 26.59 26.290001 26.51 64700 20.791255
2013-03-20 26.549999 26.719999 26.49 26.719999 53200 20.955953
2013-03-21 26.719999 26.719999 26.35 26.6 57300 20.86184
2013-03-22 26.58 26.67 26.379999 26.49 50300 20.775569
2013-03-25 26.5 26.59 26.26 26.309999 69900 20.634399
2013-03-26 26.4 26.540001 26.290001 26.35 63800 20.665771
2013-03-27 26.33 26.59 26.27 26.49 78300 20.775569
2013-03-28 26.790001 26.790001 26.360001 26.75 246800 20.979482
2013-04-01 26.75 27.02 26.65 27.01 120200 21.183395
2013-04-02 27.09 27.09 26.9 26.98 45800 21.159866
2013-04-03 27.040001 27.040001 26.83 26.950001 72200 21.136339
2013-04-04 26.940001 27 26.6 26.700001 95100 20.940269
2013-04-05 26.75 26.75 26.5 26.59 97500 20.853997
2013-04-08 26.700001 26.75 26.51 26.58 73100 20.846154
2013-04-09 26.700001 26.719999 26.459999 26.6 53200 20.86184
2013-04-10 26.65 26.950001 26.65 26.92 95500 21.11281
2013-04-11 26.9 26.959999 26.75 26.91 66300 21.104967
2013-04-12 26.950001 27.110001 26.9 27.08 152000 21.238294
2013-04-15 27.17 27.17 26.700001 27.07 56300 21.230451
2013-04-16 27 27.200001 26.85 26.940001 90800 21.128496
2013-04-17 26.85 26.940001 26.610001 26.940001 14000 21.260288
2013-04-18 26.950001 26.969999 26.5 26.77 105900 21.126128
2013-04-19 26.77 26.799999 26.459999 26.59 68200 20.984077
2013-04-22 26.709999 26.75 26.5 26.620001 97100 21.007753
2013-04-23 26.559999 26.58 26.41 26.42 211400 20.849918
2013-04-24 26.4 26.58 26.290001 26.57 170400 20.968293
2013-04-25 26.5 26.639999 26.4 26.459999 151800 20.881484
2013-04-26 26.459999 26.67 26.389999 26.639999 79700 21.023535
2013-04-29 26.65 26.75 26.549999 26.74 30800 21.102453
2013-04-30 26.790001 26.99 26.77 26.940001 58600 21.260288
2013-05-01 26.93 27.049999 26.889999 27 89600 21.307637
2013-05-02 27.030001 27.1 26.98 27.07 51300 21.362879
2013-05-03 27.030001 27.35 27.01 27.309999 118800 21.55228
2013-05-06 27.26 27.74 27.26 27.700001 98000 21.860058
2013-05-07 27.620001 27.75 27.4 27.469999 78800 21.678548
