"Index" "DEN.Open" "DEN.High" "DEN.Low" "DEN.Close" "DEN.Volume" "DEN.Adjusted"
2013-01-01 19.875 19.875 19.875 19.875 0 19.875
2013-01-02 19.66 19.66 19.66 19.66 0 19.66
2013-01-03 19.86 19.86 19.86 19.86 0 19.86
2013-01-04 20.39 20.39 20.39 20.39 0 20.39
2013-01-07 20.16 20.16 20.16 20.16 0 20.16
2013-01-08 20.01 20.01 20.01 20.01 0 20.01
2013-01-09 20.155 20.155 20.155 20.155 0 20.155
2013-01-10 20.205 20.205 20.205 20.205 0 20.205
2013-01-11 20.385 20.385 20.385 20.385 0 20.385
2013-01-14 20.06 20.06 20.06 20.06 0 20.06
2013-01-15 20.55 20.55 20.55 20.55 0 20.55
2013-01-16 20.21 20.21 20.21 20.21 0 20.21
2013-01-17 19.545 19.545 19.545 19.545 0 19.545
2013-01-18 20.205 20.205 20.205 20.205 0 20.205
2013-01-21 20.01 20.01 20.01 20.01 0 20.01
2013-01-22 19.88 19.88 19.88 19.88 0 19.88
2013-01-23 19.73 19.73 19.73 19.73 0 19.73
2013-01-24 19.695 19.695 19.695 19.695 0 19.695
2013-01-25 20.265 20.265 20.265 20.265 0 20.265
2013-01-28 19.985 19.985 19.985 19.985 0 19.985
2013-01-29 19.995 19.995 19.995 19.995 0 19.995
2013-01-30 20.605 20.605 20.605 20.605 0 20.605
2013-01-31 20.48 20.48 20.48 20.48 0 20.48
2013-02-01 20.21 20.21 20.21 20.21 0 20.21
2013-02-04 20.165 20.165 20.165 20.165 0 20.165
2013-02-05 19.79 19.79 19.79 19.79 0 19.79
2013-02-06 20.74 20.74 20.74 20.74 0 20.74
2013-02-07 20.73 20.73 20.73 20.73 0 20.73
2013-02-08 20.34 20.34 20.34 20.34 0 20.34
2013-02-11 20.47 20.47 20.47 20.47 0 20.47
2013-02-12 22.235 22.235 22.235 22.235 0 22.235
2013-02-13 22.05 22.05 22.05 22.05 0 22.05
2013-02-14 21.88 21.88 21.88 21.88 0 21.88
2013-02-15 21.945 21.945 21.945 21.945 0 21.945
2013-02-18 22.565 22.565 22.565 22.565 0 22.565
2013-02-19 22.035 22.035 22.035 22.035 0 22.035
2013-02-20 22.19 22.19 22.19 22.19 0 22.19
2013-02-21 21.98 21.98 21.98 21.98 0 21.98
2013-02-22 22.375 22.375 22.375 22.375 0 22.375
2013-02-25 23.44 23.44 23.44 23.44 0 23.44
2013-02-26 23.485 23.485 23.485 23.485 0 23.485
2013-02-27 22.865 22.865 22.865 22.865 0 22.865
2013-02-28 23.455 23.455 23.455 23.455 0 23.455
2013-03-01 24.005 24.005 24.005 24.005 0 24.005
2013-03-04 24.19 24.19 24.19 24.19 0 24.19
2013-03-05 23.8 23.8 23.8 23.8 0 23.8
2013-03-06 24.105 24.105 24.105 24.105 0 24.105
2013-03-07 23.975 23.975 23.975 23.975 0 23.975
2013-03-08 23.285 23.285 23.285 23.285 0 23.285
2013-03-11 23.465 23.465 23.465 23.465 0 23.465
2013-03-12 22.93 22.93 22.93 22.93 0 22.93
2013-03-13 23.075 23.075 23.075 23.075 0 23.075
2013-03-14 23.525 23.525 23.525 23.525 0 23.525
2013-03-15 23.965 23.965 23.965 23.965 0 23.965
2013-03-18 23.625 23.625 23.625 23.625 0 23.625
2013-03-19 23.85 23.85 23.85 23.85 0 23.85
2013-03-20 24.075 24.075 24.075 24.075 0 24.075
2013-03-21 23.98 23.98 23.98 23.98 0 23.98
2013-03-22 23.31 23.31 23.31 23.31 0 23.31
2013-03-25 23.68 23.68 23.68 23.68 0 23.68
2013-03-26 23.745 23.745 23.745 23.745 0 23.745
2013-03-27 23.605 23.605 23.605 23.605 0 23.605
2013-03-28 22.89 22.89 22.89 22.89 0 22.89
2013-03-29 22.89 22.89 22.89 22.89 0 22.89
2013-04-01 22.89 22.89 22.89 22.89 0 22.89
2013-04-02 21.7 21.7 21.7 21.7 0 21.7
2013-04-03 21.74 21.74 21.74 21.74 0 21.74
2013-04-04 22.37 22.37 22.37 22.37 0 22.37
2013-04-05 22.69 22.69 22.69 22.69 0 22.69
2013-04-08 23.815 23.815 23.815 23.815 0 23.815
2013-04-09 23.795 23.795 23.795 23.795 0 23.795
2013-04-10 23.925 23.925 23.925 23.925 0 23.925
2013-04-11 23.83 23.83 23.83 23.83 0 23.83
2013-04-12 23.71 23.71 23.71 23.71 0 23.71
2013-04-15 23.955 23.955 23.955 23.955 0 23.955
2013-04-16 24 24 24 24 0 24
2013-04-17 23.75 23.75 23.75 23.75 0 23.75
2013-04-18 23.65 23.65 23.65 23.65 0 23.65
2013-04-19 23.83 23.83 23.83 23.83 0 23.83
2013-04-22 24.24 24.24 24.24 24.24 0 24.24
2013-04-23 24.725 24.725 24.725 24.725 0 24.725
2013-04-24 25.775 25.775 25.775 25.775 0 25.775
2013-04-25 25.98 25.98 25.98 25.98 0 25.98
2013-04-26 26.17 26.17 26.17 26.17 0 26.17
2013-04-29 26.275 26.275 26.275 26.275 0 26.275
2013-04-30 26.13 26.13 26.13 26.13 0 26.13
2013-05-01 26.13 26.13 26.13 26.13 0 26.13
2013-05-02 26.41 26.41 26.41 26.41 0 26.41
2013-05-03 26.405 26.405 26.405 26.405 0 26.405
2013-05-06 26.005 26.005 26.005 26.005 0 26.005
2013-05-07 27.63 27.63 27.63 27.63 0 27.63
2013-05-08 27.455 27.455 27.455 27.455 0 27.455
2013-05-09 27.94 27.94 27.94 27.94 0 27.94
2013-05-10 28.3 28.3 28.3 28.3 0 28.3
2013-05-13 28.62 28.62 28.62 28.62 0 28.62
2013-05-14 28.975 28.975 28.975 28.975 0 28.975
2013-05-15 28.3 28.3 28.3 28.3 0 28.3
2013-05-16 27.52 27.52 27.52 27.52 0 27.52
2013-05-17 27.495 27.495 27.495 27.495 0 27.495
2013-05-20 27.59 27.59 27.59 27.59 0 27.59
2013-05-21 27.49 27.49 27.49 27.49 0 27.49
2013-05-22 28.22 28.22 28.22 28.22 0 28.22
2013-05-23 25.47 25.47 25.47 25.47 0 25.47
2013-05-24 25.245 25.245 25.245 25.245 0 25.245
2013-05-27 24.625 24.625 24.625 24.625 0 24.625
2013-05-28 24.63 24.63 24.63 24.63 0 24.63
2013-05-29 25.29 25.29 25.29 25.29 0 25.29
2013-05-30 22.995 22.995 22.995 22.995 0 22.995
2013-05-31 23.48 23.48 23.48 23.48 0 23.48
2013-06-03 23.51 23.51 23.51 23.51 0 23.51
2013-06-04 24.265 24.265 24.265 24.265 0 24.265
2013-06-05 24.935 24.935 24.935 24.935 0 24.935
2013-06-06 24.71 24.71 24.71 24.71 0 24.71
2013-06-07 25.005 25.005 25.005 25.005 0 25.005
2013-06-10 26.77 26.77 26.77 26.77 0 26.77
2013-06-11 25.47 25.47 25.47 25.47 0 25.47
2013-06-12 26.785 26.785 26.785 26.785 0 26.785
2013-06-13 25.285 25.285 25.285 25.285 0 25.285
2013-06-14 25.4 25.4 25.4 25.4 0 25.4
2013-06-17 26.31 26.31 26.31 26.31 0 26.31
2013-06-18 25.875 25.875 25.875 25.875 0 25.875
2013-06-19 26.655 26.655 26.655 26.655 0 26.655
2013-06-20 25.715 25.715 25.715 25.715 0 25.715
2013-06-21 25.905 25.905 25.905 25.905 0 25.905
2013-06-24 25.555 25.555 25.555 25.555 0 25.555
2013-06-25 25.815 25.815 25.815 25.815 0 25.815
2013-06-26 25.115 25.115 25.115 25.115 0 25.115
2013-06-27 25.45 25.45 25.45 25.45 0 25.45
2013-06-28 26.25 26.25 26.25 26.25 0 26.25
2013-07-01 26.355 26.355 26.355 26.355 0 26.355
2013-07-02 26.24 26.24 26.24 26.24 0 26.24
2013-07-03 26.29 26.29 26.29 26.29 0 26.29
2013-07-04 24.015 24.015 24.015 24.015 0 24.015
2013-07-05 24.84 24.84 24.84 24.84 0 24.84
2013-07-08 23.935 23.935 23.935 23.935 0 23.935
2013-07-09 24.525 24.525 24.525 24.525 0 24.525
2013-07-10 24.565 24.565 24.565 24.565 0 24.565
2013-07-11 24.705 24.705 24.705 24.705 0 24.705
2013-07-12 25.21 25.21 25.21 25.21 0 25.21
2013-07-15 25.16 25.16 25.16 25.16 0 25.16
2013-07-16 25.07 25.07 25.07 25.07 0 25.07
2013-07-17 24.705 24.705 24.705 24.705 0 24.705
2013-07-18 24.935 24.935 24.935 24.935 0 24.935
2013-07-19 24.895 24.895 24.895 24.895 0 24.895
2013-07-22 24.7 24.7 24.7 24.7 0 24.7
2013-07-23 24.145 24.145 24.145 24.145 0 24.145
2013-07-24 23.95 23.95 23.95 23.95 0 23.95
2013-07-25 23.705 23.705 23.705 23.705 0 23.705
2013-07-26 23.54 23.54 23.54 23.54 0 23.54
2013-07-29 23.035 23.035 23.035 23.035 0 23.035
2013-07-30 23.685 23.685 23.685 23.685 0 23.685
2013-07-31 23.84 23.84 23.84 23.84 0 23.84
2013-08-01 24.135 24.135 24.135 24.135 0 24.135
2013-08-02 24.38 24.38 24.38 24.38 0 24.38
2013-08-05 24.47 24.47 24.47 24.47 0 24.47
2013-08-06 24.93 24.93 24.93 24.93 0 24.93
2013-08-07 25.025 25.025 25.025 25.025 0 25.025
2013-08-08 25.295 25.295 25.295 25.295 0 25.295
2013-08-09 25.455 25.455 25.455 25.455 0 25.455
2013-08-12 25.425 25.425 25.425 25.425 0 25.425
2013-08-13 25.585 25.585 25.585 25.585 0 25.585
2013-08-14 25.505 25.505 25.505 25.505 0 25.505
2013-08-15 25.015 25.015 25.015 25.015 0 25.015
2013-08-16 24.695 24.695 24.695 24.695 0 24.695
