"Index" "DX.Open" "DX.High" "DX.Low" "DX.Close" "DX.Volume" "DX.Adjusted"
2013-01-02 9.55 9.78 9.53 9.76 477300 6.977186
2013-01-03 9.76 9.84 9.72 9.79 245700 6.998632
2013-01-04 9.86 9.88 9.78 9.84 368300 7.034376
2013-01-07 9.83 9.83 9.78 9.79 263400 6.998632
2013-01-08 9.83 9.85 9.77 9.78 406700 6.991483
2013-01-09 9.79 9.87 9.78 9.84 456100 7.034376
2013-01-10 9.86 9.91 9.8 9.86 259100 7.048673
2013-01-11 9.89 9.92 9.81 9.9 233800 7.077268
2013-01-14 9.91 9.93 9.82 9.87 233900 7.055822
2013-01-15 9.82 9.86 9.8 9.81 252300 7.01293
2013-01-16 9.8 9.87 9.8 9.8 249400 7.005781
2013-01-17 9.85 9.88 9.8 9.85 334700 7.041525
2013-01-18 9.85 9.88 9.81 9.88 287700 7.062971
2013-01-22 9.93 9.94 9.82 9.9 686300 7.077268
2013-01-23 9.93 9.95 9.87 9.93 371800 7.098715
2013-01-24 9.91 9.93 9.82 9.82 378800 7.020078
2013-01-25 9.82 9.85 9.74 9.81 480900 7.01293
2013-01-28 9.85 9.9 9.81 9.89 390000 7.07012
2013-01-29 9.89 9.96 9.85 9.96 304600 7.120161
2013-01-30 9.97 9.98 9.9 9.97 416700 7.12731
2013-01-31 10.01 10.14 9.95 10.11 447400 7.227392
2013-02-01 10.14 10.38 10.08 10.17 328600 7.270285
2013-02-04 10.18 10.18 10.01 10.05 277800 7.1845
2013-02-05 10.05 10.12 10.01 10.07 216300 7.198797
2013-02-06 10.05 10.07 10 10.06 175900 7.191649
2013-02-07 10.05 10.09 9.94 9.98 316100 7.134458
2013-02-08 10.03 10.03 9.9 9.91 237600 7.084417
2013-02-11 9.96 10.15 9.96 10.15 301200 7.255987
2013-02-12 10.14 10.19 10.07 10.19 197400 7.284582
2013-02-13 10.17 10.3 10.15 10.3 242000 7.363219
2013-02-14 10.29 10.29 10.16 10.23 215200 7.313177
2013-02-15 10.26 10.27 10.21 10.26 228100 7.334624
2013-02-19 10.29 10.38 10.28 10.37 625000 7.41326
2013-02-20 10.45 10.49 10.35 10.4 760700 7.434706
2013-02-21 10.42 10.44 10.26 10.29 504100 7.35607
2013-02-22 10.36 10.49 10.27 10.48 458900 7.491896
2013-02-25 10.5 10.62 10.47 10.51 479800 7.513342
2013-02-26 10.55 10.63 10.5 10.58 373000 7.563384
2013-02-27 10.58 10.73 10.58 10.66 359400 7.620574
2013-02-28 10.66 10.88 10.64 10.83 495700 7.742102
