"Index" "DY.Open" "DY.High" "DY.Low" "DY.Close" "DY.Volume" "DY.Adjusted"
2013-01-02 20.09 20.85 20.09 20.4 401200 20.4
2013-01-03 20.4 20.48 19.77 20.120001 250400 20.120001
2013-01-04 20.219999 20.469999 20.049999 20.35 149400 20.35
2013-01-07 20.379999 20.76 20.129999 20.219999 221400 20.219999
2013-01-08 20.18 20.26 19.950001 20.030001 4e+05 20.030001
2013-01-09 20.129999 20.17 19.959999 20.16 94400 20.16
2013-01-10 20.200001 20.33 19.940001 20.15 211000 20.15
2013-01-11 20.200001 20.200001 19.91 19.959999 241100 19.959999
2013-01-14 19.969999 20.07 19.889999 20.040001 278900 20.040001
2013-01-15 19.66 20.26 18.620001 20.17 565500 20.17
2013-01-16 20.07 20.549999 20 20.459999 270300 20.459999
2013-01-17 20.59 21.290001 20.59 20.889999 280000 20.889999
2013-01-18 20.91 20.91 20.559999 20.719999 146900 20.719999
2013-01-22 20.73 21.33 20.639999 21.24 136200 21.24
2013-01-23 21.17 21.17 20.799999 20.99 120500 20.99
2013-01-24 21 21.360001 20.969999 21.33 199700 21.33
2013-01-25 21.469999 21.66 21.17 21.51 133000 21.51
2013-01-28 21.48 21.6 21.190001 21.59 194200 21.59
2013-01-29 21.6 21.75 21.4 21.51 189100 21.51
2013-01-30 21.549999 21.549999 20.59 20.73 174700 20.73
2013-01-31 20.76 21.030001 20.620001 20.98 132400 20.98
2013-02-01 21.120001 21.18 20.85 20.950001 122600 20.950001
2013-02-04 20.780001 20.870001 20.309999 20.459999 186400 20.459999
2013-02-05 20.58 20.719999 20.33 20.68 138400 20.68
2013-02-06 20.530001 20.75 20.43 20.75 89900 20.75
2013-02-07 20.67 20.74 20.219999 20.389999 93000 20.389999
2013-02-08 20.450001 20.700001 20.23 20.41 174200 20.41
2013-02-11 20.41 20.41 19.99 20 2e+05 20
2013-02-12 20.030001 20.24 19.99 20 281400 20
2013-02-13 20.09 20.33 19.92 20.02 270100 20.02
2013-02-14 20.02 20.059999 19.799999 19.85 227700 19.85
2013-02-15 19.91 20.35 19.75 20.280001 227400 20.280001
2013-02-19 20.309999 21.299999 20.280001 21.16 203200 21.16
2013-02-20 21.23 21.34 21 21.23 314700 21.23
2013-02-21 21.18 21.4 21.059999 21.299999 203900 21.299999
2013-02-22 21.35 21.43 21.15 21.4 176100 21.4
2013-02-25 21.540001 21.91 21.23 21.25 399600 21.25
2013-02-26 21.360001 21.6 20.299999 21.5 557400 21.5
2013-02-27 21.48 22.02 20.23 21.879999 1072500 21.879999
2013-02-28 22.23 22.23 20.92 20.950001 267400 20.950001
2013-03-01 20.73 20.940001 20.299999 20.4 446700 20.4
2013-03-04 20.299999 20.34 19.85 20.09 193600 20.09
2013-03-05 20.1 20.5 19.93 20.459999 247300 20.459999
2013-03-06 20.450001 21.15 20.42 21.049999 173700 21.049999
2013-03-07 21.110001 21.440001 20.879999 21.200001 173100 21.200001
2013-03-08 21.190001 21.65 21 21.620001 187500 21.620001
2013-03-11 21.639999 21.639999 21.309999 21.360001 139400 21.360001
2013-03-12 21.370001 21.42 20.92 21.1 87200 21.1
2013-03-13 21.07 21.200001 20.889999 21.120001 78500 21.120001
2013-03-14 21.120001 21.58 21.1 21.51 107000 21.51
2013-03-15 21.5 21.549999 20.99 21.07 216000 21.07
2013-03-18 20.860001 21.030001 20.68 20.860001 130700 20.860001
2013-03-19 21.24 21.25 20.200001 20.32 307800 20.32
2013-03-20 20.42 20.540001 20.23 20.4 220300 20.4
2013-03-21 20.08 21.629999 20.08 20.17 163600 20.17
2013-03-22 20.290001 20.370001 20.209999 20.299999 118600 20.299999
2013-03-25 20.299999 20.639999 20 20.26 205100 20.26
2013-03-26 20.309999 20.43 20.02 20.1 140500 20.1
2013-03-27 20.01 20.02 19.5 19.65 158100 19.65
2013-03-28 19.700001 19.879999 19.549999 19.690001 204100 19.690001
2013-04-01 19.700001 19.700001 19.049999 19.139999 156400 19.139999
2013-04-02 19.23 19.23 18.83 18.889999 126700 18.889999
2013-04-03 18.98 18.98 18.27 18.469999 197300 18.469999
2013-04-04 18.52 18.58 18.33 18.41 82600 18.41
2013-04-05 17.98 18.360001 17.91 18.280001 152900 18.280001
2013-04-08 18.219999 18.799999 18.219999 18.76 139700 18.76
2013-04-09 18.83 19.030001 18.469999 18.950001 162400 18.950001
2013-04-10 18.879999 19.18 18.48 19.110001 147900 19.110001
2013-04-11 19.030001 19.290001 18.620001 19.17 226400 19.17
2013-04-12 19.049999 19.190001 18.719999 19.02 140200 19.02
2013-04-15 18.879999 18.93 18.15 18.25 189200 18.25
2013-04-16 18.41 18.639999 18.389999 18.610001 160700 18.610001
2013-04-17 18.440001 18.690001 18.4 18.59 240300 18.59
2013-04-18 18.66 18.879999 18.57 18.709999 245400 18.709999
2013-04-19 18.719999 18.889999 18.41 18.6 124800 18.6
2013-04-22 18.59 18.84 17.870001 18.76 148900 18.76
2013-04-23 18.92 19.32 18.85 19.309999 138800 19.309999
2013-04-24 19.360001 19.549999 19.120001 19.32 62200 19.32
2013-04-25 19.35 19.76 19.33 19.629999 129300 19.629999
2013-04-26 19.6 19.610001 19 19.07 125700 19.07
2013-04-29 19.1 19.4 18.93 19.26 111400 19.26
2013-04-30 19.25 19.43 19.08 19.32 104800 19.32
2013-05-01 19.23 19.23 17.99 18.469999 209900 18.469999
2013-05-02 18.6 19.059999 18.530001 18.969999 98600 18.969999
2013-05-03 19.190001 19.9 19.110001 19.74 103700 19.74
2013-05-06 19.73 19.73 19.5 19.58 84100 19.58
2013-05-07 19.639999 19.74 19.26 19.42 72800 19.42
2013-05-08 19.33 19.450001 19.01 19.27 93200 19.27
2013-05-09 19.26 19.389999 19.15 19.23 81600 19.23
2013-05-10 19.280001 19.42 19.219999 19.34 56400 19.34
2013-05-13 19.360001 19.360001 18.799999 19.040001 37200 19.040001
2013-05-14 19 19.5 19 19.49 99300 19.49
2013-05-15 19.41 19.870001 19.35 19.870001 77800 19.870001
2013-05-16 19.77 20.120001 19.389999 19.99 97400 19.99
2013-05-17 20.129999 20.129999 19.57 20.09 172700 20.09
2013-05-20 19.99 20.75 19.99 20.34 180900 20.34
2013-05-21 20.35 20.6 19.98 20.41 352200 20.41
2013-05-22 23.65 23.65 21.860001 22.16 859800 22.16
2013-05-23 21.969999 22.51 21.709999 22.23 192700 22.23
2013-05-24 22.200001 22.48 22.01 22.299999 116600 22.299999
2013-05-28 22.59 22.85 22.08 22.639999 185900 22.639999
2013-05-29 22.469999 22.870001 22.190001 22.450001 176900 22.450001
2013-05-30 22.540001 22.98 22.43 22.959999 133000 22.959999
2013-05-31 22.790001 23.059999 22.450001 22.75 158900 22.75
2013-06-03 22.82 23.49 22.6 23.379999 242900 23.379999
2013-06-04 23.48 23.58 23.07 23.24 149200 23.24
2013-06-05 23.219999 23.24 22.870001 22.889999 129600 22.889999
2013-06-06 22.889999 23.18 22.719999 22.860001 137100 22.860001
2013-06-07 23.02 23.42 22.790001 23.35 203600 23.35
2013-06-10 23.49 23.49 22.9 23 128400 23
2013-06-11 22.790001 22.82 22.07 22.469999 94100 22.469999
2013-06-12 22.690001 22.76 22.18 22.190001 65100 22.190001
2013-06-13 22.24 22.74 21.889999 22.66 103500 22.66
2013-06-14 22.67 22.719999 22.17 22.17 54000 22.17
2013-06-17 22.6 23.700001 22.51 23.530001 457400 23.530001
2013-06-18 23.68 24.15 23.65 24.1 262700 24.1
2013-06-19 24.15 24.17 23.530001 23.549999 150900 23.549999
2013-06-20 23.25 23.27 22.440001 22.709999 171900 22.709999
2013-06-21 22.700001 22.84 22.200001 22.66 317900 22.66
2013-06-24 22.549999 22.629999 21.860001 22.18 193600 22.18
2013-06-25 22.41 22.65 22.27 22.459999 146100 22.459999
2013-06-26 22.67 22.860001 22.370001 22.690001 219100 22.690001
2013-06-27 22.790001 23.17 22.790001 23.129999 145600 23.129999
