"Index" "EAD.Open" "EAD.High" "EAD.Low" "EAD.Close" "EAD.Volume" "EAD.Adjusted"
2013-01-02 10.14 10.33 10.14 10.25 337900 7.920927
2013-01-03 10.33 10.35 10.29 10.33 419700 7.982748
2013-01-04 10.3 10.35 10.28 10.3 260100 7.959565
2013-01-07 10.26 10.3 10.25 10.3 194300 7.959565
2013-01-08 10.26 10.32 10.26 10.32 150400 7.97502
2013-01-09 10.32 10.38 10.3 10.37 178500 8.013659
2013-01-10 10.36 10.37 10.34 10.34 159300 7.990476
2013-01-11 10.27 10.32 10.26 10.3 209200 8.019283
2013-01-14 10.27 10.3 10.21 10.23 232500 7.964783
2013-01-15 10.18 10.26 10.16 10.26 302700 7.988141
2013-01-16 10.18 10.29 10.15 10.28 219400 8.003712
2013-01-17 10.31 10.35 10.29 10.34 185700 8.050426
2013-01-18 10.38 10.45 10.33 10.38 231600 8.081569
2013-01-22 10.41 10.47 10.38 10.47 137000 8.151641
2013-01-23 10.48 10.48 10.42 10.47 286900 8.151641
2013-01-24 10.48 10.49 10.43 10.49 220900 8.167212
2013-01-25 10.46 10.49 10.43 10.45 184600 8.136069
2013-01-28 10.48 10.5 10.41 10.5 223500 8.174997
2013-01-29 10.46 10.5 10.43 10.49 265100 8.167212
2013-01-30 10.49 10.5 10.43 10.46 210100 8.143855
2013-01-31 10.38 10.41 10.35 10.4 203700 8.09714
2013-02-01 10.42 10.47 10.41 10.46 209300 8.143855
2013-02-04 10.44 10.47 10.4 10.4 178900 8.09714
2013-02-05 10.46 10.57 10.45 10.55 204900 8.213926
2013-02-06 10.52 10.55 10.52 10.55 149200 8.213926
2013-02-07 10.53 10.58 10.5 10.54 270000 8.20614
2013-02-08 10.55 10.56 10.51 10.55 148700 8.213926
2013-02-11 10.46 10.5 10.43 10.5 156200 8.235102
2013-02-12 10.5 10.5 10.45 10.47 136700 8.211573
2013-02-13 10.5 10.5 10.41 10.45 174500 8.195887
2013-02-14 10.45 10.46 10.39 10.46 191700 8.20373
2013-02-15 10.42 10.54 10.41 10.54 224900 8.266474
2013-02-19 10.51 10.53 10.48 10.53 176600 8.258631
2013-02-20 10.51 10.53 10.46 10.53 188500 8.258631
2013-02-21 10.53 10.53 10.42 10.5 164700 8.235102
2013-02-22 10.46 10.46 10.25 10.37 606400 8.133144
2013-02-25 10.36 10.36 10.11 10.12 663600 7.93707
2013-02-26 10.11 10.2 10.1 10.2 342500 7.999813
2013-02-27 10.19 10.19 10.1 10.18 354000 7.984128
2013-02-28 10.14 10.15 9.96 9.98 741400 7.827268
2013-03-01 10.02 10.15 10.01 10.15 407000 7.960598
2013-03-04 10.05 10.15 10.05 10.14 293200 7.952756
2013-03-05 10.16 10.16 10.06 10.12 280900 7.93707
2013-03-06 10.1 10.13 10.05 10.13 256500 7.944913
2013-03-07 10.07 10.13 10.04 10.08 242200 7.905698
2013-03-08 10.12 10.17 10.08 10.15 223900 7.960598
2013-03-11 10.16 10.2 10.13 10.2 275100 7.999813
2013-03-12 10.14 10.14 10.04 10.1 220800 7.974548
2013-03-13 10.1 10.11 10 10.05 370300 7.93507
2013-03-14 10.04 10.08 9.96 9.96 328100 7.86401
2013-03-15 9.95 9.98 9.7 9.83 620900 7.761367
2013-03-18 9.76 9.95 9.7 9.95 403100 7.856114
2013-03-19 9.95 10 9.91 9.95 246000 7.856114
2013-03-20 9.98 10 9.92 10 233100 7.895592
2013-03-21 9.98 10 9.91 10 257800 7.895592
2013-03-22 10.02 10.08 9.96 10.07 311400 7.950861
2013-03-25 10.03 10.08 9.94 9.98 352300 7.8798
2013-03-26 10 10.04 9.99 10.04 218900 7.927174
2013-03-27 10.03 10.08 9.98 10.08 178000 7.958757
2013-03-28 10.05 10.12 10.03 10.03 277100 7.919278
2013-04-01 10.09 10.22 10.06 10.21 634900 8.061399
2013-04-02 10.19 10.24 10.17 10.23 270400 8.07719
2013-04-03 10.22 10.25 10.19 10.25 294200 8.092982
2013-04-04 10.25 10.26 10.15 10.2 227800 8.053504
2013-04-05 10.14 10.25 10.13 10.25 160600 8.092982
2013-04-08 10.22 10.25 10.2 10.2 137900 8.053504
2013-04-09 10.2 10.26 10.2 10.26 92500 8.100877
2013-04-10 10.24 10.27 10.19 10.22 299900 8.069295
2013-04-11 10.25 10.25 10.2 10.21 174400 8.061399
2013-04-12 10.16 10.24 9.7 10.16 248600 8.075707
2013-04-15 10.11 10.13 10.03 10.07 245500 8.00417
2013-04-16 10.09 10.12 10.03 10.12 208000 8.043913
2013-04-17 10.1 10.11 10.04 10.11 154700 8.035964
2013-04-18 10.11 10.19 10.09 10.19 157900 8.099552
2013-04-19 10.16 10.21 10.12 10.14 140600 8.05981
2013-04-22 10.18 10.2 10.13 10.15 127300 8.067758
2013-04-23 10.19 10.27 10.16 10.27 288000 8.163141
2013-04-24 10.28 10.31 10.25 10.31 151600 8.194935
2013-04-25 10.3 10.31 10.25 10.25 167300 8.147244
2013-04-26 10.26 10.29 10.21 10.25 199200 8.147244
2013-04-29 10.24 10.3 10.2 10.2 185300 8.107501
2013-04-30 10.2 10.28 10.18 10.23 197700 8.131346
2013-05-01 10.25 10.27 10.19 10.25 208500 8.147244
2013-05-02 10.23 10.27 10.19 10.2 193500 8.107501
2013-05-03 10.24 10.24 10.15 10.2 211600 8.107501
2013-05-06 10.17 10.21 10.14 10.17 187500 8.083655
2013-05-07 10.17 10.25 10.17 10.25 194500 8.147244
2013-05-08 10.25 10.27 10.19 10.25 147600 8.147244
2013-05-09 10.27 10.3 10.25 10.29 202100 8.179038
