"Index" "ECD.Open" "ECD.High" "ECD.Low" "ECD.Close" "ECD.Volume" "ECD.Adjusted"
2013-01-01 0.16 0.16 0.16 0.16 0 1.28
2013-01-02 0.17 0.18 0.16 0.18 4300 1.44
2013-01-03 0.18 0.18 0.18 0.18 2800 1.44
2013-01-04 0.18 0.18 0.17 0.18 900 1.44
2013-01-07 0.18 0.18 0.17 0.17 400 1.36
2013-01-08 0.17 0.18 0.17 0.18 2400 1.44
2013-01-09 0.18 0.18 0.18 0.18 0 1.44
2013-01-10 0.17 0.18 0.17 0.18 2900 1.44
2013-01-11 0.18 0.18 0.18 0.18 300 1.44
2013-01-14 0.18 0.19 0.17 0.18 2600 1.44
2013-01-15 0.18 0.19 0.18 0.18 5700 1.44
2013-01-16 0.19 0.19 0.19 0.19 0 1.52
2013-01-17 0.19 0.19 0.18 0.18 1200 1.44
2013-01-18 0.18 0.18 0.18 0.18 5600 1.44
2013-01-21 0.18 0.25 0.18 0.25 71700 2
2013-01-22 0.26 0.31 0.24 0.31 153000 2.48
2013-01-23 0.33 0.39 0.32 0.39 164200 3.12
2013-01-24 0.43 0.47 0.35 0.37 262200 2.96
2013-01-25 0.35 0.38 0.34 0.34 81400 2.72
2013-01-28 0.34 0.36 0.32 0.34 7600 2.72
2013-01-29 0.35 0.35 0.41 0.41 78400 3.28
2013-01-30 0.43 0.43 0.38 0.38 61500 3.04
2013-01-31 0.38 0.35 0.38 0.35 5100 2.8
2013-02-01 0.34 0.35 0.32 0.34 13000 2.72
2013-02-04 0.34 0.37 0.34 0.35 19700 2.8
2013-02-05 0.37 0.37 0.35 0.35 3200 2.8
2013-02-06 0.36 0.36 0.33 0.34 6600 2.72
2013-02-07 0.34 0.34 0.34 0.34 0 2.72
2013-02-08 0.34 0.34 0.34 0.34 0 2.72
2013-02-11 0.34 0.36 0.33 0.34 8000 2.72
2013-02-12 0.33 0.33 0.3 0.31 11000 2.48
2013-02-13 0.29 0.33 0.26 0.32 34100 2.56
2013-02-14 0.32 0.32 0.28 0.29 7100 2.32
2013-02-15 0.29 0.29 0.27 0.29 2100 2.32
2013-02-18 0.28 0.29 0.28 0.29 2800 2.32
2013-02-19 0.28 0.3 0.28 0.29 4200 2.32
2013-02-20 0.29 0.29 0.28 0.29 500 2.32
2013-02-21 0.28 0.28 0.26 0.26 7100 2.08
2013-02-22 0.28 0.29 0.26 0.28 9500 2.24
2013-02-25 0.28 0.28 0.28 0.28 0 2.24
2013-02-26 0.28 0.28 0.27 0.28 1400 2.24
2013-02-27 0.28 0.35 0.28 0.35 70000 2.8
2013-02-28 0.36 0.37 0.33 0.36 36700 2.88
2013-03-01 0.35 0.35 0.3 0.31 22300 2.48
2013-03-04 0.3 0.32 0.29 0.31 9900 2.48
2013-03-05 0.31 0.34 0.3 0.31 22500 2.48
2013-03-06 0.31 0.34 0.3 0.34 18100 2.72
2013-03-07 0.34 0.35 0.31 0.31 24000 2.48
2013-03-08 0.32 0.33 0.32 0.33 3400 2.64
2013-03-11 0.33 0.33 0.31 0.33 9900 2.64
2013-03-12 0.33 0.35 0.32 0.34 38700 2.72
2013-03-13 0.34 0.32 0.34 0.34 3500 2.72
2013-03-14 0.33 0.34 0.32 0.33 1200 2.64
2013-03-15 0.33 0.34 0.32 0.34 2300 2.72
2013-03-18 0.34 0.34 0.32 0.33 4500 2.64
2013-03-19 0.33 0.33 0.32 0.33 2600 2.64
2013-03-20 0.32 0.33 0.3 0.31 13000 2.48
2013-03-21 0.31 0.32 0.3 0.31 3500 2.48
2013-03-22 0.29 0.31 0.29 0.31 5400 2.48
2013-03-25 0.3 0.3 0.29 0.29 5900 2.32
2013-03-26 0.29 0.29 0.27 0.29 5200 2.32
2013-03-27 0.27 0.28 0.27 0.28 1700 2.24
2013-03-28 0.28 0.28 0.27 0.27 600 2.16
2013-03-29 0.27 0.27 0.27 0.27 0 2.16
2013-04-01 0.27 0.27 0.27 0.27 0 2.16
2013-04-02 0.27 0.27 0.27 0.27 1700 2.16
2013-04-03 0.27 0.27 0.25 0.25 11600 2
2013-04-04 0.24 0.26 0.24 0.24 5200 1.92
2013-04-05 0.25 0.26 0.25 0.26 900 2.08
2013-04-08 0.26 0.26 0.25 0.26 200 2.08
2013-04-09 0.25 0.26 0.25 0.26 700 2.08
2013-04-10 0.25 0.26 0.25 0.26 1500 2.08
2013-04-11 0.26 0.26 0.26 0.26 0 2.08
2013-04-12 0.25 0.28 0.25 0.28 2000 2.24
2013-04-15 0.26 0.29 0.26 0.28 2900 2.24
2013-04-16 0.28 0.28 0.28 0.28 0 2.24
2013-04-17 0.26 0.34 0.26 0.3 37400 2.4
2013-04-18 0.31 0.31 0.28 0.29 2800 2.32
2013-04-19 0.27 0.28 0.27 0.28 3000 2.24
2013-04-22 0.28 0.28 0.25 0.27 2100 2.16
2013-04-23 0.28 0.29 0.25 0.28 3200 2.24
2013-04-24 0.28 0.28 0.26 0.26 300 2.08
2013-04-25 0.26 0.28 0.26 0.27 500 2.16
2013-04-26 0.26 0.27 0.26 0.27 400 2.16
2013-04-29 0.27 0.27 0.27 0.27 400 2.16
2013-04-30 0.26 0.27 0.26 0.27 1400 2.16
2013-05-01 0.27 0.27 0.27 0.27 0 2.16
2013-05-02 0.27 0.27 0.27 0.27 0 2.16
2013-05-03 0.27 0.27 0.27 0.27 0 2.16
2013-05-06 0.27 0.27 0.25 0.26 900 2.08
2013-05-07 0.26 0.27 0.26 0.26 100 2.08
2013-05-08 0.25 0.25 0.24 0.25 600 2
2013-05-09 0.24 0.27 0.23 0.27 16600 2.16
2013-05-10 0.27 0.33 0.27 0.3 73400 2.4
2013-05-13 0.3 0.3 0.27 0.28 8000 2.24
2013-05-14 0.28 0.31 0.27 0.3 28700 2.4
2013-05-15 0.3 0.33 0.3 0.33 19000 2.64
2013-05-16 0.32 0.35 0.29 0.33 35500 2.64
2013-05-17 0.33 0.33 0.3 0.33 5500 2.64
2013-05-20 0.33 0.33 0.25 0.27 47200 2.16
2013-05-21 0.27 0.29 0.26 0.28 13900 2.24
2013-05-22 0.28 0.28 0.28 0.28 0 2.24
2013-05-23 0.27 0.27 0.26 0.27 6500 2.16
2013-05-24 0.27 0.28 0.26 0.28 1700 2.24
2013-05-27 0.28 0.28 0.27 0.27 7900 2.16
2013-05-28 0.27 0.28 0.26 0.28 5500 2.24
2013-05-29 0.28 0.28 0.26 0.28 2400 2.24
2013-05-30 0.28 0.28 0.28 0.28 0 2.24
2013-05-31 0.28 0.29 0.28 0.28 16300 2.24
2013-06-03 0.28 0.28 0.27 0.28 4500 2.24
2013-06-04 0.28 0.28 0.27 0.28 2300 2.24
2013-06-05 0.28 0.28 0.27 0.28 100 2.24
2013-06-06 0.28 0.28 0.26 0.28 1600 2.24
2013-06-07 0.27 0.28 0.27 0.28 900 2.24
2013-06-10 0.28 0.28 0.27 0.28 600 2.24
2013-06-11 0.28 0.29 0.27 0.28 9500 2.24
2013-06-12 0.28 0.28 0.27 0.28 6600 2.24
2013-06-13 0.27 0.28 0.27 0.28 600 2.24
2013-06-14 0.28 0.28 0.27 0.28 300 2.24
2013-06-17 0.28 0.28 0.28 0.28 200 2.24
2013-06-18 0.28 0.28 0.27 0.27 2900 2.16
2013-06-19 0.28 0.28 0.28 0.28 100 2.24
2013-06-20 0.27 0.28 0.26 0.27 10600 2.16
2013-06-21 0.27 0.27 0.26 0.26 600 2.08
2013-06-24 0.26 0.26 0.26 0.26 200 2.08
2013-06-25 0.26 0.26 0.25 0.25 1700 2
2013-06-26 0.25 0.25 0.25 0.25 0 2
2013-06-27 0.25 0.25 0.25 0.25 300 2
