"Index" "EFM.Open" "EFM.High" "EFM.Low" "EFM.Close" "EFM.Volume" "EFM.Adjusted"
2013-01-02 27.49 27.49 27.1 27.110001 3700 23.68583
2013-01-03 27.26 27.280001 27.01 27.26 4700 23.816884
2013-01-04 27.35 27.379999 27.33 27.379999 6200 23.921726
2013-01-07 27.290001 27.34 27.24 27.280001 10700 23.834358
2013-01-08 27.34 27.43 27.25 27.43 4100 23.965412
2013-01-09 27.459999 27.459999 27.34 27.4 4900 23.939201
2013-01-10 26.99 27.15 26.99 27.09 3400 24.008327
2013-01-11 27.120001 27.24 27.120001 27.24 3300 24.141264
2013-01-14 27.25 27.389999 27.24 27.379999 3400 24.265337
2013-01-15 27.18 27.48 27.18 27.34 9800 24.229888
2013-01-16 27.389999 27.6 27.389999 27.6 3200 24.460312
2013-01-17 27.360001 27.6 27.360001 27.549999 2900 24.415999
2013-01-18 27.360001 27.9 27.299999 27.9 6600 24.726184
2013-01-22 28.08 28.08 27.49 27.76 3700 24.60211
2013-01-23 27.84 27.879999 27.48 27.49 7300 24.362824
2013-01-24 27.73 27.73 27.48 27.610001 8400 24.469174
2013-01-25 27.540001 27.59 27.540001 27.59 200 24.451449
2013-01-28 27.59 27.610001 27.59 27.610001 900 24.469174
2013-01-29 27.690001 27.700001 27.370001 27.52 5200 24.389412
2013-01-30 27.5 27.65 27.5 27.59 3500 24.451449
2013-01-31 27.57 27.57 27.370001 27.370001 1200 24.256476
2013-02-01 27.370001 27.700001 27.370001 27.5 1400 24.371687
2013-02-04 27.33 27.52 27.33 27.360001 2600 24.247614
2013-02-05 27.440001 27.610001 27.440001 27.5 3300 24.371687
2013-02-06 27.65 27.65 27.43 27.59 1100 24.451449
2013-02-07 27.35 27.68 27.34 27.440001 3900 24.318513
2013-02-08 27.469999 27.620001 27.32 27.32 2100 24.212163
2013-02-11 27.4 27.4 27.24 27.24 2600 24.141264
2013-02-12 27.42 27.5 26.709999 27 13400 23.928565
2013-02-13 26.98 27 26.82 26.82 4200 23.769041
2013-02-14 27 27 26.83 26.99 1200 23.919703
2013-02-15 26.83 27.190001 26.83 27.129999 1000 24.043776
2013-02-19 27.17 27.190001 26.84 27.120001 4600 24.034915
2013-02-20 26.950001 27.08 26.950001 27.07 1400 23.990602
2013-02-21 26.870001 27.129999 26.860001 27.129999 1700 24.043776
2013-02-22 27.17 27.17 26.860001 27.030001 8400 23.955153
2013-02-25 26.99 27.059999 26.889999 26.9 2500 23.839941
2013-02-26 27.02 27.07 27 27.049999 2300 23.972877
2013-02-27 27.040001 27.09 26.879999 26.969999 4400 23.901978
2013-02-28 27.139999 27.16 27.139999 27.139999 1800 24.052639
2013-03-01 27.16 27.17 26.82 26.85 4500 23.795629
2013-03-04 26.85 27.07 26.85 26.889999 2500 23.831078
2013-03-05 27.1 27.17 26.870001 26.940001 3400 23.875391
2013-03-06 27.059999 27.059999 26.83 27.049999 2900 23.972877
2013-03-07 27.02 27.059999 26.950001 26.950001 1500 23.884254
2013-03-08 27.07 27.07 27.040001 27.049999 600 23.972877
2013-03-11 27.07 27.09 26.860001 26.860001 1000 23.804492
2013-03-12 27 27 26.84 26.93 3200 23.866529
2013-03-13 27.02 27.02 26.690001 26.809999 1500 23.760179
2013-03-14 26.940001 26.950001 26.73 26.73 1800 23.689279
2013-03-15 26.950001 26.950001 26.690001 26.690001 1500 23.653831
2013-03-18 26.690001 26.860001 26.690001 26.719999 1700 23.680417
2013-03-19 26.99 26.99 26.700001 26.85 3300 23.795629
2013-03-20 26.969999 27.040001 26.860001 27.040001 2800 23.964016
2013-03-21 27.27 27.27 26.940001 27.040001 1600 23.964016
2013-03-22 27.08 27.190001 27.08 27.1 1300 24.01719
2013-03-25 27.1 27.16 27.1 27.16 600 24.070364
2013-03-26 27.15 27.209999 27.129999 27.18 1400 24.088089
2013-03-27 27.17 27.23 27.139999 27.23 3600 24.132401
2013-03-28 27.25 27.25 27.16 27.16 600 24.070364
2013-04-01 27.139999 27.290001 27.139999 27.280001 1400 24.176714
2013-04-02 27.299999 27.389999 27.290001 27.389999 6100 24.2742
2013-04-03 27.5 27.5 27.370001 27.469999 4600 24.345099
2013-04-04 27.5 27.5 27.459999 27.49 2100 24.362824
2013-04-05 27.4 27.42 27.33 27.42 3000 24.300788
2013-04-08 27.48 27.48 27.34 27.34 1000 24.229888
2013-04-09 27.360001 27.5 27.360001 27.360001 900 24.247614
2013-04-10 27.139999 27.15 27.07 27.07 2400 24.335715
2013-04-11 27.049999 27.049999 27.049999 27.049999 200 24.317735
2013-04-12 27.139999 27.15 27.139999 27.15 400 24.407634
2013-04-15 27.1 27.360001 27.1 27.17 1800 24.425614
2013-04-16 27.17 27.74 27.17 27.27 1800 24.515514
2013-04-17 27.809999 27.809999 27.17 27.18 4700 24.434605
2013-04-18 27.27 27.27 27.17 27.17 1200 24.425614
2013-04-19 27.18 27.200001 27.1 27.200001 4300 24.452585
2013-04-22 27 27 27 27 200 24.272786
2013-04-23 26.93 26.950001 26.709999 26.83 5100 24.119957
2013-04-24 26.83 26.83 26.83 26.83 0 24.119957
2013-04-25 26.700001 26.93 26.700001 26.93 400 24.209856
2013-04-26 26.93 26.93 26.93 26.93 0 24.209856
2013-04-29 27.09 27.09 27.09 27.09 200 24.353695
2013-04-30 27.200001 27.200001 26.76 26.76 4100 24.057028
2013-05-01 26.809999 26.879999 26.790001 26.870001 2500 24.155917
2013-05-02 26.799999 26.959999 26.780001 26.83 4700 24.119957
2013-05-03 26.93 26.940001 26.92 26.93 2700 24.209856
2013-05-06 26.950001 26.950001 26.82 26.82 800 24.110967
2013-05-07 26.940001 27.200001 26.93 27.15 6300 24.407634
2013-05-08 27.110001 27.91 27.110001 27.26 2000 24.506524
2013-05-09 27.1 27.1 27.1 27.1 1100 24.362685
2013-05-10 27.1 27.1 27.1 27.1 0 24.362685
2013-05-13 27.07 27.07 26.790001 26.790001 1500 24.083998
2013-05-14 26.99 27.17 26.99 27.110001 4400 24.371675
2013-05-15 26.9 27.1 26.9 27.1 1700 24.362685
2013-05-16 27.68 27.68 27.129999 27.58 1600 24.794201
2013-05-17 27.200001 27.23 27.1 27.17 6500 24.425614
2013-05-20 27.25 27.26 27.1 27.1 1500 24.362685
2013-05-21 27.129999 27.24 27.1 27.110001 1400 24.371675
2013-05-22 27.559999 27.559999 27.1 27.1 2200 24.362685
2013-05-23 27.18 27.190001 27.110001 27.17 800 24.425614
2013-05-24 27.200001 27.34 27.190001 27.34 400 24.578443
2013-05-28 27.23 27.23 27.110001 27.139999 1000 24.398644
2013-05-29 27.17 27.23 27.1 27.190001 1200 24.443595
2013-05-30 27.18 27.18 27.16 27.16 800 24.416624
2013-05-31 27.129999 27.129999 27 27 2100 24.272786
2013-06-03 26.780001 27.1 26.42 26.66 6500 23.967128
2013-06-04 26.42 26.549999 25.83 26.18 4000 23.535612
2013-06-05 25.709999 26.09 25.43 26.09 2800 23.454703
2013-06-06 26.08 26.08 25.66 25.940001 2400 23.319855
2013-06-07 25.799999 26.09 25.719999 25.75 3700 23.149046
2013-06-10 26.5 26.5 25.76 25.76 4000 23.158036
2013-06-11 25.75 25.950001 25.65 25.799999 4900 23.193995
2013-06-12 25.709999 25.9 25.65 25.65 4300 23.059146
2013-06-13 25.65 25.799999 25.02 25.530001 4000 22.951268
2013-06-14 25.549999 25.99 25.549999 25.99 2600 23.364803
2013-06-17 25.700001 26.68 25.629999 26.27 6000 23.616522
2013-06-18 25.690001 26.5 25.6 25.82 6700 23.211975
2013-06-19 26.549999 26.58 25.370001 25.42 5700 22.852378
2013-06-20 25.639999 25.639999 24.700001 25.290001 3700 22.73551
2013-06-21 25.18 25.6 25.18 25.25 4000 22.69955
2013-06-24 24.969999 26.6 24.5 25.5 4500 22.924298
2013-06-25 25.49 25.49 24.91 25.450001 4100 22.879349
2013-06-26 25.25 25.450001 25.1 25.379999 8500 22.816418
2013-06-27 25.26 25.950001 25.26 25.700001 4100 23.104097
2013-06-28 25.639999 26 25.559999 25.92 5700 23.301874
2013-07-01 25.370001 25.41 25.370001 25.41 400 22.843388
2013-07-02 25.77 25.99 25.450001 25.5 2600 22.924298
2013-07-03 25.33 25.34 25.32 25.34 700 22.780459
2013-07-05 25.299999 25.549999 25.120001 25.549999 3000 22.969246
2013-07-08 25.540001 25.540001 25.1 25.309999 2800 22.753489
2013-07-09 25.450001 26.190001 25.110001 25.690001 10800 23.095107
2013-07-10 25.27 25.27 25 25.049999 5600 22.865084
2013-07-11 24.92 25.25 24.92 25.190001 4300 22.992874
2013-07-12 25.25 25.49 25.120001 25.120001 5700 22.92898
2013-07-15 25.549999 25.549999 25.01 25.040001 3100 22.855958
2013-07-16 25.290001 25.290001 25.049999 25.200001 5300 23.002002
2013-07-17 25.08 25.24 25 25.110001 4700 22.919852
2013-07-18 25.200001 25.23 25 25.049999 13600 22.865084
2013-07-19 25 25.1 24.969999 25 1700 22.819446
2013-07-22 24.790001 25.290001 24.790001 25.25 3300 23.04764
2013-07-23 25.25 25.610001 25.030001 25.25 2300 23.04764
2013-07-24 25.08 25.42 25.049999 25.110001 5200 22.919852
2013-07-25 25.59 25.629999 25.18 25.18 6700 22.983746
2013-07-26 25.08 25.18 24.969999 25 5700 22.819446
2013-07-29 24.98 25.559999 24.98 25.5 17000 23.275835
2013-07-30 25.4 25.48 25.07 25.16 4000 22.96549
2013-07-31 25.299999 26.450001 25.18 25.190001 11600 22.992874
2013-08-01 25.24 26.25 25.24 25.52 11700 23.294091
2013-08-02 25.34 26.200001 25.34 25.65 6700 23.412751
2013-08-05 25.299999 25.34 25.299999 25.33 500 23.120663
2013-08-06 25.309999 25.85 25.309999 25.49 5200 23.266707
2013-08-07 25.389999 25.68 25.389999 25.440001 1400 23.221069
2013-08-08 25.52 25.629999 25.5 25.51 2700 23.284963
2013-08-09 25.41 25.530001 25.299999 25.530001 1800 23.303219
2013-08-12 25.469999 26 25.299999 25.549999 3900 23.321473
2013-08-13 25.389999 25.49 25.34 25.34 2400 23.129791
2013-08-14 25.299999 25.309999 24.91 25.049999 5300 22.865084
2013-08-15 24.9 24.98 24.709999 24.75 7300 22.591252
2013-08-16 24.709999 24.860001 22.459999 24.860001 4800 22.691658
2013-08-19 24.940001 24.950001 24.75 24.75 1700 22.591252
2013-08-20 25.84 25.870001 24.799999 24.799999 5700 22.63689
2013-08-21 24.969999 24.969999 24.110001 24.219999 2900 22.107479
2013-08-22 24.85 24.85 24.299999 24.370001 3900 22.244397
2013-08-23 24.530001 24.91 24.530001 24.700001 1700 22.545613
2013-08-26 24.719999 24.719999 24.700001 24.700001 800 22.545613
2013-08-27 24.92 25.35 24.700001 25 5100 22.819446
2013-08-28 25 25.040001 24.969999 25 1500 22.819446
2013-08-29 25 25.02 24.969999 25 2900 22.819446
2013-08-30 24.93 25.290001 24.92 24.92 2000 22.746424
2013-09-03 25.35 25.35 25.030001 25.030001 600 22.84683
2013-09-04 25.299999 25.299999 25.280001 25.280001 900 23.075024
2013-09-05 25.07 25.23 25 25.07 1400 22.88334
2013-09-06 25 25.01 25 25.01 700 22.828574
2013-09-09 25.02 25.24 25.01 25.02 1100 22.837702
2013-09-10 25 25 25 25 600 22.819446
2013-09-11 25 25.18 24.75 24.76 3900 22.60038
2013-09-12 24.77 24.77 24.5 24.75 2800 22.591252
2013-09-13 24.5 24.940001 24.5 24.59 3500 22.445207
2013-09-16 24.5 24.790001 24.23 24.280001 3400 22.162247
2013-09-17 24.200001 25 24.200001 24.5 16200 22.363057
2013-09-18 24.98 24.98 24.5 24.700001 2800 22.545613
2013-09-19 24.879999 24.879999 24.35 24.85 9900 22.68253
2013-09-20 24.799999 24.99 24.799999 24.9 4300 22.728168
2013-09-23 24.969999 25 24.9 24.940001 6100 22.76468
2013-09-24 25 25.1 24.25 24.99 9000 22.810318
2013-09-25 24.959999 24.959999 24.889999 24.940001 1700 22.76468
2013-09-26 24.459999 24.85 24.43 24.85 8100 22.68253
2013-09-27 24.629999 25.15 24.620001 25.15 8100 22.956362
2013-09-30 24.51 25.15 24.51 25 3800 22.819446
2013-10-01 24.629999 25 24.629999 25 2800 22.819446
2013-10-02 25 25 24.68 24.99 2900 22.810318
2013-10-03 24.9 25.690001 24.780001 25.219999 18800 23.020257
2013-10-04 25.35 25.42 25.35 25.35 1800 23.138919
2013-10-07 25.18 25.76 24.870001 25.549999 2400 23.321473
2013-10-08 25.65 25.700001 25 25.700001 5100 23.458391
2013-10-09 25.98 25.98 25.35 25.35 2900 23.493609
2013-10-10 24.299999 25.35 24.25 25 2400 23.169239
2013-10-11 25.02 25.389999 25 25.379999 3800 23.521411
2013-10-14 25.209999 25.209999 24.85 24.85 4000 23.030224
2013-10-15 25.35 25.35 24.57 24.65 5900 22.844869
2013-10-16 24.98 24.99 24.6 24.959999 4200 23.132167
2013-10-17 24.959999 25.99 24.959999 25.110001 2900 23.271184
2013-10-18 25.200001 25.5 25.200001 25.5 300 23.632624
2013-10-21 25.450001 25.450001 24.75 24.85 2400 23.030224
2013-10-22 25 25.34 24.870001 25 3300 23.169239
2013-10-23 24.92 25.299999 24.15 24.77 5800 22.956082
2013-10-24 24.77 24.950001 24.77 24.950001 500 23.122901
2013-10-25 24.709999 24.959999 24.709999 24.889999 3700 23.067294
2013-10-28 25.049999 25.15 24.67 25.15 2300 23.308254
2013-10-29 24.99 25.040001 24.66 24.790001 12300 22.974618
2013-10-30 24.700001 25.139999 24.700001 24.780001 6100 22.96535
2013-10-31 24.969999 24.969999 24.709999 24.959999 2200 23.132167
2013-11-01 24.92 24.92 24.549999 24.799999 4200 22.983884
2013-11-04 24.82 24.84 24.57 24.709999 2500 22.900475
2013-11-05 24.709999 25.040001 24.700001 24.9 12200 23.076562
2013-11-06 24.889999 24.9 24.58 24.58 3800 22.779996
2013-11-07 24.58 24.9 24.57 24.9 5200 23.076562
2013-11-08 24.6 24.9 24.6 24.879999 8700 23.058026
2013-11-11 24.9 24.9 24.6 24.889999 4600 23.067294
