"Index" "EJ.Open" "EJ.High" "EJ.Low" "EJ.Close" "EJ.Volume" "EJ.Adjusted"
2013-01-02 4.079999 4.270004 4.079999 4.170004 762200 3.47766
2013-01-03 4.219998 4.499997 4.179999 4.410003 578800 3.677811
2013-01-04 4.459997 5.140004 4.430002 4.85 1398900 4.044756
2013-01-07 4.79 4.89 4.679996 4.710001 401900 3.928001
2013-01-08 4.750001 4.87 4.679996 4.719996 512800 3.936336
2013-01-09 4.750001 4.830001 4.699996 4.750001 456400 3.96136
2013-01-10 4.79 4.960005 4.79 4.819995 376700 4.019733
2013-01-11 4.819995 4.900006 4.750001 4.819995 331400 4.019733
2013-01-14 4.85 4.969999 4.779995 4.819995 338300 4.019733
2013-01-15 4.799995 4.900006 4.779995 4.859995 287100 4.053091
2013-01-16 4.830001 4.920006 4.779995 4.799995 268100 4.003054
2013-01-17 4.830001 4.900006 4.739996 4.900006 415200 4.086459
2013-01-18 4.89 4.91 4.759996 4.799995 236600 4.003054
2013-01-22 4.810001 5.249998 4.810001 5.120004 841200 4.269932
2013-01-23 5.189999 5.420002 5.089999 5.329997 578100 4.44506
2013-01-24 5.129999 5.369998 4.960005 5.000005 391900 4.169856
2013-01-25 5.01 5.080005 4.93 4.960005 268600 4.136497
2013-01-28 4.99 5.240003 4.99 5.180004 462800 4.319969
2013-01-29 5.149998 5.229998 5.089999 5.089999 161300 4.244908
2013-01-30 5.089999 5.129999 4.85 5.000005 357300 4.169856
2013-01-31 5.000005 5.040005 4.93 4.99 442200 4.161512
2013-02-01 4.91 4.969999 4.779995 4.87 425500 4.061436
2013-02-04 4.87 4.87 4.550002 4.599996 495700 3.83626
2013-02-05 4.599996 4.839995 4.510002 4.730001 359800 3.94468
2013-02-06 4.690001 4.810001 4.659996 4.779995 297800 3.986374
2013-02-07 4.750001 4.759996 4.650002 4.699996 345400 3.919657
2013-02-08 4.739996 4.779995 4.690001 4.730001 274400 3.94468
2013-02-11 4.699996 4.759996 4.699996 4.710001 197100 3.928001
2013-02-12 4.710001 4.779995 4.679996 4.699996 273100 3.919657
2013-02-13 4.719996 4.859995 4.719996 4.779995 242800 3.986374
2013-02-14 4.779995 4.880005 4.750001 4.839995 259700 4.036412
2013-02-15 4.799995 4.830001 4.619996 4.670001 469500 3.894643
2013-02-19 4.659996 4.759996 4.619996 4.630002 270500 3.861284
2013-02-20 4.699996 4.799995 4.599996 4.619996 391200 3.85294
2013-02-21 4.599996 4.659996 4.450002 4.470003 591300 3.727849
2013-02-22 4.470003 4.559997 4.270004 4.499997 1075700 3.752864
2013-02-25 4.470003 4.639996 4.459997 4.479997 311600 3.736184
2013-02-26 4.470003 4.570002 4.430002 4.459997 376800 3.719505
2013-02-27 4.459997 4.530002 4.359997 4.359997 362300 3.636108
2013-02-28 4.319998 4.499997 4.319998 4.430002 281300 3.694491
2013-03-01 4.390003 4.490002 4.390003 4.430002 305200 3.694491
2013-03-04 4.150004 4.459997 3.98 4.299998 823900 3.586071
2013-03-05 4.270004 4.599996 4.270004 4.550002 519700 3.794567
2013-03-06 4.559997 4.619996 4.470003 4.499997 430700 3.752864
2013-03-07 4.499997 4.739996 4.470003 4.690001 313700 3.911322
2013-03-08 4.659996 4.750001 4.659996 4.719996 181500 3.936336
2013-03-11 4.710001 4.980005 4.710001 4.91 345100 4.094794
2013-03-12 4.900006 5.000005 4.719996 4.89 319400 4.078115
2013-03-13 4.759996 4.830001 4.659996 4.699996 285500 3.919657
2013-03-14 4.719996 4.79 4.619996 4.650002 233100 3.877963
2013-03-15 4.659996 4.719996 4.570002 4.650002 254800 3.877963
2013-03-18 4.559997 4.779995 4.519997 4.779995 192500 3.986374
2013-03-19 4.750001 4.799995 4.679996 4.750001 170900 3.96136
2013-03-20 4.739996 4.739996 4.590002 4.610001 113200 3.844604
2013-03-21 4.599996 4.699996 4.559997 4.619996 90500 3.85294
2013-03-22 4.659996 4.739996 4.650002 4.710001 86600 3.928001
2013-03-25 4.619996 4.770001 4.619996 4.719996 78100 3.936336
2013-03-26 4.719996 4.770001 4.619996 4.679996 132100 3.902978
2013-03-27 4.659996 4.819995 4.659996 4.819995 129600 4.019733
2013-03-28 4.779995 4.779995 4.530002 4.650002 184600 3.877963
2013-04-01 4.650002 4.679996 4.539997 4.550002 119700 3.794567
2013-04-02 4.599996 4.599996 4.330003 4.419997 357800 3.686147
2013-04-03 4.430002 4.470003 4.259998 4.350003 273700 3.627773
2013-04-04 4.330003 4.410003 4.199998 4.290003 132100 3.577735
