"Index" "EMD.Open" "EMD.High" "EMD.Low" "EMD.Close" "EMD.Volume" "EMD.Adjusted"
2013-01-02 15.47 15.57 15.32 15.55 42500 12.46866
2013-01-03 15.58 15.77 15.5 15.75 78900 12.629028
2013-01-04 15.7 15.85 15.61 15.8 50300 12.66912
2013-01-07 15.79 15.83 15.66 15.77 58800 12.645065
2013-01-08 15.71 16.49 15.56 15.87 168200 12.725249
2013-01-09 15.83 15.97 15.57 15.92 87700 12.765341
2013-01-10 15.79 15.81 15.59 15.67 125400 12.564881
2013-01-11 15.59 15.61 15.41 15.42 92600 12.36442
2013-01-14 15.41 15.47 15.32 15.33 92400 12.292254
2013-01-15 15.32 15.47 15.25 15.26 91500 12.236125
2013-01-16 15.31 15.43 15.28 15.34 106600 12.300272
2013-01-17 15.34 15.59 15.34 15.49 88400 12.420549
2013-01-18 15.47 15.59 15.43 15.58 67000 12.492715
2013-01-22 15.62 15.63 15.51 15.58 70800 12.492715
2013-01-23 15.62 15.7 15.58 15.64 74500 12.540826
2013-01-24 15.57 15.69 15.57 15.66 80800 12.556862
2013-01-25 15.7 15.8 15.5 15.53 126100 12.452622
2013-01-28 15.53 15.59 15.46 15.5 50300 12.428567
2013-01-29 15.55 15.77 15.52 15.76 128500 12.637047
2013-01-30 15.79 15.79 15.4 15.43 149700 12.372438
2013-01-31 15.48 15.8 15.42 15.71 125600 12.596954
2013-02-01 15.73 15.81 15.47 15.54 114900 12.460641
2013-02-04 15.52 15.6 15.34 15.6 64700 12.508752
2013-02-05 15.58 15.6 15.5 15.53 50400 12.452622
2013-02-06 15.43 15.65 15.43 15.63 70800 12.532807
2013-02-07 15.6 15.64 15.55 15.62 55900 12.524788
2013-02-08 15.6 15.78 15.6 15.68 73700 12.572899
2013-02-11 15.63 15.74 15.55 15.71 48300 12.596954
2013-02-12 15.72 15.79 15.67 15.72 50400 12.604973
2013-02-13 15.7 15.75 15.42 15.43 105600 12.372438
2013-02-14 15.37 15.48 15.34 15.35 77200 12.308291
2013-02-15 15.35 15.45 15.3 15.39 70900 12.340365
2013-02-19 15.34 15.41 15.3 15.33 54000 12.292254
2013-02-20 15.34 15.43 15.31 15.36 90500 12.316309
2013-02-21 15.42 15.51 15.38 15.38 98100 12.332346
2013-02-22 15.44 15.44 15.19 15.31 121400 12.276217
2013-02-25 15.34 15.39 15.2 15.2 82200 12.188014
2013-02-26 15.18 15.39 15.18 15.34 63800 12.300272
2013-02-27 15.4 15.53 15.34 15.53 52200 12.452622
2013-02-28 15.53 15.57 15.47 15.52 74300 12.444604
2013-03-01 15.56 15.76 15.49 15.58 82000 12.492715
2013-03-04 15.58 15.64 15.58 15.62 35800 12.524788
2013-03-05 15.69 15.71 15.49 15.62 65700 12.524788
2013-03-06 15.68 15.75 15.63 15.74 75200 12.621009
2013-03-07 15.78 15.81 15.7 15.73 36100 12.612991
2013-03-08 15.76 15.8 15.63 15.66 55700 12.556862
2013-03-11 15.7 15.73 15.63 15.73 37400 12.612991
2013-03-12 15.78 15.82 15.72 15.8 51400 12.66912
2013-03-13 15.74 15.74 15.5 15.56 86400 12.681346
2013-03-14 15.56 15.58 15.38 15.49 69400 12.624295
2013-03-15 15.6 15.6 14.99 15.04 93000 12.257547
2013-03-18 15 15.22 14.97 15.13 76200 12.330897
2013-03-19 15.19 15.3 15.09 15.16 66800 12.355347
2013-03-20 15.17 15.34 15.15 15.29 78500 12.461296
2013-03-21 15.3 15.5 15.12 15.17 100700 12.363497
2013-03-22 15.27 15.37 15.13 15.24 98000 12.420546
2013-03-25 15.33 15.42 15.06 15.1 92000 12.306447
2013-03-26 15.15 15.27 15.15 15.25 57300 12.428696
2013-03-27 15.23 15.27 15.18 15.27 39700 12.444997
2013-03-28 15.28 15.45 15.09 15.45 97600 12.591695
2013-04-01 15.38 15.4 15.23 15.28 31500 12.453146
2013-04-02 15.25 15.42 15.25 15.37 40200 12.526496
2013-04-03 15.29 15.32 15.14 15.18 55300 12.371647
2013-04-04 15.21 15.24 15.08 15.2 50800 12.387946
2013-04-05 15.12 15.24 15.07 15.15 54500 12.347196
2013-04-08 15.15 15.23 15.01 15.07 98500 12.281997
2013-04-09 15.12 15.26 15.08 15.24 79300 12.420546
2013-04-10 15.12 15.21 15.05 15.12 128700 12.322747
2013-04-11 15.17 15.2 14.96 15.03 113800 12.249397
2013-04-12 15.04 15.17 15.04 15.14 46400 12.339047
2013-04-15 15.16 15.19 15.09 15.14 64500 12.339047
2013-04-16 15.17 15.25 15.14 15.21 74500 12.396097
2013-04-17 15.11 15.2 15 15.02 80700 12.241248
2013-04-18 15.02 15.15 15.02 15.15 48900 12.347196
2013-04-19 15.18 15.18 15 15.14 86300 12.339047
2013-04-22 15.19 15.21 15.04 15.13 60000 12.330897
2013-04-23 15.2 15.32 15.2 15.3 42700 12.469446
2013-04-24 15.3 15.36 15.25 15.36 27100 12.518346
2013-04-25 15.41 15.41 15.26 15.38 68500 12.534646
2013-04-26 15.42 15.49 15.36 15.47 81500 12.607996
2013-04-29 15.57 15.57 15.43 15.49 61100 12.624295
2013-04-30 15.53 15.53 15.33 15.4 52100 12.550945
2013-05-01 15.43 15.56 15.4 15.56 45000 12.681346
2013-05-02 15.6 15.69 15.47 15.67 57300 12.770995
2013-05-03 15.71 15.74 15.49 15.51 37500 12.640596
2013-05-06 15.58 15.58 15.17 15.21 220800 12.396097
2013-05-07 15.29 15.34 15.25 15.33 68000 12.493896
2013-05-08 15.38 15.4 15.31 15.4 70200 12.550945
2013-05-09 15.43 15.43 15.2 15.2 89100 12.387946
2013-05-10 15.25 15.3 15.16 15.19 78100 12.379796
2013-05-13 15.23 15.23 15.13 15.16 46700 12.355347
2013-05-14 15.21 15.21 15.13 15.16 54000 12.355347
2013-05-15 15.21 15.26 15.16 15.19 69800 12.379796
2013-05-16 15.25 15.26 15.16 15.16 49300 12.355347
2013-05-17 15.24 15.27 15.2 15.22 43800 12.404247
2013-05-20 15.26 15.34 15.23 15.25 48900 12.428696
2013-05-21 15.3 15.37 15.21 15.21 54800 12.396097
2013-05-22 15.28 15.33 15.2 15.2 50600 12.387946
2013-05-23 15.21 15.26 15.11 15.18 61500 12.371647
2013-05-24 15.22 15.22 15.02 15.05 49000 12.265697
2013-05-28 15.02 15.12 14.71 14.71 127400 11.988598
2013-05-29 14.7 14.71 14.39 14.51 183300 11.825599
2013-05-30 14.6 14.64 14.4 14.47 96300 11.792999
2013-05-31 14.47 14.47 14.01 14.14 174400 11.524051
2013-06-03 14.11 14.11 13.67 13.74 284800 11.198051
2013-06-04 13.79 13.99 13.7 13.87 119000 11.304001
2013-06-05 13.88 14.05 13.85 13.96 87700 11.377351
2013-06-06 13.96 14.21 13.83 14.04 97100 11.442551
2013-06-07 14.07 14.23 13.85 13.89 127300 11.320301
2013-06-10 13.88 13.88 13.28 13.28 339800 10.823153
2013-06-11 13.28 13.28 12.99 13.1 240100 10.676454
2013-06-12 13.23 13.28 13.12 13.24 282400 10.790553
2013-06-13 13.27 13.55 13.05 13.55 157600 11.043202
2013-06-14 13.64 13.74 13.58 13.7 88000 11.165452
2013-06-17 13.82 13.95 13.66 13.81 91800 11.255102
2013-06-18 13.84 13.84 13.65 13.74 128500 11.198051
2013-06-19 13.53 13.61 13.32 13.35 82600 11.085947
2013-06-20 13.23 13.23 12.74 12.92 159300 10.728871
2013-06-21 13.03 13.03 12.58 12.64 163800 10.496357
2013-06-24 12.49 12.49 12 12.24 219100 10.164193
2013-06-25 12.26 12.54 12.23 12.39 186900 10.288755
2013-06-26 12.53 12.8 12.41 12.79 183200 10.620918
2013-06-27 12.89 13.23 12.77 13.15 286500 10.919865
2013-06-28 13.22 13.41 12.89 13.25 166200 11.002906
2013-07-01 13.43 13.49 13.29 13.42 79500 11.144075
2013-07-02 13.45 13.45 13.2 13.28 62600 11.027818
2013-07-03 13.23 13.23 13.02 13.05 81800 10.836824
2013-07-05 13.05 13.05 12.69 12.69 58200 10.537877
2013-07-08 12.66 12.76 12.48 12.5 145300 10.3801
2013-07-09 12.62 12.72 12.4 12.7 115300 10.546181
2013-07-10 12.6 12.74 12.52 12.72 96600 10.56279
2013-07-11 12.8 12.98 12.74 12.9 98500 10.712263
2013-07-12 12.89 12.91 12.71 12.76 99000 10.596006
2013-07-15 12.8 12.9 12.76 12.88 46800 10.695655
2013-07-16 12.92 12.92 12.8 12.8 59700 10.629222
2013-07-17 12.89 13 12.81 12.91 94300 10.720567
2013-07-18 12.94 12.98 12.88 12.98 80200 10.778695
