"Index" "EPN.Open" "EPN.High" "EPN.Low" "EPN.Close" "EPN.Volume" "EPN.Adjusted"
2013-01-01 36.353 36.353 36.353 36.353 0 33.412
2013-01-02 36.567 36.567 36.567 36.567 0 33.608
2013-01-03 37.001 37.001 37.001 37.001 0 34.007
2013-01-04 37.974 37.974 37.974 37.974 0 34.902
2013-01-07 37.998 37.998 37.998 37.998 0 34.924
2013-01-08 37.671 37.671 37.671 37.671 0 34.623
2013-01-09 37.636 37.636 37.636 37.636 0 34.591
2013-01-10 37.684 37.684 37.684 37.684 0 34.635
2013-01-11 37.385 37.385 37.385 37.385 0 34.36
2013-01-14 36.87 36.87 36.87 36.87 0 33.887
2013-01-15 37.092 37.092 37.092 37.092 0 34.091
2013-01-16 36.918 36.918 36.918 36.918 0 34.108
2013-01-17 36.943 36.943 36.943 36.943 0 34.132
2013-01-18 36.947 36.947 36.947 36.947 0 34.135
2013-01-21 37.815 37.815 37.815 37.815 0 34.937
2013-01-22 37.713 37.713 37.713 37.713 0 34.843
2013-01-23 38.519 38.519 38.519 38.519 0 35.588
2013-01-24 38.041 38.041 38.041 38.041 0 35.146
2013-01-25 38.184 38.184 38.184 38.184 0 35.278
2013-01-28 38.216 38.216 38.216 38.216 0 35.308
2013-01-29 37.936 37.936 37.936 37.936 0 35.049
2013-01-30 37.755 37.755 37.755 37.755 0 34.882
2013-01-31 38.227 38.227 38.227 38.227 0 35.318
2013-02-01 37.781 37.781 37.781 37.781 0 34.906
2013-02-04 37.814 37.814 37.814 37.814 0 34.936
2013-02-05 38.03 38.03 38.03 38.03 0 35.136
2013-02-06 38.065 38.065 38.065 38.065 0 35.168
2013-02-07 38.311 38.311 38.311 38.311 0 35.395
2013-02-08 39.071 39.071 39.071 39.071 0 36.098
2013-02-11 39.269 39.269 39.269 39.269 0 36.281
2013-02-12 38.819 38.819 38.819 38.819 0 35.865
2013-02-13 38.609 38.609 38.609 38.609 0 35.671
2013-02-14 39.054 39.054 39.054 39.054 0 36.082
2013-02-15 39.235 39.235 39.235 39.235 0 36.249
2013-02-18 39.108 39.108 39.108 39.108 0 36.132
2013-02-19 39.064 39.064 39.064 39.064 0 36.091
2013-02-20 38.852 38.852 38.852 38.852 0 35.895
2013-02-21 38.51 38.51 38.51 38.51 0 35.579
2013-02-22 38.639 38.639 38.639 38.639 0 35.699
2013-02-25 38.759 38.759 38.759 38.759 0 35.809
2013-02-26 38.525 38.525 38.525 38.525 0 35.593
2013-02-27 38.554 38.554 38.554 38.554 0 35.62
2013-02-28 38.459 38.459 38.459 38.459 0 35.532
2013-03-01 38.702 38.702 38.702 38.702 0 35.757
2013-03-04 39.034 39.034 39.034 39.034 0 36.063
2013-03-05 38.978 38.978 38.978 38.978 0 36.012
2013-03-06 38.831 38.831 38.831 38.831 0 35.876
2013-03-07 38.817 38.817 38.817 38.817 0 35.863
2013-03-08 38.786 38.786 38.786 38.786 0 35.834
2013-03-11 39.067 39.15 39.067 39.15 0 36.171
2013-03-12 38.887 38.887 38.887 38.887 0 35.928
2013-03-13 38.77 38.77 38.77 38.77 0 35.82
2013-03-14 38.817 38.817 38.817 38.817 0 35.863
2013-03-15 38.501 38.501 38.501 38.501 0 35.571
2013-03-18 38.321 38.321 38.321 38.321 0 35.405
2013-03-19 38.729 38.729 38.729 38.729 0 35.782
2013-03-20 39.012 39.012 39.012 39.012 0 36.043
2013-03-21 39.707 39.707 39.707 39.707 0 36.685
2013-03-22 40.85 40.85 40.85 40.85 0 37.741
2013-03-25 40.757 40.757 40.757 40.757 0 37.655
2013-03-26 40.662 40.662 40.662 40.662 0 37.568
2013-03-27 40.984 40.984 40.984 40.984 0 37.865
2013-03-28 41.15 41.15 41.15 41.15 0 38.018
2013-03-29 41.15 41.15 41.15 41.15 0 38.018
2013-04-01 41.15 41.15 41.15 41.15 0 38.018
2013-04-02 41.186 41.186 41.186 41.186 0 38.052
2013-04-03 41.616 41.616 41.616 41.616 0 38.449
2013-04-04 41.165 41.165 41.165 41.165 0 38.032
2013-04-05 41.021 41.021 41.021 41.021 0 37.899
2013-04-08 40.69 40.69 40.69 40.69 0 37.593
2013-04-09 40.584 40.584 40.584 40.584 0 37.495
2013-04-10 40.605 40.605 40.605 40.605 0 37.515
2013-04-11 40.632 40.632 40.632 40.632 0 37.54
2013-04-12 40.541 40.541 40.541 40.541 0 37.456
2013-04-15 40.687 40.687 40.687 40.687 0 37.591
2013-04-16 39.874 39.874 39.874 39.874 0 36.84
2013-04-17 39.916 39.916 39.916 39.916 0 36.878
2013-04-18 40.062 40.062 40.062 40.062 0 37.013
2013-04-19 40.419 40.419 40.419 40.419 0 37.343
2013-04-22 40.345 40.345 40.345 40.345 0 37.275
2013-04-23 39.995 39.995 39.995 39.995 0 36.951
2013-04-24 40.11 40.11 40.11 40.11 0 37.058
2013-04-25 40.571 40.571 40.571 40.571 0 37.483
2013-04-26 40.54 40.54 40.54 40.54 0 37.455
2013-04-29 40.024 40.024 40.024 40.024 0 36.978
2013-04-30 39.645 39.645 39.645 39.645 0 36.628
2013-05-01 39.645 39.645 39.645 39.645 0 36.628
2013-05-02 39.726 39.726 39.726 39.726 0 37.351
2013-05-03 39.926 39.926 39.926 39.926 0 37.539
2013-05-06 39.902 39.902 39.902 39.902 0 37.516
2013-05-07 39.99 39.99 39.99 39.99 0 37.599
2013-05-08 39.709 39.709 39.709 39.709 0 37.335
2013-05-09 39.693 39.693 39.693 39.693 0 37.32
2013-05-10 39.91 39.91 39.91 39.91 0 37.524
2013-05-13 39.665 39.665 39.665 39.665 0 37.294
2013-05-14 39.156 39.156 39.156 39.156 0 36.815
2013-05-15 38.863 38.863 38.863 38.863 0 36.54
2013-05-16 38.701 38.701 38.701 38.701 0 36.387
2013-05-17 38.233 38.233 38.233 38.233 0 35.947
2013-05-20 38.398 38.398 38.398 38.398 0 36.102
2013-05-21 37.708 37.708 37.708 37.708 0 35.454
2013-05-22 37.441 37.441 37.441 37.441 0 35.203
2013-05-23 37.23 37.23 37.23 37.23 0 35.004
2013-05-24 37.733 37.733 37.733 37.733 0 35.477
2013-05-27 37.031 37.031 37.031 37.031 0 34.817
2013-05-28 37.134 37.134 37.134 37.134 0 34.914
2013-05-29 37.32 37.32 37.32 37.32 0 35.089
2013-05-30 37.486 37.486 37.486 37.486 0 35.245
