"Index" "ES.Open" "ES.High" "ES.Low" "ES.Close" "ES.Volume" "ES.Adjusted"
2013-01-02 39.470001 39.900002 39.41 39.82 1419200 36.197473
2013-01-03 39.860001 40.049999 39.549999 39.599998 1593100 35.997486
2013-01-04 39.689999 39.93 39.59 39.639999 1419900 36.033848
2013-01-07 39.439999 39.580002 39.09 39.209999 1944500 35.642966
2013-01-08 39.080002 39.200001 38.959999 39 2764800 35.452071
2013-01-09 39.099998 39.189999 38.799999 39.119999 2163000 35.561153
2013-01-10 39.23 39.450001 39.040001 39.310001 1531600 35.733871
2013-01-11 39.25 39.389999 39.029999 39.189999 1525200 35.624785
2013-01-14 39.209999 39.34 38.970001 39.040001 1988500 35.488433
2013-01-15 39.009998 39.009998 38.720001 38.98 1845000 35.43389
2013-01-16 38.869999 39.009998 38.66 38.669998 2327100 35.15209
2013-01-17 38.790001 38.860001 38.599998 38.700001 3487600 35.179363
2013-01-18 38.799999 39.240002 38.799999 39.209999 2840200 35.642966
2013-01-22 39.259998 39.919998 39.25 39.849998 2123900 36.224743
2013-01-23 39.66 39.830002 39.310001 39.77 1797400 36.152022
2013-01-24 39.75 40.150002 39.700001 39.91 1386200 36.279286
2013-01-25 40.049999 40.32 39.73 40.32 1556000 36.651987
2013-01-28 40.369999 40.389999 40.040001 40.25 1242500 36.588355
2013-01-29 40.25 40.66 40.169998 40.630001 1461900 36.933787
2013-01-30 40.560001 41.139999 40.560001 40.990002 2057700 37.261037
2013-01-31 40.889999 41.009998 40.66 40.73 4990600 37.024688
2013-02-01 40.91 41.349998 40.790001 41.18 1755300 37.433751
2013-02-04 41.07 41.169998 40.950001 40.990002 1315300 37.261037
2013-02-05 41.119999 41.369999 40.889999 40.93 1323400 37.206494
2013-02-06 40.880001 41.110001 40.650002 41.080002 1178700 37.34285
2013-02-07 41.139999 41.400002 40.889999 41.09 1418600 37.351938
2013-02-08 41.099998 41.119999 40.73 41.110001 1499100 37.370119
2013-02-11 41.119999 41.200001 40.860001 41.119999 847100 37.379208
2013-02-12 41.060001 41.16 40.830002 41.150002 1093100 37.406481
2013-02-13 41.130001 41.310001 40.880001 41.09 1185200 37.351938
