"Index" "ETR.Open" "ETR.High" "ETR.Low" "ETR.Close" "ETR.Volume" "ETR.Adjusted"
2013-01-02 64.519997 64.889999 64.220001 64.75 918700 56.146798
2013-01-03 64.839996 64.860001 64.239998 64.440002 1070600 55.877989
2013-01-04 64.470001 64.489998 63.98 64.43 939700 55.869316
2013-01-07 64.160004 64.419998 62.790001 63.34 1162200 54.924142
2013-01-08 63.32 63.610001 62.560001 62.84 1004700 54.490576
2013-01-09 62.700001 62.990002 62.380001 62.73 1139500 54.39519
2013-01-10 62.900002 63.400002 62.73 63.369999 838000 54.950154
2013-01-11 63.529999 63.68 62.919998 63.07 1281100 54.690015
2013-01-14 63.139999 63.470001 63.060001 63.209999 499000 54.811413
2013-01-15 63 63.43 62.939999 63.349998 702300 54.932811
2013-01-16 63.080002 63.41 62.889999 63.07 732200 54.690015
2013-01-17 63.25 63.549999 63.040001 63.27 774400 54.863443
2013-01-18 63.330002 63.880001 63.240002 63.869999 644000 55.38372
2013-01-22 63.900002 64.419998 63.77 64.370003 828500 55.81729
2013-01-23 63.880001 64.5 63.25 63.91 1442800 55.418407
2013-01-24 63.759998 64.199997 63.52 63.84 1460100 55.357708
2013-01-25 64 64.610001 63.619999 64.589996 875300 56.008053
2013-01-28 64.559998 64.589996 64.029999 64.449997 805100 55.886655
2013-01-29 64.260002 65.209999 64.019997 65.050003 966600 56.40694
2013-01-30 64.910004 65.129997 64.400002 64.589996 973100 56.008053
2013-01-31 64.459999 64.660004 64.300003 64.599998 1156200 56.016726
2013-02-01 64.809998 64.949997 64.559998 64.839996 739700 56.224836
2013-02-04 64.699997 64.769997 64.07 64.099998 959700 55.58316
2013-02-05 64.57 65.269997 64.540001 64.980003 1134200 56.346241
2013-02-06 64.739998 64.879997 64.269997 64.879997 1080000 56.259522
2013-02-07 64.879997 65.290001 64.510002 64.959999 677200 56.328894
2013-02-08 64.980003 65.080002 63.580002 64.470001 3966200 55.904002
2013-02-11 64.419998 64.730003 64.32 64.620003 2989900 56.034073
2013-02-12 63.790001 64.110001 63.759998 63.93 884400 56.157048
2013-02-13 63.93 64.169998 63.59 63.66 1042700 55.919875
2013-02-14 63.099998 63.099998 61.5 61.799999 2615600 54.286024
2013-02-15 61.599998 61.689999 61.09 61.450001 1846400 53.97858
2013-02-19 61.700001 62 61.560001 61.779999 1198700 54.268455
2013-02-20 61.790001 62.209999 61.529999 61.549999 1316600 54.06642
2013-02-21 61.529999 61.720001 61.240002 61.52 946100 54.040068
2013-02-22 61.610001 62.16 61.529999 62.049999 809200 54.505627
2013-02-25 62.240002 62.860001 61.580002 61.580002 1037900 54.092775
2013-02-26 61.880001 62.360001 61.290001 61.540001 1094600 54.057637
2013-02-27 61.740002 62.099998 61.459999 62.02 872500 54.479276
2013-02-28 62.139999 62.52 61.98 62.259998 1347000 54.690093
2013-03-01 62.209999 62.459999 61.639999 62.119999 1137700 54.567116
2013-03-04 61.950001 63.009998 61.950001 62.950001 892400 55.296202
2013-03-05 63.200001 63.82 63.060001 63.580002 1222100 55.849604
2013-03-06 63.73 63.939999 63.470001 63.650002 917600 55.911093
2013-03-07 63.720001 64.059998 63.419998 63.52 615300 55.796898
2013-03-08 63.59 63.709999 62.970001 63.43 943900 55.71784
2013-03-11 63.279999 63.560001 63.220001 63.52 761000 55.796898
