"Index" "EVC.Open" "EVC.High" "EVC.Low" "EVC.Close" "EVC.Volume" "EVC.Adjusted"
2013-01-02 1.74 1.84 1.7 1.71 461700 1.629164
2013-01-03 1.72 1.74 1.67 1.67 144500 1.591055
2013-01-04 1.68 1.77 1.66 1.7 234800 1.619637
2013-01-07 1.7 1.8 1.7 1.7 237200 1.619637
2013-01-08 1.7 1.77 1.69 1.69 147400 1.61011
2013-01-09 1.99 2.21 1.72 1.73 450400 1.648219
2013-01-10 1.74 1.78 1.72 1.75 275300 1.667273
2013-01-11 1.75 1.77 1.68 1.71 135000 1.629164
2013-01-14 1.7 1.72 1.64 1.67 1204500 1.591055
2013-01-15 1.65 1.72 1.65 1.7 593600 1.619637
2013-01-16 1.69 1.73 1.68 1.68 183400 1.600582
2013-01-17 1.69 1.73 1.67 1.7 180000 1.619637
2013-01-18 1.69 1.77 1.68 1.69 182900 1.61011
2013-01-22 1.74 1.77 1.68 1.69 313500 1.61011
2013-01-23 1.69 1.73 1.69 1.72 140100 1.638691
2013-01-24 1.72 1.74 1.7 1.73 92200 1.648219
2013-01-25 1.78 1.78 1.71 1.75 237100 1.667273
2013-01-28 1.76 1.9 1.75 1.9 750800 1.810182
2013-01-29 1.87 2.03 1.78 1.87 627500 1.781601
2013-01-30 1.86 1.95 1.84 1.9 464500 1.810182
2013-01-31 1.9 1.95 1.88 1.88 278100 1.791128
2013-02-01 1.9 1.95 1.85 1.9 401600 1.810182
2013-02-04 1.89 1.95 1.83 1.86 491200 1.772073
2013-02-05 1.89 1.94 1.78 1.89 480300 1.800655
2013-02-06 1.83 1.94 1.83 1.92 313200 1.829237
2013-02-07 1.95 1.95 1.87 1.88 220100 1.791128
2013-02-08 1.89 1.94 1.89 1.92 157200 1.829237
2013-02-11 1.92 1.95 1.91 1.93 248800 1.838764
2013-02-12 1.93 2.03 1.87 2.01 310400 1.914982
2013-02-13 2.04 2.04 1.97 1.99 262500 1.895928
2013-02-14 2 2.04 1.98 2 260200 1.905455
2013-02-15 2.03 2.03 1.95 2 371900 1.905455
2013-02-19 1.98 2.03 1.96 2.03 216800 1.934037
2013-02-20 2.03 2.03 1.97 1.97 342600 1.876873
2013-02-21 1.97 1.97 1.89 1.92 166800 1.829237
2013-02-22 1.94 1.96 1.9 1.92 283800 1.829237
2013-02-25 1.95 1.95 1.92 1.92 214200 1.829237
2013-02-26 1.94 1.95 1.88 1.91 251700 1.81971
2013-02-27 1.91 1.93 1.88 1.89 246100 1.800655
2013-02-28 1.9 2.02 1.87 2 904700 1.905455
2013-03-01 1.98 2.13 1.96 2.11 749600 2.010255
2013-03-04 2.14 2.18 2.12 2.18 532800 2.076946
