"Index" "EW.Open" "EW.High" "EW.Low" "EW.Close" "EW.Volume" "EW.Adjusted"
2013-01-02 91.919998 92.589996 91.230003 92.139999 738900 92.139999
2013-01-03 92.080002 92.910004 92.010002 92.519997 589900 92.519997
2013-01-04 92.769997 93.150002 91.5 92.650002 983600 92.650002
2013-01-07 91.790001 94.980003 91.580002 94.5 790400 94.5
2013-01-08 94.199997 94.620003 92.199997 92.57 1156300 92.57
2013-01-09 93.209999 93.459999 92.059998 93.199997 797100 93.199997
2013-01-10 93.480003 93.5 91.970001 92.029999 683800 92.029999
2013-01-11 92.339996 93 91.589996 91.790001 492200 91.790001
2013-01-14 91.68 91.779999 90.629997 91.400002 430800 91.400002
2013-01-15 91.190002 91.650002 89.620003 90.07 863000 90.07
2013-01-16 89.980003 91.910004 89.779999 91.309998 911400 91.309998
2013-01-17 91.610001 92.059998 90.82 91.510002 610600 91.510002
2013-01-18 91.730003 94.610001 91.730003 94.559998 1077700 94.559998
2013-01-22 94.150002 94.370003 91.93 91.970001 751700 91.970001
2013-01-23 92.269997 92.5 90.5 90.690002 877900 90.690002
2013-01-24 90.779999 91.75 90.720001 91.610001 787300 91.610001
2013-01-25 91.639999 92.389999 90.809998 92.089996 544100 92.089996
2013-01-28 92.239998 92.379997 90.410004 90.540001 551300 90.540001
2013-01-29 90.760002 91.129997 90.129997 90.400002 893800 90.400002
2013-01-30 90.5 90.949997 89.949997 90.059998 1032800 90.059998
2013-01-31 90.260002 90.650002 89.699997 89.93 1106400 89.93
2013-02-01 91.699997 93.540001 90.370003 93.410004 1266300 93.410004
2013-02-04 91.949997 93.980003 91.510002 93.059998 1278600 93.059998
2013-02-05 89.660004 90.860001 86.360001 86.75 4330600 86.75
2013-02-06 86.150002 86.800003 83.959999 86.800003 3212200 86.800003
2013-02-07 86.800003 86.910004 84.470001 86 1616400 86
2013-02-08 86.370003 87.32 85.620003 87.220001 1758700 87.220001
2013-02-11 87.019997 87.410004 85.639999 87.050003 1153900 87.050003
2013-02-12 87.040001 87.709999 86.379997 87.419998 1019000 87.419998
2013-02-13 87.459999 87.940002 86.410004 87.059998 779900 87.059998
2013-02-14 86.970001 87.199997 86.07 86.349998 694800 86.349998
2013-02-15 86.620003 86.760002 85.739998 86.360001 688900 86.360001
2013-02-19 86.550003 86.959999 86.029999 86.699997 873400 86.699997
2013-02-20 86.540001 86.959999 86.309998 86.389999 737900 86.389999
2013-02-21 86.050003 86.800003 85.099998 85.68 1034500 85.68
2013-02-22 85.800003 86.449997 85.279999 86.370003 685000 86.370003
2013-02-25 86.540001 88.739998 86.459999 86.5 1215600 86.5
2013-02-26 86.68 87.169998 85.910004 86.800003 841100 86.800003
2013-02-27 86.580002 86.980003 85.239998 86.43 1013300 86.43
2013-02-28 86.519997 87.389999 85.800003 85.93 957600 85.93
2013-03-01 85.779999 86.980003 85 86.099998 1137900 86.099998
2013-03-04 85.910004 86.610001 85.709999 86.599998 739700 86.599998
2013-03-05 86.669998 87.800003 86.610001 87.620003 594400 87.620003
2013-03-06 87.739998 88.970001 87.57 88.900002 1071500 88.900002
2013-03-07 88.57 89.239998 88.459999 88.910004 760000 88.910004
2013-03-08 89.279999 90.309998 88.839996 90.300003 878100 90.300003
2013-03-11 89.459999 89.459999 87.190002 88.07 1737900 88.07
2013-03-12 88.459999 88.459999 87.43 87.970001 738200 87.970001
2013-03-13 88.080002 88.25 87.290001 87.360001 617500 87.360001
2013-03-14 87.870003 87.870003 85.239998 85.379997 987500 85.379997
2013-03-15 83.949997 84.919998 82.040001 82.190002 2078800 82.190002
2013-03-18 81.830002 82.050003 81.019997 81.209999 615800 81.209999
2013-03-19 81.139999 81.370003 78.099998 78.660004 2565000 78.660004
2013-03-20 79 81.18 78.919998 80.93 1846100 80.93
2013-03-21 80.739998 82.18 80.699997 81.919998 1121500 81.919998
2013-03-22 81.699997 82.93 81.519997 82.190002 1320600 82.190002
