"Index" "EWN.Open" "EWN.High" "EWN.Low" "EWN.Close" "EWN.Volume" "EWN.Adjusted"
2013-01-02 20.780001 20.809999 20.559999 20.68 280700 19.640637
2013-01-03 20.549999 20.6 20.42 20.43 115100 19.403202
2013-01-04 20.469999 20.639999 20.43 20.59 348900 19.55516
2013-01-07 20.540001 20.639999 20.5 20.629999 36700 19.593149
2013-01-08 20.549999 20.559999 20.42 20.5 104000 19.469683
2013-01-09 20.469999 20.559999 20.459999 20.51 190400 19.479181
2013-01-10 20.889999 20.99 20.799999 20.969999 43900 19.916061
2013-01-11 21 21.08 20.950001 21.059999 171300 20.001538
2013-01-14 20.91 20.940001 20.82 20.93 51900 19.878072
2013-01-15 20.780001 20.9 20.75 20.889999 38100 19.840082
2013-01-16 20.77 20.9 20.75 20.860001 29600 19.811591
2013-01-17 21.049999 21.209999 21.040001 21.129999 45500 20.068019
2013-01-18 21.02 21.09 20.93 21.07 51300 20.011035
2013-01-22 21.15 21.23 21.1 21.219999 35900 20.153496
2013-01-23 21.17 21.209999 21.08 21.209999 158600 20.143998
2013-01-24 21.25 21.360001 21.209999 21.26 53400 20.191486
2013-01-25 21.530001 21.639999 21.49 21.629999 356500 20.542889
2013-01-28 21.709999 21.73 21.610001 21.719999 304100 20.628366
2013-01-29 21.65 21.799999 21.639999 21.790001 234900 20.69485
2013-01-30 21.82 21.940001 21.799999 21.85 236400 20.751834
2013-01-31 21.799999 21.879999 21.73 21.73 119200 20.637864
2013-02-01 22.059999 22.16 21.98 22.09 395400 20.979771
2013-02-04 21.610001 21.629999 21.360001 21.360001 350800 20.286461
2013-02-05 21.32 21.459999 21.299999 21.370001 210000 20.295958
2013-02-06 21.120001 21.27 21.1 21.219999 207500 20.153496
2013-02-07 21.17 21.17 20.85 20.950001 100700 19.897067
2013-02-08 20.969999 21.049999 20.950001 20.99 241500 19.935056
2013-02-11 21.07 21.09 20.93 21.02 262900 19.963549
2013-02-12 21.059999 21.219999 21.059999 21.15 43100 20.087014
2013-02-13 21.280001 21.33 21.190001 21.219999 62300 20.153496
2013-02-14 21.01 21.15 21.01 21.129999 43700 20.068019
2013-02-15 21.09 21.09 20.879999 20.940001 83700 19.88757
2013-02-19 21.120001 21.209999 21.110001 21.200001 477200 20.134502
2013-02-20 21.139999 21.16 20.76 20.790001 99600 19.745109
2013-02-21 20.309999 20.35 20.18 20.24 86400 19.222751
2013-02-22 20.450001 20.59 20.379999 20.58 162300 19.545662
2013-02-25 20.860001 20.879999 19.93 19.959999 443300 18.956822
2013-02-26 20.1 20.18 19.950001 20.049999 1028100 19.042299
2013-02-27 19.98 20.35 19.98 20.309999 236900 19.289232
2013-02-28 20.27 20.42 20.24 20.25 281400 19.232248
2013-03-01 19.950001 20.139999 19.889999 20.120001 142200 19.108783
2013-03-04 20.1 20.26 20.049999 20.26 114700 19.241746
2013-03-05 20.58 20.66 20.5 20.549999 533300 19.51717
2013-03-06 20.700001 20.719999 20.58 20.639999 312800 19.602646
2013-03-07 20.780001 20.85 20.75 20.82 130000 19.7736
2013-03-08 20.9 20.93 20.76 20.91 105300 19.859077
2013-03-11 20.84 20.93 20.799999 20.91 121400 19.859077
2013-03-12 21.040001 21.059999 20.91 20.940001 129300 19.88757
2013-03-13 20.85 20.9 20.74 20.860001 59900 19.811591
2013-03-14 20.93 21.09 20.91 21.059999 43100 20.001538
2013-03-15 21.139999 21.139999 21.02 21.07 202800 20.011035
2013-03-18 20.67 20.959999 20.66 20.780001 117800 19.735611
2013-03-19 20.950001 20.99 20.610001 20.77 126200 19.726114
2013-03-20 21.030001 21.059999 20.940001 20.98 56800 19.925558
2013-03-21 20.83 20.93 20.77 20.799999 525600 19.754605
2013-03-22 20.879999 20.99 20.870001 20.940001 45100 19.88757
2013-03-25 20.85 20.91 20.469999 20.58 183100 19.545662
2013-03-26 20.6 20.66 20.49 20.59 147000 19.55516
2013-03-27 20.190001 20.299999 20.16 20.26 136100 19.241746
2013-03-28 20.57 20.620001 20.49 20.59 82800 19.55516
2013-04-01 20.59 20.6 20.379999 20.43 102300 19.403202
2013-04-02 20.67 20.85 20.66 20.690001 170300 19.650135
2013-04-03 20.799999 20.809999 20.629999 20.629999 168200 19.593149
2013-04-04 20.540001 20.700001 20.48 20.700001 173300 19.659632
2013-04-05 20.32 20.52 20.27 20.469999 273000 19.44119
2013-04-08 20.58 20.58 20.440001 20.549999 54300 19.51717
2013-04-09 20.559999 20.709999 20.459999 20.639999 130000 19.602646
2013-04-10 20.809999 21.110001 20.809999 21.030001 168300 19.973046
2013-04-11 21.17 21.35 21.15 21.219999 160700 20.153496
2013-04-12 21.08 21.15 20.99 21.15 43900 20.087014
2013-04-15 21 21 20.700001 20.75 16900 19.707118
2013-04-16 21.07 21.1 20.959999 21.1 22200 20.039528
2013-04-17 20.93 20.93 20.469999 20.57 229800 19.536165
2013-04-18 20.629999 20.68 20.459999 20.540001 87400 19.507674
2013-04-19 20.65 20.700001 20.610001 20.65 72800 19.612144
2013-04-22 20.559999 20.6 20.389999 20.549999 122600 19.51717
2013-04-23 20.77 20.959999 20.77 20.93 181400 19.878072
2013-04-24 21 21.1 20.950001 21.059999 49900 20.001538
2013-04-25 21.1 21.17 21.040001 21.049999 28400 19.99204
2013-04-26 21.01 21.07 20.99 21.040001 221200 19.982544
2013-04-29 21.190001 21.34 21.17 21.299999 30600 20.229475
2013-04-30 21.200001 21.290001 21.16 21.290001 291000 20.219979
2013-05-01 21.33 21.35 21.15 21.16 86600 20.096512
2013-05-02 21.15 21.33 21.139999 21.290001 252500 20.219979
2013-05-03 21.52 21.610001 21.52 21.57 45400 20.485905
2013-05-06 21.629999 21.629999 21.5 21.57 78000 20.485905
2013-05-07 21.629999 21.65 21.51 21.59 52200 20.504901
2013-05-08 21.74 21.84 21.73 21.809999 91000 20.713843
