"Index" "EXR.Open" "EXR.High" "EXR.Low" "EXR.Close" "EXR.Volume" "EXR.Adjusted"
2013-01-02 36.810001 37.139999 36.639999 36.849998 486400 33.577786
2013-01-03 36.880001 37.419998 36.880001 37.150002 680500 33.85115
2013-01-04 37.150002 37.360001 36.959999 37.330002 459100 34.015166
2013-01-07 36.950001 37.599998 36.950001 37.400002 590600 34.07895
2013-01-08 37.310001 37.450001 37 37.150002 446700 33.85115
2013-01-09 37.290001 37.810001 37.119999 37.810001 596000 34.452543
2013-01-10 37.869999 37.970001 37.700001 37.799999 555000 34.443429
2013-01-11 37.810001 37.82 37.450001 37.639999 600100 34.297637
2013-01-14 37.599998 37.669998 37.549999 37.639999 278700 34.297637
2013-01-15 37.639999 37.75 37.57 37.709999 545300 34.36142
2013-01-16 37.900002 37.990002 37.68 37.919998 538900 34.552772
2013-01-17 38.150002 38.509998 38.110001 38.169998 442200 34.780572
2013-01-18 38.360001 38.529999 38.07 38.529999 425500 35.108606
2013-01-22 38.450001 38.630001 38.310001 38.580002 521600 35.154168
2013-01-23 38.630001 38.720001 38.330002 38.41 305000 34.999262
2013-01-24 38.580002 39.57 38.459999 38.950001 1261300 35.491312
2013-01-25 39.07 39.330002 38.830002 39.32 622600 35.828456
2013-01-28 39.209999 39.400002 39 39.189999 501200 35.709999
2013-01-29 39.259998 40.049999 39.209999 39.650002 14499900 36.129154
2013-01-30 39.639999 39.75 39.419998 39.599998 1032400 36.083591
2013-01-31 39.57 39.880001 39.490002 39.84 1092600 36.302281
2013-02-01 39.959999 40.5 39.799999 40.400002 834000 36.812556
2013-02-04 40.360001 40.59 40.189999 40.400002 876800 36.812556
2013-02-05 40.630001 40.970001 40.130001 40.150002 1049300 36.584755
2013-02-06 40.25 40.360001 39.959999 40.16 829200 36.593866
2013-02-07 40.34 40.41 39.919998 39.970001 567800 36.420738
2013-02-08 40.060001 40.279999 39.849998 40.279999 536500 36.703209
2013-02-11 40.349998 40.740002 40.349998 40.41 463400 36.821666
2013-02-12 40.48 40.610001 40.32 40.349998 508000 36.766993
2013-02-13 40.490002 40.66 39.869999 40.060001 756400 36.502747
2013-02-14 40.040001 40.040001 39.529999 39.540001 1268800 36.028921
2013-02-15 39.16 39.330002 37.950001 38.700001 2269000 35.263512
2013-02-19 38.57 38.82 38.060001 38.5 1403600 35.081271
2013-02-20 38.490002 38.84 38.369999 38.400002 945000 34.990152
2013-02-21 38.27 38.310001 37.560001 37.82 1372200 34.461653
2013-02-22 37.799999 38.279999 37.400002 38.119999 833800 34.735013
2013-02-25 38.400002 38.490002 37.139999 37.189999 1092000 33.887595
2013-02-26 37.18 37.310001 36.5 37.290001 1996200 33.978717
2013-02-27 37.279999 37.580002 37.139999 37.529999 544300 34.197404
2013-02-28 37.560001 37.77 37.41 37.439999 1291000 34.115395
2013-03-01 37.389999 37.619999 36.889999 37.52 1055000 34.188293
2013-03-04 37.540001 38.509998 37.529999 38.439999 860400 35.026597
2013-03-05 38.549999 39.459999 38.48 39.459999 995900 35.956024
2013-03-06 39.59 39.599998 39.080002 39.169998 816800 35.691774
2013-03-07 39.18 39.5 38.93 39.029999 736300 35.564206
2013-03-08 39.130001 39.23 38.77 39.209999 880600 35.728223
2013-03-11 39.16 39.16 38.540001 38.860001 572300 35.409304
2013-03-12 38.73 39.07 38.669998 38.91 629200 35.454863
2013-03-13 38.790001 39.419998 38.09 38.119999 991200 34.959631
2013-03-14 38.060001 38.41 37.880001 38.119999 1068300 34.959631
2013-03-15 38.150002 38.200001 37.830002 38.130001 1235200 34.968804
2013-03-18 38 38.41 37.880001 38.41 629300 35.225589
2013-03-19 38.470001 38.57 37.970001 38.209999 618000 35.04217
2013-03-20 38.380001 38.66 38.240002 38.639999 448000 35.436521
2013-03-21 38.529999 39.029999 38.419998 38.419998 673300 35.234759
2013-03-22 38.43 39.09 38.310001 39.09 596200 35.849214
2013-03-25 39.16 39.450001 38.830002 39.139999 957400 35.895068
2013-03-26 39.240002 39.529999 39.200001 39.490002 706200 36.216053
2013-03-27 39.259998 39.389999 39.009998 39.389999 483300 36.124341
2013-03-28 39.459999 39.610001 39.189999 39.27 1021900 36.014291
2013-04-01 39.240002 39.439999 38.869999 39.439999 558600 36.170195
2013-04-02 39.57 39.860001 39.419998 39.610001 496300 36.326103
2013-04-03 39.650002 39.740002 39.049999 39.189999 661600 35.940922
2013-04-04 39.279999 39.509998 39.130001 39.490002 365900 36.216053
2013-04-05 39.169998 39.759998 39.009998 39.75 352600 36.454496
2013-04-08 39.830002 40.240002 39.560001 40.119999 517800 36.79382
2013-04-09 40.240002 40.68 40.009998 40.529999 831000 37.169828
2013-04-10 40.540001 41.150002 40.459999 41.09 1153600 37.683402
2013-04-11 41.080002 41.689999 41.02 41.490002 919400 38.050241
2013-04-12 41.330002 41.57 41.27 41.540001 570700 38.096095
2013-04-15 41.25 41.5 40.810001 40.880001 1073100 37.490813
2013-04-16 41.02 41.720001 40.66 41.700001 722000 38.24283
2013-04-17 41.349998 41.57 40.900002 41.200001 869700 37.784283
2013-04-18 41.330002 41.380001 40.98 41.220001 497100 37.802625
2013-04-19 41.34 42.049999 41.049999 42.009998 610500 38.527127
2013-04-22 42.110001 42.110001 41.450001 41.52 496600 38.077753
2013-04-23 41.599998 41.84 41.32 41.650002 545200 38.196976
2013-04-24 41.77 41.950001 41.490002 41.860001 552500 38.389565
2013-04-25 41.990002 41.990002 41.5 41.68 736200 38.224488
2013-04-26 41.799999 42.23 41.740002 41.990002 636400 38.508788
2013-04-29 42.77 43.130001 42.32 42.959999 673800 39.398367
2013-04-30 42.849998 43.580002 42.849998 43.580002 1735000 39.966968
2013-05-01 43.48 43.959999 43.32 43.48 946600 39.875257
2013-05-02 43.650002 44.130001 43.48 44 661200 40.352146
2013-05-03 44.360001 44.450001 43.990002 44.07 484300 40.416342
2013-05-06 44.150002 44.360001 43.77 44.27 455700 40.599762
2013-05-07 44.360001 44.419998 44.139999 44.189999 395700 40.526393
2013-05-08 44.189999 44.240002 43.900002 44.23 651900 40.563077
2013-05-09 44.360001 44.5 44.040001 44.25 580900 40.58142
2013-05-10 44.259998 44.41 43.650002 43.720001 425200 40.095361
2013-05-13 43.73 43.84 43.380001 43.84 460300 40.205411
2013-05-14 43.82 44.130001 43.720001 43.84 549200 40.205411
2013-05-15 43.830002 44.330002 43.630001 44.330002 600500 40.654789
2013-05-16 44.18 44.639999 43.82 44.029999 510800 40.379658
2013-05-17 44.130001 44.5 43.919998 44.470001 461100 40.783182
2013-05-20 44.48 44.700001 44.150002 44.419998 520000 40.737324
2013-05-21 44.540001 44.990002 44.540001 44.950001 395500 41.223386
2013-05-22 44.98 45.290001 43.450001 43.610001 607100 39.99448
2013-05-23 43.540001 43.689999 42.700001 43.380001 1128000 39.783549
2013-05-24 43.200001 43.529999 42.68 43.439999 450600 39.838572
2013-05-28 43.950001 44.119999 42.740002 43.080002 576500 39.508421
2013-05-29 42.709999 42.740002 41.799999 42.189999 616700 38.692204
2013-05-30 42.099998 42.560001 42 42.490002 776700 38.967335
2013-05-31 42.259998 42.650002 41.880001 41.889999 646200 38.417077
2013-06-03 41.990002 42.529999 41.5 42.240002 601800 38.738062
2013-06-04 42.290001 42.59 41.34 41.84 1215000 38.371223
2013-06-05 41.68 42.27 41.580002 41.900002 617300 38.42625
2013-06-06 41.77 42.720001 41.540001 42.720001 541800 39.178267
2013-06-07 42.709999 42.990002 42.040001 42.919998 850700 39.361683
2013-06-10 43.049999 43.049999 42.400002 42.580002 973300 39.049874
2013-06-11 42.25 42.549999 41.939999 42.110001 771400 38.618839
2013-06-12 41.830002 42.09 40.950001 41.009998 693400 37.970714
2013-06-13 40.98 42.029999 40.959999 41.970001 709300 38.859571
2013-06-14 42.009998 42.669998 41.849998 42.310001 653500 39.174373
2013-06-17 42.889999 43.560001 42.740002 42.84 1446900 39.665093
2013-06-18 42.889999 43.889999 42.630001 43.700001 1156300 40.461358
2013-06-19 43.77 43.849998 42 42.09 1120300 38.970676
2013-06-20 41.98 41.98 40.220001 40.490002 1421400 37.489255
2013-06-21 40.66 42.25 40.66 41.880001 2013100 38.77624
2013-06-24 41.290001 42.049999 40.549999 41.25 1742700 38.192929
2013-06-25 41.509998 41.93 40.900002 41.689999 936900 38.600319
2013-06-26 41.959999 42.290001 41.419998 41.84 825000 38.739204
2013-06-27 42.220001 42.549999 42.07 42.27 890200 39.137337
2013-06-28 42.290001 42.470001 41.880001 41.93 1309900 38.822534
2013-07-01 42.18 42.349998 41.599998 41.75 973600 38.655874
2013-07-02 41.939999 43.360001 41.880001 43.130001 1078600 39.933602
2013-07-03 42.889999 43.060001 42.349998 42.810001 540000 39.637318
