"Index" "FEW.Open" "FEW.High" "FEW.Low" "FEW.Close" "FEW.Volume" "FEW.Adjusted"
2013-01-01 2.031 2.031 2.031 2.031 0 2.031
2013-01-02 1.893 1.893 1.893 1.893 0 1.893
2013-01-03 1.831 1.831 1.831 1.831 0 1.831
2013-01-04 1.853 1.853 1.853 1.853 0 1.853
2013-01-07 2.08 2.08 2.08 2.08 0 2.08
2013-01-08 2.132 2.132 2.132 2.132 0 2.132
2013-01-09 2.13 2.36 2.13 2.36 200 2.36
2013-01-10 2.151 2.151 2.151 2.151 0 2.151
2013-01-11 2.25 2.25 2.25 2.25 0 2.25
2013-01-14 2.22 2.22 2.22 2.22 0 2.22
2013-01-15 2.09 2.09 2.09 2.09 0 2.09
2013-01-16 2.266 2.266 2.266 2.266 0 2.266
2013-01-17 2.211 2.211 2.211 2.211 0 2.211
2013-01-18 2.19 2.19 2.19 2.19 0 2.19
2013-01-21 2.191 2.191 2.191 2.191 0 2.191
2013-01-22 2.18 2.18 2.18 2.18 0 2.18
2013-01-23 2.112 2.112 2.112 2.112 0 2.112
2013-01-24 2.113 2.113 2.113 2.113 0 2.113
2013-01-25 2.15 2.15 2.15 2.15 0 2.15
2013-01-28 2.071 2.071 2.071 2.071 700 2.071
2013-01-29 2.071 2.071 2.071 2.071 0 2.071
2013-01-30 2.052 2.052 2.052 2.052 0 2.052
2013-01-31 2.062 2.062 2.062 2.062 0 2.062
2013-02-01 2.062 2.062 2.062 2.062 0 2.062
2013-02-04 2.03 2.03 2.03 2.03 0 2.03
2013-02-05 1.95 1.95 1.95 1.95 0 1.95
2013-02-06 1.942 1.942 1.942 1.942 0 1.942
2013-02-07 2.02 2.02 2.02 2.02 0 2.02
2013-02-08 2.02 2.02 2.02 2.02 0 2.02
2013-02-11 2.03 2.03 2.03 2.03 0 2.03
2013-02-12 2.03 2.03 2.03 2.03 0 2.03
2013-02-13 2.02 2.02 2.02 2.02 0 2.02
2013-02-14 2.02 2.02 2.02 2.02 0 2.02
2013-02-15 2.021 2.021 2.021 2.021 0 2.021
2013-02-18 2.02 2.02 2.02 2.02 0 2.02
2013-02-19 1.91 1.91 1.91 1.91 0 1.91
2013-02-20 1.95 1.95 1.95 1.95 0 1.95
2013-02-21 1.906 1.906 1.906 1.906 0 1.906
2013-02-22 1.892 1.892 1.892 1.892 0 1.892
2013-02-25 1.941 1.941 1.941 1.941 0 1.941
2013-02-26 2.18 2.18 2.18 2.18 400 2.18
2013-02-27 2.05 2.05 2.05 2.05 0 2.05
2013-02-28 2.04 2.04 2.04 2.04 0 2.04
2013-03-01 2.192 2.192 2.192 2.192 0 2.192
2013-03-04 2.21 2.21 2.21 2.21 0 2.21
2013-03-05 2.14 2.14 2.14 2.14 0 2.14
2013-03-06 2.06 2.06 2.06 2.06 0 2.06
2013-03-07 2.1 2.1 2.1 2.1 0 2.1
2013-03-08 2.1 2.1 2.1 2.1 0 2.1
2013-03-11 2.1 2.1 2.1 2.1 1200 2.1
2013-03-12 2.1 2.1 1.9 2.1 10400 2.1
2013-12-03 2.295 2.295 2.295 2.295 0 2.295
2013-12-04 2.313 2.313 2.313 2.313 0 2.313
2013-12-05 2.26 2.26 2.26 2.26 0 2.26
2013-12-06 2.26 2.26 2.26 2.26 0 2.26
2013-12-09 2.25 2.25 2.25 2.25 0 2.25
2013-12-10 2.221 2.221 2.221 2.221 0 2.221
2013-12-11 2.27 2.27 2.27 2.27 0 2.27
2013-12-12 2.32 2.32 2.32 2.32 0 2.32
2013-12-13 2.231 2.231 2.231 2.231 100 2.231
2013-12-16 2.14 2.14 2.14 2.14 0 2.14
2013-12-17 2.1 2.1 2.1 2.1 0 2.1
2013-12-18 2.11 2.11 2.11 2.11 0 2.11
