"Index" "FF.Open" "FF.High" "FF.Low" "FF.Close" "FF.Volume" "FF.Adjusted"
2013-01-02 12.04 12.46 12.04 12.43 447700 11.32561
2013-01-03 12.41 12.55 12.27 12.32 192200 11.225383
2013-01-04 12.41 12.44 12.21 12.22 399100 11.134268
2013-01-07 12.11 12.28 12.11 12.12 182200 11.043153
2013-01-08 12.14 12.25 12.08 12.1 254700 11.02493
2013-01-09 12.25 12.26 12.17 12.19 357400 11.106933
2013-01-10 12.22 12.25 12.15 12.2 411100 11.116045
2013-01-11 12.31 12.31 12.1 12.18 389300 11.097822
2013-01-14 12.18 12.26 12.11 12.16 363300 11.079599
2013-01-15 12.1 12.29 12.1 12.23 327500 11.143379
2013-01-16 12.23 12.26 12.14 12.2 298400 11.116045
2013-01-17 12.26 12.39 12.26 12.33 485800 11.234495
2013-01-18 12.35 12.52 12.24 12.34 302900 11.243606
2013-01-22 12.36 12.7 12.36 12.61 314400 11.489617
2013-01-23 12.66 12.73 12.48 12.55 205500 11.434948
2013-01-24 12.56 12.8 12.51 12.61 210700 11.489617
2013-01-25 12.68 12.8 12.6 12.61 280700 11.489617
2013-01-28 12.64 12.82 12.64 12.75 374000 11.617178
2013-01-29 12.74 12.79 12.61 12.67 219500 11.544286
2013-01-30 12.7 12.93 12.69 12.75 273000 11.617178
2013-01-31 12.69 12.88 12.65 12.75 287300 11.617178
2013-02-01 12.78 13.21 12.76 13.03 355800 11.8723
2013-02-04 12.93 13.02 12.85 12.92 195000 11.772074
2013-02-05 13 13.08 12.96 13.02 158500 11.863189
2013-02-06 12.97 13.34 12.96 13.26 765400 12.081866
2013-02-07 13.28 13.55 13.1 13.51 292400 12.309653
2013-02-08 13.56 13.58 13.4 13.54 290600 12.336988
2013-02-11 13.54 13.96 13.54 13.87 431800 12.637667
2013-02-12 13.91 13.96 13.81 13.86 343300 12.628556
2013-02-13 13.88 14 13.53 13.75 324400 12.528329
2013-02-14 13.73 13.9 13.59 13.84 303100 12.610333
2013-02-15 13.9 13.97 13.76 13.84 306700 12.610333
2013-02-19 13.88 14 13.81 13.92 142600 12.683225
2013-02-20 13.91 13.98 13.56 13.57 183900 12.364322
2013-02-21 13.49 13.5 12.66 13.01 354600 11.854078
2013-02-22 13.05 13.48 12.98 13.42 249700 12.22765
2013-02-25 13.5 13.5 13.09 13.11 175000 11.945192
2013-02-26 13.13 13.27 13.09 13.18 231700 12.008973
2013-02-27 13.12 13.24 13.04 13.14 41000 12.073291
2013-02-28 13.14 13.19 13.02 13.11 178000 12.045726
2013-03-01 13.03 13.29 12.97 13.18 132400 12.110043
2013-03-04 13.2 13.3 13.11 13.22 251400 12.146796
2013-03-05 13.29 13.51 13.26 13.3 117200 12.220302
2013-03-06 13.37 13.5 13.34 13.42 60400 12.33056
2013-03-07 13.45 13.73 13.36 13.61 139800 12.505135
2013-03-08 13.73 13.86 13.61 13.77 168000 12.652147
2013-03-11 13.78 13.81 13.66 13.75 120200 12.63377
2013-03-12 13.72 14.01 13.68 13.92 186400 12.78997
2013-03-13 13.95 14.08 13.82 13.91 134000 12.780781
2013-03-14 13.96 14.01 13.79 13.98 254200 12.845099
2013-03-15 13.95 13.98 13.88 13.89 240400 12.762405
2013-03-18 13.78 14.04 13.57 13.66 638900 12.551076
2013-03-19 12.95 13.2 12.19 12.4 841600 11.393364
2013-03-20 12.31 12.72 12.31 12.55 398000 11.531187
2013-03-21 12.5 12.64 12.5 12.54 236800 11.521999
2013-03-22 12.61 12.64 12.21 12.34 248600 11.338235
2013-03-25 12.31 12.36 12.23 12.26 172800 11.264729
2013-03-26 12.33 12.33 12.23 12.27 150200 11.273918
2013-03-27 12.27 12.3 12.22 12.25 115500 11.255541
2013-03-28 12.25 12.29 12.11 12.15 205000 11.163659
2013-04-01 12.15 12.15 11.76 12.06 190600 11.080966
2013-04-02 12.13 12.21 12 12.07 170800 11.090153
2013-04-03 12.07 12.07 11.74 11.83 183800 10.869637
2013-04-04 11.93 12.05 11.85 11.95 115100 10.979895
2013-04-05 11.78 12 11.69 11.97 109200 10.998272
2013-04-08 12 12.09 11.82 11.91 139200 10.943142
2013-04-09 11.97 12.49 11.93 12.2 232400 11.2096
2013-04-10 12.23 12.38 12.15 12.37 196900 11.365799
2013-04-11 12.38 12.85 12.38 12.83 243200 11.788456
2013-04-12 12.8 12.85 12.68 12.72 197000 11.687386
2013-04-15 12.58 12.64 12.01 12.14 229400 11.154471
2013-04-16 12.24 12.51 12.21 12.5 157800 11.485246
2013-04-17 12.44 12.44 12.16 12.24 98600 11.246353
2013-04-18 12.34 12.34 11.98 12.07 138700 11.090153
2013-04-19 12.08 12.27 12.05 12.15 74200 11.163659
2013-04-22 12.17 12.32 11.93 12.3 61000 11.301482
2013-04-23 12.39 12.5 12.22 12.5 67800 11.485246
2013-04-24 12.55 12.71 12.53 12.62 57400 11.595504
2013-04-25 12.74 12.77 12.58 12.6 72000 11.577128
2013-04-26 12.61 12.72 12.17 12.18 74600 11.191224
2013-04-29 12.25 12.44 12.17 12.39 43800 11.384176
2013-04-30 12.44 12.54 12.15 12.25 90200 11.255541
2013-05-01 12.26 12.26 12.01 12.01 106400 11.035024
2013-05-02 11.97 12.57 11.91 12.55 116000 11.531187
2013-05-03 12.7 12.86 12.6 12.81 93400 11.77008
2013-05-06 12.97 12.97 12.66 12.74 84000 11.705762
2013-05-07 12.79 13.13 12.65 13.13 99800 12.064102
2013-05-08 13.81 14.3 13.52 13.65 397600 12.541888
2013-05-09 13.7 13.87 13.48 13.75 143300 12.63377
2013-05-10 13.76 13.95 13.75 13.87 131200 12.744029
2013-05-13 13.91 13.98 13.53 13.61 118100 12.505135
2013-05-14 13.74 13.95 13.64 13.83 218400 12.707276
2013-05-15 13.83 13.96 13.76 13.78 145400 12.661335
