"Index" "FH.Open" "FH.High" "FH.Low" "FH.Close" "FH.Volume" "FH.Adjusted"
2013-01-01 3 3 3 3 0 2.57436
2013-01-02 3 3 3 3 0 2.57436
2013-01-03 3 3 3 3 0 2.57436
2013-01-07 3 3 3 3 0 2.57436
2013-01-08 3 3 3 3 0 2.57436
2013-01-09 3 3 3 3 0 2.57436
2013-01-14 3 3 3 3 0 2.57436
2013-01-15 3.3 3.3 3.3 3.3 4600 2.83179
2013-01-16 3.29 3.29 3.29 3.29 189300 2.82321
2013-01-17 3 3 3 3 20900 2.57436
2013-01-21 3 3 3 3 0 2.57436
2013-01-22 3 3 3 3 0 2.57436
2013-01-23 3 3 3 3 0 2.57436
2013-01-24 3 3 3 3 0 2.57436
2013-01-28 3 3 3 3 0 2.57436
2013-01-29 3 3 3 3 0 2.57436
2013-01-31 3 3 3 3 0 2.57436
2013-02-04 3 3 3 3 0 2.57436
2013-02-05 3.9 3.9 3.9 3.9 1000 3.34667
2013-02-06 3 3 3 3 0 2.57436
2013-02-07 3 3 3 3 0 2.57436
2013-02-11 3.95 4 3.95 4 51200 3.43248
2013-02-12 4.05 4.05 4.05 4.05 15300 3.47538
2013-02-13 4 4 4 4 0 3.43248
2013-02-14 4 4 4 4 0 3.43248
2013-02-18 4 4 4 4 0 3.43248
2013-02-19 3.29 3.29 3.29 3.29 15300 2.82321
2013-02-20 3.77999 3.77999 3.77999 3.77999 0 3.24369
2013-02-21 3.77999 3.77999 3.77999 3.77999 0 3.24369
2013-02-25 3.77999 3.77999 3.77999 3.77999 0 3.24369
2013-02-26 3.77999 3.77999 3.77999 3.77999 0 3.24369
2013-02-27 3.77999 3.77999 3.77999 3.77999 0 3.24369
2013-02-28 3.1 3.1 3.1 3.1 77900 2.66017
2013-03-04 3 3 3 3 1700 2.57436
2013-03-05 3 3 3 3 0 2.57436
2013-03-06 3 3 3 3 0 2.57436
2013-03-07 3.25 3.25 3.25 3.25 20500 2.78888
2013-03-11 3.25 3.25 3.25 3.25 0 2.78888
2013-03-12 3.25 3.25 3.25 3.25 0 2.78888
2013-03-13 3.25 3.25 3.25 3.25 1000 2.78888
2013-03-14 3.25 3.25 3.25 3.25 1000 2.78888
2013-03-18 3.25 3.25 3.25 3.25 0 2.78888
2013-03-19 3.25 3.25 3.25 3.25 0 2.78888
2013-03-20 3.25 3.25 3.25 3.25 0 2.78888
2013-03-21 3.25 3.25 3.25 3.25 0 2.78888
2013-03-25 3.25 3.25 3.25 3.25 0 2.78888
2013-03-26 3.25 3.25 3.25 3.25 0 2.78888
2013-03-27 3 3.05 3 3.05 33700 2.61726
2013-03-28 3 3 3 3 10200 2.57436
2013-04-01 3 3 3 3 0 2.57436
2013-04-02 3 3 3 3 0 2.57436
2013-04-03 3 3 3 3 0 2.57436
2013-04-04 3 3 3 3 0 2.57436
2013-04-08 3.1 3.1 2.8 2.8 400 2.40274
2013-04-09 2.8 2.8 2.8 2.8 0 2.40274
2013-04-10 3.05 3.1 3.05 3.1 10200 2.66017
2013-04-11 3.1 3.1 3.1 3.1 0 2.66017
2013-04-15 3.1 3.1 3.1 3.1 0 2.66017
2013-04-16 3.1 3.1 3.1 3.1 0 2.66017
2013-04-17 3.1 3.1 3.1 3.1 0 2.66017
2013-04-18 3.1 3.1 3.1 3.1 0 2.66017
2013-04-22 3.1 3.1 3.1 3.1 0 2.66017
2013-04-23 3.1 3.1 3.1 3.1 0 2.66017
2013-04-24 3.1 3.1 3.1 3.1 0 2.66017
2013-04-25 3.1 3.1 3.1 3.1 20500 2.66017
2013-04-29 3.1 3.1 3.1 3.1 0 2.66017
2013-04-30 3.1 3.1 3.1 3.1 0 2.66017
2013-05-01 3.1 3.1 3.1 3.1 0 2.66017
2013-05-02 3.1 3.1 3.1 3.1 0 2.66017
2013-05-06 3.1 3.1 3.1 3.1 5100 2.66017
2013-05-07 2.85 3.1 2.85 3.1 5200 2.66017
2013-05-08 3.1 3.1 3.1 3.1 0 2.66017
2013-05-09 3.1 3.1 3.1 3.1 0 2.66017
2013-05-13 3.1 3.1 3.1 3.1 0 2.66017
2013-05-14 3.08 3.08 3 3 4595800 2.57436
2013-05-15 2.81 2.81 2.79 2.79 31700 2.39415
2013-05-16 3 3 3 3 5900 2.57436
2013-05-20 3 3 3 3 25600 2.57436
2013-05-21 3 3 3 3 0 2.57436
2013-05-22 2.8 2.8 2.8 2.8 200 2.40274
2013-05-23 2.8 2.8 2.8 2.8 0 2.40274
2013-05-27 2.8 2.8 2.8 2.8 0 2.40274
2013-05-28 3 3 3 3 10200 2.57436
2013-05-29 3 3 3 3 0 2.57436
2013-05-30 3 3 3 3 0 2.57436
2013-06-03 3 3 3 3 0 2.57436
2013-06-04 3 3 3 3 0 2.57436
2013-06-05 2.98 2.98 2.98 2.98 2100 2.5572
2013-06-10 2.85 2.98 2.85 2.98 24800 2.5572
2013-06-11 2.85 2.85 2.75 2.75 35800 2.35983
2013-06-12 2.9 2.9 2.9 2.9 49100 2.48855
2013-06-13 2.9 3 2.9 2.95 711300 2.53145
2013-06-17 3.39 3.39 3.39 3.39 0 2.90903
2013-06-18 3.45 3.89 3.45 3.89 28800 3.33808
2013-06-19 3.51 3.51 3.51 3.51 15300 3.012
2013-06-20 3.51 3.51 3.51 3.51 0 3.012
2013-06-24 3.51 3.51 3.51 3.51 0 3.012
2013-06-25 3.51 3.51 3.51 3.51 0 3.012
2013-06-26 3.51 3.51 3.51 3.51 0 3.012
2013-06-27 3.51 3.51 3.51 3.51 0 3.012
2013-07-01 3.51 3.51 3.51 3.51 0 3.012
2013-07-02 3.51 3.51 3.51 3.51 0 3.012
2013-07-03 3.51 3.51 3.51 3.51 0 3.012
2013-07-04 3.51 3.51 3.51 3.51 0 3.012
2013-07-08 3.63 3.63 3.63 3.63 12600 3.11497
2013-07-09 3.63 3.63 3.63 3.63 0 3.11497
2013-07-10 3.63 3.63 3.63 3.63 0 3.11497
2013-07-11 3.63 3.63 3.63 3.63 0 3.11497
2013-07-15 3.63 3.63 3.63 3.63 0 3.11497
2013-07-16 3.63 3.63 3.63 3.63 12600 3.11497
2013-07-17 3.63 3.63 3.63 3.63 0 3.11497
2013-07-18 3.63 3.63 3.63 3.63 0 3.11497
2013-07-22 3.63 3.63 3.63 3.63 0 3.11497
2013-07-23 3.63 3.63 3.63 3.63 0 3.11497
2013-07-24 3.65 3.65 3.65 3.65 1500 3.13214
2013-07-25 3.65 3.65 3.65 3.65 0 3.13214
2013-07-29 3.65 3.65 3.65 3.65 0 3.13214
2013-07-30 3.65 3.65 3.65 3.65 0 3.13214
2013-07-31 3.65 3.65 3.65 3.65 0 3.13214
2013-08-01 3.65 3.65 3.65 3.65 0 3.13214
2013-08-05 3.65 3.65 3.65 3.65 0 3.13214
2013-08-06 3.7 3.7 3.7 3.7 3600 3.17504
2013-08-07 3.7 3.7 3.7 3.7 0 3.17504
2013-08-08 3.7 3.7 3.7 3.7 0 3.17504
2013-08-12 3.7 3.7 3.7 3.7 0 3.17504
2013-08-13 3.7 3.7 3.7 3.7 0 3.17504
2013-08-14 3.7 3.7 3.7 3.7 0 3.17504
2013-08-15 3.7 3.7 3.7 3.7 0 3.17504
2013-08-19 3.7 3.7 3.7 3.7 0 3.17504
2013-08-20 3.7 3.7 3.7 3.7 0 3.17504
2013-08-21 3.7 3.7 3.7 3.7 0 3.17504
2013-08-22 3.7 3.7 3.7 3.7 0 3.17504
2013-08-26 3.7 3.74 3.5 3.5 77400 3.00341
2013-08-27 3.5 3.5 3.5 3.5 15300 3.00341
2013-08-28 3.5 3.5 3.5 3.5 15300 3.00341
2013-08-29 3.4 3.4 3.33 3.33 59900 2.85754
2013-09-02 3.33 3.5 3.33 3.5 15800 3.00341
2013-09-03 3.33 3.5 3.33 3.5 15800 3.00341
2013-09-04 3.33 3.5 3.33 3.5 15800 3.00341
2013-09-05 3.2 3.2 3.2 3.2 49100 2.74598
2013-09-09 3.15 3.15 3.15 3.15 15000 2.70307
2013-09-10 3.15 3.15 3.15 3.15 15000 2.70307
2013-09-11 3.15 3.15 3.15 3.15 15000 2.70307
2013-09-12 3.15 3.15 3.15 3.15 15000 2.70307
2013-09-16 3.15 3.15 3.15 3.15 15000 2.70307
2013-09-17 3.15 3.15 3.15 3.15 15000 2.70307
2013-09-18 3.15 3.15 3.15 3.15 15000 2.70307
2013-09-19 3.15 3.15 3.15 3.15 15000 2.70307
2013-09-23 3.15 3.15 3.15 3.15 15000 2.70307
2013-09-24 3.15 3.15 3.05 3.05 5300 2.61726
2013-09-25 3.15 3.15 3.05 3.05 5300 2.61726
2013-09-26 3.05 3.05 3.05 3.05 1700 2.61726
2013-09-30 3.05 3.05 3.05 3.05 100 2.61726
2013-10-01 3.05 3.05 3.05 3.05 100 2.61726
2013-10-02 3.05 3.05 3.05 3.05 100 2.61726
2013-10-03 3.05 3.05 3.05 3.05 100 2.61726
2013-10-07 3.05 3.05 3.05 3.05 100 2.61726
2013-10-08 3.05 3.05 3.05 3.05 100 2.61726
2013-10-09 3.05 3.05 3.05 3.05 100 2.61726
2013-10-10 3.3 3.3 3.25 3.3 159900 2.83179
2013-10-14 3.3 3.3 3.3 3.3 0 2.83179
2013-10-15 3.3 3.3 3.3 3.3 0 2.83179
2013-10-16 3.3 3.3 3.3 3.3 0 2.83179
2013-10-17 3.3 3.3 3.3 3.3 0 2.83179
2013-10-21 3.3 3.3 3.25 3.3 159900 2.83179
2013-10-22 3.49 3.49 3.49 3.49 102500 2.99484
2013-10-23 3.49 3.49 3.49 3.49 102500 2.99484
2013-10-24 3.49 3.49 3.49 3.49 102500 2.99484
2013-10-28 3.49 3.49 3.49 3.49 0 2.99484
2013-10-29 3.49 3.49 3.49 3.49 102500 2.99484
2013-10-30 3.49 3.49 3.49 3.49 102500 2.99484
2013-10-31 3.15 3.75 3.15 3.3 11600 2.83179
2013-11-04 3.15 3.75 3.15 3.3 11600 2.83179
2013-11-05 3.15 3.75 3.15 3.3 11600 2.83179
2013-11-06 3.15 3.75 3.15 3.3 11600 2.83179
2013-11-07 3.45 3.45 3.45 3.45 51200 2.96051
2013-11-11 3.23 3.23 3.23 3.23 10200 2.77172
2013-11-12 3.23 3.23 3.23 3.23 10200 2.77172
2013-11-13 3.23 3.23 3.23 3.23 10200 2.77172
2013-11-14 3.23 3.23 3.23 3.23 10200 2.77172
2013-11-18 3.23 3.23 3.23 3.23 10200 2.77172
2013-11-19 3.23 3.23 3.23 3.23 10200 2.77172
2013-11-20 3.23 3.23 3.23 3.23 10200 2.77172
2013-11-21 3.23 3.23 3.23 3.23 10200 2.77172
2013-11-25 3.23 3.23 3.23 3.23 10200 2.77172
2013-11-26 3.23 3.23 3.23 3.23 200 2.77172
2013-11-27 3.23 3.23 3.23 3.23 200 2.77172
2013-11-28 3.23 3.23 3.23 3.23 100 2.77172
2013-12-02 3.23 3.23 3.23 3.23 0 2.77172
2013-12-03 3.23 3.23 3.23 3.23 100 2.77172
2013-12-04 3.23 3.23 3.23 3.23 100 2.77172
2013-12-05 3.23 3.23 3.23 3.23 100 2.77172
2013-12-09 3.23 3.23 3.23 3.23 100 2.77172
2013-12-10 3.23 3.23 3.23 3.23 100 2.77172
2013-12-11 3.23 3.23 3.23 3.23 100 2.77172
2013-12-12 3.23 3.23 3.23 3.23 100 2.77172
2013-12-16 3.49 3.49 3.49 3.49 1300 2.99484
2013-12-17 3.15 3.15 3.15 3.15 15300 2.70307
2013-12-18 3.15 3.15 3.15 3.15 15300 2.70307
2013-12-19 3.25 3.32 3.25 3.32 125500 2.84895
2013-12-23 3.55 3.69 3.55 3.55 21500 3.04632
2013-12-24 3.62 4.07 3.62 3.62 35800 3.10639
2013-12-25 3.62 4.07 3.62 3.62 35800 3.10639
2013-12-26 3.62 4.07 3.62 3.62 35800 3.10639
2013-12-30 4 4 3.75 3.75 212700 3.21795
2013-12-31 4 4 3.75 3.75 212700 3.21795
2014-01-01 3.75 3.75 3.75 3.75 0 3.21795
2014-01-02 4 4 3.75 3.75 212700 3.21795
2014-01-06 4 4 3.75 3.75 212700 3.21795
2014-01-07 4 4 3.75 3.75 212700 3.21795
2014-01-08 4 4 4 4 10200 3.43248
2014-01-09 4 4 4 4 10200 3.43248
2014-01-13 4 4 4 4 10200 3.43248
2014-01-14 4 4 4 4 10200 3.43248
2014-01-15 4 4 4 4 51200 3.43248
2014-01-16 4 4 4 4 51200 3.43248
2014-01-20 4 4 4 4 79300 3.43248
2014-01-21 4 4 4 4 79300 3.43248
2014-01-22 4.23 4.23 4.23 4.23 9600 3.62984
2014-01-23 4.23 4.23 4.23 4.23 9600 3.62984
2014-01-27 4.23 4.23 4.23 4.23 9600 3.62984
2014-01-28 3.85 3.85 3.85 3.85 900 3.30376
2014-01-29 4 4 4 4 51200 3.43248
2014-01-30 4 4 4 4 51200 3.43248
2014-02-03 4 4 4 4 51200 3.43248
2014-02-04 4 4 4 4 51200 3.43248
2014-02-05 4 4 4 4 51200 3.43248
2014-02-06 4.2 4.2 3.65 3.65 111700 3.13214
2014-02-10 3.66 3.66 3.29 3.29 42200 2.82321
2014-02-11 3.66 3.66 3.29 3.29 42200 2.82321
2014-02-12 3.66 3.66 3.29 3.29 42200 2.82321
2014-02-13 3.77999 3.77999 3.7 3.7 32800 3.17504
2014-02-17 3.7 3.7 3.4 3.4 113300 2.9176
2014-02-18 3.7 3.7 3.4 3.4 113300 2.9176
2014-02-19 3.7 3.7 3.4 3.4 113300 2.9176
2014-02-20 3.7 3.7 3.4 3.4 113300 2.9176
2014-02-24 3.4 3.4 3.4 3.4 0 2.9176
2014-02-25 3.7 3.8 3.65 3.8 1545600 3.26085
2014-02-26 3.8 3.8 3.8 3.8 0 3.26085
2014-02-27 3.8 3.8 3.8 3.8 0 3.26085
2014-03-03 3.8 3.8 3.8 3.8 0 3.26085
2014-03-04 3.45 3.45 3.44 3.44 37800 2.95193
2014-03-05 3.75 3.75 3.75 3.75 5400 3.21795
2014-03-06 3.74 3.75 3.74 3.75 46100 3.21795
2014-03-10 3.44 3.44 3.42 3.42 46100 2.93477
2014-03-11 3.42 3.42 3.42 3.42 0 2.93477
2014-03-12 3.42 3.42 3.42 3.42 0 2.93477
2014-03-13 3.42 3.42 3.42 3.42 0 2.93477
2014-03-17 3.42 3.42 3.42 3.42 0 2.93477
2014-03-18 3.42 3.42 3.42 3.42 0 2.93477
2014-03-19 3.79 3.9 3.73 3.9 638700 3.34667
2014-03-20 4.2 4.2 4.2 4.2 20400 3.85756
2014-03-24 3.9 3.9 3.77999 3.9 116500 3.58202
2014-03-25 3.9 3.9 3.9 3.9 0 3.58202
2014-03-26 3.9 3.9 3.9 3.9 0 3.58202
2014-03-27 3.9 3.9 3.9 3.9 0 3.58202
2014-03-31 3.77999 3.77999 3.77999 3.77999 28600 3.4718
2014-04-01 3.89 3.89 3.88 3.88 25800 3.56366
2014-04-02 3.88 3.88 3.88 3.88 0 3.56366
2014-04-03 3.68 3.68 3.68 3.68 100 3.37995
2014-04-07 3.68 3.68 3.68 3.68 0 3.37995
2014-04-08 3.68 3.68 3.68 3.68 0 3.37995
2014-04-09 3.68 3.68 3.68 3.68 0 3.37995
2014-04-10 3.68 3.68 3.68 3.68 0 3.37995
2014-04-14 3.68 3.68 3.68 3.68 0 3.37995
2014-04-15 3.68 3.68 3.68 3.68 0 3.37995
2014-04-16 3.75 3.75 3.68 3.68 11700 3.37995
2014-04-17 3.68 3.68 3.68 3.68 0 3.37995
2014-04-21 3.88 3.88 3.88 3.88 7600 3.56366
2014-04-22 3.88 3.88 3.88 3.88 0 3.56366
2014-04-23 3.53 3.9 3.53 3.9 12900 3.58202
2014-04-24 3.9 3.9 3.9 3.9 14400 3.58202
2014-04-28 3.9 3.9 3.9 3.9 0 3.58202
2014-04-29 3.7 3.7 3.7 3.7 4600 3.39833
2014-04-30 3.8 3.8 3.8 3.8 8200 3.49018
2014-05-01 3.8 3.8 3.8 3.8 0 3.49018
2014-05-05 3.9 3.9 3.9 3.9 1600 3.58202
2014-05-06 3.9 3.9 3.9 3.9 0 3.58202
2014-05-07 3.9 3.9 3.9 3.9 0 3.58202
2014-05-08 3.9 3.9 3.9 3.9 0 3.58202
