"Index" "FI.Open" "FI.High" "FI.Low" "FI.Close" "FI.Volume" "FI.Adjusted"
2013-08-09 27.25 28.6 25.76 26.360001 9912400 25.063046
2013-08-12 26.290001 26.75 26.200001 26.5 1483800 25.196157
2013-08-13 26.5 26.5 26.09 26.09 1267000 24.80633
2013-08-14 25.940001 26.5 25.940001 26.1 973200 24.815838
2013-08-15 26 26.5 25.799999 26.379999 1306300 25.082061
2013-08-16 26.469999 26.969999 26.33 26.75 502100 25.433857
2013-08-19 26.6 26.709999 26.33 26.5 229400 25.196157
2013-08-20 26.68 28.02 26.5 27.870001 811600 26.498752
2013-08-21 27.799999 28.08 27.43 27.77 452800 26.403672
2013-08-22 27.709999 28 27.620001 27.969999 167400 26.59383
2013-08-23 28.09 28.17 27.559999 27.82 132800 26.451211
2013-08-26 27.690001 28.08 27.67 27.790001 415000 26.422688
2013-08-27 27.6 27.709999 27.26 27.43 318000 26.0804
2013-08-28 27.24 28.030001 26.9 27.65 394300 26.289575
2013-08-29 27.700001 28.09 27.440001 27.59 610600 26.232528
2013-08-30 27.58 27.969999 27.4 27.709999 72300 26.346623
2013-09-03 27.91 27.92 26.85 27.620001 283100 26.261052
2013-09-04 27.799999 27.799999 27.040001 27.5 1119100 26.146956
2013-09-05 27.549999 28.42 27.549999 28.129999 219700 26.745958
2013-09-06 28.610001 28.75 28.049999 28.1 168800 26.717435
2013-09-09 28.389999 28.68 28.15 28.629999 396300 27.221357
2013-09-10 28.719999 28.9 28.25 28.48 537200 27.078738
2013-09-11 28.6 28.6 28.190001 28.379999 252500 26.983658
2013-09-12 28.290001 28.32 27.620001 28.24 508000 26.850546
2013-09-13 28.27 28.280001 27.790001 28.17 453800 26.783991
2013-09-16 28.35 28.68 27.879999 28.23 622100 26.841038
2013-09-17 28.290001 28.34 27.85 28.1 425300 26.717435
2013-09-18 28.5 29.49 28.5 28.790001 1190700 27.373487
2013-09-19 29.9 30 29 29.709999 985400 28.248219
2013-09-20 30 30.190001 29.4 29.549999 904300 28.096092
2013-09-23 29.559999 29.799999 29.34 29.610001 459800 28.153141
2013-09-24 29.709999 29.709999 29 29.25 281500 27.810853
2013-09-25 29.32 29.73 29.32 29.59 141300 28.134125
2013-09-26 29.559999 30.190001 29.559999 30.15 636400 28.666571
2013-09-27 30.049999 30.09 29.91 29.969999 246900 28.495427
2013-09-30 29.75 30.450001 29.620001 29.93 1748800 28.457396
2013-10-01 30.059999 30.66 29.959999 30.469999 318600 28.970826
2013-10-02 30.450001 31.73 30.01 31.51 391200 29.959658
2013-10-03 31.42 31.549999 30.68 31.299999 310300 29.759989
