"Index" "FO.Open" "FO.High" "FO.Low" "FO.Close" "FO.Volume" "FO.Adjusted"
2013-01-01 10.86 10.86 10.86 10.86 0 8.80064
2013-01-02 10.86 10.86 10.86 10.86 0 8.80064
2013-01-03 10.86 10.86 10.86 10.86 0 8.80064
2013-01-04 10.86 10.86 10.86 10.86 0 8.80064
2013-01-07 10.86 10.86 10.86 10.86 0 8.80064
2013-01-08 10.86 10.86 10.86 10.86 0 8.80064
2013-01-09 10.86 10.86 10.86 10.86 0 8.80064
2013-01-10 10.86 10.86 10.86 10.86 0 8.80064
2013-01-11 10.86 10.86 10.86 10.86 0 8.80064
2013-01-14 10.86 10.86 10.86 10.86 0 8.80064
2013-01-15 10.86 10.86 10.86 10.86 0 8.80064
2013-01-16 10.86 10.86 10.86 10.86 0 8.80064
2013-01-17 10.86 10.86 10.86 10.86 0 8.80064
2013-01-18 10.86 10.86 10.86 10.86 0 8.80064
2013-01-21 10.86 10.86 10.86 10.86 0 8.80064
2013-01-22 10.86 10.86 10.86 10.86 0 8.80064
2013-01-23 12.51996 13.14 12.51996 13.14 3905000 10.64828
2013-01-24 13.14 13.14 13.14 13.14 0 10.64828
2013-01-25 13.14 13.79004 13.14 13.79004 1217400 11.17506
2013-01-28 13.79004 14.46996 13.79004 14.46996 192100 11.72604
2013-01-29 14.46996 15.18996 14.46996 15.18996 5873900 12.30951
2013-01-30 15.18996 15.93996 15.18996 15.93996 143200 12.91729
2013-01-31 15.93996 16.73004 15.93996 16.73004 1215000 13.55755
2013-02-01 16.73004 17.54004 16.73004 17.54004 805300 14.21395
2013-02-04 17.54004 17.54004 17.54004 17.54004 251100 14.21395
2013-02-05 17.54004 17.54004 16.67004 16.67004 224100 13.50893
2013-02-06 17.54004 17.54004 17.54004 17.54004 71300 14.21395
2013-02-07 17.54004 17.54004 17.54004 17.54004 37200 14.21395
2013-02-08 17.54004 17.54004 16.67004 16.67004 96200 13.50893
2013-02-11 16.67004 16.67004 15.84 15.84 352600 12.83629
2013-02-12 15.84 16.62996 15.84 16.62996 655100 13.47645
2013-02-13 16.62996 16.62996 15.80004 15.80004 447100 12.8039
2013-02-14 15.80004 15.80004 15.00996 15.00996 245900 12.16365
2013-02-15 15.00996 15.00996 14.25996 14.25996 493200 11.55587
2013-02-18 14.25996 14.25996 14.25996 14.25996 116900 11.55587
2013-02-19 14.25996 14.25996 13.55004 13.55004 295500 10.98057
2013-02-20 13.55004 13.55004 13.55004 13.55004 87700 10.98057
2013-02-21 13.55004 13.55004 12.87996 12.87996 439200 10.43755
2013-02-22 12.87996 12.87996 12.87996 12.87996 79200 10.43755
2013-02-25 12.87996 12.87996 12.87996 12.87996 71800 10.43755
2013-02-26 12.87996 12.87996 12.87996 12.87996 16400 10.43755
2013-02-27 12.87996 12.87996 12.87996 12.87996 112100 10.43755
2013-02-28 12.87996 12.87996 12.87996 12.87996 20500 10.43755
2013-03-01 12.87996 12.87996 12.87996 12.87996 39700 10.43755
2013-03-04 12.87996 12.87996 12.87996 12.87996 25800 10.43755
2013-03-05 12.87996 12.87996 12.87996 12.87996 29500 10.43755
2013-03-06 12.87996 12.87996 12.87996 12.87996 44400 10.43755
2013-03-07 12.87996 12.87996 12.87996 12.87996 34800 10.43755
2013-03-08 12.87996 12.87996 12.87996 12.87996 58700 10.43755
2013-03-11 12.87996 12.99996 12.87996 12.99996 255300 10.5348
2013-03-12 12.99996 13.65 12.99996 13.65 456000 11.06157
2013-03-13 13.65 14.33004 13.65 14.33004 177100 11.61266
2013-03-14 14.33004 14.33004 14.33004 14.33004 411900 11.61266
2013-03-15 14.33004 14.33004 14.33004 14.33004 135000 11.61266
2013-03-18 14.33004 14.33004 14.33004 14.33004 87000 11.61266
2013-03-19 14.33004 14.33004 14.33004 14.33004 50300 11.61266
2013-03-20 14.33004 14.33004 14.33004 14.33004 337600 11.61266
2013-03-21 14.33004 14.33004 14.33004 14.33004 376800 11.61266
2013-03-22 14.33004 14.33004 14.33004 14.33004 6208600 11.61266
