"Index" "GCI.Open" "GCI.High" "GCI.Low" "GCI.Close" "GCI.Volume" "GCI.Adjusted"
2015-06-23 14 14.25 13.75 14.25 61400 14.070755
2015-06-24 14.06 14.3 14.06 14.3 55100 14.120126
2015-06-25 13.93 14.69 13.5 13.95 318500 13.774528
2015-06-26 13.95 15.05 13.35 14.9 13420000 14.712578
2015-06-29 14.37 14.75 13.72 14.13 8919700 13.952264
2015-06-30 14.02 14.13 13.42 13.99 5881900 13.814025
2015-07-01 13.89 13.97 13.13 13.32 2666200 13.152453
2015-07-02 13.13 13.18 11.86 12.4 4234100 12.244025
2015-07-06 11.64 12.12 10.75 11.78 6580400 11.631824
2015-07-07 11.545 11.94 11.35 11.44 6479900 11.2961
2015-07-08 11.35 11.425 10.84 11.3 4891900 11.157862
2015-07-09 11.36 12.46 11.13 12.06 4467800 11.908302
2015-07-10 12.56 13.53 12.332 13.37 3179700 13.201824
2015-07-13 13.46 14.03 13.02 13.69 3152000 13.517798
2015-07-14 13.45 13.5 12.76 13.2 3671200 13.033962
2015-07-15 13.2 13.43 13.09 13.21 2393900 13.043837
2015-07-16 13.25 13.9 13.24 13.73 2011300 13.557295
2015-07-17 13.72 13.99 13.643 13.92 1595800 13.744906
2015-07-20 13.94 14.24 13.9 14.17 2560700 13.991761
2015-07-21 13.92 14.08 13.21 13.31 2642100 13.142579
2015-07-22 13.34 13.76 12.715 12.79 2478600 12.62912
2015-07-23 12.92 13.336 12.55 13.05 2362500 12.885849
2015-07-24 13.28 14.18 13.02 13.64 2886300 13.468428
2015-07-27 13.56 13.99 13.52 13.63 2343500 13.458554
2015-07-28 13.75 13.78 13.17 13.31 1954300 13.142579
2015-07-29 12.85 13.81 12.8 13.35 2375700 13.182076
2015-07-30 13.14 13.36 12.625 12.83 2891600 12.668616
2015-07-31 12.95 13.15 12.545 12.65 3431200 12.49088
2015-08-03 12.84 13.13 12.11 12.54 2712600 12.382264
