"Index" "GCU.Open" "GCU.High" "GCU.Low" "GCU.Close" "GCU.Volume" "GCU.Adjusted"
2013-01-01 0.826 0.826 0.826 0.826 0 0.826
2013-01-02 0.84 0.84 0.84 0.84 0 0.84
2013-01-03 0.843 0.843 0.84 0.84 4000 0.84
2013-01-04 0.848 0.848 0.848 0.848 0 0.848
2013-01-07 0.845 0.845 0.845 0.845 0 0.845
2013-01-08 0.851 0.851 0.851 0.851 0 0.851
2013-01-09 0.879 0.879 0.879 0.879 0 0.879
2013-01-10 0.876 0.876 0.876 0.876 0 0.876
2013-01-11 0.877 0.877 0.877 0.877 0 0.877
2013-01-14 0.904 0.904 0.904 0.904 0 0.904
2013-01-15 0.899 0.899 0.899 0.899 0 0.899
2013-01-16 0.902 0.902 0.902 0.902 0 0.902
2013-01-17 0.899 0.899 0.899 0.899 0 0.899
2013-01-18 0.888 0.888 0.888 0.888 0 0.888
2013-01-21 0.887 0.887 0.887 0.887 0 0.887
2013-01-22 0.882 0.882 0.882 0.882 0 0.882
2013-01-23 0.876 0.876 0.876 0.876 0 0.876
2013-01-24 0.876 0.876 0.876 0.876 0 0.876
2013-01-25 0.867 0.867 0.867 0.867 0 0.867
2013-01-28 0.87 0.87 0.87 0.87 0 0.87
2013-01-29 0.855 0.855 0.855 0.855 0 0.855
2013-01-30 0.863 0.863 0.863 0.863 0 0.863
2013-01-31 0.848 0.848 0.848 0.848 0 0.848
2013-02-01 0.863 0.863 0.863 0.863 0 0.863
2013-02-04 0.853 0.853 0.853 0.853 0 0.853
2013-02-05 0.856 0.856 0.856 0.856 0 0.856
2013-02-06 0.824 0.824 0.824 0.824 0 0.824
2013-02-07 0.826 0.826 0.826 0.826 0 0.826
2013-02-08 0.85 0.85 0.85 0.85 0 0.85
2013-02-11 0.847 0.847 0.847 0.847 0 0.847
2013-02-12 0.835 0.835 0.835 0.835 0 0.835
2013-02-13 0.884 0.884 0.884 0.884 0 0.884
2013-02-14 0.893 0.893 0.893 0.893 0 0.893
2013-02-15 0.893 0.893 0.893 0.893 0 0.893
2013-02-18 0.894 0.894 0.894 0.894 0 0.894
2013-02-19 0.892 0.892 0.892 0.892 0 0.892
2013-02-20 0.881 0.881 0.881 0.881 0 0.881
2013-02-21 0.875 0.875 0.875 0.875 0 0.875
2013-02-22 0.875 0.875 0.875 0.875 0 0.875
2013-02-25 0.861 0.861 0.861 0.861 0 0.861
2013-02-26 0.863 0.863 0.863 0.863 0 0.863
2013-02-27 0.86 0.86 0.86 0.86 0 0.86
2013-02-28 0.865 0.865 0.865 0.865 0 0.865
2013-03-01 0.879 0.879 0.879 0.879 0 0.879
2013-03-04 0.923 0.923 0.923 0.923 0 0.923
2013-03-05 0.978 0.978 0.978 0.978 0 0.978
2013-03-06 1.009 1.009 1.009 1.009 0 1.009
2013-03-07 0.971 0.971 0.971 0.971 0 0.971
2013-03-08 0.97 0.97 0.97 0.97 0 0.97
2013-03-11 0.969 0.969 0.969 0.969 0 0.969
2013-03-12 0.97 0.97 0.97 0.97 0 0.97
2013-03-13 0.947 0.947 0.947 0.947 0 0.947
2013-03-14 0.943 0.943 0.943 0.943 0 0.943
2013-03-15 0.941 0.941 0.941 0.941 0 0.941
2013-03-18 0.926 0.926 0.926 0.926 0 0.926
2013-03-19 0.93 0.93 0.93 0.93 0 0.93
2013-03-20 0.957 0.957 0.957 0.957 0 0.957
2013-03-21 0.963 0.963 0.963 0.963 0 0.963
2013-03-22 0.974 0.974 0.974 0.974 0 0.974
2013-03-25 0.98 0.98 0.98 0.98 0 0.98
2013-03-26 0.98 0.98 0.98 0.98 0 0.98
2013-03-27 0.993 0.993 0.993 0.993 0 0.993
2013-03-28 0.995 0.995 0.995 0.995 0 0.995
2013-03-29 0.995 0.995 0.995 0.995 0 0.995
2013-04-01 0.995 0.995 0.995 0.995 0 0.995
2013-04-02 0.98 0.98 0.98 0.98 0 0.98
2013-04-03 0.96 0.96 0.96 0.96 0 0.96
2013-04-04 0.933 0.933 0.933 0.933 0 0.933
2013-04-05 0.927 0.927 0.927 0.927 0 0.927
2013-04-08 0.936 0.936 0.936 0.936 0 0.936
2013-04-09 0.929 0.929 0.929 0.929 0 0.929
2013-04-10 0.904 0.904 0.904 0.904 0 0.904
2013-04-11 0.92 0.92 0.92 0.92 0 0.92
2013-04-12 0.92 0.92 0.92 0.92 0 0.92
2013-04-15 0.905 0.905 0.905 0.905 0 0.905
2013-04-16 0.917 0.917 0.917 0.917 0 0.917
2013-04-17 0.92 0.92 0.92 0.92 0 0.92
2013-04-18 0.923 0.923 0.923 0.923 0 0.923
2013-04-19 0.927 0.927 0.927 0.927 0 0.927
2013-04-22 0.919 0.919 0.919 0.919 0 0.919
2013-04-23 0.919 0.919 0.919 0.919 0 0.919
2013-04-24 0.922 0.922 0.922 0.922 0 0.922
2013-04-25 0.913 0.913 0.913 0.913 0 0.913
2013-04-26 0.931 0.931 0.931 0.931 0 0.931
2013-04-29 0.936 0.936 0.936 0.936 0 0.936
2013-04-30 0.932 0.932 0.932 0.932 0 0.932
2013-05-01 0.932 0.932 0.932 0.932 0 0.932
2013-05-02 0.927 0.927 0.927 0.927 0 0.927
2013-05-03 0.935 0.935 0.935 0.935 0 0.935
2013-05-06 0.934 0.934 0.934 0.934 0 0.934
2013-05-07 0.934 0.934 0.934 0.934 0 0.934
2013-05-08 0.935 0.935 0.935 0.935 0 0.935
2013-05-09 0.939 0.939 0.939 0.939 0 0.939
2013-05-10 0.951 0.951 0.951 0.951 0 0.951
2013-05-13 0.956 0.956 0.956 0.956 0 0.956
2013-05-14 0.95 0.95 0.95 0.95 0 0.95
2013-05-15 0.952 0.952 0.952 0.952 0 0.952
2013-05-16 0.967 0.967 0.967 0.967 0 0.967
2013-05-17 0.967 0.967 0.967 0.967 0 0.967
2013-05-20 0.97 0.97 0.97 0.97 0 0.97
2013-05-21 0.966 0.966 0.966 0.966 0 0.966
2013-05-22 0.958 0.958 0.958 0.958 0 0.958
2013-05-23 0.944 0.944 0.944 0.944 0 0.944
2013-05-24 0.956 0.956 0.956 0.956 0 0.956
2013-05-27 0.957 0.957 0.957 0.957 0 0.957
2013-05-28 1.008 1.008 1.008 1.008 0 1.008
2013-05-29 0.941 0.941 0.941 0.941 0 0.941
2013-05-30 0.955 0.955 0.955 0.955 0 0.955
2013-05-31 0.954 0.954 0.954 0.954 0 0.954
2013-06-03 0.954 0.954 0.954 0.954 0 0.954
2013-06-04 0.982 0.982 0.982 0.982 0 0.982
2013-06-05 0.972 0.972 0.972 0.972 0 0.972
2013-06-06 0.952 0.952 0.952 0.952 0 0.952
2013-06-07 0.943 0.943 0.943 0.943 0 0.943
2013-06-10 0.944 0.944 0.944 0.944 0 0.944
2013-06-11 0.95 0.95 0.95 0.95 0 0.95
2013-06-12 0.934 0.934 0.934 0.934 0 0.934
2013-06-13 0.927 0.927 0.927 0.927 0 0.927
2013-06-14 0.944 0.944 0.944 0.944 0 0.944
2013-06-17 0.943 0.943 0.943 0.943 0 0.943
2013-06-18 0.94 0.94 0.94 0.94 0 0.94
2013-06-19 0.936 0.936 0.936 0.936 0 0.936
2013-06-20 0.925 0.925 0.925 0.925 0 0.925
2013-06-21 0.939 0.939 0.939 0.939 0 0.939
2013-06-24 0.937 0.937 0.937 0.937 0 0.937
2013-06-25 0.943 0.943 0.943 0.943 0 0.943
2013-06-26 0.945 0.945 0.945 0.945 0 0.945
2013-06-27 0.942 0.942 0.942 0.942 0 0.942
2013-06-28 0.933 0.933 0.933 0.933 0 0.933
2013-07-01 0.958 0.958 0.958 0.958 0 0.958
2013-07-02 0.949 0.949 0.949 0.949 0 0.949
2013-07-03 0.946 0.946 0.946 0.946 0 0.946
2013-07-04 0.954 0.954 0.954 0.954 0 0.954
2013-07-05 0.948 0.948 0.948 0.948 0 0.948
2013-07-08 0.914 0.914 0.914 0.914 0 0.914
2013-07-09 0.915 0.915 0.915 0.915 0 0.915
2013-07-10 0.938 0.938 0.938 0.938 0 0.938
2013-07-11 0.912 0.912 0.912 0.912 0 0.912
2013-07-12 0.898 0.898 0.898 0.898 0 0.898
2013-07-15 0.92 0.92 0.92 0.92 0 0.92
2013-07-16 0.928 0.928 0.928 0.928 0 0.928
2013-07-17 0.924 0.924 0.924 0.924 0 0.924
2013-07-18 0.93 0.93 0.93 0.93 0 0.93
2013-07-19 0.922 0.922 0.922 0.922 0 0.922
2013-07-22 0.932 0.932 0.932 0.932 0 0.932
2013-07-23 0.935 0.935 0.935 0.935 0 0.935
2013-07-24 0.945 0.945 0.945 0.945 0 0.945
2013-07-25 0.942 0.942 0.942 0.942 0 0.942
2013-07-26 0.943 0.943 0.943 0.943 0 0.943
2013-07-29 1.028 1.028 1.028 1.028 0 1.028
2013-07-30 1.005 1.005 1.005 1.005 0 1.005
2013-07-31 0.996 0.996 0.996 0.996 0 0.996
