"Index" "GD.Open" "GD.High" "GD.Low" "GD.Close" "GD.Volume" "GD.Adjusted"
2013-01-02 70.669998 71.209999 70.239998 71.209999 2021500 66.83237
2013-01-03 71.120003 71.75 70.589996 71.489998 1740800 67.095156
2013-01-04 71.650002 71.660004 71 71.07 2406300 66.700977
2013-01-07 70.779999 72.010002 70.760002 71.860001 1941700 67.442413
2013-01-08 71.5 71.68 70.279999 70.410004 1734900 66.081554
2013-01-09 70.529999 70.959999 70.209999 70.68 1404400 66.334953
2013-01-10 71.029999 71.650002 70.919998 71.650002 1176700 67.245323
2013-01-11 71.93 71.93 70.739998 70.739998 1588100 66.391262
2013-01-14 70.599998 70.82 70.139999 70.349998 2036300 66.025238
2013-01-15 70.18 70.760002 69.910004 70.580002 1488000 66.241102
2013-01-16 70.610001 70.790001 69.510002 69.800003 1966900 65.509053
2013-01-17 70.089996 71.199997 69.610001 71.019997 2186800 66.654048
2013-01-18 70.889999 71.150002 70.410004 70.660004 2283400 66.316186
2013-01-22 70.470001 70.769997 70.410004 70.709999 1853400 66.363108
2013-01-23 68.370003 71.690002 67.199997 71.449997 8097300 67.057614
2013-01-24 71.360001 71.449997 70.029999 70.639999 4237700 66.297411
2013-01-25 70.75 71.089996 70.199997 70.959999 2513400 66.597739
2013-01-28 70.669998 70.849998 69.93 70.010002 2846100 65.706143
2013-01-29 69.849998 69.910004 69.029999 69.25 2953600 64.992862
2013-01-30 69.330002 69.349998 68.239998 68.43 3040900 64.223272
2013-01-31 68.220001 68.370003 66.129997 66.300003 5447300 62.224216
2013-02-01 66.459999 66.839996 64.949997 65.879997 7156000 61.83003
2013-02-04 65.160004 65.639999 64.470001 64.57 4565300 60.600564
2013-02-05 65.019997 66.019997 64.900002 65.139999 4732800 61.135523
2013-02-06 65 66.32 65 66.269997 4061800 62.196054
2013-02-07 66.290001 67.120003 65.980003 66.769997 3747200 62.665316
2013-02-08 66.739998 66.879997 66.470001 66.82 2099200 62.712246
2013-02-11 66.82 67.089996 66.300003 66.660004 1650700 62.562085
2013-02-12 66.93 66.989998 66.5 66.68 1950800 62.580853
2013-02-13 66.709999 66.900002 65.720001 66.110001 2673800 62.045894
2013-02-14 65.809998 66.75 65.629997 66.220001 2642200 62.149132
2013-02-15 66.18 66.489998 65.900002 66.400002 2015400 62.318067
