"Index" "GF.Open" "GF.High" "GF.Low" "GF.Close" "GF.Volume" "GF.Adjusted"
2013-01-02 15.71 15.94 15.71 15.75 30600 9.853162
2013-01-03 15.71 15.75 15.66 15.71 16200 9.828138
2013-01-04 15.72 15.82 15.68 15.82 9500 9.896954
2013-01-07 15.64 15.8 15.64 15.78 12100 9.87193
2013-01-08 15.72 15.74 15.67 15.73 12700 9.84065
2013-01-09 15.79 15.83 15.75 15.79 3600 9.878186
2013-01-10 15.95 16.16 15.95 16.16 24900 10.109657
2013-01-11 16.16 16.290001 16.16 16.280001 28500 10.184729
2013-01-14 16.33 16.459999 16.33 16.42 42800 10.272313
2013-01-15 16.190001 16.4 16.139999 16.4 67700 10.2598
2013-01-16 16.290001 16.309999 16.219999 16.26 38200 10.172217
2013-01-17 16.43 16.530001 16.43 16.469999 48300 10.303592
2013-01-18 16.52 16.59 16.459999 16.57 51300 10.366152
2013-01-22 16.57 16.67 16.52 16.620001 28500 10.397433
2013-01-23 16.67 16.690001 16.620001 16.690001 11100 10.441224
2013-01-24 16.67 16.879999 16.67 16.76 18200 10.485016
2013-01-25 17.01 17.129999 17.01 17.059999 38600 10.672695
2013-01-28 17.08 17.129999 17.040001 17.040001 56900 10.660184
2013-01-29 17.08 17.139999 17.02 17.1 45200 10.697719
2013-01-30 17.030001 17.09 17.02 17.030001 17100 10.653927
2013-01-31 16.959999 17.049999 16.959999 16.98 12200 10.622647
2013-02-01 17.120001 17.209999 17.1 17.15 51000 10.728999
2013-02-04 16.940001 16.969999 16.799999 16.959999 67100 10.610135
2013-02-05 17.030001 17.129999 17.030001 17.120001 19900 10.710231
2013-02-06 16.93 16.98 16.85 16.92 49000 10.585111
2013-02-07 16.969999 17 16.889999 17 20700 10.635159
2013-02-08 17.02 17.09 17 17.01 23800 10.641415
2013-02-11 17.09 17.129999 17.01 17.02 19600 10.647671
2013-02-12 17.030001 17.18 17.030001 17.16 19200 10.735255
2013-02-13 17.35 17.35 17.27 17.27 13900 10.804071
2013-02-14 17.1 17.17 17.059999 17.139999 16200 10.722742
2013-02-15 17.09 17.219999 17.09 17.18 14000 10.747767
2013-02-19 17.290001 17.51 17.290001 17.459999 41900 10.922933
2013-02-20 17.6 17.6 17.35 17.35 36200 10.854119
2013-02-21 17.190001 17.23 16.9 17.040001 67200 10.660184
2013-02-22 17.02 17.129999 17 17.129999 13800 10.716486
2013-02-25 17.379999 17.459999 16.85 16.860001 105200 10.547576
2013-02-26 16.99 17.07 16.85 16.99 44600 10.628903
2013-02-27 17.01 17.08 16.93 17.049999 31700 10.666439
2013-02-28 17.01 17.129999 17.01 17.120001 13200 10.710231
2013-03-01 16.889999 17.09 16.879999 17.030001 41700 10.653927
2013-03-04 16.9 17.030001 16.879999 16.99 37800 10.628903
2013-03-05 17.209999 17.26 17.15 17.17 69500 10.741511
2013-03-06 17.299999 17.370001 17.290001 17.299999 30400 10.822838
2013-03-07 17.360001 17.440001 17.360001 17.43 14500 10.904166
2013-03-08 17.43 17.43 17.35 17.42 37800 10.89791
2013-03-11 17.35 17.35 17.25 17.26 22600 10.797815
2013-03-12 17.35 17.43 17.299999 17.42 18400 10.89791
2013-03-13 17.389999 17.5 17.25 17.26 127200 10.797815
2013-03-14 17.299999 17.4 17.290001 17.290001 27700 10.816583
2013-03-15 17.32 17.32 17.24 17.27 9700 10.804071
2013-03-18 17.07 17.24 16.959999 17.120001 19300 10.710231
2013-03-19 17.059999 17.23 17 17.02 41100 10.647671
2013-03-20 17.15 17.25 16.25 17.01 174600 10.641415
2013-03-21 16.809999 16.870001 16.780001 16.860001 10800 10.547576
2013-03-22 16.879999 17.030001 16.879999 16.98 16500 10.622647
2013-03-25 17.040001 17.120001 16.950001 16.99 103300 10.628903
2013-03-26 17 17.040001 16.92 17 12400 10.635159
2013-03-27 16.85 16.9 16.75 16.889999 22900 10.566343
2013-03-28 16.809999 16.9 16.809999 16.84 60900 10.535064
2013-04-01 16.76 16.85 16.76 16.790001 5000 10.503784
2013-04-02 16.969999 17.049999 16.969999 17.02 22400 10.647671
2013-04-03 17.09 17.129999 16.98 17 28000 10.635159
2013-04-04 17.049999 17.049999 16.75 16.85 56600 10.54132
2013-04-05 16.52 16.67 16.52 16.65 12100 10.4162
2013-04-08 16.629999 16.719999 16.6 16.66 18900 10.422456
2013-04-09 16.68 16.74 16.67 16.74 2900 10.472504
2013-04-10 16.860001 17.049999 16.860001 17.02 13800 10.647671
2013-04-11 17.129999 17.219999 17.129999 17.209999 4100 10.766534
2013-04-12 16.99 17.15 16.99 17.110001 10200 10.703975
2013-04-15 17.040001 17.09 16.950001 16.950001 50700 10.60388
2013-04-16 17.15 17.299999 17.15 17.23 10200 10.779046
2013-04-17 16.959999 16.98 16.799999 16.799999 29300 10.510039
2013-04-18 16.950001 16.950001 16.719999 16.719999 12300 10.459991
2013-04-19 16.809999 16.85 16.73 16.809999 12000 10.516295
2013-04-22 16.809999 16.940001 16.799999 16.879999 13700 10.560087
