"Index" "GNF.Open" "GNF.High" "GNF.Low" "GNF.Close" "GNF.Volume" "GNF.Adjusted"
2013-01-01 4.02 4.02 4.02 4.02 0 4.02
2013-01-02 4.5 4.5 4.5 4.5 2100 4.5
2013-01-03 4.75 5 4.75 5 5000 5
2013-01-04 5 5 5 5 0 5
2013-01-07 5 5 5 5 2000 5
2013-01-08 5.29 5.44 5.1 5.1 10600 5.1
2013-01-09 5.35 5.35 5.35 5.35 10000 5.35
2013-01-10 5.2 5.2 5.2 5.2 800 5.2
2013-01-11 5.25 5.25 5.25 5.25 800 5.25
2013-01-14 5.25 5.25 5.25 5.25 0 5.25
2013-01-15 5.2 5.2 5.2 5.2 3500 5.2
2013-01-16 5.2 5.4 5.2 5.3 41100 5.3
2013-01-17 5.4 5.4 5.4 5.4 4600 5.4
2013-01-18 5.4 5.4 5.4 5.4 3400 5.4
2013-01-21 5.4 5.4 5.4 5.4 0 5.4
2013-01-22 5.25 5.4 5.25 5.4 10000 5.4
2013-01-23 5.4 5.4 5.4 5.4 7100 5.4
2013-01-24 5.4 5.4 5.4 5.4 0 5.4
2013-01-25 5.4 5.4 5.4 5.4 0 5.4
2013-01-28 5.15 5.15 5.05 5.05 2000 5.05
2013-01-29 5.1 5.1 5 5 2100 5
2013-01-30 5.35 5.35 5.1 5.1 6000 5.1
2013-01-31 5 5 5 5 500 5
2013-02-01 5 5 5 5 500 5
2013-02-04 5 5 5 5 2000 5
2013-02-05 5 5 5 5 0 5
2013-02-06 5 5 5 5 0 5
2013-02-07 5 5 5 5 39300 5
2013-02-08 4.91 4.95 4.8 4.8 1300 4.8
2013-02-11 4.95 5 4.85 4.85 13300 4.85
2013-02-12 5 5 4.8 5 6700 5
2013-02-13 5.15 5.25 5 5 12100 5
2013-02-14 5 5 5 5 0 5
2013-02-15 5 5.01 4.9 5 7500 5
2013-02-18 5 5 5 5 0 5
2013-02-19 4.81 4.9 4.6 4.6 5900 4.6
2013-02-20 4.9 4.9 4.9 4.9 300 4.9
2013-02-21 4.55 4.61 4.55 4.61 2000 4.61
2013-02-22 4.9 4.9 4.7 4.7 1900 4.7
2013-02-25 4.7 4.7 4.7 4.7 0 4.7
2013-02-26 4.7 4.7 4.7 4.7 0 4.7
2013-02-27 4.51 4.51 4.5 4.5 10000 4.5
2013-02-28 4.4 4.4 4.3 4.3 3500 4.3
2013-03-01 4.25 4.4 4.25 4.4 5500 4.4
2013-03-04 4.15 4.2 4 4.05 9500 4.05
2013-03-05 3.9 3.95 3.9 3.95 9700 3.95
2013-03-06 4 4.2 3.9 4.2 130600 4.2
2013-03-07 4.4 4.4 4 4.23 16300 4.23
2013-03-08 4.1 4.3 4 4.3 9700 4.3
2013-03-11 4.4 4.4 4.4 4.4 11400 4.4
2013-03-12 4.11 4.15 4.05 4.05 4900 4.05
2013-03-13 4 4 4 4 4200 4
2013-03-14 4.01 4.05 4 4.05 8300 4.05
2013-03-15 4.05 4.13 4.05 4.12 20600 4.12
2013-03-18 4.05 4.05 4.05 4.05 6000 4.05
2013-03-19 4 4.06 4 4.05 6500 4.05
2013-03-20 4.05 4.05 4.05 4.05 0 4.05
2013-03-21 4 4.05 4 4.05 5300 4.05
2013-03-22 4.05 4.05 4.05 4.05 0 4.05
2013-03-25 4.3 4.3 4.05 4.05 3000 4.05
2013-03-26 4.05 4.05 4 4.05 72800 4.05
2013-03-27 4 4 3.96 4 8200 4
2013-03-28 3.95 3.95 3.9 3.9 5600 3.9
2013-03-29 3.9 3.9 3.9 3.9 0 3.9
2013-04-01 3.9 3.9 3.9 3.9 0 3.9
2013-04-02 3.9 3.9 3.9 3.9 40600 3.9
2013-04-03 3.95 4.04 3.95 4.04 4500 4.04
2013-04-04 3.95 3.95 3.95 3.95 1200 3.95
2013-04-05 3.95 3.95 3.95 3.95 0 3.95
2013-04-08 3.95 3.95 3.95 3.95 0 3.95
2013-04-09 3.95 3.95 3.95 3.95 0 3.95
2013-04-10 4.05 4.6 4.05 4.6 29000 4.6
2013-04-11 4.6 4.75 4.54 4.54 3500 4.54
2013-04-12 4.55 4.55 4.55 4.55 2600 4.55
2013-04-15 4.55 4.55 4.55 4.55 0 4.55
2013-04-16 4.55 4.55 4.55 4.55 0 4.55
2013-04-17 4.55 4.55 4.55 4.55 0 4.55
2013-04-18 4.55 4.55 4.55 4.55 0 4.55
2013-04-19 4.6 4.6 4.6 4.6 1000 4.6
2013-04-22 4.3 4.3 4.3 4.3 1000 4.3
2013-04-23 4.25 4.25 4.25 4.25 1600 4.25
2013-04-24 4.5 4.5 4.5 4.5 500 4.5
2013-04-25 4.5 4.5 4.5 4.5 0 4.5
2013-04-26 4.5 4.5 4.5 4.5 0 4.5
2013-04-29 4.5 4.5 4.5 4.5 0 4.5
2013-04-30 4.4 4.6 4.35 4.6 8500 4.6
2013-05-01 4.5 4.5 4.5 4.5 2000 4.5
2013-05-02 4.6 4.6 4 4.25 20000 4.25
2013-05-03 3.95 3.95 3.9 3.9 5100 3.9
2013-05-06 3.88 3.88 3.8 3.8 2300 3.8
2013-05-07 3.9 4 3.9 4 2000 4
2013-05-08 4 4 4 4 2500 4
2013-05-09 4 4 4 4 0 4
2013-05-10 3.95 3.95 3.9 3.9 23700 3.9
2013-05-13 3.85 3.85 3.6 3.75 17000 3.75
2013-05-14 3.75 3.75 3.75 3.75 0 3.75
2013-05-15 3.6 3.6 3.6 3.6 1600 3.6
2013-05-16 3.6 3.6 3.6 3.6 0 3.6
2013-05-17 3.6 3.6 3.6 3.6 0 3.6
2013-05-20 3.6 3.6 3.6 3.6 0 3.6
2013-05-21 3.7 3.7 3.7 3.7 1500 3.7
2013-05-22 3.7 3.7 3.7 3.7 0 3.7
2013-05-23 3.7 3.7 3.7 3.7 11300 3.7
2013-05-24 3.7 3.7 3.7 3.7 600 3.7
2013-05-27 3.95 3.95 3.95 3.95 3500 3.95
2013-05-28 3.95 3.95 3.95 3.95 0 3.95
2013-05-29 3.95 3.95 3.95 3.95 0 3.95
2013-05-30 3.95 3.95 3.95 3.95 0 3.95
2013-05-31 4 4 4 4 4100 4
2013-06-03 4.25 4.4 4.25 4.4 1800 4.4
2013-06-04 4.4 4.4 4.4 4.4 0 4.4
2013-06-05 4.4 4.4 4.4 4.4 0 4.4
2013-06-06 3.85 4 3.85 4 5100 4
2013-06-07 3.85 3.85 3.51 3.51 7000 3.51
2013-06-10 3.79 3.79 3.79 3.79 1000 3.79
2013-06-11 3.79 3.79 3.6 3.6 3000 3.6
2013-06-12 3.7 3.7 3.42 3.6 6000 3.6
2013-06-13 3.6 3.6 3.6 3.6 0 3.6
2013-06-14 3.5 3.5 3.43 3.5 162000 3.5
2013-06-17 3.5 3.5 3.5 3.5 0 3.5
2013-06-18 3.5 3.5 3.5 3.5 0 3.5
2013-06-19 3.46 3.46 3.46 3.46 3000 3.46
2013-06-20 3.46 3.46 3.46 3.46 0 3.46
2013-06-21 3.46 3.46 3.46 3.46 0 3.46
2013-06-24 3.46 3.46 3.46 3.46 0 3.46
2013-06-25 3.46 3.46 3.46 3.46 0 3.46
2013-06-26 3.46 3.46 3.46 3.46 0 3.46
2013-06-27 3.4 3.4 3.25 3.3 23900 3.3
2013-06-28 3.2 3.2 3.2 3.2 3000 3.2
2013-07-01 3.2 3.2 3.2 3.2 0 3.2
2013-07-02 3.2 3.2 3.2 3.2 0 3.2
2013-07-03 3.2 3.2 3.2 3.2 300 3.2
2013-07-04 3.2 3.2 3.2 3.2 0 3.2
2013-07-05 3.2 3.2 3.2 3.2 0 3.2
2013-07-08 3.2 3.2 3.2 3.2 0 3.2
2013-07-09 3.2 3.2 3.2 3.2 0 3.2
2013-07-10 3.2 3.2 3.2 3.2 0 3.2
2013-07-11 3.3 3.3 3.3 3.3 1000 3.3
2013-07-12 3.3 3.3 3.3 3.3 0 3.3
2013-07-15 3.28 3.3 3.2 3.2 21400 3.2
2013-07-16 3.2 3.2 3.2 3.2 0 3.2
2013-07-17 3.2 3.2 3.2 3.2 0 3.2
2013-07-18 3.2 3.2 3.2 3.2 0 3.2
2013-07-19 3.15 3.2 3.15 3.2 3400 3.2
2013-07-22 3.16 3.2 3.15 3.2 5500 3.2
2013-07-23 3.2 3.2 3.2 3.2 0 3.2
2013-07-24 3.1 3.1 3.1 3.1 1000 3.1
2013-07-25 3.05 3.1 3 3.1 6500 3.1
2013-07-26 3.1 3.1 3.1 3.1 0 3.1
2013-07-29 3.1 3.1 3.1 3.1 0 3.1
2013-07-30 3 3 3 3 1000 3
2013-07-31 3 3 3 3 0 3
2013-08-01 3 3 3 3 5000 3
2013-08-02 3 3 3 3 0 3
2013-08-05 3 3 3 3 0 3
2013-08-06 3 3 2.95 3 27400 3
2013-08-07 3.2 3.2 3.2 3.2 8500 3.2
2013-08-08 3.2 3.34 3.15 3.2 17300 3.2
2013-08-09 3.2 3.2 3.15 3.2 8300 3.2
2013-08-12 3.2 3.2 3.2 3.2 12400 3.2
2013-08-13 3.2 3.3 3.2 3.3 3500 3.3
2013-08-14 3.3 3.3 3.3 3.3 0 3.3
2013-08-15 3.2 3.2 3.1 3.1 5000 3.1
2013-08-16 3.1 3.1 3.1 3.1 0 3.1
2013-08-19 3.3 3.4 3.3 3.3 11100 3.3
2013-08-20 3.3 3.3 3.3 3.3 0 3.3
2013-08-21 3.27 3.27 3.27 3.27 4200 3.27
2013-08-22 3.27 3.3 3.27 3.27 7700 3.27
2013-08-23 3.27 3.27 3.27 3.27 1700 3.27
2013-08-26 3.27 3.27 3.27 3.27 0 3.27
2013-08-27 3.35 3.35 3.35 3.35 1500 3.35
2013-08-28 3.35 3.35 3.35 3.35 0 3.35
2013-08-29 3.35 3.35 3.35 3.35 0 3.35
2013-08-30 3.35 3.35 3.25 3.3 7500 3.3
2013-09-02 3.3 3.3 3.3 3.3 0 3.3
2013-09-03 3.25 3.35 3.25 3.35 2000 3.35
2013-09-04 3.35 3.35 3.35 3.35 0 3.35
2013-09-05 3.35 3.35 3.35 3.35 1500 3.35
2013-09-06 3.3 3.3 3.25 3.25 19000 3.25
2013-09-09 3.25 3.25 3.25 3.25 0 3.25
2013-09-10 3.25 3.25 3.25 3.25 1000 3.25
2013-09-11 3.2 3.25 3.1 3.25 5300 3.25
2013-09-12 3.25 3.25 3.25 3.25 0 3.25
2013-09-13 3.2 3.25 3.2 3.25 3000 3.25
2013-09-16 3.25 3.25 3.25 3.25 6000 3.25
2013-09-17 3.25 3.25 3.15 3.15 12900 3.15
2013-09-18 3.2 3.2 3.2 3.2 6000 3.2
2013-09-19 3.2 3.2 3.2 3.2 400 3.2
2013-09-20 3.4 3.4 3.25 3.25 20500 3.25
2013-09-23 3.25 3.25 3.25 3.25 0 3.25
2013-09-24 3.3 3.3 3.3 3.3 40000 3.3
2013-09-25 3.15 3.25 3.1 3.24 8500 3.24
2013-09-26 3.24 3.24 3.24 3.24 0 3.24
2013-09-27 3.14 3.15 3.1 3.1 4000 3.1
2013-09-30 3.1 3.1 3.1 3.1 0 3.1
2013-10-01 3.1 3.1 3.1 3.1 5000 3.1
2013-10-02 3.23 3.23 3.1 3.1 2600 3.1
2013-10-03 3.1 3.1 3.1 3.1 0 3.1
2013-10-04 3.25 3.25 3.15 3.15 20000 3.15
2013-10-07 3.25 3.25 3.25 3.25 5000 3.25
2013-10-08 3.25 3.25 3.25 3.25 0 3.25
2013-10-09 3.16 3.25 3.15 3.25 2200 3.25
2013-10-10 3.15 3.15 3.15 3.15 94000 3.15
2013-10-11 3.2 3.2 3.2 3.2 900 3.2
2013-10-14 3.2 3.2 3.2 3.2 0 3.2
2013-10-15 3.2 3.2 3.2 3.2 1100 3.2
2013-10-16 3.2 3.2 3.2 3.2 2500 3.2
2013-10-17 3.2 3.2 3.2 3.2 0 3.2
2013-10-18 3.25 3.25 3.25 3.25 4500 3.25
2013-10-21 3.1 3.24 3.05 3.1 21700 3.1
2013-10-22 3.05 3.1 3 3.05 16100 3.05
2013-10-23 3.05 3.05 3.05 3.05 0 3.05
2013-10-24 3 3.1 3 3.1 3400 3.1
2013-10-25 3 3 3 3 500 3
2013-10-28 3 3 3 3 0 3
2013-10-29 2.85 2.85 2.7 2.7 589600 2.7
2013-10-30 2.56 3 2.55 3 44300 3
2013-10-31 2.99 3 2.99 3 2800 3
2013-11-01 3 3 3 3 0 3
2013-11-04 3 3 3 3 0 3
2013-11-05 3.05 3.05 3 3 3000 3
2013-11-06 3 3 3 3 0 3
2013-11-07 2.9 2.9 2.9 2.9 1000 2.9
2013-11-08 2.9 2.9 2.9 2.9 1500 2.9
2013-11-11 2.9 2.9 2.9 2.9 0 2.9
2013-11-12 2.98 2.98 2.98 2.98 600 2.98
2013-11-13 2.98 2.98 2.98 2.98 0 2.98
2013-11-14 3 3 3 3 3200 3
2013-11-15 2.98 2.98 2.95 2.95 4900 2.95
2013-11-18 2.91 2.91 2.9 2.9 400 2.9
2013-11-19 2.9 2.9 2.9 2.9 1300 2.9
2013-11-20 2.9 2.9 2.9 2.9 0 2.9
2013-11-21 2.9 3 2.9 3 23700 3
2013-11-22 3 3 3 3 1500 3
2013-11-25 2.95 2.95 2.95 2.95 700 2.95
2013-11-26 2.95 2.95 2.95 2.95 0 2.95
2013-11-27 2.85 2.9 2.85 2.9 30000 2.9
2013-11-28 2.94 2.94 2.92 2.92 7000 2.92
2013-11-29 2.92 3.34 2.92 3.1 31300 3.1
2013-12-02 3.19 3.2 3.05 3.05 13500 3.05
2013-12-03 3.11 3.15 3.11 3.15 2000 3.15
2013-12-04 3.05 3.15 3.05 3.15 130800 3.15
2013-12-05 3.12 3.2 3.12 3.15 12100 3.15
2013-12-06 3.15 3.15 3.08 3.08 3100 3.08
2013-12-09 3.06 3.09 3 3 7600 3
2013-12-10 3 3 3 3 0 3
2013-12-11 3.15 3.15 3.15 3.15 353000 3.15
2013-12-12 3.15 3.15 3.06 3.15 2300 3.15
2013-12-13 3.11 3.15 3.11 3.15 1500 3.15
2013-12-16 3.1 3.1 3.1 3.1 9600 3.1
2013-12-17 3.13 3.13 3.13 3.13 1000 3.13
2013-12-18 3.1 3.11 3.01 3.11 3400 3.11
2013-12-19 3.03 3.06 3.02 3.06 9000 3.06
2013-12-20 3.06 3.06 3.06 3.06 0 3.06
2013-12-23 3.04 3.04 3.04 3.04 1600 3.04
2013-12-24 3.11 3.12 3.11 3.12 2500 3.12
2013-12-25 3.12 3.12 3.12 3.12 0 3.12
2013-12-26 3.12 3.12 3.12 3.12 0 3.12
2013-12-27 3.15 3.15 3.15 3.15 10300 3.15
2013-12-30 3.15 3.15 3.15 3.15 0 3.15
2013-12-31 3.25 3.3 3.15 3.3 22400 3.3
2014-01-01 3.3 3.3 3.3 3.3 0 3.3
2014-01-02 3.05 3.05 3 3 10200 3
2014-01-03 3.07 3.07 3.07 3.07 1000 3.07
2014-01-06 2.96 3.1 2.96 3.1 3100 3.1
2014-01-07 3.1 3.1 3.1 3.1 15000 3.1
2014-01-08 3.15 3.2 3.15 3.2 11500 3.2
2014-01-09 3.2 3.2 3.2 3.2 7000 3.2
2014-01-10 3.25 3.25 3.25 3.25 3200 3.25
2014-01-13 3.28 3.75 3.27 3.35 28000 3.35
2014-01-14 3.3 3.38 3.3 3.35 15400 3.35
2014-01-15 3.35 3.35 3.35 3.35 500 3.35
2014-01-16 3.35 3.45 3.35 3.35 12800 3.35
2014-01-17 3.35 3.35 3.3 3.3 1300 3.3
2014-01-20 3.3 3.3 3.3 3.3 0 3.3
2014-01-21 3.35 3.45 3.35 3.45 3000 3.45
2014-01-22 3.45 3.45 3.45 3.45 23400 3.45
2014-01-23 3.45 3.45 3.45 3.45 0 3.45
2014-01-24 3.31 3.31 3.3 3.3 2400 3.3
2014-01-27 3.35 3.35 3.35 3.35 100 3.35
2014-01-28 3.35 3.35 3.35 3.35 4900 3.35
2014-01-29 3.35 3.35 3.35 3.35 0 3.35
2014-01-30 3.35 3.35 3.35 3.35 0 3.35
2014-01-31 3.35 3.35 3.35 3.35 0 3.35
2014-02-03 3.45 3.45 3.45 3.45 1000 3.45
2014-02-04 3.44 3.45 3.4 3.4 12000 3.4
2014-02-05 3.4 3.4 3.4 3.4 0 3.4
2014-02-06 3.35 3.35 3.35 3.35 3300 3.35
2014-02-07 3.35 3.35 3.35 3.35 0 3.35
2014-02-10 3.45 3.45 3.45 3.45 1900 3.45
2014-02-11 3.45 3.45 3.45 3.45 0 3.45
2014-02-12 3.45 3.45 3.45 3.45 0 3.45
2014-02-13 3.35 3.35 3.35 3.35 500 3.35
2014-02-14 3.35 3.35 3.35 3.35 0 3.35
2014-02-17 3.35 3.35 3.35 3.35 0 3.35
2014-02-18 3.35 3.35 3.25 3.3 26900 3.3
2014-02-19 3.4 3.4 3.4 3.4 200 3.4
2014-02-20 3.47 3.47 3.47 3.47 300 3.47
2014-02-21 3.47 3.47 3.47 3.47 0 3.47
2014-02-24 3.3 3.3 3.3 3.3 1e+05 3.3
2014-02-25 3.3 3.3 3.3 3.3 0 3.3
2014-02-26 3.3 3.3 3.3 3.3 0 3.3
2014-02-27 3.3 3.3 3.3 3.3 0 3.3
2014-02-28 3.3 3.44 3.2 3.44 150500 3.44
2014-03-03 3.44 3.44 3.44 3.44 0 3.44
2014-03-04 3.44 3.44 3.44 3.44 0 3.44
2014-03-05 3.44 3.44 3.44 3.44 0 3.44
2014-03-06 3.44 3.44 3.44 3.44 0 3.44
2014-03-07 3.44 3.44 3.44 3.44 0 3.44
2014-03-10 3.44 3.44 3.44 3.44 0 3.44
