"Index" "GOC.Open" "GOC.High" "GOC.Low" "GOC.Close" "GOC.Volume" "GOC.Adjusted"
2013-01-01 0.147 0.147 0.147 0.147 0 0.147
2013-01-02 0.148 0.148 0.148 0.148 0 0.148
2013-01-03 0.146 0.146 0.146 0.146 0 0.146
2013-01-04 0.147 0.147 0.147 0.147 0 0.147
2013-01-07 0.144 0.144 0.144 0.144 0 0.144
2013-01-08 0.158 0.158 0.158 0.158 0 0.158
2013-01-09 0.158 0.158 0.158 0.158 0 0.158
2013-01-10 0.154 0.154 0.154 0.154 0 0.154
2013-01-11 0.142 0.142 0.142 0.142 0 0.142
2013-01-14 0.154 0.154 0.154 0.154 0 0.154
2013-01-15 0.165 0.165 0.165 0.165 0 0.165
2013-01-16 0.153 0.153 0.153 0.153 0 0.153
2013-01-17 0.16 0.16 0.16 0.16 0 0.16
2013-01-18 0.144 0.144 0.144 0.144 0 0.144
2013-01-21 0.161 0.161 0.161 0.161 0 0.161
2013-01-22 0.154 0.154 0.154 0.154 0 0.154
2013-01-23 0.148 0.148 0.148 0.148 0 0.148
2013-01-24 0.149 0.149 0.149 0.149 0 0.149
2013-01-25 0.153 0.153 0.153 0.153 0 0.153
2013-01-28 0.15 0.15 0.15 0.15 0 0.15
2013-01-29 0.147 0.147 0.147 0.147 0 0.147
2013-01-30 0.14 0.14 0.14 0.14 0 0.14
2013-01-31 0.153 0.153 0.153 0.153 0 0.153
2013-02-01 0.146 0.146 0.146 0.146 0 0.146
2013-02-04 0.15 0.15 0.15 0.15 0 0.15
2013-02-05 0.151 0.151 0.151 0.151 0 0.151
2013-02-06 0.162 0.162 0.162 0.162 0 0.162
2013-02-07 0.162 0.162 0.162 0.162 0 0.162
2013-02-08 0.149 0.149 0.149 0.149 0 0.149
2013-02-11 0.155 0.155 0.15 0.15 3000 0.15
2013-02-12 0.155 0.155 0.155 0.155 0 0.155
2013-02-13 0.158 0.158 0.158 0.158 0 0.158
2013-02-14 0.155 0.155 0.155 0.155 0 0.155
2013-02-15 0.156 0.156 0.156 0.156 0 0.156
2013-02-18 0.159 0.159 0.159 0.159 0 0.159
2013-02-19 0.152 0.152 0.152 0.152 0 0.152
2013-02-20 0.154 0.154 0.147 0.147 100 0.147
2013-02-21 0.144 0.144 0.144 0.144 0 0.144
2013-02-22 0.152 0.152 0.152 0.152 0 0.152
2013-02-25 0.148 0.148 0.148 0.148 0 0.148
2013-02-26 0.148 0.148 0.148 0.148 0 0.148
2013-02-27 0.149 0.149 0.149 0.149 0 0.149
2013-02-28 0.145 0.145 0.145 0.145 0 0.145
2013-03-01 0.141 0.141 0.141 0.141 0 0.141
2013-03-04 0.156 0.156 0.156 0.156 0 0.156
2013-03-05 0.147 0.147 0.147 0.147 0 0.147
2013-03-06 0.148 0.148 0.148 0.148 0 0.148
2013-03-07 0.148 0.148 0.148 0.148 0 0.148
2013-03-08 0.147 0.147 0.147 0.147 0 0.147
2013-03-11 0.149 0.149 0.149 0.149 0 0.149
2013-03-12 0.145 0.145 0.145 0.145 0 0.145
2013-03-13 0.145 0.145 0.145 0.145 0 0.145
2013-03-14 0.142 0.142 0.142 0.142 0 0.142
2013-03-15 0.138 0.138 0.138 0.138 0 0.138
2013-03-18 0.133 0.133 0.133 0.133 0 0.133
2013-03-19 0.129 0.129 0.128 0.128 1100 0.128
2013-03-20 0.139 0.139 0.139 0.139 0 0.139
2013-03-21 0.136 0.136 0.136 0.136 0 0.136
2013-03-22 0.136 0.136 0.136 0.136 0 0.136
2013-03-25 0.128 0.128 0.128 0.128 0 0.128
2013-03-26 0.131 0.131 0.131 0.131 0 0.131
2013-03-27 0.13 0.13 0.13 0.13 0 0.13
2013-03-28 0.131 0.131 0.131 0.131 0 0.131
2013-03-29 0.131 0.131 0.131 0.131 0 0.131
2013-04-01 0.131 0.131 0.131 0.131 0 0.131
2013-04-02 0.141 0.141 0.141 0.141 0 0.141
2013-04-03 0.131 0.131 0.131 0.131 0 0.131
2013-04-04 0.128 0.128 0.128 0.128 0 0.128
2013-04-05 0.137 0.137 0.137 0.137 0 0.137
