"Index" "GS.Open" "GS.High" "GS.Low" "GS.Close" "GS.Volume" "GS.Adjusted"
2013-01-02 131.300003 131.660004 129.619995 131.660004 4449000 127.024402
2013-01-03 131.699997 131.779999 130.070007 130.940002 4584600 126.329751
2013-01-04 130.929993 134.639999 130.320007 134.509995 5234600 129.774048
2013-01-07 134.119995 134.509995 132.880005 134.259995 3556900 129.53285
2013-01-08 133.710007 133.949997 132.699997 133.050003 2760200 128.365461
2013-01-09 133.399994 134.429993 133.270004 134.320007 3666500 129.59075
2013-01-10 135.070007 138.149994 134.130005 137.369995 5960700 132.533351
2013-01-11 137.020004 137.169998 136.130005 137.130005 3211700 132.301811
2013-01-14 137.190002 137.320007 135.660004 136.130005 2855800 131.33702
2013-01-15 135.550003 137.259995 135.119995 135.589996 4322800 130.816024
2013-01-16 138.940002 141.580002 137.899994 141.089996 10650800 136.122375
2013-01-17 140.889999 141.949997 139.619995 141.009995 6596000 136.04519
2013-01-18 141.350006 144.809998 141.240005 144.449997 7349000 139.364074
2013-01-22 144.009995 146.279999 143.339996 145.949997 5158400 140.811261
2013-01-23 145.779999 145.940002 144.809998 145.559998 3948700 140.434993
2013-01-24 145 146.740005 144.059998 144.960007 4638200 139.856127
2013-01-25 144.179993 145.270004 143.300003 144.460007 4639400 139.373732
2013-01-28 144.429993 145.25 143.690002 144.149994 3045600 139.074634
2013-01-29 144.100006 147.5 143.839996 147.100006 4519800 141.92078
2013-01-30 146.809998 147.419998 145.910004 147.149994 4083100 141.969007
2013-01-31 146.259995 148 146.259995 147.860001 3680900 142.654015
2013-02-01 148.509995 150.399994 147.759995 149.899994 4563800 144.622183
2013-02-04 148.25 148.949997 146.619995 147.520004 4679400 142.32599
2013-02-05 148.350006 150.75 148.179993 150.449997 4219200 145.152821
2013-02-06 149.75 151.139999 149.169998 151.119995 3940600 145.799229
2013-02-07 150.759995 152.5 149 150.259995 4890800 144.969508
2013-02-08 150.779999 151.970001 150.350006 151.600006 3612300 146.26234
2013-02-11 151.419998 152.869995 150.960007 152.240005 3751400 146.879805
2013-02-12 152.479996 154.320007 151.789993 154.110001 4309000 148.68396
2013-02-13 154.110001 154.850006 153.279999 154.520004 4369100 149.079528
2013-02-14 153.839996 156.720001 153.619995 155.929993 5035800 150.439872
2013-02-15 156.399994 156.539993 154.080002 154.990005 4254400 149.532981
2013-02-19 155.690002 159 155.25 158.649994 5103400 153.064105
2013-02-20 158.220001 158.5 154.559998 155.179993 5029700 149.716279
2013-02-21 153.720001 153.949997 149.800003 150.880005 8318000 145.567689
2013-02-22 152.369995 154.130005 152.050003 154.089996 4772700 148.66466
2013-02-25 155.190002 155.690002 147.600006 147.649994 6294200 142.451403
2013-02-26 148.110001 149.460007 146.710007 148 5686600 143.274267
2013-02-27 147.869995 152.050003 147.759995 151.649994 4695000 146.807715
2013-02-28 151.350006 152.399994 149.759995 149.759995 4956000 144.978064
2013-03-01 148.119995 151.699997 147.220001 150.529999 4538400 145.723482
2013-03-04 150.009995 152.470001 149.710007 152.179993 3209200 147.32079
2013-03-05 153.449997 154.960007 152.800003 152.960007 4589300 148.075898
2013-03-06 154.059998 155.050003 152.800003 154.130005 3593200 149.208537
2013-03-07 154.699997 157.190002 154.5 156.619995 3886300 151.619021
2013-03-08 155.889999 156.229996 152.009995 152.979996 6615000 148.095249
2013-03-11 152.449997 154.320007 152.360001 153.300003 3586400 148.405038
2013-03-12 153.300003 153.800003 150.460007 151.850006 3432200 147.00134
2013-03-13 152.029999 152.869995 150.580002 151.910004 3356400 147.059422
2013-03-14 152.270004 154.339996 152.160004 154.020004 3886600 149.102049
2013-03-15 151.350006 155.630005 151.300003 154.839996 7301200 149.895858
2013-03-18 152.529999 153.110001 150.889999 151.949997 3788100 147.098139
2013-03-19 152.610001 153.089996 147.820007 148.839996 4726900 144.087442
2013-03-20 150.020004 151.479996 149.25 150.130005 2883800 145.33626
2013-03-21 149.289993 150.220001 145.369995 145.380005 4704000 140.73793
2013-03-22 146.509995 147.699997 145.610001 146.600006 3456800 141.918976
2013-03-25 147.990005 148.660004 144.679993 146.110001 3775400 141.444617
2013-03-26 148.289993 148.339996 144.869995 146.539993 3860400 141.86088
