"Date" "Mid Price"
11/27/2015 92.1266
11/25/2015 93.8825
11/24/2015 93.7908
11/23/2015 92.5208
11/20/2015 92.2425
11/19/2015 92.1723
11/18/2015 92.0519
11/17/2015 91.7428
11/16/2015 92.6708
11/13/2015 92.7234
11/12/2015 93.8713
11/10/2015 96.6122
11/9/2015 96.8084
11/6/2015 97.8186
11/5/2015 98.5844
11/4/2015 99.8183
11/3/2015 102.0722
11/2/2015 99.9778
10/30/2015 100.7844
10/29/2015 99.9521
10/28/2015 100.2667
10/27/2015 97.4
10/26/2015 98.3455
10/23/2015 99.0224
10/22/2015 99.8175
10/21/2015 99.5929
10/20/2015 100.5874
10/19/2015 100.275
10/16/2015 102.3819
10/15/2015 101.6543
10/14/2015 102.1009
10/13/2015 102.2112
10/9/2015 105.6023
10/8/2015 105.3681
10/7/2015 104.0099
10/6/2015 104.6818
10/5/2015 101.638
10/2/2015 100.1315
10/1/2015 99.69
9/30/2015 100.4256
9/29/2015 100.2389
9/28/2015 99.409
9/25/2015 101.1737
9/24/2015 100.1387
9/23/2015 99.8448
9/22/2015 101.2471
9/21/2015 101.8919
9/18/2015 99.9387
9/17/2015 102.2211
9/16/2015 102.9512
9/15/2015 100.7333
9/14/2015 100.5029
9/11/2015 101.7263
9/10/2015 102.7533
9/9/2015 101.0581
9/8/2015 103.1536
9/4/2015 102.6614
9/3/2015 103.9853
9/2/2015 103.1483
9/1/2015 102.4518
8/31/2015 107.1539
8/28/2015 102.8782
8/27/2015 99.4932
8/26/2015 94.3969
8/25/2015 95.5903
8/24/2015 94.7844
8/21/2015 97.9424
8/20/2015 99.9375
8/19/2015 99.8211
8/18/2015 101.9268
8/17/2015 101.9634
8/14/2015 102.7001
8/13/2015 102.8837
8/12/2015 103.5656
8/11/2015 103.4353
8/10/2015 105.7521
8/7/2015 103.117
8/6/2015 103.7045
8/5/2015 104.2204
8/4/2015 104.7912
8/3/2015 104.0376
7/31/2015 106.777
7/30/2015 108.2633
7/29/2015 108.5749
7/28/2015 108.2311
7/27/2015 107.4182
7/24/2015 109.107
7/23/2015 110.3399
7/22/2015 111.5651
7/21/2015 113.1201
7/20/2015 112.908
7/17/2015 114.2119
7/16/2015 114.6118
7/15/2015 115.0915
7/14/2015 117.0509
7/13/2015 116.7343
7/10/2015 117.2092
7/9/2015 117.1666
7/8/2015 115.4679
7/7/2015 115.5025
7/6/2015 116.4229
7/2/2015 122.44
7/1/2015 122.1211
6/30/2015 124.3953
6/29/2015 121.8312
6/26/2015 122.9976
6/25/2015 122.5524
6/24/2015 122.8337
6/23/2015 123.8585
6/22/2015 122.2661
6/19/2015 121.8151
6/18/2015 123.4855
6/17/2015 123.192
6/16/2015 122.9926
6/15/2015 122.615
6/12/2015 123.6146
6/11/2015 125.0243
6/10/2015 126.3534
6/9/2015 125.1616
6/8/2015 122.3811
6/5/2015 122.6778
6/4/2015 121.5794
6/3/2015 123.6535
6/2/2015 125.6911
6/1/2015 124.266
5/29/2015 124.441
5/28/2015 121.627
5/27/2015 121.0713
5/26/2015 122.5982
5/22/2015 125.2444
5/21/2015 126.9882
5/20/2015 124.8652
5/19/2015 123.959
5/18/2015 127.1734
5/15/2015 127.7467
5/14/2015 128.0527
5/13/2015 127.9636
5/12/2015 127.8948
5/11/2015 125.6328
5/8/2015 126.3228
5/7/2015 125.7856
5/6/2015 128.5509
5/5/2015 128.452
5/4/2015 126.6158
5/1/2015 126.5505
4/30/2015 127.0515
4/29/2015 125.7163
4/28/2015 123.938
4/27/2015 123.7541
4/24/2015 124.1535
4/23/2015 124.0522
4/22/2015 121.6266
4/21/2015 121.5121
4/20/2015 122.8401
4/17/2015 123.0954
4/16/2015 123.9386
4/15/2015 122.8448
4/14/2015 119.1728
4/13/2015 117.9656
4/10/2015 118.1462
4/9/2015 116.6926
4/8/2015 116.2162
4/7/2015 120.3093
4/6/2015 119.0242
4/2/2015 115.5515
4/1/2015 117.219
3/31/2015 114.3206
3/30/2015 115.9791
3/27/2015 116.0688
3/26/2015 119.1473
3/25/2015 116.6461
3/24/2015 115.3366
3/23/2015 115.8096
3/20/2015 114.7579
3/19/2015 112.9869
3/18/2015 114.1087
3/17/2015 111.5128
3/16/2015 112.3274
3/13/2015 113.3701
3/12/2015 116.2557
3/11/2015 117.1026
3/10/2015 116.5798
3/9/2015 119.0371
3/6/2015 119.6955
3/5/2015 120.8055
3/4/2015 121.5376
3/3/2015 121.568
3/2/2015 120.3598
2/27/2015 122.7428
2/26/2015 119.9691
2/25/2015 121.9151
2/24/2015 119.5214
2/23/2015 119.6382
2/20/2015 121.2642
2/19/2015 121.9024
2/18/2015 122.5458
2/17/2015 124.2028
2/13/2015 124.1266
2/12/2015 121.5017
2/11/2015 118.149
2/10/2015 119.8341
2/9/2015 122.6618
2/6/2015 121.0448
2/5/2015 119.5471
2/4/2015 117.1837
2/3/2015 122.1157
2/2/2015 117.2898
1/30/2015 115.3202
1/29/2015 110.9986
1/28/2015 111.4877
1/27/2015 113.1052
1/26/2015 111.7601
1/23/2015 112.3783
1/22/2015 112.9511
1/21/2015 114.2736
1/20/2015 112.8208
1/16/2015 115.8417
1/15/2015 113.2607
1/14/2015 115.1124
1/13/2015 112.9234
1/12/2015 114.2447
1/9/2015 117.445
1/8/2015 118.16
1/7/2015 118.1988
1/6/2015 118.5727
1/5/2015 120.5692
1/2/2015 123.625
12/31/2014 124.5677
12/30/2014 126.2703
12/29/2014 126.3745
12/26/2014 127.8561
12/24/2014 128.582
12/23/2014 131.0457
12/22/2014 129.0661
12/19/2014 131.2958
12/18/2014 129.0448
12/17/2014 131.1767
12/16/2014 130.0527
12/15/2014 131.5366
12/12/2014 133.3715
12/11/2014 135.3147
12/10/2014 136.0571
12/9/2014 139.5951
12/8/2014 138.4909
12/5/2014 142.2416
12/4/2014 142.999
12/3/2014 143.5862
12/2/2014 144.1534
12/1/2014 147.3983
11/28/2014 144.1596
11/26/2014 153.9736
11/25/2014 154.4766
11/24/2014 155.8309
11/21/2014 157.0432
11/20/2014 155.9636
11/19/2014 154.4171
11/18/2014 154.699
11/17/2014 155.921
11/14/2014 155.7792
11/13/2014 153.8251
11/12/2014 158.008
11/10/2014 158.5427
11/7/2014 160.1331
11/6/2014 158.9419
11/5/2014 158.8324
11/4/2014 158.1283
11/3/2014 160.8111
10/31/2014 161.9553
10/30/2014 162.5663
10/29/2014 164.1039
10/28/2014 162.2436
10/27/2014 161.2642
10/24/2014 161.2078
10/23/2014 162.6572
10/22/2014 160.5653
10/21/2014 162.3859
10/20/2014 161.2481
10/17/2014 162.1476
10/16/2014 161.6569
10/15/2014 160.1457
10/14/2014 162.0298
10/10/2014 166.3554
10/9/2014 166.6898
10/8/2014 168.4277
10/7/2014 170.0642
10/6/2014 170.8461
10/3/2014 169.5078
10/2/2014 170.7674
10/1/2014 171.6945
9/30/2014 172.0588
9/29/2014 175.8531
9/26/2014 174.5226
9/25/2014 174.06
9/24/2014 174.2182
9/23/2014 173.2598
9/22/2014 173.0993
9/19/2014 174.6684
9/18/2014 174.9122
9/17/2014 177.0329
9/16/2014 177.4246
9/15/2014 175.655
9/12/2014 175.4652
9/11/2014 176.3714
9/10/2014 176.577
9/9/2014 178.2562
9/8/2014 179.0648
9/5/2014 179.8976
9/4/2014 180.705
9/3/2014 181.9361
9/2/2014 179.4226
8/29/2014 183.038
8/28/2014 181.8159
8/27/2014 181.439
8/26/2014 181.2089
8/25/2014 180.6769
8/22/2014 180.6565
8/21/2014 180.8808
8/20/2014 180.1629
8/19/2014 179.6024
8/18/2014 179.8664
8/15/2014 182.0001
8/14/2014 180.53
8/13/2014 183.7537
8/12/2014 183.3435
8/11/2014 185.1417
8/8/2014 184.7395
8/7/2014 185.3842
8/6/2014 185.0906
8/5/2014 184.4055
8/4/2014 185.6279
8/1/2014 184.802
7/31/2014 186.0595
7/30/2014 187.7033
7/29/2014 188.6104
7/28/2014 189.1082
7/25/2014 189.7909
7/24/2014 188.8152
7/23/2014 189.7434
7/22/2014 188.9764
7/21/2014 189.526
7/18/2014 188.8173
7/17/2014 189.6593
7/16/2014 188.6028
7/15/2014 187.8964
7/14/2014 189.2208
7/11/2014 188.6462
7/10/2014 190.9475
7/9/2014 190.7216
7/8/2014 192.1137
7/7/2014 193.1065
7/3/2014 194.7049
7/2/2014 195.1035
7/1/2014 196.0155
6/30/2014 196.28
6/27/2014 197.7315
6/26/2014 197.9374
6/25/2014 198.679
6/24/2014 198.8483
6/23/2014 198.4203
6/20/2014 199.3469
6/19/2014 199.0996
6/18/2014 197.7159
6/17/2014 197.2768
6/16/2014 197.0975
6/13/2014 196.8418
6/12/2014 196.2747
6/11/2014 192.7167
6/10/2014 192.5528
6/9/2014 193.2242
6/6/2014 191.6127
6/5/2014 191.3166
6/4/2014 191.0937
6/3/2014 191.5643
6/2/2014 191.8063
5/30/2014 192.1531
5/29/2014 193.5229
5/28/2014 193.1011
5/27/2014 193.8715
5/23/2014 194.7481
5/22/2014 194.3836
5/21/2014 194.7313
5/20/2014 193.4563
5/19/2014 193.3866
5/16/2014 193.1064
5/15/2014 192.8663
5/14/2014 193.8083
5/13/2014 192.861
5/12/2014 191.875
