"Index" "GY.Open" "GY.High" "GY.Low" "GY.Close" "GY.Volume" "GY.Adjusted"
2013-01-02 9.43 9.52 9.25 9.49 779200 9.49
2013-01-03 9.48 9.74 9.36 9.65 1152800 9.65
2013-01-04 9.69 9.75 9.53 9.68 567000 9.68
2013-01-07 9.62 9.65 9.5 9.6 501100 9.6
2013-01-08 9.62 9.78 9.58 9.76 491700 9.76
2013-01-09 10.05 10.07 9.69 9.9 1631700 9.9
2013-01-10 9.91 10.08 9.85 10 1087200 10
2013-01-11 10.02 10.03 9.9 9.94 640300 9.94
2013-01-14 9.94 10.01 9.59 9.75 575800 9.75
2013-01-15 9.7 9.85 9.69 9.81 572500 9.81
2013-01-16 9.76 9.99 9.73 9.98 965100 9.98
2013-01-17 10.02 10.07 9.96 10.04 1434700 10.04
2013-01-18 10.03 10.54 9.99 10.51 2178100 10.51
2013-01-22 10.53 11.58 10.51 11.3 3282400 11.3
2013-01-23 11.3 11.48 10.91 11.2 4914600 11.2
2013-01-24 11.17 11.46 11.1 11.32 1530200 11.32
2013-01-25 11.36 11.36 11.15 11.27 681100 11.27
2013-01-28 11.23 11.31 10.65 10.74 1819300 10.74
2013-01-29 10.74 11.06 10.52 10.99 910000 10.99
2013-01-30 10.96 10.99 10.77 10.78 730800 10.78
2013-01-31 10.79 10.92 10.72 10.73 554900 10.73
2013-02-01 10.8 10.83 10.47 10.5 1148900 10.5
2013-02-04 10.46 10.58 10.22 10.24 612100 10.24
2013-02-05 10.32 10.65 10.27 10.37 659200 10.37
2013-02-06 10.35 10.64 10.35 10.58 748000 10.58
2013-02-07 10.61 10.72 10.38 10.57 501700 10.57
2013-02-08 10.59 10.79 10.56 10.69 492200 10.69
2013-02-11 10.66 10.79 10.5 10.76 527100 10.76
2013-02-12 11.39 11.66 11.17 11.4 1543800 11.4
2013-02-13 11.49 11.84 11.41 11.7 1222300 11.7
2013-02-14 11.7 11.96 11.63 11.87 810500 11.87
2013-02-15 11.85 11.96 11.66 11.73 805200 11.73
2013-02-19 11.72 11.81 11.6 11.66 735800 11.66
2013-02-20 11.67 11.88 11.63 11.79 1170600 11.79
2013-02-21 11.76 11.83 11.33 11.48 1142700 11.48
2013-02-22 11.58 11.74 11.53 11.66 873000 11.66
2013-02-25 11.72 11.89 11.38 11.38 817400 11.38
2013-02-26 11.46 11.78 11.38 11.65 1326400 11.65
2013-02-27 11.65 12.36 11.65 12.14 818400 12.14
2013-02-28 12.14 12.3 11.93 12.05 1489400 12.05
2013-03-01 11.96 12.4 11.82 12.29 598200 12.29
2013-03-04 12.29 12.38 12.03 12.22 441200 12.22
2013-03-05 12.31 12.5 12.16 12.45 662800 12.45
2013-03-06 12.51 12.6 12.34 12.5 268300 12.5
2013-03-07 12.48 12.63 12.36 12.61 404300 12.61
2013-03-08 12.65 12.73 12.45 12.68 621200 12.68
