"Index" "H2L.Open" "H2L.High" "H2L.Low" "H2L.Close" "H2L.Volume" "H2L.Adjusted"
2013-01-01 10.705 10.705 10.705 10.705 0 10.705
2013-01-02 11.11 11.11 11.11 11.11 0 11.11
2013-01-03 11.265 11.265 11.265 11.265 0 11.265
2013-01-04 11.34 11.34 11.34 11.34 0 11.34
2013-01-07 11.31 11.31 11.31 11.31 0 11.31
2013-01-08 11.335 11.335 11.335 11.335 0 11.335
2013-01-09 11.38 11.38 11.38 11.38 0 11.38
2013-01-10 11.57 11.57 11.57 11.57 0 11.57
2013-01-11 11.575 11.575 11.575 11.575 0 11.575
2013-01-14 11.565 11.565 11.565 11.565 0 11.565
2013-01-15 11.82 11.82 11.82 11.82 0 11.82
2013-01-16 11.985 11.985 11.985 11.985 0 11.985
2013-01-17 12.08 12.08 12.08 12.08 0 12.08
2013-01-18 12.305 12.305 12.305 12.305 0 12.305
2013-01-21 12.4 12.4 12.4 12.4 0 12.4
2013-01-22 12.355 12.355 12.355 12.355 0 12.355
2013-01-23 12.66 12.66 12.66 12.66 0 12.66
2013-01-24 12.625 12.625 12.625 12.625 0 12.625
2013-01-25 12.585 12.585 12.585 12.585 0 12.585
2013-01-28 13.005 13.005 13.005 13.005 0 13.005
2013-01-29 13.12 13.12 13.12 13.12 0 13.12
2013-01-30 13.025 13.025 13.025 13.025 0 13.025
2013-01-31 12.67 12.67 12.67 12.67 0 12.67
2013-02-01 12.67 12.67 12.67 12.67 0 12.67
2013-02-04 12.945 12.945 12.945 12.945 0 12.945
2013-02-05 13.315 13.315 13.315 13.315 0 13.315
2013-02-06 13.055 13.055 13.055 13.055 0 13.055
2013-02-07 13.015 13.015 13.015 13.015 0 13.015
2013-02-08 13.15 13.15 13.15 13.15 0 13.15
2013-02-11 13.16 13.16 13.16 13.16 0 13.16
2013-02-12 13.115 13.115 13.115 13.115 0 13.115
2013-02-13 13.075 13.075 13.075 13.075 0 13.075
2013-02-14 13.175 13.175 13.175 13.175 0 13.175
2013-02-15 13.54 13.54 13.54 13.54 0 13.54
2013-02-18 13.57 13.57 13.57 13.57 0 13.57
2013-02-19 13.51 13.51 13.51 13.51 0 13.51
2013-02-20 13.58 13.58 13.58 13.58 0 13.58
2013-02-21 13.475 13.475 13.475 13.475 0 13.475
2013-02-22 13.27 13.27 13.27 13.27 0 13.27
2013-02-25 13.93 13.93 13.93 13.93 0 13.93
2013-02-26 13.675 13.675 13.675 13.675 0 13.675
2013-02-27 13.765 13.765 13.765 13.765 0 13.765
2013-02-28 13.725 13.725 13.725 13.725 0 13.725
2013-03-01 13.915 13.915 13.915 13.915 0 13.915
2013-03-04 14.005 14.005 14.005 14.005 0 14.005
2013-03-05 14.05 14.05 14.05 14.05 0 14.05
2013-03-06 14.28 14.28 14.28 14.28 0 14.28
2013-03-07 14.195 14.195 14.195 14.195 0 14.195
2013-03-08 14.905 14.905 14.905 14.905 0 14.905
2013-03-11 15.075 15.075 15.075 15.075 0 15.075
2013-03-12 14.805 14.805 14.805 14.805 0 14.805
2013-03-13 14.83 14.83 14.83 14.83 0 14.83
2013-03-14 14.7 14.7 14.7 14.7 0 14.7
2013-03-15 14.76 14.76 14.76 14.76 0 14.76
2013-03-18 15.04 15.04 15.04 15.04 0 15.04
2013-03-19 14.885 14.885 14.885 14.885 0 14.885
2013-03-20 14.91 14.91 14.91 14.91 0 14.91
2013-03-21 14.845 14.845 14.845 14.845 0 14.845
2013-03-22 14.635 14.635 14.635 14.635 0 14.635
2013-03-25 14.7 14.7 14.7 14.7 0 14.7
2013-03-26 14.72 14.72 14.72 14.72 0 14.72
2013-03-27 14.82 14.82 14.82 14.82 0 14.82
2013-03-28 15.195 15.195 15.195 15.195 0 15.195
2013-03-29 15.195 15.195 15.195 15.195 0 15.195
2013-04-01 15.195 15.195 15.195 15.195 0 15.195
2013-04-02 15.19 15.19 15.19 15.19 0 15.19
2013-04-03 15.245 15.245 15.245 15.245 0 15.245
2013-04-04 14.88 14.88 14.88 14.88 0 14.88
2013-04-05 14.965 14.965 14.965 14.965 0 14.965
2013-04-08 14.945 14.945 14.945 14.945 0 14.945
2013-04-09 14.69 14.69 14.69 14.69 0 14.69
2013-04-10 14.545 14.545 14.545 14.545 0 14.545
2013-04-11 14.72 14.72 14.72 14.72 0 14.72
2013-04-12 15.41 15.41 15.41 15.41 0 15.41
2013-04-15 15.075 15.075 15.075 15.075 0 15.075
2013-04-16 14.33 14.33 14.33 14.33 0 14.33
2013-04-17 14.71 14.71 14.71 14.71 0 14.71
2013-04-18 14.855 14.855 14.855 14.855 0 14.855
2013-04-19 14.41 14.41 14.41 14.41 0 14.41
2013-04-22 14.93 14.93 14.93 14.93 0 14.93
2013-04-23 14.935 14.935 14.935 14.935 0 14.935
2013-04-24 15.095 15.095 15.095 15.095 0 15.095
2013-04-25 15.32 15.32 15.32 15.32 0 15.32
2013-04-26 15.485 15.485 15.485 15.485 0 15.485
2013-04-29 15.27 15.27 15.27 15.27 0 15.27
2013-04-30 15.7 15.7 15.7 15.7 0 15.7
2013-05-01 15.7 15.7 15.7 15.7 0 15.7
2013-05-02 15.04 15.04 15.04 15.04 0 15.04
2013-05-03 15.195 15.195 15.195 15.195 0 15.195
2013-05-06 15.04 15.04 15.04 15.04 0 15.04
2013-05-07 15.4 15.4 15.4 15.4 0 15.4
2013-05-08 15.4 15.4 15.4 15.4 0 15.4
2013-05-09 15.385 15.385 15.385 15.385 0 15.385
2013-05-10 15.44 15.44 15.44 15.44 0 15.44
2013-05-13 15.51 15.51 15.51 15.51 0 15.51
2013-05-14 15.305 15.305 15.305 15.305 0 15.305
