"Index" "HB.Open" "HB.High" "HB.Low" "HB.Close" "HB.Volume" "HB.Adjusted"
2013-01-01 0.17 0.17 0.17 0.17 0 8.75
2013-01-02 0.18 0.18 0.17 0.17 4400 8.75
2013-01-03 0.17 0.18 0.17 0.17 4600 8.75
2013-01-04 0.18 0.18 0.17 0.18 4000 8.85
2013-01-07 0.18 0.18 0.17 0.17 1600 8.65
2013-01-08 0.17 0.17 0.17 0.17 3300 8.65
2013-01-09 0.17 0.17 0.17 0.17 800 8.6
2013-01-10 0.17 0.17 0.17 0.17 200 8.7
2013-01-11 0.17 0.17 0.17 0.17 1200 8.6
2013-01-14 0.17 0.17 0.17 0.17 1500 8.5
2013-01-15 0.17 0.17 0.16 0.17 4600 8.3
2013-01-16 0.17 0.17 0.16 0.17 3500 8.4
2013-01-17 0.17 0.17 0.16 0.17 2900 8.3
2013-01-18 0.17 0.17 0.16 0.16 2500 8.2
2013-01-21 0.17 0.17 0.16 0.16 7100 8.15
2013-01-22 0.16 0.17 0.16 0.16 17100 8.25
2013-01-23 0.17 0.17 0.17 0.17 32600 8.5
2013-01-24 0.17 0.17 0.17 0.17 25400 8.5
2013-01-25 0.17 0.17 0.17 0.17 500 8.6
2013-01-28 0.17 0.17 0.17 0.17 100 8.5
2013-01-29 0.17 0.17 0.16 0.17 900 8.45
2013-01-30 0.17 0.17 0.17 0.17 2500 8.35
2013-01-31 0.17 0.17 0.16 0.17 400 8.35
2013-02-01 0.17 0.17 0.17 0.17 300 8.4
2013-02-04 0.17 0.17 0.17 0.17 1800 8.35
2013-02-05 0.17 0.17 0.17 0.17 500 8.35
2013-02-06 0.17 0.17 0.17 0.17 300 8.35
2013-02-07 0.17 0.17 0.16 0.16 1900 8.25
2013-02-08 0.17 0.17 0.16 0.16 2800 8.15
2013-02-11 0.17 0.17 0.16 0.16 600 8.2
2013-02-12 0.16 0.17 0.16 0.16 100 8.25
2013-02-13 0.16 0.17 0.16 0.16 1800 8.25
2013-02-14 0.16 0.17 0.16 0.16 600 8.2
2013-02-15 0.17 0.17 0.16 0.17 5200 8.5
2013-02-18 0.17 0.17 0.17 0.17 2700 8.45
2013-02-19 0.17 0.17 0.17 0.17 10700 8.5
2013-02-20 0.17 0.17 0.17 0.17 1800 8.5
2013-02-21 0.17 0.17 0.17 0.17 1900 8.35
2013-02-22 0.17 0.17 0.17 0.17 2900 8.5
2013-02-25 0.17 0.17 0.16 0.17 8800 8.3
2013-02-26 0.16 0.17 0.16 0.17 4000 8.5
2013-02-27 0.16 0.17 0.16 0.17 20300 8.3
2013-02-28 0.17 0.17 0.16 0.16 3300 8.1
2013-03-01 0.17 0.17 0.16 0.17 4800 8.35
2013-03-04 0.17 0.17 0.16 0.16 6300 8.05
2013-03-05 0.16 0.17 0.16 0.16 4300 8.1
2013-03-06 0.16 0.16 0.16 0.16 3500 7.9
2013-03-07 0.16 0.16 0.15 0.16 10600 7.85
