"Index" "HE.Open" "HE.High" "HE.Low" "HE.Close" "HE.Volume" "HE.Adjusted"
2013-01-02 25.5 25.860001 25.5 25.84 441700 22.815556
2013-01-03 25.85 25.969999 25.790001 25.879999 247200 22.850873
2013-01-04 25.950001 26.07 25.799999 26.059999 301000 23.009806
2013-01-07 26.02 26.049999 25.67 25.709999 248500 22.700771
2013-01-08 25.719999 25.809999 25.559999 25.700001 245500 22.691943
2013-01-09 25.75 25.860001 25.5 25.610001 211500 22.612477
2013-01-10 25.719999 25.82 25.549999 25.620001 293100 22.621307
2013-01-11 25.58 25.76 25.540001 25.76 183000 22.74492
2013-01-14 25.799999 25.950001 25.73 25.809999 239000 22.789067
2013-01-15 25.719999 25.92 25.629999 25.92 224000 22.886193
2013-01-16 25.809999 25.92 25.6 25.65 176600 22.647794
2013-01-17 25.700001 25.870001 25.690001 25.709999 190000 22.700771
2013-01-18 25.76 25.85 25.65 25.84 168900 22.815556
2013-01-22 25.85 26.1 25.85 26.059999 245000 23.009806
2013-01-23 26.07 26.139999 25.860001 25.93 216800 22.895022
2013-01-24 25.98 26.110001 25.82 25.98 277800 22.939169
2013-01-25 26.07 26.26 25.93 26.26 300700 23.186397
2013-01-28 26.27 26.33 26.129999 26.32 228800 23.239374
2013-01-29 26.389999 26.809999 26.280001 26.75 539800 23.619045
2013-01-30 26.700001 26.889999 26.65 26.74 344100 23.610215
2013-01-31 26.74 27 26.67 26.969999 378700 23.813295
2013-02-01 27 27.15 26.9 27.129999 331100 23.954567
2013-02-04 27.030001 27.120001 26.83 26.889999 344900 23.742658
2013-02-05 26.91 27.059999 26.66 26.950001 547400 23.795637
2013-02-06 26.940001 27.09 26.809999 27.08 202800 23.91042
2013-02-07 27.129999 27.4 27.059999 27.389999 570400 24.184136
2013-02-08 27.459999 27.639999 27.27 27.530001 418300 24.307751
2013-02-11 27.52 27.77 27.52 27.75 660700 24.502
2013-02-12 27.709999 27.790001 27.610001 27.700001 214200 24.457853
2013-02-13 27.73 27.85 27.67 27.83 234100 24.572636
2013-02-14 27.790001 27.85 27.57 27.76 232500 24.51083
2013-02-15 27.629999 27.92 27.620001 27.83 473200 24.572636
2013-02-19 27.450001 27.610001 27.129999 27.290001 612800 24.367269
2013-02-20 27.299999 27.34 26.950001 26.950001 453500 24.063683
2013-02-21 26.92 27.01 26.639999 26.709999 384700 23.849385
2013-02-22 26.84 27.030001 26.75 26.99 232800 24.099398
2013-02-25 27.059999 27.23 26.59 26.59 276300 23.742238
2013-02-26 26.65 26.950001 26.57 26.780001 315100 23.911889
2013-02-27 26.780001 26.950001 26.74 26.870001 209900 23.992251
2013-02-28 26.85 27.129999 26.780001 26.99 471900 24.099398
2013-03-01 26.879999 26.879999 26.49 26.66 827700 23.804741
2013-03-04 26.620001 27.08 26.610001 27.059999 581000 24.161901
2013-03-05 27.1 27.389999 27.08 27.360001 463700 24.429772
2013-03-06 27.450001 27.469999 27.23 27.33 235900 24.402984
2013-03-07 27.35 27.48 27.25 27.32 323600 24.394055
2013-03-08 27.43 27.469999 27.17 27.379999 239600 24.447629
2013-03-11 27.299999 27.65 27.27 27.530001 313000 24.581565
2013-03-12 27.469999 27.57 27.32 27.48 204500 24.536919
2013-03-13 27.559999 27.690001 27.440001 27.620001 242000 24.661926
2013-03-14 27.690001 27.799999 27.59 27.65 248000 24.688712
2013-03-15 27.6 27.76 27.389999 27.58 424000 24.62621
2013-03-18 27.440001 27.540001 27.26 27.27 362500 24.349411
2013-03-19 27.16 27.4 26.84 27.01 1702600 24.117256
2013-03-20 26.870001 27.49 26.76 27.16 5681200 24.251191
2013-03-21 26.969999 27.33 26.969999 27.290001 490600 24.367269
2013-03-22 27.290001 27.42 27.18 27.290001 310900 24.367269
2013-03-25 27.35 27.459999 27.18 27.209999 354100 24.295835
2013-03-26 27.27 27.450001 27.26 27.4 320200 24.465487
2013-03-27 27.309999 27.58 27.219999 27.57 334700 24.61728
2013-03-28 27.540001 27.75 27.5 27.709999 311100 24.742286
2013-04-01 27.75 27.75 27.309999 27.469999 273000 24.52799
2013-04-02 27.469999 27.59 27.32 27.41 267700 24.474416
2013-04-03 27.42 27.5 27.26 27.26 405000 24.340482
2013-04-04 27.280001 27.450001 27.209999 27.450001 260300 24.510133
2013-04-05 27.24 27.450001 27.23 27.379999 354900 24.447629
2013-04-08 27.309999 27.67 27.280001 27.67 458200 24.706571
2013-04-09 27.709999 27.73 27.4 27.4 268300 24.465487
2013-04-10 27.4 27.48 27.25 27.389999 873800 24.456558
2013-04-11 27.360001 27.5 27.299999 27.49 361700 24.545848
2013-04-12 27.42 27.51 27.290001 27.33 292700 24.402984
2013-04-15 27.25 27.290001 26.65 26.68 505400 23.822599
2013-04-16 26.799999 26.83 26.540001 26.790001 392700 23.920819
2013-04-17 26.709999 26.73 26.309999 26.639999 526500 23.786882
2013-04-18 26.709999 26.780001 26.559999 26.74 489500 23.876173
2013-04-19 26.77 27.200001 26.67 27.17 210500 24.26012
2013-04-22 27.17 27.299999 26.9 27.219999 203400 24.304765
2013-04-23 27.32 27.370001 27.1 27.370001 244700 24.438701
2013-04-24 27.4 27.67 27.24 27.66 910100 24.697642
