"Index" "HH.Open" "HH.High" "HH.Low" "HH.Close" "HH.Volume" "HH.Adjusted"
2013-01-02 0.42 0.45 0.37 0.4 36900 0.4
2013-01-03 0.38 0.43 0.38 0.43 10300 0.43
2013-01-04 0.43 0.46 0.43 0.46 173400 0.46
2013-01-07 0.53 0.53 0.45 0.49 76600 0.49
2013-01-08 0.49 0.52 0.47 0.5 77900 0.5
2013-01-09 0.48 0.49 0.45 0.49 41200 0.49
2013-01-10 0.5 0.52 0.49 0.51 46700 0.51
2013-01-11 0.52 0.52 0.5 0.52 48800 0.52
2013-01-14 0.5 0.52 0.5 0.52 16200 0.52
2013-01-15 0.52 0.52 0.5 0.5 16700 0.5
2013-01-16 0.5 0.52 0.5 0.5 8000 0.5
2013-01-17 0.5 0.53 0.5 0.53 142700 0.53
2013-01-18 0.52 0.52 0.5 0.52 38800 0.52
2013-01-22 0.5 0.52 0.5 0.51 30100 0.51
2013-01-23 0.52 0.52 0.51 0.51 5000 0.51
2013-01-24 0.52 0.52 0.52 0.52 9700 0.52
2013-01-25 0.52 0.52 0.51 0.52 69100 0.52
2013-01-28 0.51 0.52 0.45 0.5 159300 0.5
2013-01-29 0.45 0.49 0.42 0.46 18300 0.46
2013-01-30 0.46 0.5 0.45 0.5 22100 0.5
2013-01-31 0.47 0.5 0.46 0.48 41000 0.48
2013-02-01 0.45 0.48 0.45 0.48 19400 0.48
2013-02-04 0.5 0.5 0.48 0.5 24400 0.5
2013-02-05 0.46 0.5 0.46 0.5 6300 0.5
2013-02-06 0.47 0.5 0.47 0.48 5900 0.48
2013-02-07 0.47 0.49 0.47 0.49 8600 0.49
2013-02-08 0.49 0.5 0.48 0.5 6400 0.5
2013-02-11 0.5 0.5 0.48 0.5 21600 0.5
2013-02-12 0.48 0.5 0.47 0.47 35500 0.47
2013-02-13 0.47 0.51 0.47 0.5 26800 0.5
2013-02-14 0.48 0.53 0.47 0.53 57400 0.53
2013-02-15 0.53 0.53 0.47 0.53 94400 0.53
2013-02-19 0.53 0.54 0.5 0.54 80900 0.54
2013-02-20 0.52 0.52 0.5 0.52 53800 0.52
2013-02-21 0.51 0.52 0.51 0.52 4100 0.52
2013-02-22 0.51 0.52 0.5 0.52 22200 0.52
2013-02-25 0.52 0.52 0.5 0.5 63300 0.5
2013-02-26 0.5 0.5 0.5 0.5 6700 0.5
2013-02-27 0.51 0.51 0.45 0.45 1730400 0.45
2013-02-28 0.45 0.51 0.45 0.5 71900 0.5
2013-03-01 0.5 0.5 0.49 0.5 2600 0.5
2013-03-04 0.5 0.5 0.47 0.5 11700 0.5
2013-03-05 0.46 0.48 0.45 0.45 34600 0.45
2013-03-06 0.45 0.5 0.45 0.49 27900 0.49
2013-03-07 0.5 0.5 0.45 0.45 109700 0.45
2013-03-08 0.45 0.48 0.43 0.43 147900 0.43
2013-03-11 0.43 0.45 0.43 0.45 36800 0.45
2013-03-12 0.45 0.47 0.43 0.43 28200 0.43
2013-03-13 0.43 0.47 0.43 0.43 30600 0.43
2013-03-14 0.44 0.44 0.43 0.43 27600 0.43
2013-03-15 0.43 0.45 0.43 0.43 78400 0.43
2013-03-18 0.45 0.45 0.42 0.42 66500 0.42
2013-03-19 0.42 0.44 0.42 0.42 49300 0.42
2013-03-20 0.46 0.46 0.44 0.45 20800 0.45
2013-03-21 0.43 0.45 0.42 0.44 14800 0.44
2013-03-22 0.46 0.47 0.44 0.44 36200 0.44
2013-03-25 0.42 0.45 0.42 0.45 14100 0.45
2013-03-26 0.45 0.45 0.41 0.41 22600 0.41
2013-03-27 0.41 0.43 0.41 0.42 32200 0.42
2013-03-28 0.42 0.47 0.42 0.46 11700 0.46
2013-04-01 0.45 0.45 0.41 0.44 56600 0.44
2013-04-02 0.44 0.44 0.4 0.41 51600 0.41
2013-04-03 0.44 0.44 0.4 0.44 22900 0.44
2013-04-04 0.42 0.42 0.4 0.42 8400 0.42
2013-04-05 0.42 0.44 0.42 0.44 53200 0.44
2013-04-08 0.44 0.46 0.42 0.45 35800 0.45
2013-04-09 0.43 0.43 0.42 0.43 34700 0.43
2013-04-10 0.44 0.45 0.42 0.42 182300 0.42
2013-04-11 0.41 0.44 0.4 0.4 193700 0.4
2013-04-12 0.43 0.43 0.41 0.43 103500 0.43
2013-04-15 0.43 0.44 0.38 0.41 551400 0.41
2013-04-16 0.4 0.42 0.4 0.42 77100 0.42
2013-04-17 0.43 0.43 0.4 0.42 23300 0.42
2013-04-18 0.41 0.43 0.41 0.42 4900 0.42
2013-04-19 0.41 0.42 0.41 0.42 600 0.42
2013-04-22 0.42 0.42 0.42 0.42 6100 0.42
2013-04-23 0.42 0.42 0.41 0.41 8500 0.41
