"Index" "HK.Open" "HK.High" "HK.Low" "HK.Close" "HK.Volume" "HK.Adjusted"
2013-01-02 7.14 7.35 7.12 7.33 4650400 7.33
2013-01-03 7.28 7.3 7.06 7.09 2930400 7.09
2013-01-04 7.17 7.3 7.11 7.29 3841200 7.29
2013-01-07 7.28 7.44 7.19 7.42 2808000 7.42
2013-01-08 7.42 7.63 7.29 7.35 5738300 7.35
2013-01-09 7.4 7.87 7.4 7.71 5746900 7.71
2013-01-10 7.75 7.81 7.58 7.72 4265600 7.72
2013-01-11 7.77 7.82 7.69 7.81 2288800 7.81
2013-01-14 7.86 8.05 7.72 7.99 5566700 7.99
2013-01-15 7.9 8.28 7.8 8.23 4354300 8.23
2013-01-16 8.17 8.2 7.91 7.99 4975700 7.99
2013-01-17 8.01 8.05 7.71 7.8 4477400 7.8
2013-01-18 7.83 7.88 7.63 7.76 3222400 7.76
2013-01-22 7.83 8.03 7.71 7.99 3754800 7.99
2013-01-23 8.05 8.05 7.75 7.92 3324400 7.92
2013-01-24 7.87 7.9 7.51 7.66 5277100 7.66
2013-01-25 7.74 7.86 7.68 7.78 2399400 7.78
2013-01-28 7.81 7.85 7.63 7.75 2424200 7.75
2013-01-29 7.75 7.83 7.66 7.77 1971200 7.77
2013-01-30 7.82 7.99 7.65 7.66 3322200 7.66
2013-01-31 7.63 7.7 7.52 7.64 1964400 7.64
2013-02-01 7.69 7.98 7.68 7.87 3200800 7.87
2013-02-04 7.78 7.88 7.65 7.68 2017700 7.68
2013-02-05 7.78 8.2 7.75 8.05 4453400 8.05
2013-02-06 8.07 8.13 7.8 7.86 3909400 7.86
2013-02-07 7.83 7.92 7.5 7.9 7005700 7.9
2013-02-08 7.9 7.95 7.63 7.8 4270700 7.8
2013-02-11 7.8 7.8 7.51 7.56 3425500 7.56
2013-02-12 7.55 7.58 7.31 7.42 4320500 7.42
2013-02-13 7.41 7.53 7.36 7.48 2149000 7.48
2013-02-14 7.43 7.54 7.33 7.47 1591000 7.47
2013-02-15 7.48 7.51 7.16 7.21 3610100 7.21
2013-02-19 7.26 7.52 7.2 7.44 2538500 7.44
2013-02-20 7.47 7.53 7.25 7.27 2277000 7.27
2013-02-21 7.26 7.3 7.05 7.27 3490300 7.27
2013-02-22 7.3 7.45 7.29 7.45 2223900 7.45
