"Index" "HMO.Open" "HMO.High" "HMO.Low" "HMO.Close" "HMO.Volume" "HMO.Adjusted"
2013-01-01 2514.18 2514.18 2514.18 2514.18 0 2514.18
2013-01-02 2527.42 2527.42 2527.42 2527.42 0 2527.42
2013-01-03 2471.4 2471.4 2471.4 2471.4 0 2471.4
2013-01-04 2495.1 2495.1 2495.1 2495.1 0 2495.1
2013-01-07 2519.27 2519.27 2519.27 2519.27 0 2519.27
2013-01-08 2470.76 2470.76 2470.76 2470.76 0 2470.76
2013-01-09 2495.83 2495.83 2495.83 2495.83 0 2495.83
2013-01-10 2535.23 2535.23 2535.23 2535.23 0 2535.23
2013-01-11 2527.31 2527.31 2527.31 2527.31 0 2527.31
2013-01-14 2544.03 2544.03 2544.03 2544.03 0 2544.03
2013-01-15 2560.17 2560.17 2560.17 2560.17 0 2560.17
2013-01-16 2549.96 2549.96 2549.96 2549.96 0 2549.96
2013-01-17 2587.8 2587.8 2587.8 2587.8 0 2587.8
2013-01-18 2591.56 2591.56 2591.56 2591.56 0 2591.56
2013-01-21 2591.56 2591.56 2591.56 2591.56 0 2591.56
2013-01-22 2644.66 2644.66 2644.66 2644.66 0 2644.66
2013-01-23 2655.72 2655.72 2655.72 2655.72 0 2655.72
2013-01-24 2685.41 2685.41 2685.41 2685.41 0 2685.41
2013-01-25 2698.31 2698.31 2698.31 2698.31 0 2698.31
2013-01-28 2683.55 2683.55 2683.55 2683.55 0 2683.55
2013-01-29 2689.13 2689.13 2689.13 2689.13 0 2689.13
2013-01-30 2670.17 2670.17 2670.17 2670.17 0 2670.17
2013-01-31 2663.48 2663.48 2663.48 2663.48 0 2663.48
2013-02-01 2696.15 2696.15 2696.15 2696.15 0 2696.15
2013-02-04 2687.67 2687.67 2687.67 2687.67 0 2687.67
2013-02-05 2751.76 2751.76 2751.76 2751.76 0 2751.76
2013-02-06 2755.55 2755.55 2755.55 2755.55 0 2755.55
2013-02-07 2764.49 2764.49 2764.49 2764.49 0 2764.49
2013-02-08 2819.89 2819.89 2819.89 2819.89 0 2819.89
2013-02-11 2775.69 2775.69 2775.69 2775.69 0 2775.69
2013-02-12 2796.76 2796.76 2796.76 2796.76 0 2796.76
2013-02-13 2809.38 2809.38 2809.38 2809.38 0 2809.38
2013-02-14 2809.73 2809.73 2809.73 2809.73 0 2809.73
2013-02-15 2808.52 2808.52 2808.52 2808.52 0 2808.52
